Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,19:00:00,30.4753,30.4753,30.4753,30.4753,200,0
2014-02-10,21:00:00,30.49,30.6025,30.49,30.6025,300,0
2014-02-10,22:00:00,30.442,30.48,30.442,30.48,1042,0
2014-02-11,16:00:00,30.66,31.1547,30.66,31.1547,645,0
2014-02-11,17:00:00,30.86,30.86,30.86,30.86,300,0
2014-02-11,19:00:00,31.9099,31.9099,31.9099,31.9099,600,0
2014-02-11,21:00:00,31.95,31.95,31.95,31.95,200,0
2014-02-11,22:00:00,31.9375,31.9375,31.9375,31.9375,1407,0
2014-02-12,19:00:00,31.93,31.93,31.2378,31.2378,1200,0
2014-02-13,16:00:00,31.52,31.52,31.52,31.52,1055,0
2014-02-13,22:00:00,31.8289,31.8289,31.8289,31.8289,1935,0
2014-02-14,17:00:00,31.401,31.401,31.401,31.401,200,0
2014-02-18,16:00:00,31.55,31.55,31.55,31.55,900,0
2014-02-18,20:00:00,31.8666,31.8666,31.8666,31.8666,300,0
2014-02-18,22:00:00,32.49,32.49,32.49,32.49,200,0
2014-02-19,16:00:00,32.76,32.76,32.76,32.76,330,0
2014-02-19,17:00:00,32.55,32.55,32.55,32.55,204,0
2014-02-20,17:00:00,31.11,31.11,31.11,31.11,100,0
2014-02-20,21:00:00,31.28,31.28,31.27,31.27,900,0
2014-02-24,16:00:00,32,32.4,31.99,32.2401,3460,0
2014-02-24,17:00:00,32.23,32.2301,32.23,32.2301,200,0
2014-02-24,18:00:00,31.93,31.93,31.93,31.93,200,0
2014-02-24,21:00:00,31.9,31.9,31.9,31.9,350,0
2014-02-25,17:00:00,32.29,32.29,32.2,32.2,300,0
2014-02-25,19:00:00,32.2,32.2,32.2,32.2,300,0
2014-02-25,21:00:00,32.18,32.2,32.18,32.2,700,0
2014-02-26,17:00:00,32.19,32.19,32.19,32.19,820,0
2014-02-26,22:00:00,31.8661,31.8661,31.8661,31.8661,550,0
2014-02-27,16:00:00,32.2,32.2,32.2,32.2,300,0
2014-02-27,17:00:00,32.2,32.9775,32.2,32.9775,824,0
2014-02-27,18:00:00,32.98,32.98,32.98,32.98,3000,0
2014-02-27,19:00:00,32.97,32.97,32.9699,32.9699,400,0
2014-02-27,20:00:00,32.2301,32.2301,32.2301,32.2301,420,0
