Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,3.62,3.665,3.51,3.58,27839,0
2014-02-10,17:00:00,3.58,3.58,3.5,3.5,15343,0
2014-02-10,18:00:00,3.5,3.7,3.5,3.7,31386,0
2014-02-10,19:00:00,3.69,3.736,3.66,3.71,54740,0
2014-02-10,20:00:00,3.71,3.71,3.58,3.58,77887,0
2014-02-10,21:00:00,3.5812,3.61,3.55,3.55,8514,0
2014-02-10,22:00:00,3.55,3.56,3.52,3.56,27181,0
2014-02-11,16:00:00,3.62,3.77,3.62,3.765,26700,0
2014-02-11,17:00:00,3.7799,3.9,3.73,3.83,62513,0
2014-02-11,18:00:00,3.83,3.85,3.77,3.7704,11457,0
2014-02-11,19:00:00,3.77,3.78,3.77,3.78,3300,0
2014-02-11,20:00:00,3.78,3.8,3.77,3.7954,14300,0
2014-02-11,21:00:00,3.7976,3.8,3.79,3.8,13500,0
2014-02-11,22:00:00,3.8,3.8,3.75,3.77,54608,0
2014-02-12,16:00:00,3.83,3.83,3.74,3.78,12702,0
2014-02-12,17:00:00,3.78,3.78,3.65,3.7,20736,0
2014-02-12,18:00:00,3.69,3.7,3.64,3.64,4500,0
2014-02-12,19:00:00,3.67,3.72,3.67,3.72,8822,0
2014-02-12,20:00:00,3.7333,3.7333,3.68,3.71,5300,0
2014-02-12,21:00:00,3.69,3.71,3.67,3.67,2400,0
2014-02-12,22:00:00,3.6629,3.6629,3.6,3.63,17798,0
2014-02-13,16:00:00,3.6,3.65,3.57,3.65,4573,0
2014-02-13,17:00:00,3.64,3.72,3.64,3.72,3300,0
2014-02-13,18:00:00,3.71,3.72,3.7,3.7,3700,0
2014-02-13,19:00:00,3.71,3.72,3.71,3.7116,7533,0
2014-02-13,20:00:00,3.71,3.74,3.71,3.719,5000,0
2014-02-13,21:00:00,3.71,3.71,3.7,3.7,16049,0
2014-02-13,22:00:00,3.7,3.71,3.7,3.71,25140,0
2014-02-14,16:00:00,3.7,3.71,3.65,3.68,10200,0
2014-02-14,17:00:00,3.68,3.72,3.68,3.71,23000,0
2014-02-14,18:00:00,3.71,3.73,3.71,3.71,6206,0
2014-02-14,19:00:00,3.72,3.72,3.6701,3.68,7125,0
2014-02-14,20:00:00,3.68,3.697,3.6548,3.69,11200,0
2014-02-14,21:00:00,3.68,3.71,3.68,3.71,13800,0
2014-02-14,22:00:00,3.71,3.72,3.67,3.67,34909,0
2014-02-18,16:00:00,3.6301,3.6605,3.6201,3.6201,3450,0
2014-02-18,17:00:00,3.65,3.73,3.63,3.72,12925,0
2014-02-18,18:00:00,3.72,3.7389,3.68,3.68,4050,0
2014-02-18,19:00:00,3.6832,3.689,3.65,3.67,17181,0
2014-02-18,20:00:00,3.66,3.68,3.66,3.67,5700,0
2014-02-18,21:00:00,3.67,3.74,3.67,3.73,8682,0
2014-02-18,22:00:00,3.72,3.74,3.69,3.72,22664,0
2014-02-19,16:00:00,3.71,3.71,3.6901,3.7055,2203,0
2014-02-19,17:00:00,3.7,3.73,3.65,3.66,7732,0
2014-02-19,18:00:00,3.65,3.7,3.62,3.64,30890,0
2014-02-19,19:00:00,3.63,3.64,3.55,3.55,18612,0
2014-02-19,20:00:00,3.55,3.6,3.55,3.6,11500,0
2014-02-19,21:00:00,3.6,3.65,3.59,3.63,12100,0
2014-02-19,22:00:00,3.63,3.63,3.55,3.61,47784,0
2014-02-20,16:00:00,3.62,3.63,3.55,3.55,1200,0
2014-02-20,17:00:00,3.55,3.66,3.55,3.63,8600,0
2014-02-20,18:00:00,3.66,3.6601,3.62,3.63,5350,0
2014-02-20,19:00:00,3.62,3.6597,3.59,3.6597,16744,0
2014-02-20,20:00:00,3.64,3.66,3.63,3.66,9473,0
2014-02-20,21:00:00,3.65,3.65,3.64,3.64,3700,0
2014-02-20,22:00:00,3.64,3.65,3.62,3.63,26756,0
2014-02-21,16:00:00,3.66,3.73,3.66,3.681,53850,0
2014-02-21,17:00:00,3.7,3.71,3.6,3.6,16624,0
2014-02-21,18:00:00,3.61,3.63,3.61,3.61,2190,0
2014-02-21,19:00:00,3.61,3.6102,3.551,3.56,6370,0
2014-02-21,20:00:00,3.55,3.63,3.55,3.63,5804,0
2014-02-21,21:00:00,3.63,3.69,3.625,3.67,10113,0
2014-02-21,22:00:00,3.67,3.72,3.66,3.68,5304,0
2014-02-24,16:00:00,3.67,3.67,3.67,3.67,3600,0
2014-02-24,17:00:00,3.68,3.7496,3.68,3.7399,11050,0
2014-02-24,18:00:00,3.73,3.7301,3.6801,3.69,8016,0
2014-02-24,19:00:00,3.705,3.72,3.66,3.69,38200,0
2014-02-24,20:00:00,3.7,3.7,3.68,3.68,5497,0
2014-02-24,21:00:00,3.68,3.71,3.68,3.69,6029,0
2014-02-24,22:00:00,3.6937,3.7,3.65,3.67,30063,0
2014-02-25,16:00:00,3.6409,3.73,3.55,3.55,14430,0
2014-02-25,17:00:00,3.58,3.63,3.58,3.6,54443,0
2014-02-25,18:00:00,3.59,3.6,3.47,3.48,31580,0
2014-02-25,19:00:00,3.47,3.5,3.47,3.5,22155,0
2014-02-25,20:00:00,3.49,3.52,3.49,3.5,27935,0
2014-02-25,21:00:00,3.49,3.5,3.48,3.49,32975,0
2014-02-25,22:00:00,3.49,3.49,3.42,3.44,43542,0
2014-02-26,16:00:00,3.45,3.4899,3.4,3.41,6014,0
2014-02-26,17:00:00,3.4102,3.44,3.3,3.3,100586,0
2014-02-26,18:00:00,3.3,3.35,3.25,3.35,396977,0
2014-02-26,19:00:00,3.36,3.4,3.34,3.39,55204,0
2014-02-26,20:00:00,3.39,3.39,3.365,3.385,15600,0
2014-02-26,21:00:00,3.38,3.39,3.36,3.36,19593,0
2014-02-26,22:00:00,3.36,3.4,3.35,3.37,29400,0
2014-02-27,16:00:00,3.39,3.44,3.39,3.42,4200,0
2014-02-27,17:00:00,3.4117,3.44,3.4117,3.42,15140,0
2014-02-27,18:00:00,3.43,3.46,3.42,3.45,16575,0
2014-02-27,19:00:00,3.46,3.48,3.45,3.46,5516,0
2014-02-27,20:00:00,3.451,3.48,3.451,3.47,6600,0
2014-02-27,21:00:00,3.47,3.49,3.4507,3.48,20068,0
2014-02-27,22:00:00,3.49,3.5,3.48,3.49,38948,0
2014-02-28,16:00:00,3.49,3.49,3.42,3.42,9690,0
2014-02-28,17:00:00,3.42,3.45,3.4,3.44,17775,0
2014-02-28,18:00:00,3.44,3.4601,3.44,3.4601,10424,0
2014-02-28,19:00:00,3.47,3.47,3.42,3.4286,30541,0
2014-02-28,20:00:00,3.43,3.44,3.41,3.41,4700,0
2014-02-28,21:00:00,3.42,3.42,3.4,3.4068,9078,0
2014-02-28,22:00:00,3.39,3.41,3.37,3.4,32527,0
2014-03-03,16:00:00,3.38,3.4,3.3101,3.4,50852,0
2014-03-03,17:00:00,3.38,3.44,3.3682,3.43,6300,0
2014-03-03,18:00:00,3.43,3.43,3.36,3.36,14842,0
2014-03-03,19:00:00,3.35,3.39,3.35,3.38,8455,0
2014-03-03,20:00:00,3.37,3.39,3.37,3.38,3220,0
2014-03-03,21:00:00,3.39,3.39,3.37,3.38,8800,0
2014-03-03,22:00:00,3.38,3.4,3.37,3.39,27543,0
2014-03-04,16:00:00,3.45,3.46,3.41,3.45,32684,0
2014-03-04,17:00:00,3.46,3.47,3.42,3.43,28110,0
2014-03-04,18:00:00,3.43,3.44,3.4,3.41,16935,0
2014-03-04,19:00:00,3.42,3.4222,3.4,3.42,11064,0
2014-03-04,20:00:00,3.42,3.44,3.42,3.435,7358,0
2014-03-04,21:00:00,3.43,3.44,3.43,3.435,12945,0
2014-03-04,22:00:00,3.43,3.45,3.4,3.41,36160,0
2014-03-05,16:00:00,3.44,3.53,3.43,3.5,57675,0
2014-03-05,17:00:00,3.49,3.5,3.42,3.42,9070,0
2014-03-05,18:00:00,3.425,3.48,3.42,3.44,54712,0
2014-03-05,19:00:00,3.431,3.45,3.421,3.43,19189,0
2014-03-05,20:00:00,3.44,3.45,3.44,3.45,11240,0
2014-03-05,21:00:00,3.45,3.46,3.43,3.46,20072,0
2014-03-05,22:00:00,3.46,3.52,3.46,3.51,60360,0
2014-03-06,16:00:00,3.5399,3.5399,3.48,3.49,6572,0
2014-03-06,17:00:00,3.5,3.515,3.45,3.47,15134,0
2014-03-06,18:00:00,3.48,3.4899,3.47,3.48,3700,0
2014-03-06,19:00:00,3.48,3.49,3.47,3.48,10850,0
2014-03-06,20:00:00,3.489,3.49,3.48,3.48,10070,0
2014-03-06,21:00:00,3.49,3.5,3.48,3.5,11035,0
2014-03-06,22:00:00,3.5,3.53,3.48,3.48,42706,0
2014-03-07,16:00:00,3.533,3.533,3.47,3.47,7300,0
2014-03-07,17:00:00,3.48,3.54,3.48,3.51,13740,0
2014-03-07,18:00:00,3.515,3.515,3.48,3.495,10117,0
2014-03-07,19:00:00,3.5,3.57,3.495,3.55,34122,0
2014-03-07,20:00:00,3.55,3.55,3.52,3.53,9528,0
2014-03-07,21:00:00,3.54,3.55,3.51,3.52,10468,0
2014-03-07,22:00:00,3.52,3.525,3.49,3.5,29564,0
2014-03-10,15:00:00,3.49,3.5,3.48,3.48,3600,0
2014-03-10,16:00:00,3.475,3.535,3.47,3.535,24894,0
2014-03-10,17:00:00,3.53,3.535,3.47,3.505,26633,0
2014-03-10,18:00:00,3.5,3.51,3.49,3.5,20800,0
2014-03-10,19:00:00,3.5,3.5,3.49,3.49,3800,0
2014-03-10,20:00:00,3.5,3.5,3.48,3.49,7600,0
2014-03-10,21:00:00,3.5,3.505,3.47,3.5,37806,0
2014-03-11,15:00:00,3.5,3.52,3.47,3.52,5827,0
2014-03-11,16:00:00,3.52,3.59,3.52,3.56,20686,0
2014-03-11,17:00:00,3.56,3.59,3.54,3.56,25771,0
2014-03-11,18:00:00,3.57,3.5995,3.5696,3.58,26851,0
2014-03-11,19:00:00,3.57,3.58,3.52,3.53,16650,0
2014-03-11,20:00:00,3.54,3.54,3.49,3.5,18351,0
2014-03-11,21:00:00,3.49,3.49,3.46,3.48,29602,0
2014-03-12,15:00:00,3.45,3.46,3.4,3.4,20919,0
2014-03-12,16:00:00,3.3601,3.39,3.31,3.32,32545,0
2014-03-12,17:00:00,3.32,3.37,3.32,3.35,22542,0
2014-03-12,18:00:00,3.33,3.338,3.32,3.33,13657,0
2014-03-12,19:00:00,3.3299,3.35,3.32,3.35,25657,0
2014-03-12,20:00:00,3.35,3.44,3.34,3.41,18800,0
2014-03-12,21:00:00,3.4,3.42,3.35,3.39,43661,0
2014-03-13,15:00:00,3.44,3.45,3.4,3.44,17969,0
2014-03-13,16:00:00,3.43,3.5,3.39,3.4,14000,0
2014-03-13,17:00:00,3.42,3.42,3.35,3.4,21634,0
2014-03-13,18:00:00,3.39,3.39,3.34,3.34,13137,0
2014-03-13,19:00:00,3.34,3.41,3.31,3.3852,10830,0
2014-03-13,20:00:00,3.37,3.38,3.32,3.32,33450,0
2014-03-13,21:00:00,3.32,3.36,3.31,3.33,32214,0
2014-03-14,15:00:00,3.33,3.46,3.33,3.41,10100,0
2014-03-14,16:00:00,3.39,3.41,3.34,3.39,5506,0
2014-03-14,17:00:00,3.39,3.42,3.36,3.405,30140,0
2014-03-14,18:00:00,3.4,3.4,3.34,3.36,8700,0
2014-03-14,19:00:00,3.3549,3.37,3.35,3.3618,6000,0
2014-03-14,20:00:00,3.37,3.37,3.31,3.3299,15507,0
2014-03-14,21:00:00,3.3287,3.4,3.29,3.38,43033,0
2014-03-17,15:00:00,3.47,3.48,3.43,3.45,2600,0
2014-03-17,16:00:00,3.44,3.46,3.4,3.45,15600,0
2014-03-17,17:00:00,3.445,3.45,3.38,3.41,22242,0
2014-03-17,18:00:00,3.43,3.47,3.41,3.43,7114,0
2014-03-17,19:00:00,3.46,3.46,3.43,3.435,43410,0
2014-03-17,20:00:00,3.435,3.47,3.43,3.4342,25245,0
2014-03-17,21:00:00,3.43,3.5,3.42,3.5,93032,0
2014-03-18,15:00:00,3.5,3.59,3.4101,3.46,59578,0
2014-03-18,16:00:00,3.4552,3.53,3.4401,3.5,27247,0
2014-03-18,17:00:00,3.5,3.51,3.48,3.49,12908,0
2014-03-18,18:00:00,3.49,3.53,3.49,3.51,15311,0
2014-03-18,19:00:00,3.52,3.55,3.5,3.55,16126,0
2014-03-18,20:00:00,3.55,3.57,3.5,3.51,40883,0
2014-03-18,21:00:00,3.51,3.52,3.45,3.48,33132,0
2014-03-19,15:00:00,3.57,3.584,3.5,3.5073,11236,0
2014-03-19,16:00:00,3.5,3.53,3.42,3.45,25804,0
2014-03-19,17:00:00,3.45,3.47,3.42,3.42,9200,0
2014-03-19,18:00:00,3.42,3.44,3.4,3.42,12290,0
2014-03-19,19:00:00,3.44,3.46,3.42,3.42,16004,0
2014-03-19,20:00:00,3.42,3.45,3.42,3.42,29700,0
2014-03-19,21:00:00,3.42,3.42,3.36,3.41,30391,0
2014-03-20,15:00:00,3.39,3.39,3.36,3.36,2964,0
2014-03-20,16:00:00,3.38,3.4,3.38,3.38,9800,0
2014-03-20,17:00:00,3.38,3.38,3.33,3.332,46425,0
2014-03-20,18:00:00,3.33,3.36,3.32,3.34,10138,0
2014-03-20,19:00:00,3.345,3.36,3.33,3.35,56616,0
2014-03-20,20:00:00,3.34,3.36,3.33,3.33,7902,0
2014-03-20,21:00:00,3.335,3.365,3.33,3.36,28458,0
2014-03-21,15:00:00,3.4,3.47,3.4,3.4,13350,0
2014-03-21,16:00:00,3.4001,3.44,3.39,3.44,16300,0
2014-03-21,17:00:00,3.45,3.46,3.42,3.42,12332,0
2014-03-21,18:00:00,3.43,3.441,3.42,3.42,14520,0
2014-03-21,19:00:00,3.4284,3.46,3.42,3.44,43670,0
2014-03-21,20:00:00,3.44,3.5,3.43,3.48,29922,0
2014-03-21,21:00:00,3.48,3.48,3.43,3.43,79165,0
2014-03-24,15:00:00,3.45,3.45,3.3901,3.4,6202,0
2014-03-24,16:00:00,3.42,3.42,3.35,3.36,17396,0
2014-03-24,17:00:00,3.35,3.36,3.3101,3.33,39752,0
2014-03-24,18:00:00,3.31,3.32,3.29,3.3,6700,0
2014-03-24,19:00:00,3.291,3.32,3.28,3.3,14559,0
2014-03-24,20:00:00,3.31,3.35,3.3,3.32,12320,0
2014-03-24,21:00:00,3.3124,3.33,3.29,3.3,53046,0
2014-03-25,15:00:00,3.32,3.34,3.3,3.34,2900,0
2014-03-25,16:00:00,3.34,3.3599,3.29,3.31,7837,0
2014-03-25,17:00:00,3.32,3.33,3.24,3.24,17728,0
2014-03-25,18:00:00,3.24,3.24,3.211,3.23,5624,0
2014-03-25,19:00:00,3.231,3.25,3.23,3.25,2200,0
2014-03-25,20:00:00,3.23,3.26,3.23,3.255,4800,0
2014-03-25,21:00:00,3.26,3.28,3.25,3.27,26203,0
2014-03-26,15:00:00,3.3,3.37,3.18,3.37,63488,0
2014-03-26,16:00:00,3.37,3.4,3.35,3.37,18500,0
2014-03-26,17:00:00,3.36,3.38,3.3,3.33,28081,0
2014-03-26,18:00:00,3.32,3.3201,3.3,3.3,13658,0
2014-03-26,19:00:00,3.3,3.3,3.19,3.21,16433,0
2014-03-26,20:00:00,3.21,3.235,3.14,3.205,121568,0
2014-03-26,21:00:00,3.2,3.2,3.11,3.11,86281,0
2014-03-27,15:00:00,3.1,3.16,3.02,3.16,15044,0
2014-03-27,16:00:00,3.1202,3.21,3.09,3.09,38514,0
2014-03-27,17:00:00,3.105,3.12,3.07,3.11,23062,0
2014-03-27,18:00:00,3.11,3.12,3.081,3.12,11161,0
2014-03-27,19:00:00,3.1152,3.14,3.11,3.14,11771,0
2014-03-27,20:00:00,3.14,3.15,3.11,3.14,12050,0
2014-03-27,21:00:00,3.14,3.19,3.13,3.18,43895,0
2014-03-28,15:00:00,3.21,3.23,3.2,3.23,28632,0
2014-03-28,16:00:00,3.22,3.27,3.2,3.265,31653,0
2014-03-28,17:00:00,3.28,3.3055,3.2701,3.2701,13645,0
2014-03-28,18:00:00,3.271,3.28,3.255,3.27,9985,0
2014-03-28,19:00:00,3.26,3.26,3.2399,3.25,5230,0
2014-03-28,20:00:00,3.2399,3.2399,3.18,3.21,13906,0
2014-03-28,21:00:00,3.2099,3.2599,3.19,3.23,20802,0
2014-03-31,16:00:00,3.24,3.26,3.21,3.26,13914,0
2014-03-31,17:00:00,3.27,3.27,3.25,3.27,4930,0
2014-03-31,18:00:00,3.28,3.38,3.28,3.38,26369,0
2014-03-31,19:00:00,3.3999,3.43,3.39,3.4,34085,0
2014-03-31,20:00:00,3.4,3.42,3.38,3.38,18338,0
2014-03-31,21:00:00,3.39,3.45,3.38,3.45,8830,0
2014-03-31,22:00:00,3.43,3.45,3.37,3.39,77487,0
2014-04-01,16:00:00,3.4,3.48,3.4,3.47,18352,0
2014-04-01,17:00:00,3.49,3.49,3.42,3.42,36187,0
2014-04-01,18:00:00,3.42,3.422,3.39,3.3975,11229,0
2014-04-01,19:00:00,3.39,3.405,3.37,3.39,7700,0
2014-04-01,20:00:00,3.39,3.4,3.39,3.4,3710,0
2014-04-01,21:00:00,3.395,3.42,3.395,3.41,9000,0
2014-04-01,22:00:00,3.41,3.43,3.37,3.39,34759,0
2014-04-02,16:00:00,3.44,3.44,3.35,3.35,14687,0
2014-04-02,17:00:00,3.36,3.44,3.36,3.37,25492,0
2014-04-02,18:00:00,3.38,3.385,3.34,3.38,6600,0
2014-04-02,19:00:00,3.37,3.37,3.33,3.34,5600,0
2014-04-02,20:00:00,3.345,3.345,3.26,3.26,25978,0
2014-04-02,21:00:00,3.27,3.28,3.25,3.26,24801,0
2014-04-02,22:00:00,3.265,3.275,3.22,3.23,31229,0
2014-04-03,16:00:00,3.2201,3.23,3.17,3.18,21415,0
2014-04-03,17:00:00,3.199,3.199,3.11,3.15,49681,0
2014-04-03,18:00:00,3.1499,3.19,3.12,3.18,38618,0
2014-04-03,19:00:00,3.18,3.2,3.15,3.17,6610,0
2014-04-03,20:00:00,3.17,3.18,3.1501,3.16,5290,0
2014-04-03,21:00:00,3.17,3.17,3.12,3.13,90295,0
2014-04-03,22:00:00,3.1296,3.15,3.12,3.12,84239,0
2014-04-04,16:00:00,3.1961,3.26,3.15,3.26,31056,0
2014-04-04,17:00:00,3.22,3.26,3.15,3.18,56660,0
2014-04-04,18:00:00,3.17,3.19,3.12,3.12,15848,0
2014-04-04,19:00:00,3.1299,3.18,3.11,3.12,32618,0
2014-04-04,20:00:00,3.11,3.11,3.05,3.055,19615,0
2014-04-04,21:00:00,3.06,3.06,3.01,3.03,25260,0
2014-04-04,22:00:00,3.05,3.1049,3.02,3.08,70781,0
2014-04-07,16:00:00,3.05,3.05,3.01,3.01,31055,0
2014-04-07,17:00:00,3.02,3.08,3.01,3.05,55293,0
2014-04-07,18:00:00,3.0498,3.07,3.01,3.02,28650,0
2014-04-07,19:00:00,3.03,3.04,3.01,3.015,17814,0
2014-04-07,20:00:00,3.02,3.02,2.93,2.96,79266,0
2014-04-07,21:00:00,2.96,2.97,2.92,2.965,37550,0
2014-04-07,22:00:00,2.975,2.98,2.93,2.96,81092,0
2014-04-08,16:00:00,2.96,3.14,2.96,3,25424,0
