Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-11,16:00:00,2.149,2.149,2.149,2.149,1000,0
2014-02-11,17:00:00,2.14,2.14,2.1245,2.14,1200,0
2014-02-11,19:00:00,2.14,2.145,2.0401,2.0401,12650,0
2014-02-11,20:00:00,2.14,2.244,2.14,2.2288,2200,0
2014-02-11,21:00:00,2.15,2.15,2.15,2.15,1000,0
2014-02-11,22:00:00,2.1324,2.1324,2.06,2.11,8355,0
2014-02-12,16:00:00,2.21,2.2415,2.21,2.2415,1800,0
2014-02-12,18:00:00,2.226,2.226,2.226,2.226,901,0
2014-02-12,19:00:00,2.0701,2.249,2.0701,2.249,600,0
2014-02-12,20:00:00,2.08,2.08,1.9001,1.9001,2055,0
2014-02-12,21:00:00,2.0439,2.05,2.0439,2.05,2840,0
2014-02-12,22:00:00,2.213,2.213,2.213,2.213,300,0
2014-02-13,17:00:00,2.2,2.25,2.2,2.25,3116,0
2014-02-13,20:00:00,2.14,2.14,2.14,2.14,1000,0
2014-02-13,21:00:00,2.2394,2.2394,2.21,2.2222,1700,0
2014-02-13,22:00:00,2.21,2.2175,2.21,2.2175,1600,0
2014-02-14,17:00:00,2.1585,2.1585,2.1585,2.1585,1000,0
2014-02-14,18:00:00,2.18,2.18,2.18,2.18,300,0
2014-02-14,19:00:00,2.25,2.25,2.18,2.18,3915,0
2014-02-14,20:00:00,2.2,2.2,2.2,2.2,300,0
2014-02-14,21:00:00,2.15,2.15,2.15,2.15,1200,0
2014-02-14,22:00:00,2.1,2.1,2,2.1,4590,0
2014-02-18,16:00:00,2.3,2.4896,2.254,2.4896,16238,0
2014-02-18,17:00:00,2.49,2.63,2.27,2.35,21781,0
2014-02-18,18:00:00,2.449,2.449,2.4,2.4,3000,0
2014-02-18,19:00:00,2.35,2.4499,2.35,2.4,1300,0
2014-02-18,20:00:00,2.4,2.4,2.4,2.4,2100,0
2014-02-18,21:00:00,2.3701,2.3701,2.27,2.28,11700,0
2014-02-18,22:00:00,2.31,2.4,2.3,2.34,17935,0
2014-02-19,16:00:00,2.25,2.2508,2.25,2.2508,4999,0
2014-02-19,17:00:00,2.2501,2.2501,2.25,2.25,3025,0
2014-02-19,18:00:00,2.25,2.25,2.25,2.25,1000,0
2014-02-19,19:00:00,2.25,2.3,2.25,2.3,1400,0
2014-02-19,20:00:00,2.2999,2.3,2.2999,2.3,1400,0
2014-02-19,21:00:00,2.35,2.3501,2.3,2.3,3200,0
2014-02-19,22:00:00,2.22,2.287,2.22,2.287,300,0
2014-02-20,17:00:00,2.2999,2.2999,2.28,2.28,2948,0
2014-02-20,20:00:00,2.2745,2.2745,2.2745,2.2745,2000,0
2014-02-20,21:00:00,2.22,2.22,2.22,2.22,100,0
2014-02-21,17:00:00,2.25,2.25,2.25,2.25,100,0
2014-02-21,18:00:00,2.25,2.25,2.25,2.25,100,0
2014-02-21,19:00:00,2.1101,2.25,2.1101,2.2499,5815,0
2014-02-21,22:00:00,2.1274,2.1274,2.1274,2.1274,2500,0
2014-02-24,21:00:00,2.1,2.1,2.0999,2.0999,3000,0
2014-02-25,18:00:00,2.14,2.14,2.14,2.14,200,0
2014-02-25,22:00:00,2.02,2.02,1.9499,1.9499,1236,0
2014-02-26,16:00:00,1.95,1.95,1.95,1.95,750,0
2014-02-26,17:00:00,2,2.05,2,2.05,8760,0
2014-02-26,18:00:00,2.0201,2.0201,2.0201,2.0201,400,0
2014-02-26,19:00:00,2.07,2.15,2.07,2.08,2730,0
2014-02-27,16:00:00,2.03,2.03,2.03,2.03,600,0
2014-02-27,18:00:00,2.08,2.0801,2.08,2.0801,1250,0
2014-02-27,19:00:00,2.1,2.1,2.08,2.0855,4500,0
2014-02-27,20:00:00,2.08,2.08,2.08,2.08,2600,0
2014-02-27,21:00:00,2.119,2.12,2,2,5900,0
2014-02-27,22:00:00,2.089,2.09,2,2,4600,0
2014-02-28,16:00:00,2,2,2,2,250,0
2014-02-28,18:00:00,1.9999,1.9999,1.9709,1.9709,2050,0
2014-02-28,20:00:00,2.07,2.07,2.05,2.05,3000,0
2014-02-28,22:00:00,2.1,2.15,2.1,2.15,9500,0
2014-03-03,16:00:00,2.1001,2.15,2.1,2.15,1550,0
2014-03-03,17:00:00,2.12,2.12,2.1,2.1,3050,0
2014-03-03,18:00:00,2.0999,2.0999,2.0999,2.0999,500,0
2014-03-03,21:00:00,2.0982,2.0982,2.0982,2.0982,5000,0
2014-03-04,16:00:00,2.1,2.1,2.1,2.1,1000,0
2014-03-04,18:00:00,2.18,2.1807,2.15,2.15,20050,0
