Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,27.4,28.45,27.32,27.9899,299140,0
2014-02-10,17:00:00,27.95,28.46,27.71,28.39,472541,0
2014-02-10,18:00:00,28.38,28.46,27.8801,28.0396,197593,0
2014-02-10,19:00:00,28.02,28.13,27.83,28.004,109096,0
2014-02-10,20:00:00,27.95,28.03,27.82,27.99,72445,0
2014-02-10,21:00:00,28,28.0925,27.78,27.8,153869,0
2014-02-10,22:00:00,27.83,28.16,27.68,28.11,307305,0
2014-02-11,16:00:00,28.64,28.74,28.4,28.6,151345,0
2014-02-11,17:00:00,28.59,28.99,28.53,28.79,413736,0
2014-02-11,18:00:00,28.79,29.4588,28.6,29.06,517579,0
2014-02-11,19:00:00,29.07,29.25,29,29.19,242161,0
2014-02-11,20:00:00,29.18,29.5699,29.14,29.42,183275,0
2014-02-11,21:00:00,29.415,29.87,29.415,29.5699,218939,0
2014-02-11,22:00:00,29.555,29.79,29.4,29.46,392114,0
2014-02-12,16:00:00,29.58,30.7995,29.57,30.54,308229,0
2014-02-12,17:00:00,30.63,30.68,29.61,29.6421,284261,0
2014-02-12,18:00:00,29.7099,29.93,29.58,29.71,143187,0
2014-02-12,19:00:00,29.7275,29.88,29.52,29.53,121043,0
2014-02-12,20:00:00,29.53,29.57,29.21,29.259,106929,0
2014-02-12,21:00:00,29.2799,29.51,29.174,29.2099,74393,0
2014-02-12,22:00:00,29.1901,29.22,28.68,28.91,301017,0
2014-02-13,16:00:00,28.64,28.64,27.81,28.07,315870,0
2014-02-13,17:00:00,28.081,29.51,27.85,29.45,329970,0
2014-02-13,18:00:00,29.48,29.6,29.21,29.284,135375,0
2014-02-13,19:00:00,29.27,29.37,28.9357,29.3,83054,0
2014-02-13,20:00:00,29.31,29.489,29.26,29.43,36658,0
2014-02-13,21:00:00,29.42,29.93,29.35,29.91,107795,0
2014-02-13,22:00:00,29.85,29.96,29.69,29.91,239499,0
2014-02-14,16:00:00,29.96,30,29.397,29.7311,117650,0
2014-02-14,17:00:00,29.73,30.3899,29.44,30.07,166873,0
2014-02-14,18:00:00,30.01,30.01,29.551,29.64,220968,0
2014-02-14,19:00:00,29.6845,29.81,29.6,29.73,60245,0
2014-02-14,20:00:00,29.7799,29.83,29.66,29.79,30661,0
2014-02-14,21:00:00,29.75,30.14,29.74,29.98,80876,0
2014-02-14,22:00:00,29.99,30.0699,29.67,29.97,181119,0
2014-02-18,16:00:00,30.24,31.31,30,30.3,259586,0
2014-02-18,17:00:00,30.3,30.91,29.82,30.7119,229991,0
2014-02-18,18:00:00,30.66,31.25,30.524,31.01,263699,0
2014-02-18,19:00:00,31.083,31.43,31.03,31.0305,143785,0
2014-02-18,20:00:00,31.025,31.1,30.862,30.995,77324,0
2014-02-18,21:00:00,31,31.185,30.745,31.185,124251,0
2014-02-18,22:00:00,31.19,31.35,31.12,31.26,274111,0
2014-02-19,16:00:00,31.58,32.13,31.35,31.94,327459,0
2014-02-19,17:00:00,31.91,32.46,31.75,32.16,294616,0
2014-02-19,18:00:00,32.126,32.23,31.4,31.4,184965,0
2014-02-19,19:00:00,31.371,31.58,30.89,31.02,157725,0
2014-02-19,20:00:00,31.066,31.55,31.05,31.246,90931,0
2014-02-19,21:00:00,31.21,31.42,31,31.02,93800,0
2014-02-19,22:00:00,31.03,31.0797,30.5,30.88,289986,0
2014-02-20,16:00:00,30.8,31.4061,30.33,30.79,164363,0
2014-02-20,17:00:00,30.8635,31.3,30.4601,30.98,121101,0
2014-02-20,18:00:00,30.99,31.37,30.96,31.36,73237,0
2014-02-20,19:00:00,31.3619,31.63,31.29,31.42,72334,0
2014-02-20,20:00:00,31.4655,31.56,31.2525,31.39,111655,0
2014-02-20,21:00:00,31.3595,31.88,31.3403,31.77,112497,0
2014-02-20,22:00:00,31.791,31.91,31.6,31.65,174110,0
2014-02-21,16:00:00,32,32.27,31.65,32.204,153939,0
2014-02-21,17:00:00,32.26,32.55,32.065,32.28,351932,0
2014-02-21,18:00:00,32.32,32.7,32.29,32.42,192225,0
2014-02-21,19:00:00,32.45,32.63,32.38,32.6,83856,0
2014-02-21,20:00:00,32.62,32.7,32.45,32.45,114056,0
2014-02-21,21:00:00,32.45,32.56,31.7,31.78,205065,0
2014-02-21,22:00:00,31.8,32.01,31.65,31.84,198448,0
2014-02-24,16:00:00,32.06,32.25,31.55,31.77,166394,0
2014-02-24,17:00:00,31.7003,31.962,31.61,31.8,151612,0
2014-02-24,18:00:00,31.781,31.95,31.61,31.95,120564,0
2014-02-24,19:00:00,31.95,32,31.66,31.73,62895,0
2014-02-24,20:00:00,31.73,32,31.7,32,61160,0
2014-02-24,21:00:00,31.9685,32.15,31.7,31.7,129153,0
2014-02-24,22:00:00,31.7,31.78,31.57,31.57,158904,0
2014-02-25,16:00:00,31.7846,31.99,31.4,31.491,119057,0
2014-02-25,17:00:00,31.4905,31.92,31.03,31.79,181648,0
2014-02-25,18:00:00,31.86,32.4099,31.85,32.1399,175522,0
2014-02-25,19:00:00,32.04,32.12,31.77,32.065,110606,0
2014-02-25,20:00:00,32.06,32.38,31.8803,32.08,177205,0
2014-02-25,21:00:00,32.0435,32.07,31.53,31.56,137450,0
2014-02-25,22:00:00,31.56,31.57,30.75,31.09,403063,0
2014-02-26,16:00:00,31.55,32.22,31.26,31.95,146877,0
2014-02-26,17:00:00,31.96,33.25,31.9,32.64,470198,0
2014-02-26,18:00:00,32.61,33.25,32.61,32.955,203048,0
2014-02-26,19:00:00,32.89,33.25,32.85,33.1,173251,0
2014-02-26,20:00:00,33.09,33.1,32.69,32.7244,96734,0
2014-02-26,21:00:00,32.7004,32.8095,31.6158,32.13,213960,0
2014-02-26,22:00:00,32.13,32.54,32.02,32.52,173155,0
2014-02-27,16:00:00,32.64,33.71,32.64,33.3701,311367,0
