Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,18:00:00,13.13,13.98,13.13,13.98,542,0
2014-02-10,19:00:00,13.2601,14,13.2601,14,436,0
2014-02-10,20:00:00,14,14,13.99,14,5900,0
2014-02-10,21:00:00,14.08,14.0999,14,14.0999,2500,0
2014-02-10,22:00:00,13.95,14.05,13.95,14.05,200,0
2014-02-11,16:00:00,14.05,14.3,14.05,14.3,500,0
2014-02-11,18:00:00,14.29,14.29,14.23,14.24,14992,0
2014-02-11,20:00:00,14.29,14.29,14.29,14.29,600,0
2014-02-11,21:00:00,14.25,14.39,14.05,14.24,22100,0
2014-02-11,22:00:00,14.18,14.25,14.15,14.15,1600,0
2014-02-12,16:00:00,14.3,14.7,14.25,14.6,27316,0
2014-02-12,17:00:00,14.5,14.87,14.46,14.58,52668,0
2014-02-12,18:00:00,14.5,14.5,14.5,14.5,500,0
2014-02-12,19:00:00,14.5,14.5,14.5,14.5,700,0
2014-02-12,21:00:00,14.45,14.5,14.45,14.45,13200,0
2014-02-12,22:00:00,14.45,14.64,14.4001,14.55,43875,0
2014-02-13,16:00:00,14.75,14.75,14.75,14.75,200,0
2014-02-13,18:00:00,14.5,14.75,14.5,14.6,34044,0
2014-02-13,19:00:00,14.55,14.65,14.55,14.6,39014,0
2014-02-13,20:00:00,14.5001,14.6499,14.5001,14.6,21018,0
2014-02-13,21:00:00,14.6,14.6,14.49,14.55,3600,0
2014-02-13,22:00:00,14.5,14.8,14.5,14.8,26238,0
2014-02-14,18:00:00,14.71,14.77,14.7,14.77,13600,0
2014-02-14,19:00:00,14.7,14.75,14.61,14.75,14266,0
2014-02-14,20:00:00,14.65,14.77,14.65,14.77,14672,0
2014-02-14,21:00:00,14.75,14.97,14.75,14.97,13500,0
2014-02-14,22:00:00,14.97,14.98,14.92,14.98,3105,0
2014-02-18,16:00:00,14.92,15.27,14.8,15.27,16791,0
2014-02-18,17:00:00,15.19,15.25,15.1,15.1,2440,0
2014-02-18,18:00:00,15.25,15.25,15.25,15.25,16174,0
2014-02-18,19:00:00,15.25,15.29,15.1,15.29,35300,0
2014-02-18,20:00:00,15.29,15.29,15.05,15.25,4400,0
2014-02-18,21:00:00,15.25,15.38,15.25,15.2501,5817,0
2014-02-18,22:00:00,15.38,15.4,15.25,15.25,2400,0
2014-02-19,16:00:00,15.27,15.4,15.2201,15.2201,1900,0
2014-02-19,17:00:00,15.38,15.58,15.23,15.58,12198,0
2014-02-19,18:00:00,15.52,15.52,15.28,15.28,2500,0
2014-02-19,19:00:00,15.27,15.51,15.27,15.51,1699,0
2014-02-19,20:00:00,15.3,15.35,15.3,15.35,5401,0
2014-02-19,22:00:00,15.35,15.35,15.3,15.35,10800,0
2014-02-20,17:00:00,15.2,15.5,15.2,15.5,5700,0
2014-02-20,18:00:00,15.32,15.32,15.22,15.3,17824,0
2014-02-20,19:00:00,15.27,15.44,15.1901,15.35,6600,0
2014-02-20,20:00:00,15.35,15.43,15.3,15.3,5400,0
2014-02-20,21:00:00,15.3,15.49,15.2,15.3,13294,0
2014-02-20,22:00:00,15.24,15.3,15.24,15.3,1445,0
2014-02-21,16:00:00,15.59,15.63,15.39,15.58,2200,0
2014-02-21,17:00:00,15.334,15.65,15.23,15.45,1677,0
2014-02-21,18:00:00,15.41,15.45,15.3593,15.3593,1164,0
2014-02-21,19:00:00,15.35,15.35,15.35,15.35,2000,0
2014-02-21,20:00:00,15.33,15.6,15.33,15.6,3400,0
2014-02-21,21:00:00,15.59,15.65,15.59,15.65,13250,0
2014-02-21,22:00:00,15.62,15.75,15.58,15.75,7100,0
2014-02-24,16:00:00,15.95,16.45,15.95,16.31,4027,0
2014-02-24,17:00:00,15.926,16.46,15.9,16.46,14225,0
2014-02-24,18:00:00,16.14,16.39,16.1,16.39,800,0
2014-02-24,19:00:00,16.389,16.4,16.09,16.19,15800,0
