Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,33.11,33.195,32.615,32.67,128113,0
2014-02-10,17:00:00,32.62,32.64,31.92,31.96,475538,0
2014-02-10,18:00:00,31.965,32.02,31.79,31.86,735062,0
2014-02-10,19:00:00,31.87,31.905,31.83,31.87,381074,0
2014-02-10,20:00:00,31.86,32.02,31.85,31.91,983363,0
2014-02-10,21:00:00,31.91,31.95,31.78,31.84,477170,0
2014-02-10,22:00:00,31.85,31.92,31.82,31.88,1132794,0
2014-02-11,16:00:00,32,32.05,31.675,31.72,445862,0
2014-02-11,17:00:00,31.71,31.94,31.42,31.9,536279,0
2014-02-11,18:00:00,31.905,32,31.87,31.982,292318,0
2014-02-11,19:00:00,32,32.1,31.925,32.08,384617,0
2014-02-11,20:00:00,32.08,32.1,31.98,32,254352,0
2014-02-11,21:00:00,32,32.08,31.965,32.005,250111,0
2014-02-11,22:00:00,32,32.08,31.99,32.07,657603,0
2014-02-12,16:00:00,32,32.44,32,32.31,182276,0
2014-02-12,17:00:00,32.32,32.46,32.132,32.37,257663,0
2014-02-12,18:00:00,32.37,32.405,32.02,32.07,210718,0
2014-02-12,19:00:00,32.06,32.13,31.995,32.08,148937,0
2014-02-12,20:00:00,32.08,32.13,32.035,32.065,152832,0
2014-02-12,21:00:00,32.07,32.1,31.94,32.05,210327,0
2014-02-12,22:00:00,32.05,32.13,31.99,32.12,430816,0
2014-02-13,16:00:00,32,32.12,31.695,32.09,180087,0
2014-02-13,17:00:00,32.1,32.12,31.96,32.015,163958,0
2014-02-13,18:00:00,32.015,32.1,31.965,31.99,211238,0
2014-02-13,19:00:00,32,32.09,32,32.08,132582,0
2014-02-13,20:00:00,32.07,32.13,32.03,32.09,244001,0
2014-02-13,21:00:00,32.1,32.2,32.02,32.11,252437,0
2014-02-13,22:00:00,32.1,32.165,31.975,32,524600,0
2014-02-14,16:00:00,32.23,32.486,31.83,31.87,156146,0
2014-02-14,17:00:00,31.86,32,31.72,31.9699,340576,0
2014-02-14,18:00:00,31.969,32,31.5,31.95,547179,0
2014-02-14,19:00:00,31.9499,32.06,31.85,31.94,468244,0
