Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,24.07,24.2,23.86,24,56318,0
2014-02-10,17:00:00,23.94,24.13,23.83,23.94,63763,0
2014-02-10,18:00:00,23.88,24.25,23.8,24.25,40472,0
2014-02-10,19:00:00,24.25,24.29,24.07,24.145,41603,0
2014-02-10,20:00:00,24.13,24.18,24.05,24.12,22877,0
2014-02-10,21:00:00,24.1,24.18,24.03,24.03,36849,0
2014-02-10,22:00:00,24.05,24.12,23.94,24.05,83961,0
2014-02-11,16:00:00,24.18,24.59,24.18,24.45,44243,0
2014-02-11,17:00:00,24.59,24.95,24.54,24.75,120024,0
2014-02-11,18:00:00,24.76,24.85,24.55,24.75,85933,0
2014-02-11,19:00:00,24.75,24.84,24.67,24.73,58622,0
2014-02-11,20:00:00,24.74,24.87,24.7,24.78,74718,0
2014-02-11,21:00:00,24.76,24.8581,24.685,24.69,31903,0
2014-02-11,22:00:00,24.6701,24.755,24.42,24.63,167405,0
2014-02-12,16:00:00,24.72,25.199,24.72,25,40503,0
2014-02-12,17:00:00,25.025,25.07,24.6,24.69,71372,0
2014-02-12,18:00:00,24.65,24.8,24.42,24.51,48281,0
2014-02-12,19:00:00,24.5,24.53,24.34,24.4,66309,0
2014-02-12,20:00:00,24.41,24.58,24.33,24.57,44988,0
2014-02-12,21:00:00,24.58,24.58,24.29,24.38,51646,0
2014-02-12,22:00:00,24.38,24.43,24.23,24.39,73647,0
2014-02-13,16:00:00,24.11,24.71,24.01,24.71,24026,0
2014-02-13,17:00:00,24.6309,24.84,24.54,24.73,92866,0
2014-02-13,18:00:00,24.72,24.95,24.685,24.74,64529,0
2014-02-13,19:00:00,24.75,24.9,24.7001,24.9,18919,0
2014-02-13,20:00:00,24.85,25.13,24.81,25.07,100046,0
2014-02-13,21:00:00,25.11,25.22,24.79,24.89,81505,0
2014-02-13,22:00:00,24.89,25.01,24.83,24.89,91346,0
2014-02-14,16:00:00,24.79,24.91,24.62,24.83,26560,0
2014-02-14,17:00:00,24.785,25,24.78,24.9,27385,0
2014-02-14,18:00:00,24.895,24.94,24.78,24.94,37966,0
2014-02-14,19:00:00,24.91,25.02,24.9,24.99,59330,0
2014-02-14,20:00:00,24.92,25.01,24.87,24.99,23358,0
2014-02-14,21:00:00,24.96,25.04,24.93,25.03,29432,0
2014-02-14,22:00:00,25.03,25.04,24.61,24.64,93883,0
2014-02-18,16:00:00,24.64,25.039,24.6399,24.94,48473,0
2014-02-18,17:00:00,24.97,25.87,24.92,25.79,147860,0
2014-02-18,18:00:00,25.7327,25.8,25.61,25.72,35486,0
2014-02-18,19:00:00,25.69,25.82,25.62,25.789,55311,0
2014-02-18,20:00:00,25.78,25.83,25.58,25.6,28435,0
2014-02-18,21:00:00,25.6,25.85,25.5,25.78,41754,0
2014-02-18,22:00:00,25.7799,25.84,25.65,25.7,168612,0
2014-02-19,16:00:00,25.58,25.72,25.57,25.66,28917,0
2014-02-19,17:00:00,25.7,25.7686,25.57,25.574,74303,0
2014-02-19,18:00:00,25.52,25.58,25.25,25.25,38859,0
2014-02-19,19:00:00,25.201,25.23,24.965,25.14,71854,0
2014-02-19,20:00:00,25.16,25.33,25.06,25.316,30678,0
2014-02-19,21:00:00,25.29,25.37,25.1,25.11,43537,0
2014-02-19,22:00:00,25.17,25.24,24.91,24.95,96555,0
2014-02-20,16:00:00,24.94,25.21,24.94,24.99,15293,0
2014-02-20,17:00:00,24.965,25.65,24.94,25.61,67373,0
2014-02-20,18:00:00,25.61,25.82,25.58,25.8,79734,0
2014-02-20,19:00:00,25.79,25.91,25.69,25.91,70140,0
2014-02-20,20:00:00,25.93,25.99,25.73,25.73,50097,0
2014-02-20,21:00:00,25.74,25.975,25.71,25.95,114343,0
2014-02-20,22:00:00,25.95,26,25.73,25.77,163439,0
2014-02-21,16:00:00,25.88,25.9996,25.33,25.43,23071,0
2014-02-21,17:00:00,25.484,25.484,25.07,25.27,57835,0
2014-02-21,18:00:00,25.27,25.46,25.238,25.28,33224,0
2014-02-21,19:00:00,25.28,25.35,25.16,25.2199,60275,0
2014-02-21,20:00:00,25.2196,25.44,25.19,25.43,44475,0
2014-02-21,21:00:00,25.42,25.43,25.32,25.37,41007,0
2014-02-21,22:00:00,25.37,25.54,25.27,25.31,101629,0
2014-02-24,16:00:00,25.66,25.95,25.34,25.95,44827,0
2014-02-24,17:00:00,25.95,25.98,25.7,25.98,76126,0
2014-02-24,18:00:00,25.97,25.98,25.815,25.83,68543,0
2014-02-24,19:00:00,25.88,26.46,25.86,26.42,96924,0
2014-02-24,20:00:00,26.42,26.68,26.25,26.58,74672,0
2014-02-24,21:00:00,26.59,26.62,26.27,26.375,97555,0
2014-02-24,22:00:00,26.35,26.39,26.18,26.24,162822,0
2014-02-25,16:00:00,26.17,26.17,25.75,25.815,17095,0
2014-02-25,17:00:00,25.81,25.98,25.6508,25.92,28958,0
2014-02-25,18:00:00,25.9699,26.09,25.77,25.83,32588,0
2014-02-25,19:00:00,25.84,25.8899,25.71,25.81,17000,0
2014-02-25,20:00:00,25.8,25.86,25.74,25.74,46020,0
2014-02-25,21:00:00,25.74,25.9,25.71,25.9,68915,0
2014-02-25,22:00:00,25.87,25.89,25.74,25.8,50649,0
2014-02-26,16:00:00,26.142,26.15,25.85,25.95,25734,0
2014-02-26,17:00:00,25.9,26.66,25.83,26.63,125477,0
2014-02-26,18:00:00,26.63,26.65,26.35,26.47,31530,0
2014-02-26,19:00:00,26.489,26.6,26.44,26.44,27332,0
2014-02-26,20:00:00,26.41,26.41,26.2301,26.28,15014,0
2014-02-26,21:00:00,26.26,26.29,26.0008,26.08,22976,0
2014-02-26,22:00:00,26.09,26.16,25.93,26,113211,0
2014-02-27,16:00:00,26.19,26.63,25.95,25.97,46258,0
2014-02-27,17:00:00,26.09,26.1,25.79,25.97,95175,0
2014-02-27,18:00:00,26,26.2,25.95,25.98,60852,0
2014-02-27,19:00:00,26.03,26.11,26.01,26.09,48868,0
2014-02-27,20:00:00,26.05,26.1,25.84,25.86,63452,0
2014-02-27,21:00:00,25.87,25.92,25.71,25.73,22362,0
2014-02-27,22:00:00,25.7,25.95,25.65,25.9,59577,0
2014-02-28,16:00:00,25.9,25.9,25.56,25.88,17529,0
2014-02-28,17:00:00,25.89,25.985,25.81,25.82,33242,0
2014-02-28,18:00:00,25.81,25.92,25.8,25.92,25750,0
2014-02-28,19:00:00,25.9299,25.93,25.81,25.88,21745,0
2014-02-28,20:00:00,25.87,25.8804,25.6,25.68,41130,0
2014-02-28,21:00:00,25.66,25.68,25.161,25.19,52640,0
2014-02-28,22:00:00,25.17,25.2301,24.87,25.09,82294,0
2014-03-03,16:00:00,24.51,25.26,24.501,25.165,33204,0
2014-03-03,17:00:00,25.165,25.34,24.83,25.14,40991,0
2014-03-03,18:00:00,25.131,25.133,24.81,24.88,53969,0
2014-03-03,19:00:00,24.93,24.985,24.78,24.985,27392,0
2014-03-03,20:00:00,25.01,25.2,24.96,25.14,15324,0
