Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,10.46,10.51,10.35,10.42,24071,0
2014-02-10,17:00:00,10.4,10.4,10.35,10.399,29906,0
2014-02-10,18:00:00,10.4,10.46,10.37,10.46,20817,0
2014-02-10,19:00:00,10.44,10.46,10.35,10.37,18156,0
2014-02-10,20:00:00,10.35,10.37,10.35,10.35,20919,0
2014-02-10,21:00:00,10.36,10.36,10.35,10.35,20516,0
2014-02-10,22:00:00,10.36,10.44,10.34,10.38,68476,0
2014-02-11,16:00:00,10.38,10.38,10.34,10.35,10944,0
2014-02-11,17:00:00,10.36,10.42,10.3,10.3,35578,0
2014-02-11,18:00:00,10.31,10.43,10.31,10.36,36190,0
2014-02-11,19:00:00,10.37,10.4,10.35,10.38,20986,0
2014-02-11,20:00:00,10.4,10.53,10.38,10.44,50108,0
2014-02-11,21:00:00,10.46,10.46,10.39,10.41,40544,0
2014-02-11,22:00:00,10.41,10.42,10.16,10.24,193358,0
2014-02-12,16:00:00,9.78,10.11,9.75,9.81,124625,0
2014-02-12,17:00:00,9.81,9.81,9.55,9.55,177295,0
2014-02-12,18:00:00,9.5652,9.76,9.53,9.56,79879,0
2014-02-12,19:00:00,9.602,9.602,9.5,9.5,86248,0
2014-02-12,20:00:00,9.5097,9.525,9.47,9.5,76972,0
2014-02-12,21:00:00,9.49,9.53,9.43,9.43,66129,0
2014-02-12,22:00:00,9.435,9.47,9.39,9.4,183742,0
2014-02-13,16:00:00,9.4,9.43,9.35,9.3842,54034,0
2014-02-13,17:00:00,9.405,9.48,9.14,9.45,102102,0
2014-02-13,18:00:00,9.45,9.59,9.45,9.505,100230,0
2014-02-13,19:00:00,9.5,9.6368,9.5,9.62,51737,0
2014-02-13,20:00:00,9.61,9.8,9.6,9.75,36483,0
2014-02-13,21:00:00,9.75,9.77,9.68,9.72,33668,0
2014-02-13,22:00:00,9.71,9.91,9.71,9.79,99572,0
2014-02-14,16:00:00,9.8701,9.8701,9.73,9.75,24262,0
2014-02-14,17:00:00,9.75,9.76,9.61,9.65,54428,0
2014-02-14,18:00:00,9.65,9.69,9.63,9.66,18116,0
2014-02-14,19:00:00,9.66,9.66,9.61,9.65,50370,0
2014-02-14,20:00:00,9.65,9.6601,9.63,9.65,27326,0
2014-02-14,21:00:00,9.64,9.709,9.64,9.68,32600,0
2014-02-14,22:00:00,9.68,9.74,9.67,9.7,76242,0
2014-02-18,16:00:00,9.69,9.77,9.62,9.72,16595,0
2014-02-18,17:00:00,9.71,9.84,9.71,9.78,13561,0
2014-02-18,18:00:00,9.8,10.0499,9.78,10.039,33915,0
2014-02-18,19:00:00,10.02,10.12,10,10.1075,32627,0
2014-02-18,20:00:00,10.12,10.12,10,10,25228,0
2014-02-18,21:00:00,10.01,10.065,10,10,15891,0
2014-02-18,22:00:00,10.01,10.06,9.96,9.99,62782,0
2014-02-19,16:00:00,9.92,10,9.852,9.86,32456,0
2014-02-19,17:00:00,9.86,9.92,9.7,9.8,29543,0
2014-02-19,18:00:00,9.8104,9.91,9.79,9.84,16004,0
2014-02-19,19:00:00,9.84,9.98,9.82,9.96,40485,0
2014-02-19,20:00:00,9.9652,10.1,9.95,10.1,20891,0
2014-02-19,21:00:00,10.09,10.1,10.02,10.04,24901,0
2014-02-19,22:00:00,10.05,10.07,9.98,9.98,69320,0
2014-02-20,16:00:00,10,10.15,10,10.12,12809,0
2014-02-20,17:00:00,10.135,10.28,10.12,10.22,24101,0
2014-02-20,18:00:00,10.22,10.3,10.22,10.27,13891,0
2014-02-20,19:00:00,10.26,10.3,10.25,10.26,10895,0
2014-02-20,20:00:00,10.26,10.32,10.24,10.24,26450,0
2014-02-20,21:00:00,10.27,10.289,10.16,10.16,35907,0
2014-02-20,22:00:00,10.16,10.2,10.14,10.15,53850,0
2014-02-21,16:00:00,10.22,10.27,10.2,10.26,16599,0
2014-02-21,17:00:00,10.24,10.26,10.18,10.2,20840,0
2014-02-21,18:00:00,10.21,10.24,10.13,10.13,26702,0
2014-02-21,19:00:00,10.15,10.17,10.12,10.15,14400,0
2014-02-21,20:00:00,10.13,10.17,10.08,10.08,21464,0
2014-02-21,21:00:00,10.1,10.1,10.03,10.075,12714,0
2014-02-21,22:00:00,10.08,10.1,10.03,10.1,18662,0
2014-02-24,16:00:00,10.15,10.3,10.15,10.3,8880,0
2014-02-24,17:00:00,10.3,10.542,10.3,10.49,25735,0
2014-02-24,18:00:00,10.47,10.53,10.44,10.51,23400,0
2014-02-24,19:00:00,10.53,10.58,10.5,10.5,9450,0
2014-02-24,20:00:00,10.51,10.58,10.5,10.54,18095,0
2014-02-24,21:00:00,10.52,10.67,10.52,10.65,17075,0
2014-02-24,22:00:00,10.65,10.68,10.5,10.5,39371,0
2014-02-25,16:00:00,10.55,10.55,10.4301,10.49,39227,0
2014-02-25,17:00:00,10.49,10.56,10.47,10.56,24949,0
2014-02-25,18:00:00,10.53,10.56,10.5001,10.52,7190,0
2014-02-25,19:00:00,10.53,10.53,10.483,10.5,13694,0
2014-02-25,20:00:00,10.48,10.51,10.48,10.49,5300,0
2014-02-25,21:00:00,10.49,10.52,10.48,10.51,16332,0
2014-02-25,22:00:00,10.47,10.55,10.47,10.52,34778,0
2014-02-26,16:00:00,10.53,10.59,10.5,10.54,2700,0
2014-02-26,17:00:00,10.54,10.6,10.5,10.6,4300,0
2014-02-26,18:00:00,10.6,10.729,10.6,10.7001,8299,0
2014-02-26,19:00:00,10.71,10.7995,10.71,10.74,8714,0
2014-02-26,20:00:00,10.73,10.75,10.64,10.64,6846,0
2014-02-26,21:00:00,10.63,10.68,10.52,10.5301,7642,0
2014-02-26,22:00:00,10.53,10.61,10.52,10.56,27498,0
2014-02-27,16:00:00,10.511,10.58,10.51,10.55,2325,0
2014-02-27,17:00:00,10.52,10.77,10.5,10.7,11046,0
2014-02-27,18:00:00,10.7,10.74,10.6701,10.69,9800,0
2014-02-27,19:00:00,10.6598,10.73,10.6598,10.72,12500,0
2014-02-27,20:00:00,10.69,10.77,10.65,10.77,9550,0
2014-02-27,21:00:00,10.761,10.8,10.6104,10.68,16664,0
2014-02-27,22:00:00,10.7,10.78,10.64,10.74,51859,0
2014-02-28,16:00:00,10.79,10.81,10.68,10.69,5256,0
2014-02-28,17:00:00,10.7699,10.81,10.71,10.77,8044,0
2014-02-28,18:00:00,10.8,10.8,10.7,10.72,12354,0
2014-02-28,19:00:00,10.7,10.7,10.6,10.62,9328,0
2014-02-28,20:00:00,10.606,10.68,10.5843,10.5843,9950,0
2014-02-28,21:00:00,10.6134,10.71,10.59,10.6,22696,0
2014-02-28,22:00:00,10.6,10.61,10.5,10.58,84925,0
2014-03-03,16:00:00,10.57,10.6,10.5,10.6,7482,0
2014-03-03,17:00:00,10.56,10.59,10.5,10.51,27804,0
2014-03-03,18:00:00,10.517,10.54,10.5,10.53,6316,0
2014-03-03,19:00:00,10.5,10.56,10.5,10.545,12432,0
2014-03-03,20:00:00,10.55,10.57,10.525,10.57,5572,0
