Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,17:00:00,15.456,15.456,15.456,15.456,204,0
2014-02-11,22:00:00,15.258,15.258,15.218,15.218,504,0
2014-02-12,19:00:00,15,15,15,15,101,0
2014-02-12,20:00:00,15,15,15,15,151,0
2014-02-12,21:00:00,15,15.119,15,15.039,1009,0
2014-02-12,22:00:00,14.99,14.99,14.98,14.98,202,0
2014-02-13,16:00:00,14.97,14.97,14.97,14.97,1196,0
2014-02-13,17:00:00,14.97,14.97,14.97,14.97,151,0
2014-02-13,20:00:00,14.92,14.93,14.881,14.93,3883,0
2014-02-13,22:00:00,14.93,14.93,14.93,14.93,1009,0
2014-02-14,16:00:00,14.97,14.97,14.97,14.97,4035,0
2014-02-14,18:00:00,14.871,14.881,14.871,14.881,1210,0
2014-02-14,21:00:00,14.881,14.881,14.881,14.881,202,0
2014-02-14,22:00:00,14.891,14.891,14.871,14.891,706,0
2014-02-18,17:00:00,14.871,14.891,14.871,14.891,4022,0
2014-02-18,19:00:00,14.871,15.109,14.871,15.109,3631,0
2014-02-18,21:00:00,15.085,15.085,15.085,15.085,202,0
2014-02-19,22:00:00,15.07,15.07,15.069,15.069,1210,0
2014-02-20,19:00:00,15.049,15.049,15.02,15.02,504,0
2014-02-20,22:00:00,14.987,15,14.987,15,1098,0
2014-02-21,18:00:00,14.896,14.911,14.896,14.901,825,0
2014-02-24,17:00:00,15.119,15.119,15.086,15.119,4249,0
2014-02-24,18:00:00,15.119,15.338,15.119,15.338,403,0
2014-02-24,19:00:00,15.307,15.307,15.307,15.307,303,0
2014-02-24,21:00:00,15.289,15.289,15.289,15.289,504,0
2014-02-24,22:00:00,15.183,15.183,15.183,15.183,101,0
2014-02-26,18:00:00,15.193,15.193,15.193,15.193,353,0
2014-02-26,20:00:00,15.267,15.268,15.267,15.267,1210,0
2014-02-26,21:00:00,15.268,15.268,15.268,15.268,101,0
2014-02-26,22:00:00,15.267,15.446,15.069,15.446,1295,0
2014-02-27,16:00:00,14.901,14.901,14.901,14.901,132,0
2014-02-27,17:00:00,14.99,14.99,14.94,14.94,1915,0
2014-02-27,18:00:00,14.94,15.069,14.871,14.99,1009,0
2014-02-27,19:00:00,15.019,15.019,15.019,15.019,101,0
2014-02-27,22:00:00,14.97,14.97,14.97,14.97,151,0
2014-02-28,17:00:00,14.871,14.871,14.844,14.844,1210,0
2014-02-28,18:00:00,15.529,15.529,15.529,15.529,403,0
2014-02-28,19:00:00,15.059,15.188,15.059,15.188,403,0
2014-02-28,22:00:00,14.94,15.188,14.92,15.059,1816,0
2014-03-03,21:00:00,15.119,15.119,15.119,15.119,101,0
2014-03-04,17:00:00,14.891,14.891,14.881,14.881,751,0
2014-03-04,18:00:00,15.01,15.02,15.01,15.02,908,0
2014-03-04,19:00:00,15.019,15.019,14.782,14.782,792,0
2014-03-04,21:00:00,14.821,14.821,14.801,14.801,366,0
2014-03-04,22:00:00,15.019,15.019,14.98,14.98,303,0
2014-03-05,22:00:00,14.881,14.881,14.821,14.821,499,0
2014-03-06,16:00:00,15.02,15.02,15.02,15.02,504,0
2014-03-06,17:00:00,15.307,15.307,15.307,15.307,101,0
2014-03-06,21:00:00,14.871,14.871,14.871,14.871,202,0
2014-03-06,22:00:00,14.866,14.871,14.866,14.871,2118,0
2014-03-07,21:00:00,14.871,14.871,14.871,14.871,101,0
2014-03-07,22:00:00,14.871,14.871,14.861,14.871,2925,0
2014-03-10,18:00:00,14.772,14.772,14.772,14.772,341,0
2014-03-10,20:00:00,14.831,14.831,14.831,14.831,202,0
2014-03-11,18:00:00,14.866,14.866,14.866,14.866,605,0
2014-03-11,21:00:00,14.871,14.871,14.871,14.871,1311,0
2014-03-12,20:00:00,14.861,14.861,14.861,14.861,403,0
2014-03-13,16:00:00,14.737,14.871,14.737,14.798,2334,0
2014-03-13,21:00:00,14.865,14.865,14.865,14.865,1059,0
2014-03-14,20:00:00,14.871,14.871,14.871,14.871,353,0
2014-03-17,20:00:00,14.871,14.871,14.871,14.871,1009,0
2014-03-18,15:00:00,14.871,14.871,14.871,14.871,807,0
2014-03-19,15:00:00,14.901,14.901,14.901,14.901,303,0
2014-03-19,16:00:00,15.049,15.218,15.049,15.139,3739,0
2014-03-19,17:00:00,15.129,15.129,15.129,15.129,1110,0
2014-03-19,21:00:00,14.911,14.911,14.911,14.911,202,0
2014-03-21,15:00:00,14.881,14.881,14.881,14.881,303,0
2014-03-21,16:00:00,14.881,14.98,14.871,14.871,2639,0
2014-03-21,17:00:00,14.92,14.972,14.871,14.911,4035,0
2014-03-21,18:00:00,14.871,14.871,14.861,14.871,6052,0
2014-03-21,21:00:00,14.92,14.92,14.92,14.92,202,0
2014-03-24,19:00:00,14.97,14.97,14.871,14.871,2529,0
2014-03-24,20:00:00,14.97,14.97,14.97,14.97,101,0
2014-03-24,21:00:00,14.737,14.737,14.737,14.737,4035,0
2014-03-25,16:00:00,14.772,14.772,14.663,14.663,2014,0
2014-03-25,19:00:00,14.643,14.643,14.623,14.623,2383,0
2014-03-25,20:00:00,14.623,14.722,14.484,14.623,3835,0
2014-03-25,21:00:00,14.623,14.722,14.623,14.643,707,0
2014-03-26,18:00:00,14.573,14.722,14.573,14.722,2119,0
2014-03-26,21:00:00,14.621,14.722,14.573,14.573,6256,0
2014-03-27,15:00:00,14.494,14.494,14.494,14.494,681,0
2014-03-28,16:00:00,14.673,14.722,14.673,14.722,7606,0
2014-03-28,19:00:00,14.484,14.712,14.484,14.712,2623,0
2014-03-28,20:00:00,14.722,14.722,14.691,14.691,1010,0
2014-03-31,17:00:00,14.722,14.772,14.682,14.772,6606,0
2014-03-31,18:00:00,14.871,14.95,14.871,14.871,9343,0
2014-03-31,19:00:00,14.871,14.871,14.871,14.871,1008,0
