Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,27.79,27.79,27.58,27.58,2616,0
2014-02-10,17:00:00,27.61,27.69,27.49,27.6,7628,0
2014-02-10,18:00:00,27.475,27.63,27.445,27.63,4600,0
2014-02-10,19:00:00,27.558,27.994,27.54,27.732,13585,0
2014-02-10,20:00:00,27.78,27.81,27.58,27.69,1800,0
2014-02-10,21:00:00,27.82,27.85,27.67,27.79,3000,0
2014-02-10,22:00:00,27.76,27.94,27.55,27.83,23972,0
2014-02-11,16:00:00,27.842,27.94,27.71,27.94,3900,0
2014-02-11,17:00:00,27.95,28,27.92,27.92,2347,0
2014-02-11,18:00:00,27.95,27.95,27.95,27.95,200,0
2014-02-11,19:00:00,28,28,27.85,27.85,2450,0
2014-02-11,20:00:00,28,28,27.93,28,4600,0
2014-02-11,21:00:00,27.94,28.28,27.93,28.28,19775,0
2014-02-11,22:00:00,28.115,28.3,28.03,28.03,8678,0
2014-02-12,16:00:00,28.09,28.09,28.09,28.09,870,0
2014-02-12,17:00:00,28.28,28.28,27.91,27.91,3000,0
2014-02-12,18:00:00,27.98,28.11,27.84,27.8418,1700,0
2014-02-12,19:00:00,27.76,27.92,27.51,27.5101,8082,0
2014-02-12,20:00:00,27.55,27.97,27.5,27.97,7539,0
2014-02-12,21:00:00,28,28,27.56,27.98,5000,0
2014-02-12,22:00:00,27.65,27.88,27.56,27.78,11429,0
2014-02-13,16:00:00,27.62,28,27.62,28,1225,0
2014-02-13,17:00:00,27.99,28.14,27.81,28.13,4100,0
2014-02-13,18:00:00,28.11,28.11,28.05,28.05,800,0
2014-02-13,19:00:00,27.98,27.98,27.73,27.73,3500,0
2014-02-13,20:00:00,27.984,28.1,27.984,28.1,600,0
2014-02-13,21:00:00,28.12,28.22,28.04,28.21,2800,0
2014-02-13,22:00:00,28.3,28.3,28.145,28.145,6200,0
2014-02-14,16:00:00,28.21,28.28,28.03,28.1,7449,0
2014-02-14,17:00:00,28.162,28.334,28.162,28.17,600,0
2014-02-14,18:00:00,28.24,28.25,28.24,28.25,300,0
2014-02-14,19:00:00,28.06,28.06,28.06,28.06,600,0
2014-02-14,20:00:00,28.12,28.3,28.12,28.2,3106,0
2014-02-14,21:00:00,28.126,28.19,28.11,28.19,900,0
