Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,1.77,1.781,1.73,1.78,11250,0
2014-02-10,17:00:00,1.74,1.77,1.74,1.77,7167,0
2014-02-10,18:00:00,1.76,1.76,1.76,1.76,1800,0
2014-02-10,19:00:00,1.76,1.76,1.76,1.76,700,0
2014-02-10,21:00:00,1.754,1.7635,1.754,1.7635,1344,0
2014-02-10,22:00:00,1.76,1.7601,1.74,1.74,1684,0
2014-02-11,16:00:00,1.74,1.74,1.73,1.74,18249,0
2014-02-11,20:00:00,1.7501,1.7501,1.7501,1.7501,1000,0
2014-02-11,21:00:00,1.77,1.81,1.769,1.79,4700,0
2014-02-11,22:00:00,1.7803,1.7803,1.78,1.78,822,0
2014-02-12,16:00:00,1.83,1.83,1.83,1.83,100,0
2014-02-12,17:00:00,1.849,1.849,1.76,1.76,3215,0
2014-02-12,18:00:00,1.7884,1.7884,1.7884,1.7884,720,0
2014-02-12,19:00:00,1.8,1.8,1.8,1.8,300,0
2014-02-12,22:00:00,1.77,1.77,1.77,1.77,100,0
2014-02-13,16:00:00,1.8,1.8,1.7999,1.7999,2600,0
2014-02-13,19:00:00,1.7601,1.7601,1.7601,1.7601,500,0
2014-02-13,21:00:00,1.79,1.79,1.79,1.79,1770,0
2014-02-13,22:00:00,1.78,1.79,1.76,1.79,6826,0
2014-02-14,16:00:00,1.7501,1.7501,1.7501,1.7501,1300,0
2014-02-18,16:00:00,1.75,1.75,1.75,1.75,4000,0
2014-02-18,17:00:00,1.75,1.75,1.75,1.75,400,0
2014-02-18,21:00:00,1.75,1.75,1.75,1.75,700,0
2014-02-19,16:00:00,1.7447,1.7447,1.7447,1.7447,500,0
2014-02-19,19:00:00,1.799,1.799,1.799,1.799,2000,0
2014-02-19,20:00:00,1.8,1.9399,1.8,1.8999,29790,0
2014-02-19,21:00:00,1.889,1.8899,1.825,1.8501,6499,0
2014-02-19,22:00:00,1.88,1.89,1.8504,1.8504,5624,0
2014-02-20,18:00:00,1.891,1.891,1.891,1.891,1000,0
2014-02-20,19:00:00,1.9268,1.95,1.9268,1.95,1000,0
2014-02-20,20:00:00,1.95,1.95,1.95,1.95,2000,0
2014-02-21,17:00:00,1.8736,1.8736,1.8736,1.8736,1000,0
2014-02-21,18:00:00,1.8501,1.8501,1.85,1.85,3100,0
2014-02-21,22:00:00,1.8505,1.8505,1.8501,1.8501,4657,0
2014-02-24,16:00:00,1.9,1.9,1.8796,1.8796,1200,0
2014-02-24,18:00:00,1.9,2.1,1.9,2.0799,11592,0
2014-02-24,19:00:00,2.03,2.04,2.03,2.04,5500,0
2014-02-24,20:00:00,2.0499,2.0499,2.0499,2.0499,400,0
2014-02-24,21:00:00,2.0399,2.0399,2.0399,2.0399,100,0
2014-02-25,16:00:00,1.9,1.91,1.9,1.91,1100,0
2014-02-25,21:00:00,1.94,1.9401,1.94,1.94,1200,0
2014-02-26,17:00:00,1.94,1.94,1.79,1.8799,23006,0
2014-02-26,18:00:00,1.8401,1.86,1.8401,1.86,1300,0
2014-02-26,19:00:00,1.86,1.86,1.86,1.86,500,0
2014-02-27,16:00:00,1.9,1.9,1.89,1.9,400,0
2014-02-27,17:00:00,1.9,2.03,1.9,2.03,500,0
2014-02-27,18:00:00,2.04,2.04,1.9014,1.9014,630,0
2014-02-27,19:00:00,2.04,2.04,1.9001,1.97,625,0
2014-02-27,20:00:00,2.04,2.04,2.04,2.04,300,0
2014-02-27,21:00:00,2.04,2.04,2.04,2.04,600,0
2014-02-27,22:00:00,2.04,2.05,1.9801,2.04,2449,0
2014-02-28,17:00:00,1.9112,1.9112,1.9112,1.9112,207,0
2014-03-03,16:00:00,1.81,1.81,1.81,1.81,1998,0
2014-03-03,17:00:00,1.7752,1.85,1.76,1.85,6627,0
2014-03-03,18:00:00,1.8499,1.8499,1.8499,1.8499,900,0
2014-03-03,19:00:00,1.8,1.99,1.77,1.9,12790,0
2014-03-03,20:00:00,1.9,1.9,1.83,1.83,2600,0
2014-03-03,22:00:00,1.89,1.89,1.87,1.87,2700,0
2014-03-04,17:00:00,2.03,2.05,1.985,2.05,8129,0
2014-03-04,18:00:00,2.0303,2.05,1.97,1.97,8300,0
2014-03-04,19:00:00,1.94,2.029,1.94,2.029,359,0
2014-03-04,21:00:00,1.9101,1.9101,1.91,1.91,200,0
2014-03-04,22:00:00,1.9,1.98,1.9,1.93,8549,0
2014-03-05,21:00:00,1.999,2.04,1.99,2.04,8800,0
2014-03-05,22:00:00,2.04,2.089,1.95,1.95,3850,0
2014-03-06,17:00:00,2.06,2.07,2.06,2.07,550,0
2014-03-06,18:00:00,2.0372,2.07,2.0372,2.0699,14600,0
2014-03-06,19:00:00,2.001,2.001,2.001,2.001,100,0
2014-03-06,20:00:00,2.0317,2.0317,2.0101,2.0175,2240,0
2014-03-06,21:00:00,2.01,2.0315,2.008,2.008,2563,0
2014-03-06,22:00:00,2.03,2.05,2,2.05,10411,0
2014-03-07,16:00:00,2.05,2.05,2.01,2.01,2500,0
2014-03-07,17:00:00,2.011,2.011,2.01,2.01,1000,0
2014-03-07,19:00:00,1.99,1.99,1.99,1.99,1300,0
2014-03-07,22:00:00,2,2.18,2,2.1799,17702,0
2014-03-10,15:00:00,2.14,2.14,2.14,2.14,200,0
2014-03-10,16:00:00,2.0812,2.085,2.08,2.085,7000,0
2014-03-10,17:00:00,2.08,2.08,2.08,2.08,200,0
2014-03-10,18:00:00,2.0869,2.115,2.0869,2.11,4500,0
2014-03-10,19:00:00,2.12,2.13,1.95,2.0699,8475,0
2014-03-10,20:00:00,2.0112,2.0696,2.0112,2.0696,1850,0
2014-03-11,15:00:00,2.08,2.081,2.08,2.081,1000,0
2014-03-11,16:00:00,2.08,2.08,2,2.01,1700,0
2014-03-11,18:00:00,2.08,2.08,2.08,2.08,100,0
2014-03-11,21:00:00,2.02,2.032,1.99,2,4998,0
2014-03-12,16:00:00,2.001,2.001,2.001,2.001,132,0
2014-03-12,20:00:00,2.02,2.021,2.02,2.021,2400,0
2014-03-13,17:00:00,1.98,1.98,1.98,1.98,1500,0
2014-03-13,21:00:00,1.98,1.981,1.9601,1.9601,3500,0
2014-03-14,16:00:00,1.89,1.89,1.888,1.888,1400,0
2014-03-14,19:00:00,2,2,2,2,1270,0
2014-03-14,21:00:00,1.99,1.99,1.99,1.99,100,0
2014-03-17,18:00:00,1.9939,1.9939,1.9939,1.9939,100,0
2014-03-18,15:00:00,2.03,2.14,2.02,2.14,4000,0
2014-03-18,16:00:00,2.0899,2.0899,2.0899,2.0899,455,0
2014-03-19,15:00:00,2.04,2.04,2.04,2.04,425,0
2014-03-19,16:00:00,2.0599,2.0599,2.0599,2.0599,150,0
2014-03-19,17:00:00,2.03,2.03,2.03,2.03,600,0
2014-03-19,19:00:00,2.03,2.03,2.03,2.03,200,0
2014-03-20,16:00:00,1.9201,1.9201,1.9201,1.9201,910,0
2014-03-20,18:00:00,1.9301,1.9301,1.9301,1.9301,1000,0
2014-03-20,19:00:00,1.93,1.98,1.9201,1.98,8700,0
2014-03-20,21:00:00,1.93,1.93,1.93,1.93,5186,0
2014-03-21,17:00:00,2.01,2.01,2.01,2.01,400,0
2014-03-21,20:00:00,1.92,1.92,1.92,1.92,700,0
2014-03-24,18:00:00,1.91,1.91,1.91,1.91,525,0
2014-03-25,15:00:00,1.89,1.89,1.89,1.89,172,0
2014-03-25,17:00:00,1.8101,1.8101,1.8101,1.8101,300,0
2014-03-25,18:00:00,1.81,1.8101,1.81,1.8101,1725,0
2014-03-25,21:00:00,1.831,1.8859,1.831,1.8859,3300,0
2014-03-26,16:00:00,1.83,1.83,1.83,1.83,600,0
2014-03-26,17:00:00,1.849,1.849,1.845,1.845,970,0
2014-03-26,18:00:00,1.83,1.83,1.79,1.83,3787,0
2014-03-26,19:00:00,1.7901,1.7901,1.77,1.79,6500,0
2014-03-26,20:00:00,1.77,1.77,1.77,1.77,330,0
2014-03-27,15:00:00,1.76,1.76,1.75,1.75,4736,0
2014-03-27,18:00:00,1.661,1.661,1.661,1.661,1400,0
2014-03-27,19:00:00,1.7299,1.7299,1.7299,1.7299,380,0
2014-03-27,20:00:00,1.72,1.72,1.72,1.72,350,0
2014-03-28,17:00:00,1.819,1.819,1.819,1.819,2000,0
2014-03-28,19:00:00,1.71,1.71,1.71,1.71,2000,0
2014-03-28,21:00:00,1.73,1.73,1.73,1.73,400,0
2014-03-31,18:00:00,1.71,1.7299,1.7,1.7,6006,0
2014-03-31,20:00:00,1.7,1.7,1.7,1.7,100,0
2014-03-31,22:00:00,1.7,1.7,1.7,1.7,200,0
2014-04-01,17:00:00,1.729,1.729,1.729,1.729,8000,0
2014-04-02,16:00:00,1.7259,1.7259,1.7259,1.7259,1000,0
2014-04-07,22:00:00,1.68,1.68,1.66,1.66,1027,0
2014-04-08,17:00:00,1.69,1.73,1.689,1.73,4747,0
2014-04-09,17:00:00,1.7,1.71,1.7,1.71,5154,0
2014-04-10,17:00:00,1.6701,1.6701,1.67,1.67,5678,0
2014-04-10,18:00:00,1.67,1.67,1.61,1.61,13061,0
2014-04-10,20:00:00,1.6204,1.6204,1.6204,1.6204,100,0
2014-04-10,21:00:00,1.6201,1.6201,1.6201,1.6201,1000,0
2014-04-10,22:00:00,1.64,1.64,1.64,1.64,800,0
2014-04-14,18:00:00,1.6995,1.6995,1.6995,1.6995,700,0
2014-04-14,22:00:00,1.61,1.61,1.5699,1.5699,14183,0
2014-04-15,18:00:00,1.5501,1.5501,1.5501,1.5501,1352,0
2014-04-16,19:00:00,1.5501,1.5501,1.5501,1.5501,4530,0
2014-04-22,17:00:00,1.5814,1.5814,1.5814,1.5814,120,0
2014-04-25,21:00:00,1.6099,1.61,1.6099,1.6099,4566,0
2014-04-25,22:00:00,1.599,1.61,1.599,1.61,5100,0
2014-04-28,19:00:00,1.57,1.57,1.57,1.57,100,0
2014-04-28,20:00:00,1.599,1.6,1.599,1.6,3000,0
2014-04-28,22:00:00,1.55,1.55,1.55,1.55,200,0
2014-04-29,21:00:00,1.55,1.5501,1.55,1.5501,1000,0
2014-04-30,18:00:00,1.5533,1.5533,1.5533,1.5533,100,0
2014-05-01,20:00:00,1.5534,1.5534,1.5534,1.5534,200,0
2014-05-01,22:00:00,1.58,1.59,1.58,1.59,4710,0
2014-05-02,17:00:00,1.68,1.7,1.68,1.69,1599,0
2014-05-02,18:00:00,1.69,1.69,1.69,1.69,100,0
2014-05-02,19:00:00,1.56,1.69,1.56,1.57,400,0
2014-05-02,20:00:00,1.57,1.57,1.56,1.56,200,0
2014-05-02,21:00:00,1.56,1.58,1.552,1.58,2128,0
2014-05-02,22:00:00,1.57,1.57,1.56,1.56,1100,0
2014-05-05,16:00:00,1.57,1.57,1.57,1.57,400,0
2014-05-05,17:00:00,1.6164,1.63,1.6164,1.62,1460,0
2014-05-05,19:00:00,1.62,1.62,1.58,1.58,900,0
2014-05-05,20:00:00,1.551,1.59,1.551,1.57,1710,0
2014-05-05,21:00:00,1.56,1.59,1.56,1.59,1000,0
2014-05-07,16:00:00,1.56,1.56,1.56,1.56,200,0
2014-05-07,18:00:00,1.5501,1.56,1.42,1.4201,19738,0
2014-05-07,22:00:00,1.42,1.4408,1.42,1.42,1800,0
