Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,15.132,15.132,15.132,15.132,1809,0
2014-02-10,17:00:00,15.144,15.144,14.854,15.003,2915,0
2014-02-10,18:00:00,15.003,15.003,14.923,14.923,4920,0
2014-02-10,19:00:00,14.953,14.953,14.854,14.894,4513,0
2014-02-10,20:00:00,14.923,15.152,14.923,15.152,2714,0
2014-02-10,21:00:00,15.073,15.232,15.073,15.182,3216,0
2014-02-10,22:00:00,15.073,15.152,15.023,15.152,6273,0
2014-02-11,16:00:00,14.983,14.983,14.983,14.983,1266,0
2014-02-11,17:00:00,15.173,15.173,15.172,15.172,3005,0
2014-02-11,18:00:00,15.212,15.212,15.212,15.212,201,0
2014-02-11,19:00:00,15.222,15.222,15.222,15.222,804,0
2014-02-11,20:00:00,15.471,15.471,15.471,15.471,101,0
2014-02-11,21:00:00,15.449,15.59,15.341,15.59,1809,0
2014-02-11,22:00:00,15.49,15.49,15.461,15.471,5108,0
2014-02-12,17:00:00,15.62,15.62,15.62,15.62,5327,0
2014-02-12,18:00:00,15.53,15.53,15.461,15.461,201,0
2014-02-12,19:00:00,15.421,15.421,15.272,15.321,9938,0
2014-02-12,20:00:00,15.262,15.262,15.262,15.262,1206,0
2014-02-12,21:00:00,15.351,15.351,15.152,15.301,4523,0
2014-02-12,22:00:00,15.321,15.57,15.321,15.471,10451,0
2014-02-13,16:00:00,15.391,15.391,15.391,15.391,1532,0
2014-02-13,17:00:00,15.461,15.461,15.351,15.351,704,0
2014-02-13,18:00:00,15.311,15.441,15.311,15.441,2729,0
2014-02-13,19:00:00,15.411,15.62,15.411,15.62,1005,0
2014-02-13,20:00:00,15.759,15.869,15.739,15.869,1106,0
2014-02-13,21:00:00,15.908,15.918,15.869,15.918,4219,0
2014-02-13,22:00:00,15.918,15.918,15.731,15.859,19770,0
2014-02-14,16:00:00,15.888,16.028,15.66,15.759,3872,0
2014-02-14,17:00:00,15.948,15.956,15.67,15.67,885,0
2014-02-14,18:00:00,15.67,15.948,15.67,15.948,2010,0
2014-02-14,21:00:00,15.819,15.819,15.819,15.819,804,0
2014-02-14,22:00:00,15.968,15.968,15.819,15.829,9246,0
2014-02-18,18:00:00,15.819,15.918,15.819,15.898,2111,0
2014-02-18,19:00:00,16.038,16.366,16.038,16.366,1739,0
2014-02-18,20:00:00,16.227,16.227,16.227,16.227,201,0
2014-02-18,21:00:00,16.177,16.475,16.177,16.436,1407,0
2014-02-18,22:00:00,16.426,16.484,16.217,16.436,13444,0
2014-02-19,16:00:00,16.515,16.515,16.356,16.356,302,0
2014-02-19,17:00:00,16.664,16.664,16.356,16.356,804,0
2014-02-19,18:00:00,16.597,16.605,16.227,16.227,603,0
2014-02-19,19:00:00,16.475,16.475,15.999,16.071,4624,0
2014-02-19,20:00:00,16.326,16.326,15.918,15.918,2840,0
2014-02-19,21:00:00,16.157,16.436,16.157,16.207,3717,0
2014-02-19,22:00:00,16.207,16.276,15.938,16.097,17745,0
2014-02-20,16:00:00,16.077,16.077,16.077,16.077,1005,0
2014-02-20,18:00:00,16.157,16.157,16.157,16.157,201,0
2014-02-20,20:00:00,15.958,16.117,15.918,16.117,8186,0
2014-02-20,21:00:00,16.396,16.396,16.396,16.396,101,0
2014-02-20,22:00:00,16.257,16.346,16.147,16.227,4947,0
2014-02-21,16:00:00,16.276,16.426,16.276,16.416,3117,0
2014-02-21,17:00:00,16.475,16.475,16.326,16.326,2010,0
2014-02-21,18:00:00,16.534,16.677,16.534,16.677,1824,0
2014-02-21,19:00:00,16.684,16.684,16.565,16.565,3317,0
2014-02-21,20:00:00,16.615,16.615,16.615,16.615,804,0
2014-02-21,21:00:00,16.605,16.605,16.605,16.605,402,0
2014-02-21,22:00:00,16.605,16.684,16.207,16.346,8557,0
2014-02-24,16:00:00,16.296,16.296,16.296,16.296,1206,0
2014-02-24,17:00:00,16.391,16.446,16.391,16.446,2211,0
2014-02-24,18:00:00,16.873,16.883,16.714,16.714,1307,0
2014-02-24,19:00:00,16.794,16.794,16.794,16.794,1910,0
2014-02-24,21:00:00,16.664,16.664,16.416,16.426,5849,0
2014-02-24,22:00:00,16.545,16.754,16.545,16.615,11213,0
2014-02-25,17:00:00,16.565,16.565,16.565,16.565,1307,0
2014-02-25,18:00:00,16.583,16.605,16.583,16.605,402,0
2014-02-25,19:00:00,16.575,16.575,16.575,16.575,1106,0
2014-02-25,22:00:00,16.465,16.475,16.416,16.426,12315,0
2014-02-26,16:00:00,16.336,16.336,16.336,16.336,201,0
2014-02-26,17:00:00,16.336,16.356,16.336,16.356,704,0
2014-02-26,18:00:00,16.316,16.515,16.316,16.515,3417,0
2014-02-26,20:00:00,16.615,16.615,16.615,16.615,603,0
2014-02-26,21:00:00,16.465,16.465,16.386,16.406,4523,0
2014-02-26,22:00:00,16.208,16.346,16.208,16.346,11914,0
2014-02-27,17:00:00,16.406,16.406,16.406,16.406,402,0
2014-02-27,19:00:00,16.416,16.416,16.416,16.416,101,0
2014-02-27,20:00:00,16.346,16.346,16.346,16.346,603,0
2014-02-27,21:00:00,16.416,16.416,16.416,16.416,302,0
2014-02-27,22:00:00,16.356,16.416,16.286,16.396,5121,0
2014-02-28,16:00:00,16.505,16.505,16.217,16.416,1307,0
2014-02-28,17:00:00,16.386,16.446,16.217,16.227,8041,0
2014-02-28,18:00:00,16.247,16.247,16.217,16.217,1910,0
2014-02-28,19:00:00,16.217,16.217,16.217,16.217,1709,0
2014-02-28,20:00:00,16.217,16.217,16.217,16.217,1608,0
2014-02-28,21:00:00,16.217,16.227,16.217,16.227,2412,0
2014-02-28,22:00:00,16.227,16.276,16.058,16.227,12186,0
2014-03-03,17:00:00,15.988,16.247,15.988,16.247,2312,0
2014-03-03,18:00:00,16.115,16.115,16.028,16.028,704,0
2014-03-03,19:00:00,16.058,16.077,15.968,15.968,1407,0
2014-03-03,20:00:00,15.998,16.077,15.719,16.077,3213,0
2014-03-03,21:00:00,16.077,16.396,16.077,16.316,1809,0
2014-03-03,22:00:00,16.336,16.366,16.117,16.296,5931,0
2014-03-04,16:00:00,16.545,16.575,16.515,16.515,4328,0
2014-03-04,17:00:00,16.515,16.565,16.515,16.565,5227,0
2014-03-04,18:00:00,16.535,16.565,16.515,16.525,3920,0
2014-03-04,19:00:00,16.515,16.535,15.918,16.321,321266,0
2014-03-04,20:00:00,16.306,16.426,16.266,16.341,4065,0
2014-03-04,21:00:00,16.276,16.366,16.207,16.207,9280,0
2014-03-04,22:00:00,16.217,16.336,16.167,16.207,26096,0
2014-03-05,16:00:00,16.237,16.525,16.237,16.237,1633,0
2014-03-05,17:00:00,16.257,16.257,16.157,16.157,3116,0
2014-03-05,18:00:00,16.117,16.366,16.117,16.117,1206,0
2014-03-05,19:00:00,16.197,16.456,16.107,16.378,6112,0
2014-03-05,20:00:00,16.117,16.456,16.107,16.117,11459,0
2014-03-05,21:00:00,16.097,16.217,16.067,16.197,2412,0
2014-03-05,22:00:00,16.197,16.266,16.042,16.117,21663,0
2014-03-06,16:00:00,16.097,16.127,16.097,16.117,4222,0
2014-03-06,17:00:00,16.247,16.257,16.117,16.117,1311,0
2014-03-06,19:00:00,16.127,16.296,16.048,16.048,8239,0
2014-03-06,20:00:00,16.262,16.262,16.107,16.122,30013,0
2014-03-06,21:00:00,16.122,16.122,16.067,16.067,503,0
2014-03-06,22:00:00,16.077,16.207,16.077,16.117,6552,0
2014-03-07,16:00:00,16.147,16.147,16.117,16.117,503,0
2014-03-07,17:00:00,16.316,16.316,16.107,16.107,2915,0
2014-03-07,18:00:00,16.117,16.117,16.107,16.107,1878,0
2014-03-07,19:00:00,16.147,16.197,16.107,16.117,1307,0
2014-03-07,20:00:00,16.107,16.107,15.938,16.067,7155,0
2014-03-07,21:00:00,16.097,16.097,15.869,16.016,3417,0
2014-03-07,22:00:00,16.018,16.028,15.938,16.028,5792,0
2014-03-10,15:00:00,16.067,16.067,16.018,16.018,1307,0
2014-03-10,16:00:00,15.908,16.071,15.908,16.071,5607,0
2014-03-10,17:00:00,15.918,15.918,15.819,15.819,1005,0
2014-03-10,18:00:00,15.729,15.938,15.729,15.749,7713,0
2014-03-10,19:00:00,15.759,16.016,15.719,15.819,4655,0
2014-03-10,20:00:00,15.779,15.779,15.51,15.63,8626,0
2014-03-10,21:00:00,15.878,16.067,15.64,15.918,24011,0
2014-03-11,15:00:00,15.888,15.888,15.672,15.689,3015,0
2014-03-11,16:00:00,15.729,15.968,15.729,15.918,4423,0
2014-03-11,17:00:00,15.918,16.058,15.878,15.908,3417,0
2014-03-11,18:00:00,15.869,15.869,15.819,15.819,2533,0
2014-03-11,19:00:00,15.908,16.008,15.888,15.948,1709,0
2014-03-11,20:00:00,15.869,15.988,15.829,15.918,2211,0
2014-03-11,21:00:00,15.888,15.978,15.869,15.908,9334,0
2014-03-12,15:00:00,15.749,15.749,15.709,15.709,905,0
2014-03-12,16:00:00,15.719,15.819,15.67,15.819,3210,0
2014-03-12,17:00:00,15.819,15.819,15.769,15.819,2610,0
2014-03-12,18:00:00,15.819,15.968,15.719,15.788,18636,0
2014-03-12,19:00:00,15.947,15.947,15.947,15.947,6031,0
2014-03-12,20:00:00,15.938,15.938,15.864,15.898,1881,0
2014-03-12,21:00:00,15.898,15.928,15.839,15.928,9413,0
2014-03-13,15:00:00,15.918,15.918,15.829,15.829,3820,0
2014-03-13,16:00:00,15.918,15.918,15.869,15.869,6869,0
2014-03-13,17:00:00,15.918,15.918,15.918,15.918,302,0
2014-03-13,18:00:00,15.869,15.869,15.64,15.719,5377,0
