Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-12,17:00:00,6.81,6.81,6.67,6.67,1700,0
2014-02-12,20:00:00,6.66,6.66,6.66,6.66,500,0
2014-02-12,21:00:00,6.56,6.56,6.56,6.56,500,0
2014-02-12,22:00:00,6.58,6.58,6.58,6.58,500,0
2014-03-11,15:00:00,7.23,7.23,7.23,7.23,1000,0
2014-03-11,16:00:00,7.24,7.35,7.24,7.35,1000,0
2014-03-11,17:00:00,7.15,7.18,7.15,7.18,600,0
2014-03-12,20:00:00,7.59,7.6,7.59,7.6,1189,0
2014-03-13,15:00:00,7.53,7.53,7.53,7.53,100,0
2014-03-13,19:00:00,7.45,7.45,7.45,7.45,100,0
2014-03-13,21:00:00,7.38,7.38,7.38,7.38,1117,0
2014-03-27,15:00:00,7.08,7.08,7.08,7.08,300,0
2014-03-27,16:00:00,6.97,7.1,6.97,7.1,600,0
2014-03-27,17:00:00,6.93,6.93,6.93,6.93,100,0
2014-03-27,20:00:00,6.85,6.85,6.85,6.85,100,0
2014-04-01,17:00:00,7.49,7.69,7.48,7.69,1403,0
2014-04-03,19:00:00,8,8,8,8,3100,0
2014-04-03,20:00:00,8,8,8,8,2200,0
2014-04-07,18:00:00,6.91,6.92,6.91,6.92,304,0
2014-04-07,21:00:00,7,7,7,7,500,0
2014-04-07,22:00:00,7,7,6.931,6.961,2500,0
2014-04-08,16:00:00,6.91,6.91,6.91,6.91,300,0
2014-04-10,17:00:00,7.05,7.05,7.03,7.03,400,0
2014-04-10,18:00:00,6.91,6.91,6.91,6.91,100,0
2014-04-10,20:00:00,6.91,6.91,6.91,6.91,600,0
2014-04-11,16:00:00,6.8,6.8,6.8,6.8,600,0
2014-04-15,18:00:00,6.3,6.32,6.3,6.31,1003,0
2014-04-15,21:00:00,6.54,6.54,6.38,6.38,500,0
2014-04-28,17:00:00,6.53,6.53,6.39,6.39,700,0
2014-04-28,18:00:00,6.28,6.28,6.28,6.28,400,0
2014-04-28,21:00:00,6.23,6.25,6.23,6.25,400,0
2014-04-29,20:00:00,6.1,6.1,6.1,6.1,1000,0
2014-04-29,21:00:00,6.1,6.1,6.1,6.1,400,0
2014-04-29,22:00:00,6.04,6.04,6.04,6.04,100,0
2014-04-30,18:00:00,5.98,5.98,5.98,5.98,242,0
