Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-18,16:00:00,9.3,9.3,9.3,9.3,1210,0
2014-02-21,18:00:00,9.3,9.3001,9.3,9.3,500,0
2014-02-21,22:00:00,9.4,9.4,9.4,9.4,261,0
2014-02-24,16:00:00,9.3,9.3,9.3,9.3,300,0
2014-02-24,21:00:00,9.31,9.31,9.31,9.31,200,0
2014-02-25,16:00:00,9.3999,9.3999,9.39,9.39,2900,0
2014-02-25,18:00:00,9.31,9.33,9.31,9.33,2683,0
2014-02-28,18:00:00,9.3401,9.61,9.19,9.19,26754,0
2014-02-28,20:00:00,8.95,8.96,8.95,8.96,200,0
2014-02-28,22:00:00,9.42,9.7,9.41,9.7,1100,0
2014-03-03,17:00:00,9.676,9.676,9.676,9.676,110,0
2014-03-03,18:00:00,9.164,9.164,9.164,9.164,220,0
2014-03-03,21:00:00,9.12,9.12,9.12,9.12,100,0
2014-03-05,21:00:00,9.2,9.2,9.2,9.2,200,0
2014-03-06,21:00:00,9.17,9.17,9.17,9.17,200,0
2014-03-06,22:00:00,9.17,9.17,9.17,9.17,100,0
2014-03-07,21:00:00,9.15,9.15,9.15,9.15,300,0
2014-03-10,15:00:00,9.16,9.16,9.16,9.16,200,0
2014-03-11,19:00:00,9.18,9.18,9.18,9.18,200,0
2014-03-12,20:00:00,9.15,9.15,9.15,9.15,200,0
2014-03-14,15:00:00,9.2,9.58,9.2,9.36,4700,0
2014-03-14,20:00:00,9.18,9.18,9.18,9.18,100,0
2014-03-18,15:00:00,9.16,9.16,9.16,9.16,1200,0
2014-03-19,21:00:00,9.25,9.25,9.25,9.25,800,0
2014-03-20,21:00:00,9.3,9.3,9.3,9.3,100,0
2014-03-25,17:00:00,9.52,9.53,9.52,9.53,2900,0
2014-03-25,19:00:00,9.6,9.6099,9.6,9.6099,1400,0
2014-03-25,21:00:00,9.47,9.5,9.47,9.5,2500,0
2014-03-28,20:00:00,9.28,9.28,9.28,9.28,300,0
2014-03-31,16:00:00,9.38,9.5,9.38,9.5,1501,0
2014-03-31,17:00:00,9.501,9.501,9.5,9.5,1000,0
2014-03-31,20:00:00,9.5001,9.5001,9.5001,9.5001,600,0
2014-03-31,21:00:00,9.5001,9.5001,9.32,9.32,3800,0
2014-04-01,20:00:00,9.5,9.61,9.36,9.61,8900,0
2014-04-01,22:00:00,9.6,9.65,9.6,9.65,4500,0
2014-04-07,16:00:00,9.77,9.77,9.77,9.77,200,0
2014-04-09,16:00:00,9.5,9.5,9.5,9.5,3368,0
2014-04-10,21:00:00,9.51,9.51,9.51,9.51,100,0
2014-04-11,16:00:00,9.5101,9.5101,9.51,9.51,1400,0
2014-04-11,17:00:00,9.5,9.5,9.5,9.5,1200,0
2014-04-17,22:00:00,9.5,9.69,9.5,9.6899,4214,0
2014-04-21,21:00:00,9.38,9.38,9.38,9.38,200,0
2014-04-22,21:00:00,9.3,9.3,9.3,9.3,200,0
2014-04-24,19:00:00,9.2964,9.2964,9.2964,9.2964,250,0
2014-04-24,21:00:00,9.3,9.3,9.3,9.3,100,0
2014-04-24,22:00:00,9.31,9.31,9.31,9.31,200,0
2014-04-28,18:00:00,9.27,9.29,9.27,9.29,700,0
2014-04-28,22:00:00,9.3,9.3,9.3,9.3,2000,0
2014-04-29,22:00:00,9.41,9.5,9.41,9.5,1800,0
2014-04-30,21:00:00,9.34,9.34,9.34,9.34,100,0
2014-04-30,22:00:00,9.49,9.49,9.49,9.49,300,0
2014-05-01,16:00:00,9.34,9.34,9.34,9.34,450,0
2014-05-01,22:00:00,9.5,9.6,9.5,9.6,3054,0
2014-05-02,17:00:00,9.6,9.6,9.6,9.6,1000,0
2014-05-02,18:00:00,9.64,9.6495,9.64,9.6495,200,0
2014-05-02,22:00:00,9.65,9.71,9.65,9.71,3500,0
