Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,29.806,29.925,29.727,29.856,3029,0
2014-02-10,17:00:00,29.876,29.876,29.717,29.727,14946,0
2014-02-10,18:00:00,29.796,29.796,29.707,29.767,10494,0
2014-02-10,19:00:00,29.767,29.955,29.767,29.856,58225,0
2014-02-10,20:00:00,29.846,29.97,29.846,29.97,6259,0
2014-02-10,21:00:00,30.005,30.104,29.985,30.059,7676,0
2014-02-10,22:00:00,30.054,30.222,29.648,29.727,130244,0
2014-02-11,16:00:00,30.262,30.297,29.585,30.165,10851,0
2014-02-11,17:00:00,30.262,30.49,30.153,30.153,36176,0
2014-02-11,18:00:00,30.173,30.321,30.133,30.321,11911,0
2014-02-11,19:00:00,30.381,30.589,30.361,30.51,9893,0
2014-02-11,20:00:00,30.52,30.579,30.43,30.44,10737,0
2014-02-11,21:00:00,30.44,30.629,30.44,30.589,13480,0
2014-02-11,22:00:00,30.589,30.668,30.361,30.391,46890,0
2014-02-12,16:00:00,30.49,30.86,30.314,30.539,6157,0
2014-02-12,17:00:00,30.539,30.738,30.262,30.43,21017,0
2014-02-12,18:00:00,30.421,30.421,30.193,30.252,12417,0
2014-02-12,19:00:00,30.282,30.465,30.143,30.173,29826,0
2014-02-12,20:00:00,30.173,30.391,30.163,30.252,10681,0
2014-02-12,21:00:00,30.252,30.43,30.203,30.203,12652,0
2014-02-12,22:00:00,30.232,30.817,30.193,30.421,56795,0
2014-02-13,16:00:00,30.321,30.718,30.135,30.709,5498,0
2014-02-13,17:00:00,30.747,30.946,30.747,30.926,8884,0
2014-02-13,18:00:00,30.965,31.094,30.876,31.015,12215,0
2014-02-13,19:00:00,30.926,31.035,30.837,30.96,35236,0
2014-02-13,20:00:00,30.954,31.074,30.954,31.055,22479,0
2014-02-13,21:00:00,31.089,31.391,31.055,31.352,20472,0
2014-02-13,22:00:00,31.401,31.401,31.064,31.074,39505,0
2014-02-14,16:00:00,31.124,31.124,30.609,30.926,3311,0
2014-02-14,17:00:00,30.926,30.96,30.638,30.797,17760,0
2014-02-14,18:00:00,30.757,30.946,30.757,30.876,3990,0
2014-02-14,19:00:00,30.975,31.134,30.906,30.916,28775,0
2014-02-14,20:00:00,30.856,31.183,30.856,31.064,57642,0
2014-02-14,21:00:00,31.074,31.213,31.074,31.188,6670,0
2014-02-14,22:00:00,31.178,31.203,31.035,31.035,16116,0
2014-02-18,16:00:00,31.381,31.441,31.302,31.441,6430,0
2014-02-18,17:00:00,31.399,31.817,31.381,31.817,29065,0
2014-02-18,18:00:00,31.827,31.887,31.48,31.49,12932,0
2014-02-18,19:00:00,31.451,31.53,31.352,31.372,46335,0
2014-02-18,20:00:00,31.421,31.421,31.296,31.342,17406,0
2014-02-18,21:00:00,31.342,31.342,31.193,31.272,16398,0
2014-02-18,22:00:00,31.312,31.362,31.193,31.213,38874,0
2014-02-19,16:00:00,31.263,31.263,31.144,31.183,2346,0
2014-02-19,17:00:00,31.203,31.401,31.203,31.292,6663,0
2014-02-19,18:00:00,31.263,31.322,31.253,31.263,5573,0
2014-02-19,19:00:00,31.253,31.272,31.173,31.233,15631,0
2014-02-19,20:00:00,31.213,31.228,31.193,31.193,16475,0
2014-02-19,21:00:00,31.193,31.263,31.193,31.213,10802,0
2014-02-19,22:00:00,31.193,31.292,31.045,31.104,40183,0
2014-02-20,16:00:00,31.352,31.352,31.124,31.183,4644,0
2014-02-20,17:00:00,31.156,31.322,30.995,31.263,8993,0
2014-02-20,18:00:00,31.292,31.441,31.292,31.362,9136,0
2014-02-20,19:00:00,31.362,31.471,31.312,31.451,3432,0
2014-02-20,20:00:00,31.451,31.589,31.431,31.451,11660,0
2014-02-20,21:00:00,31.419,31.552,31.317,31.461,13225,0
2014-02-20,22:00:00,31.441,31.52,31.362,31.431,26634,0
2014-02-21,16:00:00,31.589,31.599,31.56,31.56,15918,0
2014-02-21,17:00:00,31.51,31.599,31.5,31.57,8569,0
2014-02-21,18:00:00,31.629,31.688,31.57,31.659,9590,0
2014-02-21,19:00:00,31.58,31.58,31.461,31.52,8847,0
2014-02-21,20:00:00,31.55,31.55,31.352,31.352,7067,0
2014-02-21,21:00:00,31.352,31.352,31.074,31.173,13120,0
2014-02-21,22:00:00,31.144,31.292,31.055,31.213,29242,0
2014-02-24,16:00:00,31.203,31.48,31.185,31.48,18796,0
2014-02-24,17:00:00,31.461,31.649,31.461,31.54,10187,0
2014-02-24,18:00:00,31.54,31.599,31.421,31.55,28733,0
2014-02-24,19:00:00,31.57,31.57,31.233,31.322,11991,0
2014-02-24,20:00:00,31.352,31.401,31.302,31.362,6188,0
2014-02-24,21:00:00,31.411,31.52,31.391,31.5,13890,0
2014-02-24,22:00:00,31.51,31.51,31.342,31.411,55343,0
2014-02-25,16:00:00,31.441,31.441,31.441,31.441,10757,0
2014-02-25,17:00:00,31.619,31.619,31.485,31.609,6140,0
2014-02-25,18:00:00,31.624,31.708,31.53,31.54,12191,0
2014-02-25,19:00:00,31.599,31.688,31.451,31.679,8985,0
2014-02-25,20:00:00,31.688,31.817,31.679,31.708,8836,0
2014-02-25,21:00:00,31.669,31.669,31.471,31.471,7928,0
2014-02-25,22:00:00,31.451,31.49,31.391,31.48,25773,0
