Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,7.88,7.88,7.88,7.88,200,0
2014-02-10,19:00:00,7.869,7.879,7.869,7.879,1000,0
2014-02-10,22:00:00,7.87,7.87,7.82,7.83,400,0
2014-02-11,16:00:00,7.91,7.91,7.9,7.9,259,0
2014-02-11,17:00:00,7.87,7.87,7.87,7.87,991,0
2014-02-11,18:00:00,7.87,7.87,7.87,7.87,400,0
2014-02-11,19:00:00,7.8701,7.8701,7.87,7.87,732,0
2014-02-11,20:00:00,7.87,7.87,7.87,7.87,600,0
2014-02-11,21:00:00,7.87,7.87,7.87,7.87,601,0
2014-02-11,22:00:00,7.87,7.9,7.87,7.9,1352,0
2014-02-12,16:00:00,7.9,7.9,7.88,7.88,300,0
2014-02-12,17:00:00,7.885,7.9,7.8701,7.9,800,0
2014-02-12,19:00:00,7.91,7.9273,7.87,7.9273,3100,0
2014-02-12,20:00:00,7.92,7.925,7.92,7.925,1300,0
2014-02-12,21:00:00,7.91,7.93,7.91,7.93,3300,0
2014-02-12,22:00:00,7.92,7.92,7.9,7.91,400,0
2014-02-13,16:00:00,7.88,7.88,7.88,7.88,1200,0
2014-02-13,17:00:00,7.91,7.99,7.91,7.97,5524,0
2014-02-13,18:00:00,7.9699,7.97,7.96,7.96,4485,0
2014-02-13,19:00:00,7.96,7.99,7.96,7.98,1375,0
2014-02-13,20:00:00,7.96,8,7.96,7.96,1976,0
2014-02-13,21:00:00,7.99,8.04,7.98,8.04,14622,0
2014-02-13,22:00:00,8.1,8.12,8.095,8.12,600,0
2014-02-14,16:00:00,8.1099,8.1099,8.1099,8.1099,1200,0
2014-02-14,18:00:00,8.04,8.04,8.03,8.03,1000,0
2014-02-14,20:00:00,8.02,8.02,7.98,7.98,600,0
2014-02-14,21:00:00,7.98,7.98,7.95,7.98,5100,0
2014-02-14,22:00:00,7.981,7.981,7.98,7.98,1000,0
2014-02-18,16:00:00,7.92,7.92,7.92,7.92,750,0
2014-02-18,17:00:00,7.942,7.98,7.94,7.98,1600,0
2014-02-18,18:00:00,7.96,7.96,7.96,7.96,200,0
2014-02-18,19:00:00,7.92,7.92,7.83,7.85,4500,0
2014-02-18,20:00:00,7.891,7.891,7.891,7.891,1200,0
2014-02-18,21:00:00,7.94,7.98,7.94,7.98,500,0
2014-02-18,22:00:00,7.94,7.97,7.87,7.88,1900,0
2014-02-19,16:00:00,7.93,8.08,7.93,8.08,2600,0
2014-02-19,17:00:00,8.08,8.09,8.07,8.08,6600,0
2014-02-19,18:00:00,8.08,8.08,8.08,8.08,1000,0
2014-02-19,19:00:00,8.02,8.02,8.02,8.02,100,0
2014-02-19,20:00:00,8.02,8.02,8.02,8.02,1000,0
2014-02-19,22:00:00,8.02,8.07,8.01,8.04,5000,0
2014-02-20,16:00:00,8.05,8.11,8.05,8.11,200,0
2014-02-20,17:00:00,8.08,8.11,8.05,8.05,1200,0
2014-02-20,19:00:00,8.08,8.09,8.06,8.06,4200,0
2014-02-20,22:00:00,7.99,7.99,7.99,7.99,400,0
2014-02-21,16:00:00,8.08,8.35,8.07,8.23,7900,0
2014-02-21,17:00:00,8.28,8.42,8.24,8.42,11625,0
2014-02-21,18:00:00,8.35,8.36,8.3,8.32,8292,0
2014-02-21,19:00:00,8.31,8.47,8.3,8.4,9950,0
2014-02-21,20:00:00,8.41,8.78,8.41,8.68,35390,0
2014-02-21,21:00:00,8.76,8.9455,8.71,8.8,16100,0
2014-02-21,22:00:00,8.9,9.1,8.82,9.07,53821,0
2014-02-24,16:00:00,9.1,9.178,8.97,9.12,20144,0
2014-02-24,17:00:00,9.15,9.15,8.8,8.94,21740,0
2014-02-24,18:00:00,9.03,9.11,8.932,9.11,7700,0
2014-02-24,19:00:00,9.13,9.21,9.1299,9.18,7900,0
2014-02-24,20:00:00,9.17,9.2,9.17,9.17,2800,0
2014-02-24,21:00:00,9.179,9.19,9.156,9.1786,8300,0
2014-02-24,22:00:00,9.16,9.3,9.16,9.3,20475,0
2014-02-25,16:00:00,9.12,9.13,9.11,9.11,600,0
2014-02-25,17:00:00,9.12,9.18,9.12,9.18,1300,0
2014-02-25,18:00:00,9.19,9.2,9.15,9.16,8458,0
2014-02-25,19:00:00,9.15,9.16,9.1,9.16,2400,0
2014-02-25,20:00:00,9.12,9.122,9.12,9.1201,2200,0
2014-02-25,21:00:00,9.16,9.2,9.16,9.2,6000,0
2014-02-25,22:00:00,9.21,9.28,9.17,9.28,4475,0
2014-02-26,16:00:00,9.3,9.3,9.29,9.29,711,0
2014-02-26,17:00:00,9.22,9.27,9.2,9.27,1400,0
2014-02-26,18:00:00,9.25,9.26,9.25,9.26,2200,0
2014-02-26,20:00:00,9.23,9.25,9.215,9.235,9882,0
2014-02-26,21:00:00,9.25,9.33,9.235,9.33,31946,0
2014-02-26,22:00:00,9.3299,9.42,9.3299,9.34,19773,0
2014-02-27,16:00:00,11.34,11.34,11.19,11.22,200560,0
2014-02-27,17:00:00,11.2299,11.25,11.19,11.22,658216,0
2014-02-27,18:00:00,11.22,11.23,11.2,11.22,510404,0
2014-02-27,19:00:00,11.21,11.24,11.21,11.22,243285,0
2014-02-27,20:00:00,11.225,11.23,11.2,11.22,501783,0
2014-02-27,21:00:00,11.21,11.22,11.17,11.19,467446,0
2014-02-27,22:00:00,11.19,11.22,11.19,11.21,238929,0
2014-02-28,16:00:00,11.2,11.23,11.2,11.23,407104,0
2014-02-28,17:00:00,11.225,11.24,11.21,11.235,304542,0
2014-02-28,18:00:00,11.23,11.24,11.22,11.235,91016,0
2014-02-28,19:00:00,11.235,11.26,11.23,11.26,52650,0
2014-02-28,20:00:00,11.26,11.281,11.251,11.275,42102,0
2014-02-28,21:00:00,11.275,11.29,11.251,11.251,45276,0
2014-02-28,22:00:00,11.25,11.27,11.24,11.27,78436,0
2014-03-03,16:00:00,11.2,11.23,11.191,11.195,100150,0
2014-03-03,17:00:00,11.19,11.23,11.18,11.2176,59965,0
2014-03-03,18:00:00,11.22,11.24,11.21,11.23,43000,0
2014-03-03,19:00:00,11.22,11.24,11.22,11.24,19667,0
2014-03-03,20:00:00,11.23,11.24,11.21,11.24,7900,0
2014-03-03,21:00:00,11.235,11.24,11.22,11.23,68660,0
2014-03-03,22:00:00,11.225,11.3,11.225,11.3,348736,0
2014-03-04,16:00:00,11.3,11.3,11.22,11.251,55633,0
2014-03-04,17:00:00,11.25,11.251,11.21,11.21,120900,0
2014-03-04,18:00:00,11.22,11.22,11.2,11.21,126369,0
2014-03-04,19:00:00,11.2,11.21,11.2,11.21,700,0
2014-03-04,20:00:00,11.23,11.23,11.22,11.23,52700,0
2014-03-04,21:00:00,11.22,11.25,11.22,11.25,21612,0
2014-03-04,22:00:00,11.245,11.26,11.22,11.26,234324,0
2014-03-05,16:00:00,11.26,11.26,11.2501,11.2501,3050,0
2014-03-05,17:00:00,11.26,11.3,11.26,11.26,27250,0
2014-03-05,18:00:00,11.2719,11.28,11.26,11.262,5460,0
2014-03-05,19:00:00,11.2701,11.28,11.2701,11.28,4900,0
2014-03-05,20:00:00,11.27,11.28,11.27,11.27,30500,0
2014-03-05,21:00:00,11.27,11.29,11.27,11.29,19044,0
2014-03-05,22:00:00,11.29,11.3,11.29,11.3,2660,0
2014-03-06,16:00:00,11.31,11.35,11.31,11.35,7559,0
2014-03-06,17:00:00,11.34,11.38,11.34,11.3698,14400,0
2014-03-06,18:00:00,11.36,11.36,11.36,11.36,700,0
2014-03-06,19:00:00,11.36,11.37,11.3501,11.36,18400,0
2014-03-06,20:00:00,11.35,11.35,11.3496,11.35,1340,0
2014-03-06,21:00:00,11.33,11.35,11.32,11.33,101400,0
2014-03-06,22:00:00,11.33,11.36,11.32,11.32,69450,0
2014-03-07,17:00:00,11.26,11.26,11.26,11.26,9800,0
2014-03-07,18:00:00,11.26,11.27,11.26,11.27,4300,0
2014-03-07,19:00:00,11.2401,11.241,11.24,11.24,4600,0
2014-03-07,20:00:00,11.24,11.241,11.24,11.24,7175,0
2014-03-07,21:00:00,11.25,11.27,11.24,11.26,82920,0
2014-03-07,22:00:00,11.25,11.27,11.25,11.27,34053,0
2014-03-10,15:00:00,11.25,11.26,11.23,11.26,3868,0
