Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,1.3002,1.34,1.3,1.315,153389,0
2014-02-10,17:00:00,1.315,1.33,1.3,1.3,226999,0
2014-02-10,18:00:00,1.3084,1.34,1.3,1.33,304767,0
2014-02-10,19:00:00,1.321,1.33,1.31,1.32,110425,0
2014-02-10,20:00:00,1.32,1.33,1.32,1.32,113722,0
2014-02-10,21:00:00,1.321,1.33,1.32,1.32,137689,0
2014-02-10,22:00:00,1.32,1.32,1.31,1.32,201248,0
2014-02-11,16:00:00,1.33,1.37,1.33,1.355,100328,0
2014-02-11,17:00:00,1.35,1.36,1.34,1.355,181771,0
2014-02-11,18:00:00,1.35,1.37,1.35,1.36,284156,0
2014-02-11,19:00:00,1.3699,1.39,1.36,1.38,303422,0
2014-02-11,20:00:00,1.38,1.46,1.38,1.455,818731,0
2014-02-11,21:00:00,1.45,1.46,1.43,1.43,257168,0
2014-02-11,22:00:00,1.43,1.45,1.4,1.44,428533,0
2014-02-12,16:00:00,1.45,1.51,1.45,1.495,281112,0
2014-02-12,17:00:00,1.49,1.51,1.48,1.505,388088,0
2014-02-12,18:00:00,1.505,1.51,1.49,1.49,149305,0
2014-02-12,19:00:00,1.49,1.5,1.43,1.43,281003,0
2014-02-12,20:00:00,1.43,1.45,1.43,1.435,95924,0
2014-02-12,21:00:00,1.43,1.4399,1.41,1.42,128003,0
2014-02-12,22:00:00,1.42,1.43,1.41,1.41,191960,0
2014-02-13,16:00:00,1.4,1.41,1.36,1.41,86572,0
2014-02-13,17:00:00,1.405,1.41,1.38,1.3899,115610,0
2014-02-13,18:00:00,1.38,1.4,1.38,1.39,61283,0
2014-02-13,19:00:00,1.39,1.41,1.39,1.41,63636,0
2014-02-13,20:00:00,1.4,1.43,1.4,1.41,86999,0
2014-02-13,21:00:00,1.415,1.44,1.41,1.43,79678,0
2014-02-13,22:00:00,1.43,1.46,1.43,1.46,295550,0
2014-02-14,16:00:00,1.46,1.46,1.41,1.45,60494,0
2014-02-14,17:00:00,1.445,1.45,1.42,1.43,56946,0
2014-02-14,18:00:00,1.425,1.43,1.41,1.43,62673,0
2014-02-14,19:00:00,1.42,1.43,1.42,1.43,36499,0
2014-02-14,20:00:00,1.42,1.43,1.42,1.427,49714,0
2014-02-14,21:00:00,1.42,1.43,1.41,1.43,52429,0
2014-02-14,22:00:00,1.43,1.45,1.42,1.42,211442,0
2014-02-18,16:00:00,1.42,1.44,1.42,1.43,48121,0
2014-02-18,17:00:00,1.43,1.47,1.43,1.44,159348,0
2014-02-18,18:00:00,1.44,1.46,1.44,1.45,47627,0
2014-02-18,19:00:00,1.45,1.47,1.45,1.46,36510,0
2014-02-18,20:00:00,1.4684,1.49,1.46,1.4899,134286,0
2014-02-18,21:00:00,1.48,1.49,1.47,1.47,107794,0
2014-02-18,22:00:00,1.47,1.48,1.46,1.47,233619,0
2014-02-19,16:00:00,1.46,1.47,1.4589,1.465,141153,0
2014-02-19,17:00:00,1.46,1.47,1.45,1.45,41202,0
2014-02-19,18:00:00,1.45,1.4549,1.44,1.44,67908,0
2014-02-19,19:00:00,1.44,1.4499,1.44,1.44,17500,0
2014-02-19,20:00:00,1.44,1.45,1.44,1.44,36325,0
2014-02-19,21:00:00,1.44,1.442,1.43,1.43,72599,0
2014-02-19,22:00:00,1.43,1.4354,1.41,1.41,246610,0
2014-02-20,16:00:00,1.42,1.42,1.41,1.42,30647,0
2014-02-20,17:00:00,1.41,1.41,1.4,1.41,26812,0
2014-02-20,18:00:00,1.4,1.42,1.4,1.42,59416,0
2014-02-20,19:00:00,1.41,1.44,1.41,1.43,39325,0
2014-02-20,20:00:00,1.43,1.44,1.42,1.43,71761,0
2014-02-20,21:00:00,1.42,1.43,1.42,1.43,62743,0
2014-02-20,22:00:00,1.43,1.44,1.42,1.43,83917,0
2014-02-21,16:00:00,1.45,1.52,1.45,1.48,681352,0
2014-02-21,17:00:00,1.49,1.5,1.47,1.5,255670,0
2014-02-21,18:00:00,1.5,1.5,1.46,1.49,243566,0
2014-02-21,19:00:00,1.49,1.5,1.48,1.485,131881,0
2014-02-21,20:00:00,1.485,1.5,1.48,1.49,107974,0
2014-02-21,21:00:00,1.49,1.5,1.48,1.495,155631,0
2014-02-21,22:00:00,1.5,1.54,1.49,1.53,755939,0
2014-02-24,16:00:00,1.52,1.52,1.49,1.49,135763,0
2014-02-24,17:00:00,1.4901,1.51,1.49,1.5,149555,0
2014-02-24,18:00:00,1.5,1.53,1.49,1.52,147671,0
2014-02-24,19:00:00,1.52,1.53,1.51,1.53,37643,0
2014-02-24,20:00:00,1.53,1.54,1.52,1.53,85980,0
2014-02-24,21:00:00,1.535,1.535,1.52,1.52,151357,0
2014-02-24,22:00:00,1.53,1.53,1.52,1.53,162396,0
2014-02-25,16:00:00,1.52,1.53,1.49,1.52,76168,0
2014-02-25,17:00:00,1.5204,1.55,1.5,1.51,140886,0
2014-02-25,18:00:00,1.5101,1.53,1.5,1.51,82589,0
2014-02-25,19:00:00,1.512,1.52,1.51,1.51,16788,0
2014-02-25,20:00:00,1.51,1.53,1.51,1.52,57252,0
2014-02-25,21:00:00,1.52,1.53,1.52,1.52,128140,0
2014-02-25,22:00:00,1.52,1.53,1.51,1.52,189525,0
2014-02-26,16:00:00,1.52,1.5298,1.49,1.5,30926,0
2014-02-26,17:00:00,1.499,1.54,1.495,1.54,96186,0
2014-02-26,18:00:00,1.54,1.575,1.54,1.57,396997,0
2014-02-26,19:00:00,1.565,1.57,1.515,1.525,448218,0
2014-02-26,20:00:00,1.52,1.54,1.49,1.53,381873,0
2014-02-26,21:00:00,1.53,1.54,1.52,1.52,62057,0
2014-02-26,22:00:00,1.52,1.53,1.5,1.51,281542,0
2014-02-27,16:00:00,1.5,1.57,1.5,1.56,292382,0
2014-02-27,17:00:00,1.56,1.56,1.52,1.549,99553,0
2014-02-27,18:00:00,1.549,1.56,1.545,1.56,97790,0
2014-02-27,19:00:00,1.559,1.569,1.55,1.56,84423,0
2014-02-27,20:00:00,1.5699,1.57,1.55,1.56,161810,0
2014-02-27,21:00:00,1.56,1.6,1.56,1.59,328279,0
2014-02-27,22:00:00,1.595,1.6,1.55,1.555,418188,0
2014-02-28,16:00:00,1.57,1.59,1.53,1.57,69549,0
2014-02-28,17:00:00,1.57,1.62,1.57,1.59,252452,0
2014-02-28,18:00:00,1.5899,1.6,1.57,1.574,85783,0
2014-02-28,19:00:00,1.58,1.58,1.56,1.565,81202,0
2014-02-28,20:00:00,1.56,1.57,1.56,1.565,81018,0
2014-02-28,21:00:00,1.56,1.57,1.55,1.56,122321,0
