Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,19:00:00,5.05,5.05,5.05,5.05,100,0
2014-02-11,16:00:00,5.011,5.011,5.011,5.011,1600,0
2014-02-11,17:00:00,5.05,5.08,5.05,5.08,300,0
2014-02-11,18:00:00,5.07,5.07,5.06,5.07,400,0
2014-02-11,19:00:00,5.06,5.11,5.06,5.11,3500,0
2014-02-11,21:00:00,5.08,5.08,5.08,5.08,100,0
2014-02-11,22:00:00,5.1,5.14,5.1,5.14,800,0
2014-02-12,18:00:00,5.03,5.03,5.011,5.011,800,0
2014-02-12,19:00:00,5.03,5.03,5.03,5.03,300,0
2014-02-12,22:00:00,5.13,5.13,5.13,5.13,300,0
2014-02-13,18:00:00,5.14,5.14,5.14,5.14,300,0
2014-02-13,19:00:00,5.09,5.1,5.09,5.09,1000,0
2014-02-13,21:00:00,5.011,5.075,5.01,5.01,2400,0
2014-02-13,22:00:00,5.08,5.1172,5.07,5.1,1100,0
2014-02-14,18:00:00,5.05,5.05,5.05,5.05,200,0
2014-02-14,20:00:00,5.04,5.0401,5.04,5.0401,1500,0
2014-02-18,18:00:00,5.081,5.081,5.081,5.081,800,0
2014-02-18,19:00:00,5.1108,5.1108,5.1108,5.1108,480,0
2014-02-19,16:00:00,5.09,5.1,5.09,5.1,700,0
2014-02-19,17:00:00,5.12,5.2,5.1,5.2,2680,0
2014-02-19,18:00:00,5.106,5.3,5.106,5.3,4920,0
2014-02-19,19:00:00,5.32,5.32,5.3,5.3,21670,0
2014-02-19,20:00:00,5.31,5.32,5.27,5.27,2286,0
2014-02-19,21:00:00,5.32,5.4,5.2,5.4,14800,0
2014-02-19,22:00:00,5.4,5.45,5.39,5.45,6468,0
2014-02-20,16:00:00,5.47,5.47,5.31,5.39,2500,0
2014-02-20,17:00:00,5.389,5.39,5.389,5.39,1400,0
2014-02-20,18:00:00,5.4099,5.6299,5.4099,5.6278,11625,0
2014-02-20,20:00:00,5.55,5.65,5.55,5.65,2700,0
2014-02-20,21:00:00,5.58,5.66,5.56,5.561,3375,0
2014-02-20,22:00:00,5.56,5.65,5.55,5.62,2800,0
2014-02-21,16:00:00,5.71,5.71,5.71,5.71,1100,0
2014-02-21,17:00:00,5.71,5.73,5.71,5.73,1100,0
2014-02-21,18:00:00,5.7299,5.73,5.7299,5.7299,400,0
2014-02-21,19:00:00,5.701,5.73,5.466,5.466,2700,0
2014-02-21,20:00:00,5.498,5.64,5.45,5.45,4050,0
2014-02-21,21:00:00,5.465,5.55,5.465,5.4999,1000,0
2014-02-21,22:00:00,5.4951,5.5,5.4951,5.5,455,0
