Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-11,17:00:00,9.9,9.9,9.8,9.8,2330,0
2014-02-11,20:00:00,9.9,9.9256,9.9,9.9,1518,0
2014-02-11,22:00:00,10,10,10,10,1300,0
2014-02-12,22:00:00,10,10,10,10,800,0
2014-02-13,22:00:00,9.9,9.9,9.9,9.9,200,0
2014-02-18,22:00:00,9.82,10.002,9.79,9.8,1900,0
2014-02-20,21:00:00,9.81,9.81,9.81,9.81,200,0
2014-02-24,18:00:00,9.7501,9.7504,9.75,9.7504,713,0
2014-02-24,19:00:00,9.75,9.768,9.75,9.768,400,0
2014-03-03,20:00:00,9.95,9.95,9.95,9.95,500,0
2014-03-04,22:00:00,9.99,9.99,9.99,9.99,414,0
2014-03-05,17:00:00,9.99,10,9.99,9.99,3500,0
2014-03-05,18:00:00,9.99,10.02,9.99,10.02,200,0
2014-03-05,21:00:00,9.974,9.974,9.974,9.974,551,0
2014-03-07,16:00:00,10.33,10.33,10.32,10.32,200,0
2014-03-07,17:00:00,10.3,10.3,10.2,10.2,800,0
2014-03-07,19:00:00,10.15,10.15,10.15,10.15,100,0
2014-03-14,20:00:00,10.18,10.2,10.18,10.2,5307,0
2014-03-18,21:00:00,10.47,10.47,10.37,10.37,925,0
2014-03-20,17:00:00,10.31,10.36,10.31,10.31,2300,0
2014-03-20,18:00:00,10.36,10.36,10.36,10.36,800,0
2014-03-21,17:00:00,10.22,10.22,10.22,10.22,1800,0
2014-03-24,21:00:00,10.295,10.295,10.22,10.22,400,0
2014-03-28,15:00:00,10.4799,10.4799,10.4799,10.4799,300,0
2014-03-31,17:00:00,10.5,10.5,10.5,10.5,700,0
2014-04-02,19:00:00,10.501,10.501,10.5,10.5,3000,0
2014-04-03,17:00:00,10.5001,10.5001,10.5001,10.5001,106,0
2014-04-08,16:00:00,10.5,10.5,10.5,10.5,251,0
2014-04-09,22:00:00,10.5,10.5,10.45,10.45,300,0
2014-04-10,17:00:00,10.43,10.43,10.43,10.43,372,0
2014-04-10,20:00:00,10.41,10.41,10.4,10.4,2500,0
2014-04-10,21:00:00,10.25,10.25,10.25,10.25,100,0
2014-04-15,21:00:00,10.11,10.11,10.11,10.11,1406,0
2014-04-21,17:00:00,10.25,10.32,10.2,10.32,4955,0
2014-04-21,20:00:00,10.34,10.6,10.34,10.55,4200,0
2014-04-21,22:00:00,10.24,10.24,10.24,10.24,100,0
2014-04-22,16:00:00,10.5,10.5,10.45,10.45,400,0
2014-04-22,20:00:00,10.5,10.5,10.49,10.49,886,0
2014-04-22,21:00:00,10.46,10.49,10.46,10.49,582,0
2014-04-22,22:00:00,10.44,10.44,10.4,10.4,400,0
2014-04-23,16:00:00,10.5,10.5,10.5,10.5,100,0
2014-04-23,21:00:00,10.4,10.562,10.4,10.5505,4210,0
2014-04-23,22:00:00,10.44,10.44,10.44,10.44,355,0
2014-04-24,16:00:00,10.4,10.5,10.4,10.5,1600,0
2014-04-25,16:00:00,10.61,10.61,10.47,10.48,1300,0
2014-04-25,22:00:00,10.43,10.43,10.43,10.43,100,0
2014-04-30,22:00:00,10.7,11.2,10.45,10.45,1762,0
2014-05-07,18:00:00,10.75,10.75,10.55,10.7,2400,0
