Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,82.838,82.86,82.53,82.62,202259,0
2014-02-10,17:00:00,82.64,82.79,82.26,82.73,277749,0
2014-02-10,18:00:00,82.72,82.77,82.46,82.56,201913,0
2014-02-10,19:00:00,82.56,82.62,82.47,82.52,203044,0
2014-02-10,20:00:00,82.51,82.68,82.49,82.5,149457,0
2014-02-10,21:00:00,82.49,82.61,82.42,82.55,182026,0
2014-02-10,22:00:00,82.55,82.58,82.22,82.38,482217,0
2014-02-11,16:00:00,82.03,83.41,82.03,83.29,159981,0
2014-02-11,17:00:00,83.29,83.97,83.12,83.5,242691,0
2014-02-11,18:00:00,83.52,83.61,83.29,83.36,138430,0
2014-02-11,19:00:00,83.38,83.41,82.95,83.39,170394,0
2014-02-11,20:00:00,83.41,83.62,83.25,83.32,121730,0
2014-02-11,21:00:00,83.3,83.39,83.195,83.36,132918,0
2014-02-11,22:00:00,83.36,83.37,82.71,82.77,582498,0
2014-02-12,16:00:00,83.4,83.75,82.89,82.89,99361,0
2014-02-12,17:00:00,82.95,83.17,82.29,83.05,365225,0
2014-02-12,18:00:00,83.06,83.34,82.89,83.03,152620,0
2014-02-12,19:00:00,83.05,83.19,82.965,82.97,113029,0
2014-02-12,20:00:00,82.97,83.005,82.53,82.6,303250,0
2014-02-12,21:00:00,82.6,82.61,82.15,82.25,318726,0
2014-02-12,22:00:00,82.24,82.86,82.17,82.86,596842,0
2014-02-13,16:00:00,78.83,80.38,78.78,80.12,614658,0
2014-02-13,17:00:00,80.17,81,79.92,80.28,505601,0
2014-02-13,18:00:00,80.29,80.5098,79.53,79.54,431167,0
2014-02-13,19:00:00,79.55,79.57,78.66,79,474769,0
2014-02-13,20:00:00,79,79.58,78.89,79.51,461523,0
2014-02-13,21:00:00,79.51,79.56,78.63,78.75,538815,0
2014-02-13,22:00:00,78.74,79.31,78.45,79.3,1024565,0
2014-02-14,16:00:00,79.54,79.85,79.09,79.25,248571,0
2014-02-14,17:00:00,79.25,79.41,79,79.15,386660,0
2014-02-14,18:00:00,79.15,79.96,79.12,79.96,257743,0
2014-02-14,19:00:00,79.97,80.43,79.47,80.34,243205,0
2014-02-14,20:00:00,80.36,81.46,80.35,81.27,248243,0
2014-02-14,21:00:00,81.27,81.64,81.19,81.52,251869,0
2014-02-14,22:00:00,81.52,81.52,80.63,80.83,599512,0
2014-02-18,16:00:00,80.96,81.14,80.49,80.49,336324,0
2014-02-18,17:00:00,80.43,80.99,80.06,80.81,408577,0
2014-02-18,18:00:00,80.81,81.16,80.74,80.91,267693,0
2014-02-18,19:00:00,80.87,81.63,80.87,81.13,289909,0
2014-02-18,20:00:00,81.1136,81.12,80.52,80.71,246973,0
2014-02-18,21:00:00,80.72,81.15,80.72,81.115,228481,0
