Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,3.63,3.63,3.53,3.55,1634769,0
2014-02-10,17:00:00,3.55,3.63,3.54,3.555,1085853,0
2014-02-10,18:00:00,3.555,3.605,3.55,3.5899,709753,0
2014-02-10,19:00:00,3.5868,3.59,3.56,3.57,380663,0
2014-02-10,20:00:00,3.575,3.5799,3.55,3.565,574971,0
2014-02-10,21:00:00,3.565,3.61,3.54,3.61,697027,0
2014-02-10,22:00:00,3.6099,3.64,3.59,3.63,1752653,0
2014-02-11,16:00:00,3.65,3.72,3.64,3.7,1257600,0
2014-02-11,17:00:00,3.695,3.79,3.69,3.74,2603759,0
2014-02-11,18:00:00,3.74,3.76,3.73,3.75,765500,0
2014-02-11,19:00:00,3.75,3.77,3.71,3.77,1089714,0
2014-02-11,20:00:00,3.765,3.9,3.76,3.85,4228167,0
2014-02-11,21:00:00,3.845,3.86,3.8,3.815,1600930,0
2014-02-11,22:00:00,3.8182,3.83,3.78,3.8,1746661,0
2014-02-12,16:00:00,3.83,3.87,3.8,3.8202,1583825,0
2014-02-12,17:00:00,3.815,3.83,3.68,3.72,2936232,0
2014-02-12,18:00:00,3.7278,3.78,3.71,3.7401,1349038,0
2014-02-12,19:00:00,3.74,3.7466,3.7,3.7297,597113,0
2014-02-12,20:00:00,3.72,3.74,3.71,3.725,487056,0
2014-02-12,21:00:00,3.725,3.74,3.71,3.73,628534,0
2014-02-12,22:00:00,3.73,3.76,3.72,3.74,1713115,0
2014-02-13,16:00:00,3.65,3.66,3.55,3.6535,1961714,0
2014-02-13,17:00:00,3.655,3.77,3.65,3.765,1256320,0
2014-02-13,18:00:00,3.7625,3.78,3.72,3.725,927403,0
2014-02-13,19:00:00,3.72,3.73,3.7,3.7201,629412,0
2014-02-13,20:00:00,3.725,3.74,3.72,3.735,352545,0
2014-02-13,21:00:00,3.74,3.76,3.73,3.76,731439,0
2014-02-13,22:00:00,3.76,3.76,3.72,3.73,1181100,0
2014-02-14,16:00:00,3.7,3.79,3.7,3.78,896808,0
2014-02-14,17:00:00,3.78,3.79,3.7,3.7,1471185,0
2014-02-14,18:00:00,3.7,3.73,3.68,3.6835,918847,0
2014-02-14,19:00:00,3.68,3.71,3.68,3.69,445259,0
2014-02-14,20:00:00,3.69,3.72,3.69,3.7199,287135,0
2014-02-14,21:00:00,3.71,3.72,3.68,3.71,450258,0
2014-02-14,22:00:00,3.71,3.71,3.68,3.69,664130,0
2014-02-18,16:00:00,3.74,3.76,3.67,3.6897,2007020,0
2014-02-18,17:00:00,3.68,3.71,3.59,3.69,2351778,0
2014-02-18,18:00:00,3.69,3.69,3.66,3.665,645114,0
2014-02-18,19:00:00,3.66,3.68,3.65,3.669,1320727,0
2014-02-18,20:00:00,3.66,3.68,3.64,3.64,866400,0
2014-02-18,21:00:00,3.64,3.67,3.64,3.65,670838,0
2014-02-18,22:00:00,3.66,3.75,3.642,3.71,3350548,0
2014-02-19,16:00:00,3.74,3.8,3.58,3.68,3400231,0
2014-02-19,17:00:00,3.6701,3.6701,3.59,3.59,2222437,0
2014-02-19,18:00:00,3.595,3.595,3.49,3.5115,4147403,0
2014-02-19,19:00:00,3.515,3.53,3.505,3.52,1316658,0
2014-02-19,20:00:00,3.52,3.53,3.5,3.52,1485807,0
2014-02-19,21:00:00,3.52,3.55,3.51,3.535,1445840,0
2014-02-19,22:00:00,3.54,3.54,3.45,3.48,4093455,0
2014-02-20,16:00:00,3.47,3.48,3.39,3.4099,1423569,0
2014-02-20,17:00:00,3.4,3.47,3.39,3.45,1393324,0
2014-02-20,18:00:00,3.459,3.47,3.42,3.44,990610,0
2014-02-20,19:00:00,3.44,3.47,3.44,3.455,648398,0
2014-02-20,20:00:00,3.455,3.51,3.45,3.4901,713401,0
2014-02-20,21:00:00,3.495,3.55,3.49,3.545,603452,0
2014-02-20,22:00:00,3.54,3.5499,3.51,3.53,1135367,0
2014-02-21,16:00:00,3.54,3.5699,3.51,3.55,486967,0
2014-02-21,17:00:00,3.54,3.55,3.5,3.51,1091166,0
2014-02-21,18:00:00,3.51,3.52,3.5,3.505,596064,0
2014-02-21,19:00:00,3.505,3.51,3.49,3.505,377464,0
2014-02-21,20:00:00,3.5001,3.52,3.5,3.505,457369,0
2014-02-21,21:00:00,3.51,3.51,3.49,3.501,581723,0
2014-02-21,22:00:00,3.505,3.53,3.5,3.51,1314429,0
2014-02-24,16:00:00,3.52,3.57,3.52,3.54,799790,0
2014-02-24,17:00:00,3.54,3.61,3.53,3.6,1744340,0
2014-02-24,18:00:00,3.61,3.61,3.57,3.59,886198,0
2014-02-24,19:00:00,3.59,3.61,3.58,3.605,584294,0
2014-02-24,20:00:00,3.605,3.63,3.6,3.605,802739,0
2014-02-24,21:00:00,3.605,3.65,3.605,3.6301,1148365,0
2014-02-24,22:00:00,3.635,3.64,3.59,3.6,1236784,0
2014-02-25,16:00:00,3.62,3.65,3.5801,3.62,886909,0
2014-02-25,17:00:00,3.62,3.62,3.56,3.605,966201,0
2014-02-25,18:00:00,3.605,3.65,3.59,3.615,848959,0
2014-02-25,19:00:00,3.62,3.63,3.6,3.615,535434,0
2014-02-25,20:00:00,3.615,3.63,3.6,3.615,329610,0
2014-02-25,21:00:00,3.6101,3.62,3.58,3.6,425139,0
2014-02-25,22:00:00,3.6,3.6,3.5,3.545,2196390,0
2014-02-26,16:00:00,3.6,3.629,3.52,3.57,1470954,0
2014-02-26,17:00:00,3.57,3.61,3.54,3.58,1151622,0
2014-02-26,18:00:00,3.585,3.59,3.55,3.58,730188,0
2014-02-26,19:00:00,3.58,3.58,3.55,3.56,591836,0
2014-02-26,20:00:00,3.56,3.58,3.53,3.53,873874,0
2014-02-26,21:00:00,3.535,3.55,3.52,3.52,947149,0
2014-02-26,22:00:00,3.52,3.54,3.49,3.51,2176656,0
2014-02-27,16:00:00,3.57,3.58,3.53,3.56,771287,0
2014-02-27,17:00:00,3.565,3.59,3.53,3.53,1286753,0
2014-02-27,18:00:00,3.539,3.57,3.53,3.54,1234630,0
2014-02-27,19:00:00,3.545,3.59,3.532,3.585,1965687,0
2014-02-27,20:00:00,3.59,3.65,3.58,3.635,1729127,0
