Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,1.76,1.82,1.73,1.82,330282,0
2014-02-10,17:00:00,1.81,1.82,1.8,1.81,289260,0
2014-02-10,18:00:00,1.8,1.84,1.8,1.83,268602,0
2014-02-10,19:00:00,1.84,1.84,1.81,1.83,262114,0
2014-02-10,20:00:00,1.83,1.89,1.82,1.85,674098,0
2014-02-10,21:00:00,1.855,1.87,1.85,1.855,195354,0
2014-02-10,22:00:00,1.855,1.92,1.85,1.91,871032,0
2014-02-11,16:00:00,1.95,1.95,1.88,1.91,813122,0
2014-02-11,17:00:00,1.901,1.93,1.84,1.88,560320,0
2014-02-11,18:00:00,1.88,1.89,1.86,1.88,269474,0
2014-02-11,19:00:00,1.88,1.88,1.87,1.88,85987,0
2014-02-11,20:00:00,1.88,1.88,1.87,1.88,90380,0
2014-02-11,21:00:00,1.87,1.89,1.87,1.89,200480,0
2014-02-11,22:00:00,1.89,1.89,1.87,1.88,465001,0
2014-02-12,16:00:00,1.89,1.89,1.87,1.89,83822,0
2014-02-12,17:00:00,1.88,1.9,1.865,1.88,253247,0
2014-02-12,18:00:00,1.87,1.88,1.79,1.8,2554832,0
2014-02-12,19:00:00,1.805,1.82,1.755,1.81,666173,0
2014-02-12,20:00:00,1.8099,1.81,1.7901,1.8,186318,0
2014-02-12,21:00:00,1.795,1.8,1.78,1.78,521249,0
2014-02-12,22:00:00,1.78,1.79,1.77,1.79,472213,0
2014-02-13,16:00:00,1.79,1.8,1.77,1.78,220480,0
2014-02-13,17:00:00,1.775,1.79,1.73,1.75,540620,0
2014-02-13,18:00:00,1.755,1.76,1.65,1.71,11213799,0
2014-02-13,19:00:00,1.7098,1.73,1.7,1.72,990320,0
2014-02-13,20:00:00,1.72,1.74,1.705,1.73,523785,0
2014-02-13,21:00:00,1.73,1.74,1.71,1.7101,517870,0
2014-02-13,22:00:00,1.72,1.73,1.71,1.72,1011056,0
2014-02-14,16:00:00,1.71,1.74,1.7,1.72,338457,0
2014-02-14,17:00:00,1.7299,1.75,1.72,1.75,633241,0
2014-02-14,18:00:00,1.75,1.76,1.71,1.72,458354,0
2014-02-14,19:00:00,1.72,1.73,1.71,1.7201,330237,0
2014-02-14,20:00:00,1.73,1.74,1.72,1.74,167595,0
2014-02-14,21:00:00,1.74,1.76,1.74,1.755,766036,0
2014-02-14,22:00:00,1.755,1.76,1.74,1.76,966772,0
2014-02-18,16:00:00,1.72,1.82,1.7,1.7899,2455518,0
2014-02-18,17:00:00,1.79,1.83,1.74,1.8104,1719426,0
2014-02-18,18:00:00,1.8103,1.8103,1.765,1.775,677918,0
2014-02-18,19:00:00,1.7751,1.8099,1.77,1.775,500315,0
2014-02-18,20:00:00,1.7727,1.79,1.76,1.765,174010,0
2014-02-18,21:00:00,1.77,1.79,1.76,1.79,319048,0
2014-02-18,22:00:00,1.79,1.82,1.78,1.8,918886,0
2014-02-19,16:00:00,1.81,1.87,1.81,1.83,849322,0
2014-02-19,17:00:00,1.835,1.86,1.83,1.85,424410,0
2014-02-19,18:00:00,1.85,1.85,1.83,1.84,264799,0
2014-02-19,19:00:00,1.84,1.84,1.81,1.83,334030,0
2014-02-19,20:00:00,1.82,1.83,1.81,1.83,257241,0
2014-02-19,21:00:00,1.83,1.84,1.805,1.815,408640,0
2014-02-19,22:00:00,1.815,1.82,1.78,1.8,781428,0
2014-02-20,16:00:00,1.82,1.84,1.75,1.79,249471,0
2014-02-20,17:00:00,1.785,1.82,1.785,1.805,358811,0
2014-02-20,18:00:00,1.81,1.82,1.79,1.805,654725,0
2014-02-20,19:00:00,1.8,1.81,1.79,1.8008,200048,0
2014-02-20,20:00:00,1.8,1.805,1.79,1.8,223699,0
2014-02-20,21:00:00,1.8,1.83,1.79,1.81,1442694,0
2014-02-20,22:00:00,1.81,1.83,1.81,1.82,284713,0
2014-02-21,16:00:00,1.83,1.89,1.83,1.855,356118,0
2014-02-21,17:00:00,1.855,1.88,1.85,1.865,1280515,0
2014-02-21,18:00:00,1.865,1.89,1.85,1.885,884095,0
2014-02-21,19:00:00,1.885,1.94,1.88,1.94,730009,0
2014-02-21,20:00:00,1.94,1.95,1.91,1.93,485674,0
2014-02-21,21:00:00,1.93,1.93,1.89,1.9,1000468,0
2014-02-21,22:00:00,1.895,1.92,1.89,1.89,1165693,0
2014-02-24,16:00:00,1.91,1.96,1.85,1.92,464533,0
2014-02-24,17:00:00,1.92,1.99,1.915,1.99,832450,0
2014-02-24,18:00:00,1.985,1.99,1.94,1.945,562238,0
2014-02-24,19:00:00,1.945,1.95,1.905,1.91,354517,0
2014-02-24,20:00:00,1.91,1.92,1.89,1.91,339584,0
2014-02-24,21:00:00,1.91,1.92,1.89,1.91,526133,0
2014-02-24,22:00:00,1.919,1.92,1.9,1.9,989329,0
2014-02-25,16:00:00,1.89,1.9,1.85,1.86,173927,0
2014-02-25,17:00:00,1.86,1.91,1.82,1.9,402893,0
2014-02-25,18:00:00,1.9,1.91,1.88,1.8801,139092,0
2014-02-25,19:00:00,1.8808,1.92,1.88,1.91,505674,0
2014-02-25,20:00:00,1.905,1.92,1.901,1.915,91909,0
2014-02-25,21:00:00,1.92,1.92,1.9,1.915,212093,0
2014-02-25,22:00:00,1.91,1.92,1.9,1.91,388104,0
2014-02-26,16:00:00,1.91,1.93,1.9,1.905,233354,0
2014-02-26,17:00:00,1.91,1.95,1.9,1.94,495614,0
2014-02-26,18:00:00,1.94,1.94,1.93,1.935,88250,0
2014-02-26,19:00:00,1.935,1.94,1.92,1.93,125468,0
2014-02-26,20:00:00,1.93,1.93,1.9,1.92,164546,0
2014-02-26,21:00:00,1.93,1.93,1.91,1.92,147270,0
2014-02-26,22:00:00,1.92,1.94,1.91,1.94,393208,0
2014-02-27,16:00:00,1.93,1.95,1.92,1.9201,303475,0
2014-02-27,17:00:00,1.92,1.93,1.87,1.875,414000,0
2014-02-27,18:00:00,1.87,1.91,1.87,1.91,235391,0
2014-02-27,19:00:00,1.9,1.91,1.89,1.89,224460,0
2014-02-27,20:00:00,1.9,1.9,1.89,1.9,250459,0
2014-02-27,21:00:00,1.9,1.9,1.88,1.9,442521,0
2014-02-27,22:00:00,1.895,1.92,1.89,1.905,864699,0
2014-02-28,16:00:00,1.91,1.915,1.89,1.9,53381,0
2014-02-28,17:00:00,1.9,1.91,1.89,1.905,252555,0
2014-02-28,18:00:00,1.9,1.91,1.89,1.89,190771,0
2014-02-28,19:00:00,1.89,1.9,1.89,1.89,277420,0
2014-02-28,20:00:00,1.89,1.9,1.88,1.89,407805,0
2014-02-28,21:00:00,1.89,1.9,1.85,1.865,691400,0
2014-02-28,22:00:00,1.86,1.87,1.82,1.86,1042363,0
2014-03-03,16:00:00,1.87,1.88,1.82,1.83,388707,0
2014-03-03,17:00:00,1.83,1.85,1.8,1.81,501822,0
2014-03-03,18:00:00,1.819,1.83,1.78,1.8001,589193,0
2014-03-03,19:00:00,1.8,1.85,1.79,1.85,330245,0
2014-03-03,20:00:00,1.85,1.87,1.83,1.86,479883,0
2014-03-03,21:00:00,1.86,1.9,1.845,1.865,462106,0
2014-03-03,22:00:00,1.87,1.9,1.87,1.89,570657,0
2014-03-04,16:00:00,1.95,2,1.95,1.97,1040984,0
2014-03-04,17:00:00,1.975,1.98,1.94,1.9499,650689,0
2014-03-04,18:00:00,1.95,1.97,1.94,1.96,660261,0
2014-03-04,19:00:00,1.96,1.98,1.955,1.97,645636,0
2014-03-04,20:00:00,1.98,1.98,1.96,1.96,410341,0
2014-03-04,21:00:00,1.965,1.98,1.96,1.98,367266,0
2014-03-04,22:00:00,1.97,1.99,1.97,1.99,2722503,0
2014-03-05,16:00:00,1.98,2.06,1.98,2.04,1440249,0
2014-03-05,17:00:00,2.035,2.05,1.98,1.9999,2407765,0
2014-03-05,18:00:00,1.995,2.01,1.99,2,387826,0
2014-03-05,19:00:00,2.01,2.02,2,2.011,419407,0
2014-03-05,20:00:00,2.015,2.02,2,2.015,308981,0
2014-03-05,21:00:00,2.02,2.06,2.01,2.05,830248,0
2014-03-05,22:00:00,2.055,2.09,2.0203,2.04,2172897,0
2014-03-06,16:00:00,2,2.03,1.96,1.988,675965,0
2014-03-06,17:00:00,1.99,2.01,1.97,1.98,468231,0
2014-03-06,18:00:00,1.9701,2,1.9701,2,427799,0
2014-03-06,19:00:00,2,2,1.98,1.98,164241,0
2014-03-06,20:00:00,1.98,1.99,1.93,1.94,492628,0
2014-03-06,21:00:00,1.935,1.97,1.92,1.95,369827,0
