Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,25.39,25.39,25,25.21,26048,0
2014-02-10,17:00:00,25.24,25.34,25.0403,25.25,57687,0
2014-02-10,18:00:00,25.25,25.3,25.12,25.19,20700,0
2014-02-10,19:00:00,25.2,25.23,25.1,25.16,24624,0
2014-02-10,20:00:00,25.18,25.19,25.11,25.14,15100,0
2014-02-10,21:00:00,25.13,25.18,25.03,25.08,42658,0
2014-02-10,22:00:00,25.08,25.29,25.07,25.27,63237,0
2014-02-11,16:00:00,25.25,25.42,25.06,25.35,22790,0
2014-02-11,17:00:00,25.37,25.5,25.27,25.33,62844,0
2014-02-11,18:00:00,25.38,25.4,25.22,25.27,76493,0
2014-02-11,19:00:00,25.27,25.28,25.13,25.2,40457,0
2014-02-11,20:00:00,25.22,25.45,25.2,25.35,17834,0
2014-02-11,21:00:00,25.34,25.51,25.29,25.51,34415,0
2014-02-11,22:00:00,25.53,25.66,25.52,25.56,47539,0
2014-02-12,16:00:00,25.794,25.794,25.69,25.78,2000,0
2014-02-12,17:00:00,25.74,25.81,25.55,25.55,17933,0
2014-02-12,18:00:00,25.53,25.62,25.458,25.52,64532,0
2014-02-12,19:00:00,25.55,25.58,25.49,25.55,14076,0
2014-02-12,20:00:00,25.56,25.59,25.53,25.55,16380,0
2014-02-12,21:00:00,25.55,25.59,25.53,25.55,21016,0
2014-02-12,22:00:00,25.55,25.65,25.54,25.62,45315,0
2014-02-13,16:00:00,25.48,25.682,25.32,25.56,25246,0
2014-02-13,17:00:00,25.53,25.78,25.44,25.71,29032,0
2014-02-13,18:00:00,25.76,25.86,25.72,25.775,9800,0
2014-02-13,19:00:00,25.77,25.77,25.67,25.71,20650,0
2014-02-13,20:00:00,25.71,25.71,25.67,25.67,22703,0
2014-02-13,21:00:00,25.72,25.82,25.66,25.68,22753,0
2014-02-13,22:00:00,25.67,25.67,25.39,25.47,106304,0
2014-02-14,16:00:00,25.48,25.662,25.05,25.05,16134,0
2014-02-14,17:00:00,25.13,25.17,25.06,25.13,22040,0
2014-02-14,18:00:00,25.1,25.32,25.03,25.29,36995,0
2014-02-14,19:00:00,25.28,25.39,25.21,25.39,28386,0
2014-02-14,20:00:00,25.385,25.52,25.38,25.52,17070,0
2014-02-14,21:00:00,25.495,25.5,25.4,25.415,24446,0
2014-02-14,22:00:00,25.41,25.47,25.33,25.34,45192,0
2014-02-18,16:00:00,25.71,26.07,25.55,25.86,13520,0
2014-02-18,17:00:00,25.87,26.16,25.79,26.05,33766,0
2014-02-18,18:00:00,26.1,26.2,26.05,26.07,33026,0
2014-02-18,19:00:00,26.07,26.22,26.01,26.03,25781,0
2014-02-18,20:00:00,26.02,26.05,25.95,25.99,21618,0
2014-02-18,21:00:00,26,26.02,25.96,26,48243,0
2014-02-18,22:00:00,26,26.1,25.99,26,124447,0
2014-02-19,16:00:00,26,26.5,25.94,26.01,29056,0
2014-02-19,17:00:00,26.02,26.43,26,26.37,78324,0
2014-02-19,18:00:00,26.35,26.4,26.2,26.2,53363,0
2014-02-19,19:00:00,26.24,26.32,26.17,26.2,38994,0
2014-02-19,20:00:00,26.24,26.31,26.2,26.24,28398,0
2014-02-19,21:00:00,26.22,26.3,26.188,26.23,26231,0
2014-02-19,22:00:00,26.23,26.26,26.17,26.19,87815,0
2014-02-20,16:00:00,26.23,26.23,26,26,10299,0
2014-02-20,17:00:00,25.985,26.44,25.95,26.38,17343,0
2014-02-20,18:00:00,26.42,26.49,26.35,26.4,25748,0
2014-02-20,19:00:00,26.395,26.5,26.38,26.47,27750,0
2014-02-20,20:00:00,26.47,26.59,26.44,26.53,26340,0
2014-02-20,21:00:00,26.56,26.68,26.53,26.665,58009,0
2014-02-20,22:00:00,26.65,26.8,26.64,26.72,85732,0
2014-02-21,16:00:00,26.9,27.1,26.7,26.94,31947,0
