Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,24.79,25.26,24.79,24.98,63762,0
2014-02-10,17:00:00,24.97,25.13,24.97,25.09,33284,0
2014-02-10,18:00:00,25.075,25.19,25.05,25.12,19741,0
2014-02-10,19:00:00,25.08,25.26,25.0625,25.24,14630,0
2014-02-10,20:00:00,25.26,25.49,25.26,25.37,20610,0
2014-02-10,21:00:00,25.3895,25.3895,25.23,25.27,17133,0
2014-02-10,22:00:00,25.266,25.3448,25.21,25.26,58714,0
2014-02-11,16:00:00,25.52,25.54,25.25,25.26,24442,0
2014-02-11,17:00:00,25.26,25.29,25.02,25.03,54076,0
2014-02-11,18:00:00,25.02,25.08,24.96,25.026,19292,0
2014-02-11,19:00:00,25.031,25.19,25.011,25.165,42369,0
2014-02-11,20:00:00,25.1401,25.45,25.1401,25.4,24096,0
2014-02-11,21:00:00,25.39,25.49,25.3,25.48,28261,0
2014-02-11,22:00:00,25.47,26.13,25.47,25.82,109562,0
2014-02-12,16:00:00,25.95,27.5,25.23,26.24,174044,0
2014-02-12,17:00:00,26.28,26.48,24.74,25.87,276922,0
2014-02-12,18:00:00,25.7455,26.02,25.73,25.98,34448,0
2014-02-12,19:00:00,25.88,26.527,25.851,26.47,37707,0
2014-02-12,20:00:00,26.47,26.78,26.451,26.73,30479,0
2014-02-12,21:00:00,26.71,26.7251,26.3404,26.41,28274,0
2014-02-12,22:00:00,26.45,27.07,26.44,27,158370,0
2014-02-13,16:00:00,26.46,26.6199,26.33,26.4,43356,0
2014-02-13,17:00:00,26.41,26.435,26,26.05,34348,0
2014-02-13,18:00:00,26.088,26.18,26.088,26.12,33829,0
2014-02-13,19:00:00,26.13,26.295,26.1201,26.17,33784,0
2014-02-13,20:00:00,26.22,26.28,26.1552,26.21,18319,0
2014-02-13,21:00:00,26.2,26.25,25.72,25.73,53138,0
2014-02-13,22:00:00,25.67,25.899,25.46,25.47,96072,0
2014-02-14,16:00:00,25.37,25.38,25.21,25.325,41799,0
2014-02-14,17:00:00,25.35,25.51,25.21,25.45,43415,0
