Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,48.761,49.046,48.7,48.9344,12500,0
2014-02-10,17:00:00,49.1,49.44,48.78,49.29,19772,0
2014-02-10,18:00:00,49.22,50.05,49.2,49.715,46553,0
2014-02-10,19:00:00,49.715,49.715,49,49,25028,0
2014-02-10,20:00:00,48.99,49.59,48.84,49.445,26400,0
2014-02-10,21:00:00,49.53,49.6,49.23,49.51,14260,0
2014-02-10,22:00:00,49.4,49.48,49.21,49.33,39838,0
2014-02-11,16:00:00,49.49,49.622,49.39,49.4,6270,0
2014-02-11,17:00:00,49.6,49.99,49.43,49.63,17800,0
2014-02-11,18:00:00,49.61,50.305,49.61,50.305,9200,0
2014-02-11,19:00:00,50.23,50.87,50.23,50.7,12452,0
2014-02-11,20:00:00,50.87,50.9,50.39,50.56,21354,0
2014-02-11,21:00:00,50.504,50.67,50.29,50.574,16800,0
2014-02-11,22:00:00,50.67,50.74,50.21,50.28,45684,0
2014-02-12,16:00:00,50.9475,51.76,50.325,51.06,32862,0
2014-02-12,17:00:00,51.07,51.74,50.88,51.015,50198,0
2014-02-12,18:00:00,50.91,51.22,50.8,50.85,58895,0
2014-02-12,19:00:00,50.85,51.07,50.79,50.975,11904,0
2014-02-12,20:00:00,51.17,51.17,50.7,50.89,7200,0
2014-02-12,21:00:00,50.945,51.01,50.67,50.8,14236,0
2014-02-12,22:00:00,50.87,50.94,50.68,50.94,25610,0
2014-02-13,16:00:00,50.98,50.99,50.55,50.89,3900,0
2014-02-13,17:00:00,50.86,50.86,50.38,50.67,16401,0
2014-02-13,18:00:00,50.86,50.86,50.58,50.68,18700,0
2014-02-13,19:00:00,50.75,51.19,50.58,51.1,11838,0
2014-02-13,20:00:00,51.21,51.95,51.21,51.52,45002,0
2014-02-13,21:00:00,51.52,51.7,51.47,51.6,25300,0
2014-02-13,22:00:00,51.51,51.97,51.51,51.92,28279,0
2014-02-14,16:00:00,51.74,52.509,51.74,52.29,9517,0
2014-02-14,17:00:00,52.29,52.79,52.245,52.7,14443,0
2014-02-14,18:00:00,52.725,53.25,52.725,53,15860,0
2014-02-14,19:00:00,53.03,53.5,52.975,53.41,33438,0
2014-02-14,20:00:00,53.33,53.5,53.15,53.425,17639,0
2014-02-14,21:00:00,53.45,54.17,53.4,54.09,92457,0
2014-02-14,22:00:00,54.05,54.3,53.73,54.25,74161,0
2014-02-18,16:00:00,54.25,55.25,54.25,54.84,29418,0
2014-02-18,17:00:00,54.77,55.155,54.3,54.435,29497,0
2014-02-18,18:00:00,54.4,55.165,54.26,55.16,34123,0
2014-02-18,19:00:00,55.16,55.83,55.16,55.339,17838,0
2014-02-18,20:00:00,55.29,55.57,55.11,55.55,68469,0
2014-02-18,21:00:00,55.53,57.07,55.4,56.96,39857,0
2014-02-18,22:00:00,57.12,57.12,55.4,55.68,110348,0
2014-02-19,16:00:00,55.18,56,55.18,55.86,1700,0
2014-02-19,17:00:00,55.6801,56.81,55.65,55.9363,39416,0
2014-02-19,18:00:00,55.92,56.17,55.72,55.875,15136,0
2014-02-19,19:00:00,55.95,56.13,55.51,55.82,15408,0
2014-02-19,20:00:00,55.87,56.5,55.8,55.985,25126,0
2014-02-19,21:00:00,56.015,56.14,55.51,55.68,19262,0
2014-02-19,22:00:00,55.62,55.62,55.07,55.27,61523,0
2014-02-20,16:00:00,55.17,55.1801,55.151,55.151,2908,0
2014-02-20,17:00:00,55.09,55.74,55.09,55.515,27419,0
2014-02-20,18:00:00,55.74,55.79,55.36,55.36,10412,0
2014-02-20,19:00:00,55.2,55.75,55.2,55.52,8016,0
2014-02-20,20:00:00,55.72,55.75,55.45,55.55,16700,0
2014-02-20,21:00:00,55.7,55.75,55.52,55.72,6200,0
2014-02-20,22:00:00,55.72,55.86,55.59,55.67,36813,0
2014-02-21,16:00:00,55.51,55.66,55.46,55.66,4800,0
2014-02-21,17:00:00,55.75,56.48,55.71,56.02,50737,0
2014-02-21,18:00:00,56.02,56.41,55.51,56.2199,14707,0
2014-02-21,19:00:00,56.13,56.1784,55.866,56.02,33001,0
2014-02-21,20:00:00,56.03,56.41,56.02,56.38,19700,0
2014-02-21,21:00:00,56.38,56.99,56.2,56.94,48035,0
2014-02-21,22:00:00,56.83,57.25,56.62,56.9,60648,0
2014-02-24,16:00:00,57.09,57.29,56.89,57.04,15430,0
2014-02-24,17:00:00,57.04,57.11,56.11,56.48,27990,0
2014-02-24,18:00:00,56.48,56.65,56.23,56.61,19500,0
2014-02-24,19:00:00,56.47,56.61,56.08,56.34,15583,0
2014-02-24,20:00:00,56.2447,56.43,55.35,55.435,20808,0
2014-02-24,21:00:00,55.494,56.19,55.49,56.06,19700,0
2014-02-24,22:00:00,55.995,56.11,55.7101,55.91,48638,0
2014-02-25,16:00:00,56.33,56.33,55.548,56.06,36780,0
2014-02-25,17:00:00,56.21,56.645,55.84,55.97,14938,0
2014-02-25,18:00:00,56.05,56.378,55.89,55.96,13876,0
2014-02-25,19:00:00,55.89,56.0275,55.578,55.76,13899,0
2014-02-25,20:00:00,55.82,56.06,55.578,55.8625,9825,0
2014-02-25,21:00:00,55.88,55.925,55.63,55.8399,9800,0
2014-02-25,22:00:00,55.71,55.84,55.57,55.69,19942,0
2014-02-26,16:00:00,55.93,56,55.535,55.83,18373,0
2014-02-26,17:00:00,55.86,57.24,55.86,57.22,22757,0
2014-02-26,18:00:00,57.09,57.22,56.706,57.019,12370,0
2014-02-26,19:00:00,57.02,57.46,56.93,57.34,9873,0
2014-02-26,20:00:00,57.35,57.4099,56.87,57,10600,0
2014-02-26,21:00:00,56.85,57,56.5,56.67,29676,0
2014-02-26,22:00:00,56.69,57.31,56.6,57.3,80914,0
2014-02-27,16:00:00,56.3301,59.22,56.3301,58.492,41593,0
2014-02-27,17:00:00,58.5,59.85,58.11,59.29,84925,0
2014-02-27,18:00:00,59.27,59.9,57.91,58.06,48282,0
2014-02-27,19:00:00,58.175,58.31,57.54,57.81,18103,0
2014-02-27,20:00:00,57.88,57.94,57.06,57.06,36267,0
2014-02-27,21:00:00,57.021,57.47,56.57,56.79,50493,0
2014-02-27,22:00:00,56.85,57.45,56.135,57,100290,0
2014-02-28,16:00:00,57.9799,57.9799,56.67,56.69,9853,0
2014-02-28,17:00:00,56.75,57.81,56.74,57.19,39118,0
2014-02-28,18:00:00,57.12,57.62,57.12,57.44,18800,0
2014-02-28,19:00:00,57.435,58.17,57.42,58.17,16297,0
2014-02-28,20:00:00,58.21,58.549,57.9325,57.99,11732,0
2014-02-28,21:00:00,57.9625,58.23,57.81,58,37047,0
2014-02-28,22:00:00,57.72,57.85,57.16,57.54,138380,0
2014-03-03,16:00:00,56.558,57.73,56.558,57.34,14834,0
2014-03-03,17:00:00,57.15,57.19,56.79,56.99,21260,0
2014-03-03,18:00:00,57,57,56.323,56.638,23510,0
2014-03-03,19:00:00,56.86,56.87,56.14,56.79,23100,0
2014-03-03,20:00:00,56.78,56.95,56.492,56.95,11391,0
2014-03-03,21:00:00,56.936,57,56.6004,56.87,12545,0
2014-03-03,22:00:00,56.87,56.87,56.35,56.66,26952,0
2014-03-04,16:00:00,57.03,58.96,57,58.64,26021,0
2014-03-04,17:00:00,58.7,59,58.02,58.88,30315,0
2014-03-04,18:00:00,58.81,59,58.57,58.79,19983,0
2014-03-04,19:00:00,58.7,59.17,58.57,59.15,23176,0
2014-03-04,20:00:00,59.03,59.03,58.72,58.787,7997,0
2014-03-04,21:00:00,58.76,58.86,58.52,58.54,12440,0
2014-03-04,22:00:00,58.6,58.95,58.32,58.45,54084,0
2014-03-05,16:00:00,58.22,58.22,57.93,58.095,7211,0
2014-03-05,17:00:00,58.13,58.32,57.79,57.96,22428,0
2014-03-05,18:00:00,57.934,58.14,57.85,57.85,15900,0
2014-03-05,19:00:00,57.93,58.135,57.81,58.1,15434,0
2014-03-05,20:00:00,58.15,58.181,57.86,58,24235,0
2014-03-05,21:00:00,57.925,58.07,57.82,57.9,14900,0
2014-03-05,22:00:00,57.88,57.88,57.68,57.7,46334,0
2014-03-06,16:00:00,57.32,58.2,57.1901,58.2,16721,0
2014-03-06,17:00:00,58.1,58.2,57.75,57.885,18241,0
2014-03-06,18:00:00,57.94,57.94,57.5,57.58,11879,0
2014-03-06,19:00:00,57.5301,57.98,57.5,57.86,45040,0
2014-03-06,20:00:00,57.86,57.86,57.511,57.72,7300,0
2014-03-06,21:00:00,57.83,57.95,57.586,57.72,23914,0
2014-03-06,22:00:00,57.63,57.86,57.61,57.66,29666,0
