Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,39.87,39.87,39.87,39.87,300,0
2014-02-10,17:00:00,39.79,39.79,39.19,39.67,2028,0
2014-02-10,18:00:00,39.68,39.75,39.67,39.75,2488,0
2014-02-10,19:00:00,39.75,39.87,39.75,39.87,2500,0
2014-02-10,20:00:00,39.87,39.93,39.87,39.88,1484,0
2014-02-10,22:00:00,39.82,39.89,39.67,39.89,15495,0
2014-02-11,17:00:00,39.95,39.95,39.75,39.88,1288,0
2014-02-11,19:00:00,39.93,39.99,39.875,39.99,1000,0
2014-02-11,21:00:00,40,40,39.99,39.99,500,0
2014-02-11,22:00:00,39.98,40,39.97,39.97,400,0
2014-02-12,16:00:00,39.92,40,39.92,39.989,990,0
2014-02-12,17:00:00,39.94,39.94,39.94,39.94,200,0
2014-02-12,18:00:00,39.98,39.98,39.98,39.98,300,0
2014-02-12,19:00:00,39.96,39.96,39.96,39.96,200,0
2014-02-12,20:00:00,39.96,40,39.96,40,500,0
2014-02-12,21:00:00,39.9,39.9,39.9,39.9,600,0
2014-02-12,22:00:00,39.989,40.14,39.776,40.14,3995,0
2014-02-13,19:00:00,40.1,40.15,40.1,40.15,1100,0
2014-02-13,21:00:00,40.149,40.17,40.126,40.126,1419,0
2014-02-13,22:00:00,40.17,40.46,39.87,40.14,15194,0
2014-02-14,16:00:00,40.45,40.45,40.45,40.45,800,0
2014-02-14,22:00:00,39.751,40.44,39.75,40.29,5339,0
2014-02-18,16:00:00,40.31,40.46,40.3,40.46,3191,0
2014-02-18,17:00:00,40.435,40.44,40.435,40.44,800,0
2014-02-18,18:00:00,40.33,40.4599,39.92,39.92,13700,0
2014-02-18,19:00:00,39.94,40.1541,39.921,40.03,2099,0
2014-02-18,20:00:00,40.406,40.406,40.011,40.1,1800,0
2014-02-18,22:00:00,40.1,40.25,40.1,40.2,1700,0
2014-02-19,16:00:00,40.46,41.23,40.3,40.45,3685,0
