Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,48.58,49.15,48.58,48.97,3800,0
2014-02-10,17:00:00,49.055,49.34,48.485,48.731,27088,0
2014-02-10,18:00:00,48.76,48.83,48.55,48.68,7400,0
2014-02-10,19:00:00,48.68,49.1,48.68,49.1,42156,0
2014-02-10,20:00:00,49.11,49.56,49.11,49.285,11101,0
2014-02-10,21:00:00,49.456,49.456,49.21,49.23,7813,0
2014-02-10,22:00:00,49.2574,49.42,49.1,49.39,32818,0
2014-02-11,16:00:00,49.06,49.65,48.79,48.97,10768,0
2014-02-11,17:00:00,49.02,49.45,48.87,49.27,36223,0
2014-02-11,18:00:00,49.27,49.44,49.105,49.31,27741,0
2014-02-11,19:00:00,49.31,49.775,49.13,49.71,54907,0
2014-02-11,20:00:00,49.6488,50.07,49.6488,50.02,13200,0
2014-02-11,21:00:00,49.975,50.25,49.93,50.18,13285,0
2014-02-11,22:00:00,50.23,50.44,50.04,50.34,79830,0
2014-02-12,16:00:00,50.55,50.9,49.96,50.63,5032,0
2014-02-12,17:00:00,50.47,50.59,50.05,50.35,10723,0
2014-02-12,18:00:00,50.31,50.63,50.13,50.5,28134,0
2014-02-12,19:00:00,50.64,50.64,49.92,50.38,21017,0
2014-02-12,20:00:00,50.43,50.67,49.95,50.03,19224,0
2014-02-12,21:00:00,50.03,50.031,49.51,49.51,16430,0
2014-02-12,22:00:00,49.62,49.91,49.6,49.89,43364,0
2014-02-13,16:00:00,49.61,50.11,49.61,49.91,5522,0
2014-02-13,17:00:00,49.85,50.17,49.75,50.17,20559,0
2014-02-13,18:00:00,50.38,50.85,50.07,50.84,34370,0
2014-02-13,19:00:00,50.83,51.02,50.83,50.985,9862,0
2014-02-13,20:00:00,51.03,51.35,51.03,51.35,29460,0
2014-02-13,21:00:00,51.35,51.78,51.25,51.78,25671,0
2014-02-13,22:00:00,51.71,51.79,51.39,51.68,106225,0
2014-02-14,16:00:00,51.7,52.22,51.555,51.795,15093,0
2014-02-14,17:00:00,51.82,51.95,51.65,51.735,25385,0
2014-02-14,18:00:00,51.73,51.93,51.33,51.41,19300,0
2014-02-14,19:00:00,51.37,51.7,51.37,51.615,29637,0
2014-02-14,20:00:00,51.615,51.86,51.525,51.71,13425,0
2014-02-14,21:00:00,51.7,51.808,51.575,51.75,14794,0
2014-02-14,22:00:00,51.75,51.86,51.6,51.6,56533,0
2014-02-18,16:00:00,55.07,56.338,51.67,51.67,31134,0
2014-02-18,17:00:00,51.71,52.14,51.475,51.94,24220,0
2014-02-18,18:00:00,51.812,52.5,51.58,52.16,44779,0
2014-02-18,19:00:00,52.15,52.58,52.02,52.26,65414,0
2014-02-18,20:00:00,52.31,52.46,51.74,51.91,19722,0
2014-02-18,21:00:00,51.9,52.36,51.89,52.21,25537,0
2014-02-18,22:00:00,52.22,52.41,52.03,52.12,102986,0
2014-02-19,16:00:00,52,52.326,51.44,51.44,9524,0
2014-02-19,17:00:00,51.59,51.735,51.43,51.61,15100,0
2014-02-19,18:00:00,51.64,51.77,50.67,50.78,56269,0
2014-02-19,19:00:00,50.72,50.96,50.525,50.8,19724,0
2014-02-19,20:00:00,50.78,51.13,50.78,51,13822,0
2014-02-19,21:00:00,50.99,51.18,50.878,51.05,23622,0
2014-02-19,22:00:00,51.025,51.14,50.89,51.01,84543,0
2014-02-20,16:00:00,50.495,51.4,50.495,51.01,5433,0
2014-02-20,17:00:00,50.98,51.314,50.53,51.27,56544,0
2014-02-20,18:00:00,51.29,51.52,51.08,51.17,35200,0
2014-02-20,19:00:00,51.17,51.35,50.93,51.046,19935,0
2014-02-20,20:00:00,51.01,51.06,50.65,50.65,46006,0
2014-02-20,21:00:00,50.66,51.23,50.52,51.13,45248,0
2014-02-20,22:00:00,51.1,51.58,51.04,51.16,55636,0
2014-02-21,16:00:00,51,51.09,50.21,50.26,23908,0
2014-02-21,17:00:00,50.26,50.55,50.17,50.38,24632,0
2014-02-21,18:00:00,50.44,50.78,50.33,50.51,42783,0
2014-02-21,19:00:00,50.51,50.81,50.35,50.76,61372,0
2014-02-21,20:00:00,50.71,50.79,50.44,50.59,50445,0
2014-02-21,21:00:00,50.55,50.82,50.3401,50.77,27151,0
2014-02-21,22:00:00,50.8,51.06,50.68,50.89,79148,0
2014-02-24,16:00:00,51.286,51.3,50.498,50.99,8266,0
2014-02-24,17:00:00,51.09,51.869,51.06,51.8,19213,0
2014-02-24,18:00:00,51.71,52.21,51.68,52.21,24270,0
2014-02-24,19:00:00,52.22,52.41,52.12,52.29,19956,0
2014-02-24,20:00:00,52.38,52.39,52.07,52.145,17069,0
2014-02-24,21:00:00,52.21,52.61,52.07,52.61,41617,0
2014-02-24,22:00:00,52.62,52.63,52.22,52.24,160030,0
2014-02-25,16:00:00,52.852,52.852,51.71,52.155,12067,0
2014-02-25,17:00:00,52.198,52.45,52.04,52.26,29639,0
2014-02-25,18:00:00,52.28,52.31,52.05,52.24,16500,0
2014-02-25,19:00:00,52.22,52.58,52.06,52.39,25807,0
2014-02-25,20:00:00,52.54,52.8,52.22,52.33,60968,0
2014-02-25,21:00:00,52.34,52.83,52.22,52.56,106899,0
2014-02-25,22:00:00,52.61,52.64,52.2,52.6,92025,0
2014-02-26,16:00:00,52.5725,53.06,52.46,52.46,10022,0
2014-02-26,17:00:00,52.36,52.68,52.105,52.27,49300,0
2014-02-26,18:00:00,52.13,52.59,52.1073,52.27,43282,0
2014-02-26,19:00:00,52.24,52.39,52.09,52.19,29527,0
2014-02-26,20:00:00,52.24,52.37,52.085,52.34,50090,0
2014-02-26,21:00:00,52.29,52.3275,52.0401,52.275,30645,0
2014-02-26,22:00:00,52.36,52.36,51.63,51.75,61995,0
2014-02-27,16:00:00,51.54,52.008,51.1,51.13,3663,0
2014-02-27,17:00:00,51.17,51.75,51.045,51.725,32087,0
2014-02-27,18:00:00,51.51,51.58,51.31,51.44,29861,0
2014-02-27,19:00:00,51.425,51.6,51.34,51.3725,30137,0
2014-02-27,20:00:00,51.41,51.58,51.23,51.44,20177,0
2014-02-27,21:00:00,51.45,51.515,51.32,51.38,18821,0
2014-02-27,22:00:00,51.38,51.62,51.14,51.57,67480,0
2014-02-28,16:00:00,51.675,52.36,51.58,52.225,13260,0
2014-02-28,17:00:00,52.23,53.005,52.19,52.495,62366,0
2014-02-28,18:00:00,52.57,52.86,52.53,52.635,32052,0
2014-02-28,19:00:00,52.618,52.91,52.56,52.87,22298,0
2014-02-28,20:00:00,52.9,53.09,52.85,53.09,10903,0
2014-02-28,21:00:00,53.03,53.2599,52.99,53.05,25089,0
2014-02-28,22:00:00,53.06,53.14,52.7401,52.83,95406,0
2014-03-03,16:00:00,52.82,52.82,52.12,52.12,16309,0
2014-03-03,17:00:00,52.01,52.36,51.82,51.913,19757,0
2014-03-03,18:00:00,52.115,52.115,51.29,51.33,16232,0
2014-03-03,19:00:00,51.36,51.94,51.13,51.47,13143,0
2014-03-03,20:00:00,51.57,51.84,51.46,51.83,12000,0
2014-03-03,21:00:00,51.83,52,51.54,51.74,13165,0
2014-03-03,22:00:00,51.77,51.8,51.41,51.6,30818,0
2014-03-04,16:00:00,52.3,53.32,52.3,53.32,19105,0
2014-03-04,17:00:00,52.95,53.43,52.7501,53.39,24610,0
2014-03-04,18:00:00,53.47,53.47,52.93,53.33,31680,0
2014-03-04,19:00:00,53.29,53.64,53.05,53.61,16463,0
2014-03-04,20:00:00,53.59,53.7,53.04,53.22,31667,0
2014-03-04,21:00:00,53.04,53.45,52.84,53.44,24182,0
2014-03-04,22:00:00,53.44,53.73,53.19,53.49,53727,0
2014-03-05,16:00:00,53.05,53.19,52.77,53.04,8215,0
2014-03-05,17:00:00,53.05,53.33,52.62,52.85,25631,0
2014-03-05,18:00:00,52.8,52.86,52.38,52.5,21382,0
2014-03-05,19:00:00,52.38,52.45,52.23,52.33,16474,0
2014-03-05,20:00:00,52.43,52.45,52.21,52.3,11280,0
2014-03-05,21:00:00,52.33,52.44,52.31,52.42,8688,0
2014-03-05,22:00:00,52.42,52.54,52.28,52.33,174546,0
2014-03-06,16:00:00,53.005,53.005,52.32,52.32,9300,0
2014-03-06,17:00:00,52.25,52.6,52.01,52.22,34406,0
2014-03-06,18:00:00,52.29,52.32,51.71,51.99,25000,0
2014-03-06,19:00:00,51.92,52.04,51.59,51.73,49049,0
2014-03-06,20:00:00,51.76,51.98,51.74,51.915,13690,0
2014-03-06,21:00:00,52.01,52.47,52.01,52.31,16508,0
2014-03-06,22:00:00,52.27,52.61,52.27,52.59,27908,0
2014-03-07,16:00:00,52.92,52.92,52.602,52.62,8300,0
2014-03-07,17:00:00,52.635,53.02,52.635,52.69,14958,0
2014-03-07,18:00:00,52.77,53.22,52.77,53.22,10799,0
2014-03-07,19:00:00,53.22,53.48,53.05,53.31,14943,0
2014-03-07,20:00:00,53.19,53.27,53.06,53.06,6500,0
2014-03-07,21:00:00,53.08,53.44,53.04,53.31,33738,0
2014-03-07,22:00:00,53.44,53.44,53.08,53.16,38145,0
2014-03-10,15:00:00,52.99,53.64,52.99,53.28,11234,0
2014-03-10,16:00:00,53.31,53.62,53.15,53.34,29234,0
2014-03-10,17:00:00,53.38,53.95,53.275,53.58,33983,0
2014-03-10,18:00:00,53.73,53.74,53.54,53.74,8043,0
2014-03-10,19:00:00,53.7165,53.75,53.4,53.51,4268,0
2014-03-10,20:00:00,53.445,53.62,53.27,53.55,8664,0
2014-03-10,21:00:00,53.545,53.8,53.23,53.58,46597,0
2014-03-11,15:00:00,53.57,53.68,53.26,53.68,20868,0
2014-03-11,16:00:00,53.69,53.83,53.47,53.735,33972,0
2014-03-11,17:00:00,53.68,53.85,53.67,53.85,15791,0
2014-03-11,18:00:00,53.72,53.79,53.44,53.58,24528,0
2014-03-11,19:00:00,53.58,53.74,53.52,53.6,14567,0
2014-03-11,20:00:00,53.61,53.7,53.39,53.64,25919,0
2014-03-11,21:00:00,53.58,53.66,53.2,53.53,61006,0
2014-03-12,15:00:00,53.51,53.62,53.13,53.34,8206,0
2014-03-12,16:00:00,53.38,53.68,53.25,53.45,34313,0
2014-03-12,17:00:00,53.46,53.67,53.38,53.49,19109,0
2014-03-12,18:00:00,53.51,53.715,53.28,53.6,24054,0
2014-03-12,19:00:00,53.6,53.645,53.39,53.45,21300,0
2014-03-12,20:00:00,53.45,53.5,53.26,53.47,20426,0
2014-03-12,21:00:00,53.425,53.61,53.26,53.57,38484,0
2014-03-13,15:00:00,53.83,53.83,53.09,53.09,11379,0
2014-03-13,16:00:00,53,53.24,52.75,53.1,43562,0
2014-03-13,17:00:00,53.15,53.15,52.59,52.676,30274,0
2014-03-13,18:00:00,52.57,52.57,51.08,51.8,60874,0
2014-03-13,19:00:00,51.78,53.01,51.59,53.01,37545,0
2014-03-13,20:00:00,53,53.12,52.13,52.19,36645,0
2014-03-13,21:00:00,52.11,52.7,51.89,52.62,82059,0
2014-03-14,15:00:00,52.29,52.95,52.29,52.6,8920,0
2014-03-14,16:00:00,52.7,53.037,52.37,52.46,19552,0
2014-03-14,17:00:00,52.23,52.59,51.85,52.59,9905,0
2014-03-14,18:00:00,52.58,52.69,52.15,52.16,9800,0
2014-03-14,19:00:00,52.18,52.96,52.16,52.95,26979,0
2014-03-14,20:00:00,52.93,52.98,52.44,52.44,18559,0
2014-03-14,21:00:00,52.39,52.8,52.26,52.66,77157,0
2014-03-17,15:00:00,53.38,53.78,53.072,53.78,7800,0
2014-03-17,16:00:00,53.75,53.9,53.4475,53.65,14589,0
2014-03-17,17:00:00,53.69,53.98,53.33,53.33,17400,0
2014-03-17,18:00:00,53.46,53.795,53.38,53.62,13605,0
2014-03-17,19:00:00,53.51,53.81,53.47,53.71,48254,0
2014-03-17,20:00:00,53.63,53.75,53.39,53.425,16590,0
2014-03-17,21:00:00,53.46,53.8,53.37,53.62,104377,0
2014-03-18,15:00:00,53.95,53.98,53.82,53.97,5000,0
2014-03-18,16:00:00,53.9,53.95,53.72,53.72,10500,0
2014-03-18,17:00:00,53.78,53.98,53.68,53.87,31319,0
2014-03-18,18:00:00,53.95,53.988,53.65,53.65,16875,0
2014-03-18,19:00:00,53.7325,54.04,53.7,54.04,16493,0
2014-03-18,20:00:00,54.13,54.15,53.8,53.895,13460,0
2014-03-18,21:00:00,53.87,54.02,53.73,54,90954,0
2014-03-19,15:00:00,53.9,54.122,53.78,53.885,2198,0
2014-03-19,16:00:00,53.83,54,53.83,53.91,15624,0
2014-03-19,17:00:00,53.77,53.89,53.6,53.784,8314,0
2014-03-19,18:00:00,53.75,53.99,53.685,53.83,29143,0
2014-03-19,19:00:00,53.78,53.97,53.78,53.87,6437,0
2014-03-19,20:00:00,53.92,54.14,53.67,54,16400,0
2014-03-19,21:00:00,53.99,54.27,53.65,53.93,62875,0
2014-03-20,15:00:00,53.98,54.09,53.6,53.78,9360,0
2014-03-20,16:00:00,53.86,54.31,53.7,54.13,12856,0
2014-03-20,17:00:00,53.96,54.38,53.96,54.22,10500,0
2014-03-20,18:00:00,54.05,54.395,53.9,54.22,19214,0
2014-03-20,19:00:00,54.27,54.31,54,54.01,5600,0
2014-03-20,20:00:00,54.01,54.24,53.88,54.11,22959,0
2014-03-20,21:00:00,54.11,54.21,53.81,54.16,28616,0
2014-03-21,15:00:00,54.64,54.7,54.26,54.7,2900,0
2014-03-21,16:00:00,54.61,54.95,54.59,54.61,29821,0
2014-03-21,17:00:00,54.76,54.905,54.47,54.75,16900,0
2014-03-21,18:00:00,54.85,54.85,54.51,54.6,16214,0
2014-03-21,19:00:00,54.575,54.62,54.17,54.2774,17976,0
2014-03-21,20:00:00,54.31,54.345,54.075,54.1901,15441,0
2014-03-21,21:00:00,54.19,54.24,53.91,54.06,48256,0
2014-03-24,15:00:00,53.93,54.302,53.69,54.074,24659,0
2014-03-24,16:00:00,54.034,54.07,53.5,53.62,15797,0
2014-03-24,17:00:00,53.51,53.6,52.49,52.77,30293,0
2014-03-24,18:00:00,52.76,52.92,52.44,52.59,15662,0
2014-03-24,19:00:00,52.634,52.95,52.634,52.95,20206,0
2014-03-24,20:00:00,53,53.015,52.59,52.63,17543,0
2014-03-24,21:00:00,52.67,53.36,52.61,53.05,86418,0
2014-03-25,15:00:00,52.9,52.9,50.54,50.73,56810,0
2014-03-25,16:00:00,50.7,51.35,50.7,50.83,44595,0
2014-03-25,17:00:00,50.9,51.27,50.89,51.06,65450,0
2014-03-25,18:00:00,51.195,51.2,50.361,51.165,28511,0
2014-03-25,19:00:00,51.07,51.25,50.955,51.14,18996,0
2014-03-25,20:00:00,51.17,51.25,50.61,50.71,43104,0
2014-03-25,21:00:00,50.7,50.7,48.881,49.47,210219,0
2014-03-26,15:00:00,50.28,50.28,49.78,50.21,12506,0
2014-03-26,16:00:00,50.055,50.3,49.71,49.768,16000,0
2014-03-26,17:00:00,49.71,50.32,49.71,50.195,10410,0
2014-03-26,18:00:00,50.19,50.21,49.8,49.82,5954,0
2014-03-26,19:00:00,49.8,49.8,48.84,49.21,13797,0
2014-03-26,20:00:00,49.2,49.49,49.16,49.4,12941,0
2014-03-26,21:00:00,49.4,49.51,49.08,49.3,71866,0
2014-03-27,15:00:00,49.14,49.8685,49.09,49.21,13836,0
2014-03-27,16:00:00,49.22,49.5,49.08,49.3,37371,0
2014-03-27,17:00:00,49.28,49.315,49.03,49.3,18641,0
2014-03-27,18:00:00,49.17,49.33,49.15,49.298,7204,0
2014-03-27,19:00:00,49.3,49.4,49.17,49.305,23222,0
2014-03-27,20:00:00,49.26,49.48,49.12,49.28,19966,0
2014-03-27,21:00:00,49.24,49.5,49.21,49.31,47069,0
2014-03-28,15:00:00,49.28,50.055,49.1,49.91,14700,0
2014-03-28,16:00:00,50.155,50.21,49.79,49.95,33485,0
2014-03-28,17:00:00,49.9608,50.07,49.86,49.8999,11396,0
2014-03-28,18:00:00,50.05,50.095,49.33,49.44,15059,0
2014-03-28,19:00:00,49.36,49.5,49,49.09,16014,0
2014-03-28,20:00:00,49.02,49.1699,48.89,49.03,21348,0
2014-03-28,21:00:00,48.99,49.26,48.82,48.97,37068,0
2014-03-31,16:00:00,49.39,50,48.86,50,306818,0
2014-03-31,17:00:00,50.05,50.82,49.89,50.8,24359,0
2014-03-31,18:00:00,50.9,50.905,50.28,50.69,13363,0
2014-03-31,19:00:00,50.59,50.945,50.53,50.555,9308,0
2014-03-31,20:00:00,50.56,50.86,50.5,50.59,20100,0
2014-03-31,21:00:00,50.585,50.86,50.43,50.69,24410,0
2014-03-31,22:00:00,50.5925,50.675,50.17,50.46,179252,0
2014-04-01,16:00:00,49.8901,50.2,49.72,49.78,12892,0
2014-04-01,17:00:00,49.65,50.6,49.65,50.132,19419,0
2014-04-01,18:00:00,50.16,50.41,49.95,50.23,30106,0
2014-04-01,19:00:00,50.32,50.37,49.66,49.67,24700,0
2014-04-01,20:00:00,49.88,50.04,49.71,49.8,16002,0
2014-04-01,21:00:00,49.82,50,49.63,49.68,38860,0
2014-04-01,22:00:00,49.68,49.84,49.48,49.81,86211,0
2014-04-02,16:00:00,50.01,50.0199,49.52,49.63,18769,0
2014-04-02,17:00:00,49.61,49.965,49.42,49.76,22657,0
2014-04-02,18:00:00,49.8,50.08,49.61,50.01,13000,0
2014-04-02,19:00:00,50.14,50.34,49.88,50.09,25024,0
2014-04-02,20:00:00,50.15,50.15,49.77,49.87,24111,0
2014-04-02,21:00:00,49.87,50,49.82,49.98,28569,0
2014-04-02,22:00:00,49.98,50.51,49.83,50.37,38335,0
2014-04-03,16:00:00,50.44,50.63,50.07,50.14,8800,0
