Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,18:00:00,4.6777,4.6777,4.6777,4.6777,1000,0
2014-02-10,22:00:00,4.75,4.75,4.75,4.75,1400,0
2014-02-11,18:00:00,4.7,4.7,4.7,4.7,1200,0
2014-02-11,19:00:00,4.7,4.74,4.7,4.74,1130,0
2014-02-11,21:00:00,4.75,4.75,4.75,4.75,4000,0
2014-02-12,17:00:00,4.71,4.71,4.71,4.71,200,0
2014-02-12,18:00:00,4.7,4.701,4.7,4.7001,2800,0
2014-02-12,19:00:00,4.7001,4.7001,4.7,4.7,3650,0
2014-02-12,21:00:00,4.7001,4.7001,4.7001,4.7001,300,0
2014-02-13,16:00:00,4.65,4.65,4.64,4.64,9000,0
2014-02-13,17:00:00,4.68,4.68,4.63,4.65,8280,0
2014-02-13,18:00:00,4.63,4.64,4.59,4.64,10792,0
2014-02-13,19:00:00,4.64,4.65,4.6101,4.65,4600,0
2014-02-13,22:00:00,4.7,4.7,4.7,4.7,1097,0
2014-02-14,17:00:00,4.68,4.7,4.68,4.7,2000,0
2014-02-14,19:00:00,4.7,4.7,4.7,4.7,1550,0
2014-02-14,20:00:00,4.7001,4.7001,4.7001,4.7001,450,0
2014-02-14,22:00:00,4.715,4.715,4.69,4.69,2150,0
2014-02-18,16:00:00,4.7315,4.7315,4.7315,4.7315,1000,0
2014-02-18,17:00:00,4.74,4.74,4.74,4.74,400,0
2014-02-18,20:00:00,4.739,4.74,4.739,4.74,3700,0
2014-02-19,16:00:00,4.75,4.75,4.75,4.75,10426,0
2014-02-19,17:00:00,4.75,4.75,4.75,4.75,5000,0
2014-02-19,18:00:00,4.75,4.75,4.75,4.75,200,0
2014-02-19,19:00:00,4.75,4.77,4.75,4.77,3100,0
2014-02-20,17:00:00,4.68,4.68,4.68,4.68,1000,0
2014-02-20,22:00:00,4.67,4.671,4.67,4.67,1450,0
2014-02-24,22:00:00,4.64,4.662,4.62,4.62,500,0
2014-02-25,19:00:00,4.62,4.62,4.62,4.62,1100,0
2014-02-25,20:00:00,4.655,4.655,4.6201,4.6201,1000,0
2014-02-25,21:00:00,4.655,4.655,4.62,4.62,300,0
2014-02-26,19:00:00,4.57,4.57,4.55,4.55,1000,0
2014-02-26,21:00:00,4.56,4.56,4.55,4.55,2616,0
2014-02-26,22:00:00,4.55,4.55,4.51,4.53,24258,0
2014-02-27,17:00:00,4.48,4.48,4.47,4.47,300,0
2014-02-27,22:00:00,4.47,4.47,4.47,4.47,500,0
2014-02-28,16:00:00,4.41,4.41,4.41,4.41,1300,0
2014-02-28,21:00:00,4.4201,4.47,4.42,4.42,4362,0
2014-02-28,22:00:00,4.43,4.479,4.35,4.479,6300,0
2014-03-03,19:00:00,4.3978,4.3978,4.3978,4.3978,250,0
2014-03-03,22:00:00,4.4,4.4,4.4,4.4,600,0
2014-03-04,18:00:00,4.4501,4.4501,4.45,4.45,884,0
2014-03-04,20:00:00,4.44,4.44,4.43,4.43,2700,0
2014-03-04,21:00:00,4.4052,4.4052,4.4052,4.4052,700,0
2014-03-04,22:00:00,4.4128,4.42,4.34,4.34,10500,0
2014-03-05,16:00:00,4.2,4.219,4.191,4.219,2138,0
2014-03-05,20:00:00,4.26,4.27,4.22,4.25,4200,0
2014-03-05,21:00:00,4.2501,4.3,4.25,4.27,13465,0
2014-03-05,22:00:00,4.31,4.31,4.31,4.31,1206,0
2014-03-06,22:00:00,4.31,4.38,4.3,4.3,4000,0
2014-03-07,22:00:00,4.37,4.37,4.36,4.36,600,0
2014-03-10,19:00:00,4.34,4.35,4.34,4.35,1300,0
2014-03-12,18:00:00,4.3,4.3001,4.26,4.26,2348,0
2014-03-12,19:00:00,4.26,4.26,4.26,4.26,100,0
2014-03-12,20:00:00,4.265,4.265,4.26,4.26,5000,0
