Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-11,20:00:00,19.8445,20.1892,19.8444,20.1892,1218,0
2014-02-11,21:00:00,20.1892,20.1892,20.1892,20.1892,101,0
2014-02-13,22:00:00,19.9699,19.9998,19.9401,19.9998,602,0
2014-02-20,20:00:00,19.9101,19.93,19.8403,19.9001,4915,0
2014-02-20,22:00:00,19.94,19.9499,19.94,19.94,2407,0
2014-02-24,16:00:00,19.7805,20.1493,19.7505,20.1493,903,0
2014-02-24,17:00:00,19.94,20.1095,19.94,20.1095,1103,0
2014-02-24,18:00:00,20.1493,20.1493,20.1493,20.1493,572,0
2014-02-25,20:00:00,19.9499,19.9499,19.9499,19.9499,201,0
2014-02-26,19:00:00,19.9699,19.9699,19.9699,19.9699,100,0
2014-02-26,22:00:00,19.94,19.9799,19.93,19.9799,802,0
2014-02-27,18:00:00,19.94,19.94,19.94,19.94,1204,0
2014-02-27,19:00:00,19.94,19.94,19.94,19.94,100,0
2014-02-27,22:00:00,19.94,19.94,19.94,19.94,802,0
2014-02-28,21:00:00,19.9499,19.9499,19.9499,19.9499,100,0
2014-02-28,22:00:00,19.941,19.941,19.941,19.941,201,0
2014-03-03,17:00:00,19.94,19.9499,19.94,19.94,1187,0
2014-03-03,18:00:00,19.94,19.9499,19.94,19.94,1522,0
2014-03-04,16:00:00,21.5003,21.5003,21.5003,21.5003,903,0
2014-03-06,22:00:00,19.94,19.9898,19.94,19.9499,602,0
2014-03-07,20:00:00,19.7705,19.7705,19.7605,19.7605,803,0
2014-03-07,21:00:00,19.94,19.94,19.94,19.94,802,0
2014-03-07,22:00:00,19.92,19.93,19.92,19.93,401,0
2014-03-14,21:00:00,20.1,21.75,20.1,21.75,1422,0
2014-03-17,19:00:00,21.75,21.75,21.75,21.75,200,0
2014-03-17,20:00:00,21.75,21.75,21.75,21.75,100,0
2014-03-17,21:00:00,20.654,20.654,20.654,20.654,500,0
2014-03-18,16:00:00,19.95,19.95,19.95,19.95,300,0
2014-03-18,21:00:00,21.71,21.71,21.71,21.71,300,0
2014-03-19,20:00:00,21.65,21.65,21.65,21.65,400,0
2014-03-20,18:00:00,20.16,20.16,20.16,20.16,100,0
2014-03-20,19:00:00,20.16,20.16,20.16,20.16,200,0
2014-03-20,20:00:00,21.65,21.65,21.65,21.65,300,0
2014-03-21,16:00:00,20.75,20.75,20.75,20.75,800,0
2014-03-21,21:00:00,21.6,21.65,21.6,21.65,984,0
2014-03-25,18:00:00,20.5,21.72,20.5,21.72,700,0
2014-03-26,16:00:00,21.148,21.515,20.918,20.98,4300,0
2014-03-26,17:00:00,21,21.07,21,21.07,400,0
2014-03-26,18:00:00,21.42,21.42,21.42,21.42,100,0
2014-03-26,19:00:00,21.27,21.27,21.27,21.27,100,0
2014-03-26,21:00:00,20.51,20.51,20.51,20.51,100,0
2014-03-27,15:00:00,21.01,21.71,21.01,21.27,1800,0
2014-03-27,16:00:00,21.27,21.27,21.27,21.27,200,0
2014-03-27,17:00:00,21.25,21.25,21.24,21.24,700,0
2014-03-28,17:00:00,20.5,21.25,20.5,21.25,1157,0
2014-03-31,22:00:00,20.25,20.25,19.982,19.982,25300,0
2014-04-01,17:00:00,20.0101,20.2,20.0101,20.04,900,0
2014-04-01,21:00:00,20.27,20.27,20.27,20.27,200,0
2014-04-01,22:00:00,20.3,20.3,20.3,20.3,100,0
2014-04-07,19:00:00,20.31,20.7,20.31,20.7,400,0
2014-04-08,17:00:00,21.74,21.74,20.68,20.68,866,0
2014-04-10,20:00:00,20.0601,20.0601,20.0601,20.0601,730,0
2014-04-15,16:00:00,22,22,21.5,21.97,19728,0
2014-04-15,17:00:00,21.9699,21.9699,21.65,21.65,35847,0
2014-04-15,18:00:00,21.73,21.73,21.514,21.7,4999,0
2014-04-15,19:00:00,21.69,21.69,21.55,21.55,5873,0
2014-04-15,20:00:00,21.55,21.66,21.5,21.66,40600,0
2014-04-15,21:00:00,21.65,21.65,21.6,21.6,14700,0
2014-04-15,22:00:00,21.65,21.7,21.65,21.7,38856,0
2014-04-16,17:00:00,21.7,21.7,21.7,21.7,841,0
2014-04-16,20:00:00,21.7,21.7,21.7,21.7,700,0
2014-04-16,21:00:00,21.65,21.65,21.65,21.65,343,0
2014-04-17,18:00:00,21.67,21.8501,21.67,21.77,7773,0
2014-04-17,20:00:00,21.725,21.75,21.725,21.75,5342,0
2014-04-17,21:00:00,21.8,21.8,21.8,21.8,900,0
2014-04-21,16:00:00,21.86,21.86,21.86,21.86,585,0
2014-04-21,19:00:00,21.93,22.7,21.93,22.17,4108,0
2014-04-21,20:00:00,22.19,22.3,22.05,22.3,4116,0
2014-04-21,21:00:00,22.2,22.2,22.11,22.11,800,0
2014-04-21,22:00:00,22.12,22.18,22.12,22.18,1000,0
2014-04-22,21:00:00,22,22.2,22,22.2,500,0
2014-04-22,22:00:00,22,22,22,22,700,0
2014-04-23,17:00:00,22.15,22.15,21.9501,21.9501,600,0
2014-04-23,19:00:00,22.09,22.1,22.09,22.1,300,0
2014-04-23,20:00:00,22.05,22.05,22,22,900,0
2014-04-23,21:00:00,22,22,22,22,1100,0
2014-04-23,22:00:00,22,22,22,22,900,0
2014-04-24,20:00:00,21.96,21.96,21.96,21.96,200,0
2014-04-24,21:00:00,21.95,22,21.85,22,17633,0
2014-04-24,22:00:00,22,22,21.95,21.95,2600,0
2014-04-25,17:00:00,21.8,21.8,21.8,21.8,1892,0
2014-04-25,18:00:00,21.93,21.93,21.93,21.93,400,0
2014-04-25,19:00:00,21.8,21.8,21.8,21.8,500,0
2014-04-28,16:00:00,22,22,22,22,557,0
2014-04-28,17:00:00,21.95,21.95,21.95,21.95,100,0
2014-04-28,22:00:00,21.76,21.95,21.76,21.95,300,0
2014-04-29,17:00:00,22,22,22,22,1400,0
2014-04-29,18:00:00,21.97,21.97,21.96,21.96,600,0
2014-04-30,20:00:00,22.49,22.49,22.49,22.49,100,0
2014-04-30,22:00:00,22.2,22.2,22.2,22.2,9200,0
2014-05-01,20:00:00,22.02,22.02,22,22,1300,0
2014-05-01,22:00:00,22,22.001,22,22,1202,0
2014-05-02,19:00:00,22.0001,22.0001,22,22,3700,0
2014-05-02,20:00:00,22.4,22.49,22.27,22.3,3204,0
2014-05-02,22:00:00,22.101,22.11,22.1,22.1,1100,0
2014-05-05,18:00:00,22.36,22.36,22.35,22.35,2142,0
2014-05-05,19:00:00,22.2,22.2,22.15,22.2,1508,0
2014-05-05,21:00:00,22.29,22.3,22.29,22.3,500,0
2014-05-05,22:00:00,22.15,22.15,22.15,22.15,300,0
2014-05-07,22:00:00,22.18,22.18,22.15,22.15,1400,0
