Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-11,18:00:00,10.08,10.09,10.08,10.0899,29071,0
2014-02-11,19:00:00,10.06,10.06,10.06,10.06,1000,0
2014-02-11,22:00:00,10.0899,10.1,10.0899,10.1,26300,0
2014-02-12,22:00:00,10.09,10.09,10.0899,10.0899,1600,0
2014-02-14,21:00:00,10.09,10.09,10.0899,10.0899,12625,0
2014-02-18,21:00:00,10.06,10.06,10.06,10.06,100,0
2014-02-19,17:00:00,10.06,10.06,10.06,10.06,652,0
2014-02-19,18:00:00,10.08,10.08,10.06,10.06,25800,0
2014-02-19,22:00:00,10.08,10.09,10.08,10.09,2264,0
2014-02-20,16:00:00,10.09,10.09,10.09,10.09,3400,0
2014-02-21,16:00:00,10.08,10.08,10.08,10.08,500,0
2014-02-21,22:00:00,10.09,10.09,10.09,10.09,9116,0
2014-02-24,20:00:00,10.19,10.19,10.18,10.18,500,0
2014-02-24,22:00:00,10.14,10.1999,10.1,10.1323,1700,0
2014-02-25,16:00:00,10.09,10.0901,10.09,10.0901,1100,0
2014-02-26,16:00:00,10.09,10.09,10.09,10.09,7044,0
2014-02-26,21:00:00,10.09,10.09,10.09,10.09,200,0
2014-02-27,17:00:00,10.18,10.19,10.11,10.13,8400,0
2014-02-27,18:00:00,10.17,10.19,10.12,10.13,20600,0
2014-02-27,19:00:00,10.11,10.15,10.11,10.15,2200,0
2014-02-27,20:00:00,10.16,10.16,10.11,10.15,14200,0
2014-02-27,21:00:00,10.11,10.14,10.11,10.14,5200,0
2014-02-27,22:00:00,10.11,10.17,10.11,10.14,35100,0
2014-02-28,16:00:00,10.13,10.17,10.11,10.17,12900,0
2014-02-28,17:00:00,10.11,10.16,10.1,10.15,14800,0
2014-02-28,18:00:00,10.12,10.12,10.1,10.11,3400,0
2014-02-28,19:00:00,10.12,10.15,10.1,10.12,25251,0
2014-02-28,20:00:00,10.1,10.15,10.1,10.14,8049,0
2014-02-28,21:00:00,10.12,10.13,10.1,10.1,9800,0
2014-02-28,22:00:00,10.11,10.15,10.1,10.1,22417,0
