Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,17:00:00,100.13,100.13,100.12,100.12,857,0
2014-02-12,21:00:00,100.37,100.37,100.37,100.37,2243,0
2014-02-13,18:00:00,99.88,99.88,99.88,99.88,204,0
2014-02-18,19:00:00,101.85,101.85,101.85,101.85,102,0
2014-02-19,17:00:00,101.83,101.83,101.83,101.83,102,0
2014-02-20,21:00:00,100.98,100.98,100.98,100.98,408,0
2014-02-21,22:00:00,101.84,101.88,101.84,101.88,970,0
2014-02-24,16:00:00,99.39,99.39,98.166,98.166,2358,0
2014-02-24,18:00:00,100.61,101.93,100.37,101.93,408,0
2014-02-24,20:00:00,100.86,100.86,100.86,100.86,204,0
2014-02-25,22:00:00,100.86,101.35,100.86,101.35,715,0
2014-02-26,21:00:00,100.86,100.86,100.86,100.86,388,0
2014-02-26,22:00:00,100.86,100.86,100.86,100.86,153,0
2014-02-27,16:00:00,101.84,101.84,101.84,101.84,1021,0
2014-02-27,17:00:00,101.84,101.84,101.84,101.84,511,0
2014-02-27,18:00:00,101.84,101.93,101.84,101.93,460,0
2014-02-27,19:00:00,101.84,101.84,101.84,101.84,255,0
2014-02-27,20:00:00,101.92,101.92,101.92,101.92,102,0
2014-02-27,21:00:00,101.84,101.84,101.84,101.84,102,0
2014-02-27,22:00:00,101.84,101.93,101.84,101.93,204,0
2014-02-28,16:00:00,101.93,101.93,101.93,101.93,511,0
2014-02-28,17:00:00,101.91,101.93,101.91,101.93,511,0
2014-02-28,18:00:00,101.34,101.34,101.34,101.34,1471,0
2014-02-28,20:00:00,101.35,101.93,101.35,101.93,347,0
2014-03-03,16:00:00,101.35,101.35,100.86,100.86,511,0
2014-03-03,18:00:00,101.93,101.96,101.9,101.91,1532,0
2014-03-04,20:00:00,102.33,102.33,102.33,102.33,613,0
2014-03-04,21:00:00,102.31,102.31,102.31,102.31,204,0
2014-03-05,16:00:00,102.33,102.33,102.33,102.33,843,0
2014-03-05,19:00:00,104.77,107.56,104.47,107.56,306,0
2014-03-05,21:00:00,102.83,102.83,102.83,102.83,408,0
2014-03-05,22:00:00,102.83,105.71,102.82,102.82,3263,0
2014-03-06,19:00:00,102.32,102.32,102.32,102.32,204,0
2014-03-06,20:00:00,101.85,101.85,101.85,101.85,306,0
2014-03-07,20:00:00,102.82,102.82,102.81,102.81,2349,0
2014-03-10,18:00:00,102.82,102.82,102.82,102.82,204,0
2014-03-10,19:00:00,102.83,102.83,102.83,102.83,102,0
2014-03-10,21:00:00,102.84,102.84,102.84,102.84,102,0
2014-03-11,19:00:00,102.82,102.82,102.82,102.82,1021,0
2014-03-13,15:00:00,105.12,105.12,105.12,105.12,204,0
2014-03-13,17:00:00,103.8,103.8,103.8,103.8,1021,0
2014-03-13,19:00:00,104.78,104.78,104.78,104.78,204,0
2014-03-14,16:00:00,104.04,104.04,104.04,104.04,1225,0
2014-03-14,18:00:00,103.7,103.7,103.7,103.7,567,0
2014-03-14,21:00:00,103.7,103.8,103.7,103.8,766,0
2014-03-19,21:00:00,104.29,104.29,104.29,104.29,347,0
2014-03-20,16:00:00,104.29,104.29,104.28,104.29,4085,0
2014-03-20,19:00:00,104.29,104.29,104.29,104.29,1123,0
2014-03-20,20:00:00,104.29,104.29,104.29,104.29,204,0
2014-03-20,21:00:00,104.29,104.29,104.29,104.29,255,0
2014-03-21,15:00:00,102.09,102.09,102.09,102.09,766,0
2014-03-24,18:00:00,103.8,103.8,103.8,103.8,204,0
2014-03-24,20:00:00,103.8,103.8,103.8,103.8,102,0
2014-03-26,21:00:00,106.57,106.57,106.57,106.57,182,0
2014-03-27,17:00:00,105.75,105.75,105.75,105.75,102,0
2014-03-27,18:00:00,105.75,105.75,105.75,105.75,1822,0
2014-03-27,19:00:00,105.75,105.75,105.75,105.75,102,0
2014-03-27,21:00:00,105.75,105.75,105.75,105.75,490,0
2014-03-28,16:00:00,104.29,106.57,104.29,106.57,663,0
2014-03-28,18:00:00,106.57,106.57,106.57,106.57,612,0
2014-03-28,19:00:00,104.29,105.75,104.29,105.75,1785,0
2014-03-28,21:00:00,105.75,106.53,105.75,105.75,1861,0
2014-03-31,22:00:00,105.75,105.75,105.75,105.75,969,0
2014-04-03,18:00:00,105.75,105.75,105.75,105.75,867,0
2014-04-08,16:00:00,103.7,103.7,103.7,103.7,102,0
2014-04-09,16:00:00,103.7,103.7,100.86,101.74,3327,0
2014-04-09,21:00:00,102.82,102.82,102.82,102.82,204,0
2014-04-09,22:00:00,102.82,102.82,102.82,102.82,102,0
2014-04-11,19:00:00,104.48,104.48,104.48,104.48,102,0
2014-04-14,22:00:00,104.29,104.29,104.29,104.29,954,0
2014-04-15,18:00:00,104.29,104.29,104.29,104.29,816,0
2014-04-15,19:00:00,104.14,104.14,104.14,104.14,306,0
2014-04-16,21:00:00,104.64,104.64,104.64,104.64,306,0
2014-04-17,20:00:00,102.43,102.43,102.43,102.43,408,0
2014-04-17,21:00:00,104.45,104.45,104.45,104.45,204,0
2014-04-21,19:00:00,103.8,103.8,103.8,103.8,306,0
2014-04-21,22:00:00,105.06,105.06,105.06,105.06,397,0
2014-04-22,18:00:00,104.78,104.78,104.78,104.78,306,0
2014-04-22,19:00:00,104.43,104.43,101.9,101.9,1704,0
2014-04-22,22:00:00,105.75,105.75,105.75,105.75,714,0
2014-04-23,16:00:00,103.78,103.78,103.78,103.78,112,0
2014-04-23,19:00:00,103.8,103.8,103.8,103.8,179,0
2014-04-23,20:00:00,103.8,103.8,103.8,103.8,1327,0
2014-04-24,17:00:00,103.8,103.8,103.8,103.8,408,0
2014-04-24,18:00:00,105.75,105.75,105.75,105.75,102,0
2014-04-24,20:00:00,104.8,104.8,104.8,104.8,102,0
2014-04-24,22:00:00,104.8,104.8,104.8,104.8,510,0
2014-04-25,16:00:00,105.95,105.95,103.079,103.079,400,0
