Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,8.9222,9.45,8.9222,9.4,3500,0
2014-02-10,17:00:00,9.4699,9.47,9.36,9.41,6385,0
2014-02-10,18:00:00,9.37,9.458,9.34,9.411,13310,0
2014-02-10,19:00:00,9.45,9.61,9.41,9.61,18900,0
2014-02-10,20:00:00,9.61,9.71,9.61,9.7,3160,0
2014-02-10,21:00:00,9.65,9.7,9.61,9.65,6475,0
2014-02-10,22:00:00,9.65,9.71,9.62,9.67,22307,0
2014-02-11,16:00:00,9.382,9.68,9.382,9.63,6219,0
2014-02-11,17:00:00,9.64,9.71,9.54,9.54,15211,0
2014-02-11,18:00:00,9.59,9.653,9.59,9.604,21641,0
2014-02-11,19:00:00,9.63,9.77,9.58,9.77,16478,0
2014-02-11,20:00:00,9.79,9.8899,9.785,9.85,10916,0
2014-02-11,21:00:00,9.85,9.9,9.792,9.89,36317,0
2014-02-11,22:00:00,9.9,9.92,9.81,9.83,58669,0
2014-02-12,16:00:00,9.87,10.22,9.86,10.22,15630,0
2014-02-12,17:00:00,10.25,10.25,10.06,10.2,5200,0
2014-02-12,18:00:00,10.16,10.34,10.13,10.34,9286,0
2014-02-12,19:00:00,10.34,10.48,10.3101,10.32,5416,0
2014-02-12,20:00:00,10.35,10.35,10.27,10.29,4758,0
2014-02-12,21:00:00,10.27,10.31,10.24,10.26,7783,0
2014-02-12,22:00:00,10.25,10.35,10.22,10.35,39805,0
2014-02-13,16:00:00,10.32,10.48,10.27,10.48,5300,0
2014-02-13,17:00:00,10.51,10.7,10.48,10.63,7411,0
2014-02-13,18:00:00,10.63,10.65,10.48,10.51,15994,0
2014-02-13,19:00:00,10.55,10.55,10.47,10.47,2725,0
2014-02-13,20:00:00,10.42,10.5,10.4104,10.5,6585,0
2014-02-13,21:00:00,10.5,10.5,10.43,10.49,14136,0
2014-02-13,22:00:00,10.48,10.51,10.44,10.44,35392,0
2014-02-14,16:00:00,10.45,10.63,10.45,10.62,7809,0
2014-02-14,17:00:00,10.6,10.6,10.5,10.59,6102,0
2014-02-14,18:00:00,10.58,10.59,10.53,10.57,5206,0
2014-02-14,19:00:00,10.58,10.71,10.54,10.71,21641,0
2014-02-14,20:00:00,10.685,10.71,10.62,10.71,22170,0
2014-02-14,21:00:00,10.71,10.78,10.63,10.65,20099,0
2014-02-14,22:00:00,10.61,10.65,10.55,10.58,27333,0
2014-02-18,16:00:00,10.75,10.78,10.6825,10.6825,4500,0
2014-02-18,17:00:00,10.675,10.8,10.675,10.76,5750,0
2014-02-18,18:00:00,10.75,10.765,10.63,10.67,4992,0
2014-02-18,19:00:00,10.67,10.67,10.63,10.65,3100,0
2014-02-18,20:00:00,10.66,10.665,10.6,10.66,15157,0
2014-02-18,21:00:00,10.65,10.7,10.6,10.7,10474,0
2014-02-18,22:00:00,10.6878,10.72,10.6,10.7,29736,0
2014-02-19,16:00:00,10.76,10.83,10.725,10.79,1750,0
2014-02-19,17:00:00,10.88,10.99,10.72,10.95,19075,0
2014-02-19,18:00:00,10.9,10.94,10.795,10.83,16440,0
2014-02-19,19:00:00,10.8392,10.8392,10.68,10.73,12372,0
2014-02-19,20:00:00,10.76,10.79,10.72,10.763,2352,0
2014-02-19,21:00:00,10.78,10.81,10.74,10.77,4100,0
2014-02-19,22:00:00,10.755,10.77,10.61,10.68,23136,0
2014-02-20,16:00:00,10.7,10.87,10.67,10.67,1400,0
2014-02-20,17:00:00,10.79,10.94,10.785,10.87,5900,0
2014-02-20,18:00:00,10.9543,11,10.9,10.94,10934,0
2014-02-20,19:00:00,10.95,11,10.9,10.95,12032,0
2014-02-20,20:00:00,10.99,11.05,10.94,10.99,12531,0
2014-02-20,21:00:00,10.99,11.02,10.94,11,8800,0
2014-02-20,22:00:00,10.98,11.05,10.91,11.02,36322,0
2014-02-21,16:00:00,11.31,11.31,10.91,11.142,10000,0
2014-02-21,17:00:00,11.21,11.23,11.062,11.105,17392,0
2014-02-21,18:00:00,11.14,11.1981,11.12,11.12,3400,0
2014-02-21,19:00:00,11.12,11.13,11.07,11.07,2300,0
2014-02-21,20:00:00,11.07,11.09,10.99,10.99,3800,0
2014-02-21,21:00:00,10.98,10.9994,10.931,10.97,6572,0
2014-02-21,22:00:00,10.97,10.97,10.78,10.89,19106,0
2014-02-24,16:00:00,10.84,10.9,10.72,10.83,4818,0
2014-02-24,17:00:00,10.77,10.81,10.69,10.75,5700,0
2014-02-24,18:00:00,10.75,10.76,10.59,10.7,14500,0
2014-02-24,19:00:00,10.7,10.72,10.63,10.68,10900,0
2014-02-24,20:00:00,10.68,10.83,10.6572,10.825,7570,0
2014-02-24,21:00:00,10.79,10.79,10.665,10.71,12010,0
2014-02-24,22:00:00,10.699,10.79,10.63,10.73,28734,0
2014-02-25,16:00:00,10.77,10.77,10.77,10.77,1914,0
2014-02-25,17:00:00,10.88,10.88,10.8,10.8,4725,0
2014-02-25,18:00:00,10.76,10.84,10.596,10.7,19870,0
2014-02-25,19:00:00,10.71,10.75,10.65,10.745,4900,0
2014-02-25,20:00:00,10.72,10.73,10.62,10.73,9333,0
2014-02-25,21:00:00,10.7,10.75,10.7,10.74,6556,0
2014-02-25,22:00:00,10.74,10.74,10.59,10.67,26330,0
2014-02-26,17:00:00,10.7245,10.76,10.7245,10.75,1770,0
2014-02-26,18:00:00,10.7188,10.87,10.7188,10.87,9741,0
2014-02-26,19:00:00,10.8492,10.87,10.72,10.79,18668,0
2014-02-26,20:00:00,10.805,10.81,10.74,10.8,3030,0
2014-02-26,21:00:00,10.785,10.82,10.7704,10.8,3715,0
2014-02-26,22:00:00,10.79,10.8,10.72,10.76,11928,0
2014-02-27,16:00:00,10.72,10.72,10.72,10.72,400,0
2014-02-27,17:00:00,10.73,10.73,10.66,10.73,3600,0
2014-02-27,18:00:00,10.76,10.76,10.75,10.76,1200,0
2014-02-27,19:00:00,10.76,10.83,10.74,10.75,1800,0
2014-02-27,20:00:00,10.76,10.79,10.71,10.71,2600,0
2014-02-27,21:00:00,10.71,10.78,10.7,10.72,7200,0
2014-02-27,22:00:00,10.69,10.76,10.67,10.75,32368,0
2014-02-28,16:00:00,10.71,10.71,10.53,10.69,7302,0
2014-02-28,17:00:00,10.698,10.82,10.698,10.79,8900,0
2014-02-28,18:00:00,10.83,11.05,10.81,11.05,49483,0
2014-02-28,19:00:00,11.05,11.05,10.99,11.02,3700,0
2014-02-28,20:00:00,11.04,11.3,10.99,11.3,50730,0
2014-02-28,21:00:00,11.3,11.3,11.13,11.22,21353,0
2014-02-28,22:00:00,11.18,11.24,10.88,10.91,77320,0
2014-03-03,16:00:00,10.92,11.03,10.91,11.03,6388,0
2014-03-03,17:00:00,10.99,10.99,10.7108,10.82,13356,0
2014-03-03,18:00:00,10.78,10.89,10.71,10.77,20413,0
2014-03-03,19:00:00,10.77,11.03,10.77,10.97,4100,0
2014-03-03,20:00:00,10.95,10.9599,10.78,10.78,10180,0
2014-03-03,21:00:00,10.88,10.88,10.79,10.85,2400,0
2014-03-03,22:00:00,10.84,10.88,10.72,10.8,15118,0
2014-03-04,16:00:00,10.93,11.3,10.93,11.3,14820,0
2014-03-04,17:00:00,11.26,11.4,11.06,11.18,36994,0
2014-03-04,18:00:00,11.172,11.19,11.05,11.11,9412,0
2014-03-04,19:00:00,11.07,11.14,11.04,11.09,14483,0
2014-03-04,20:00:00,11.06,11.18,11.06,11.095,12500,0
2014-03-04,21:00:00,11.11,11.19,11.03,11.1,18868,0
2014-03-04,22:00:00,11.13,11.25,11.05,11.16,48745,0
2014-03-05,16:00:00,11.15,11.15,11.055,11.055,1200,0
2014-03-05,17:00:00,11.05,11.19,11.05,11.19,2700,0
2014-03-05,18:00:00,11.21,11.21,11.16,11.195,900,0
2014-03-05,19:00:00,11.21,11.24,11.12,11.12,26112,0
2014-03-05,20:00:00,11.16,11.19,11.16,11.19,574,0
2014-03-05,21:00:00,11.205,11.231,11.15,11.2,4150,0
2014-03-05,22:00:00,11.2,11.2904,11.1,11.21,47607,0
2014-03-06,16:00:00,11.19,11.255,11.169,11.255,6700,0
2014-03-06,17:00:00,11.235,11.235,11.1,11.21,4434,0
2014-03-06,18:00:00,11.17,11.17,11.1,11.1,2100,0
2014-03-06,19:00:00,11.14,11.19,11.08,11.16,3200,0
2014-03-06,20:00:00,11.17,11.19,11.12,11.12,6299,0
2014-03-06,21:00:00,11.12,11.19,11.12,11.18,2500,0
2014-03-06,22:00:00,11.15,11.1899,11.13,11.15,13301,0
2014-03-07,16:00:00,11.22,11.22,11.22,11.22,900,0
2014-03-07,17:00:00,11.19,11.28,11.09,11.09,3100,0
2014-03-07,18:00:00,11.105,11.16,10.93,11,7000,0
2014-03-07,19:00:00,10.94,11.09,10.94,11.02,1000,0
2014-03-07,20:00:00,11.02,11.08,11.01,11.08,1300,0
2014-03-07,21:00:00,11.05,11.08,10.99,11.04,1900,0
2014-03-07,22:00:00,11.08,11.1,11,11.1,9260,0
2014-03-10,15:00:00,10.99,11.0075,10.8165,10.8165,2300,0
2014-03-10,16:00:00,10.842,10.956,10.815,10.88,3800,0
2014-03-10,17:00:00,10.88,11.01,10.88,10.91,11378,0
2014-03-10,18:00:00,10.91,11.06,10.88,10.92,5600,0
2014-03-10,19:00:00,10.967,10.967,10.88,10.92,9013,0
2014-03-10,20:00:00,10.92,10.96,10.88,10.93,6725,0
2014-03-10,21:00:00,10.93,10.97,10.809,10.93,22561,0
2014-03-11,15:00:00,10.98,10.98,10.74,10.74,2500,0
2014-03-11,16:00:00,10.74,10.9,10.74,10.85,2756,0
2014-03-11,17:00:00,10.89,11.0551,10.86,10.97,11920,0
2014-03-11,18:00:00,10.85,10.85,10.81,10.81,1600,0
2014-03-11,19:00:00,10.82,10.82,10.77,10.8,2500,0
2014-03-11,20:00:00,10.73,10.77,10.665,10.73,6100,0
2014-03-11,21:00:00,10.6804,10.7599,10.68,10.75,13911,0
2014-03-12,15:00:00,10.65,10.66,10.65,10.65,500,0
2014-03-12,16:00:00,10.67,10.75,10.65,10.707,5100,0
2014-03-12,17:00:00,10.7,10.76,10.65,10.69,20648,0
2014-03-12,18:00:00,10.66,10.68,10.51,10.57,8030,0
2014-03-12,19:00:00,10.54,10.63,10.54,10.6,7000,0
2014-03-12,20:00:00,10.6,10.6,10.53,10.53,4293,0
2014-03-12,21:00:00,10.54,10.73,10.525,10.67,16940,0
2014-03-13,16:00:00,10.69,10.71,10.69,10.7,8282,0
2014-03-13,17:00:00,10.69,10.7,10.69,10.7,3175,0
2014-03-13,18:00:00,10.69,10.7,10.511,10.57,11157,0
2014-03-13,19:00:00,10.5,10.61,10.5,10.508,9262,0
2014-03-13,20:00:00,10.51,10.56,10.5,10.55,4100,0
2014-03-13,21:00:00,10.55,10.62,10.51,10.56,26493,0
2014-03-14,16:00:00,10.51,10.62,10.51,10.6,2350,0
2014-03-14,17:00:00,10.6,10.6,10.54,10.54,9332,0
2014-03-14,18:00:00,10.51,10.58,10.394,10.58,7395,0
2014-03-14,19:00:00,10.57,10.57,10.441,10.495,3400,0
2014-03-14,20:00:00,10.44,10.59,10.44,10.44,4800,0
2014-03-14,21:00:00,10.47,10.53,10.414,10.51,15660,0
2014-03-17,15:00:00,10.46,10.58,10.46,10.56,1300,0
2014-03-17,16:00:00,10.55,10.61,10.55,10.61,1150,0
2014-03-17,17:00:00,10.6,10.6491,10.5844,10.5844,1700,0
2014-03-17,18:00:00,10.6,10.61,10.492,10.55,5169,0
2014-03-17,19:00:00,10.52,10.62,10.51,10.5728,6113,0
2014-03-17,20:00:00,10.54,10.59,10.47,10.5285,4065,0
2014-03-17,21:00:00,10.552,10.65,10.514,10.56,8272,0
2014-03-18,16:00:00,10.6,10.67,10.58,10.67,11673,0
