Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,18:00:00,9.55,9.55,9.55,9.55,100,0
2014-02-10,22:00:00,9.79,9.93,9.79,9.91,1100,0
2014-02-14,17:00:00,9.4,9.95,9.4,9.95,35910,0
2014-02-14,18:00:00,10.47,10.47,10.47,10.47,1100,0
2014-02-18,17:00:00,10.5,11.4,10.5,10.8,3562,0
2014-02-18,18:00:00,10.7,10.78,10.7,10.7,1208,0
2014-02-18,19:00:00,10.6,10.6,10.5,10.5,600,0
2014-02-18,22:00:00,10.61,10.61,10.45,10.45,1500,0
2014-02-20,17:00:00,19.99,19.99,19.99,19.99,540,0
2014-02-20,19:00:00,12.494,12.494,12.49,12.49,2000,0
2014-02-20,22:00:00,11.95,11.95,11.95,11.95,300,0
2014-02-21,16:00:00,12.99,12.99,12.99,12.99,153,0
2014-02-21,17:00:00,12.98,12.98,12.84,12.84,508,0
2014-02-21,21:00:00,12.47,12.5,12.47,12.5,300,0
2014-02-25,17:00:00,10,10.4,10,10.4,600,0
2014-02-27,18:00:00,10.44,10.44,10.44,10.44,800,0
2014-02-28,18:00:00,10.501,10.501,10.501,10.501,150,0
2014-02-28,22:00:00,11.99,11.99,11,11,1967,0
2014-03-03,21:00:00,11.99,11.99,11.99,11.99,200,0
2014-03-04,19:00:00,11,11.99,11,11.99,14400,0
2014-03-04,21:00:00,10.5,10.64,10.5,10.64,800,0
2014-03-04,22:00:00,10.66,10.66,10.66,10.66,100,0
2014-03-05,17:00:00,11.9546,11.9546,11.95,11.95,300,0
2014-03-05,18:00:00,10.6,10.6,10.6,10.6,710,0
2014-03-05,20:00:00,10.4001,10.4001,10.4001,10.4001,1000,0
2014-03-05,22:00:00,10.6,10.6,10.6,10.6,100,0
2014-03-06,16:00:00,10.71,11,10.71,11,2026,0
2014-03-06,18:00:00,11.001,11.91,11,11.0125,2200,0
2014-03-06,19:00:00,11.0125,11.79,10.4,11.79,7904,0
2014-03-07,17:00:00,11.3,11.35,11.3,11.3,1500,0
2014-03-10,16:00:00,11.3129,11.313,11.3,11.313,3880,0
2014-03-10,19:00:00,11.3,11.3,11.3,11.3,200,0
2014-03-11,16:00:00,11.3,11.3,11.3,11.3,165,0
2014-03-14,18:00:00,10.9,10.9,10.9,10.9,100,0
2014-03-17,15:00:00,10.64,10.64,10.64,10.64,1000,0
2014-03-17,16:00:00,11.25,11.25,11.25,11.25,200,0
2014-03-17,17:00:00,11.24,11.24,11.24,11.24,500,0
2014-03-17,19:00:00,11.24,11.24,11.15,11.24,400,0
2014-03-17,20:00:00,11.24,11.24,11.24,11.24,400,0
2014-03-17,21:00:00,11.25,11.29,11.24,11.28,2600,0
2014-03-18,16:00:00,11.2,11.2,11.2,11.2,500,0
2014-03-18,17:00:00,11.1,11.1,11.1,11.1,200,0
2014-03-18,18:00:00,11.1,11.1,11.1,11.1,200,0
2014-03-18,19:00:00,11.1,11.2,11.1,11.2,1665,0
2014-03-18,20:00:00,11.2,11.2,11.2,11.2,400,0
2014-03-18,21:00:00,11.2,11.29,11.2,11.29,1000,0
2014-03-19,15:00:00,11.1759,11.1759,11.1759,11.1759,500,0
2014-03-19,16:00:00,11.29,11.29,11.29,11.29,200,0
2014-03-19,17:00:00,11.29,11.29,11.29,11.29,400,0
2014-03-19,18:00:00,11.29,11.29,11.29,11.29,300,0
2014-03-19,19:00:00,11.29,11.29,11.29,11.29,300,0
2014-03-19,20:00:00,11.29,11.29,11.29,11.29,300,0
2014-03-19,21:00:00,11.29,11.29,11.29,11.29,1100,0
2014-03-20,16:00:00,11.29,11.29,11.29,11.29,400,0
2014-03-20,17:00:00,11.29,11.29,11.29,11.29,300,0
2014-03-20,18:00:00,11.29,11.29,11.29,11.29,200,0
2014-03-20,19:00:00,11.29,11.29,11.29,11.29,200,0
2014-03-20,20:00:00,11.29,11.29,11.29,11.29,200,0
2014-03-20,21:00:00,11.29,11.3,11.29,11.3,1188,0
2014-03-21,18:00:00,10.69,11.3,10.2,11,1535,0
2014-03-21,19:00:00,11.27,11.27,11.27,11.27,100,0
2014-03-21,20:00:00,11.27,11.3,11.27,11.3,800,0
2014-03-21,21:00:00,11.3,11.3,10.82,11.3,1344,0
2014-03-24,18:00:00,10.3,10.79,10.3,10.79,200,0
2014-03-24,19:00:00,10.79,10.79,10.79,10.79,100,0
2014-03-24,20:00:00,10.79,11.1,10.79,10.9,3400,0
2014-03-24,21:00:00,10.84,10.89,10.83,10.83,700,0
2014-03-28,17:00:00,11.15,11.29,11.1,11.1,1200,0
2014-03-28,19:00:00,11.1,11.29,11.1,11.29,1900,0
2014-03-28,20:00:00,11.1,11.1,11.1,11.1,200,0
2014-03-31,16:00:00,11.28,11.2999,11.28,11.2919,1100,0
2014-03-31,21:00:00,11.3,11.3,11.3,11.3,100,0
2014-04-01,17:00:00,11.3,11.3,11.3,11.3,500,0
2014-04-03,21:00:00,11.3,11.3,11.3,11.3,200,0
2014-04-04,21:00:00,11.16,11.16,11.16,11.16,200,0
