Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-11,17:00:00,4.49,4.5,4.49,4.5,600,0
2014-02-11,18:00:00,4.5,4.5,4.481,4.481,3300,0
2014-02-11,19:00:00,4.464,4.47,4.464,4.47,4830,0
2014-02-11,20:00:00,4.47,4.5,4.16,4.39,7568,0
2014-02-11,21:00:00,4.2501,4.4,4.2501,4.35,5372,0
2014-02-11,22:00:00,4.47,4.47,4.2514,4.2514,1100,0
2014-02-12,17:00:00,4.5,4.5,4.4323,4.4323,1302,0
2014-02-12,19:00:00,4.45,4.45,4.45,4.45,100,0
2014-02-12,22:00:00,4.44,4.44,4.44,4.44,100,0
2014-02-13,16:00:00,4.44,4.44,4.44,4.44,2700,0
2014-02-13,18:00:00,4.43,4.501,4.43,4.47,8143,0
2014-02-13,19:00:00,4.45,4.45,4.39,4.4,3210,0
2014-02-13,22:00:00,4.44,4.49,4.4,4.49,4090,0
2014-02-14,22:00:00,4.45,4.47,4.45,4.47,300,0
2014-02-18,16:00:00,4.47,4.79,4.47,4.79,1974,0
2014-02-18,17:00:00,4.53,4.55,4.47,4.47,9416,0
2014-02-18,18:00:00,4.55,4.55,4.51,4.53,1350,0
2014-02-18,21:00:00,4.77,4.77,4.57,4.57,595,0
2014-02-19,16:00:00,4.47,4.47,4.47,4.47,495,0
2014-02-19,17:00:00,4.5,4.5684,4.5,4.52,2600,0
2014-02-19,18:00:00,4.5353,4.5353,4.5353,4.5353,495,0
2014-02-19,19:00:00,4.5,4.55,4.5,4.55,6300,0
2014-02-19,22:00:00,4.69,4.69,4.69,4.69,200,0
2014-02-20,17:00:00,4.534,4.624,4.534,4.624,2069,0
2014-02-20,19:00:00,4.61,4.61,4.52,4.52,1200,0
2014-02-20,20:00:00,4.61,4.61,4.48,4.5,18100,0
2014-02-20,21:00:00,4.52,4.52,4.52,4.52,100,0
2014-02-20,22:00:00,4.5,4.57,4.5,4.545,12000,0
2014-02-21,18:00:00,4.5001,4.79,4.5001,4.77,2800,0
2014-02-21,19:00:00,4.66,4.66,4.66,4.66,500,0
2014-02-21,21:00:00,4.53,4.54,4.5,4.51,10150,0
2014-02-24,16:00:00,4.5,4.5,4.5,4.5,400,0
2014-02-24,17:00:00,4.57,4.61,4.57,4.608,3600,0
2014-02-24,19:00:00,4.68,4.68,4.54,4.54,700,0
2014-02-24,22:00:00,4.55,4.62,4.55,4.62,1000,0
2014-02-25,16:00:00,4.52,4.53,4.5,4.5,47712,0
2014-02-25,17:00:00,4.5,4.51,4.49,4.5,7100,0
