Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,4.53,4.54,4.38,4.391,517204,0
2014-02-10,17:00:00,4.39,4.58,4.39,4.5,2266260,0
2014-02-10,18:00:00,4.5,4.63,4.5,4.6,1733337,0
2014-02-10,19:00:00,4.6,4.63,4.59,4.6,656102,0
2014-02-10,20:00:00,4.6,4.61,4.48,4.48,671987,0
2014-02-10,21:00:00,4.48,4.49,4.43,4.4501,407389,0
2014-02-10,22:00:00,4.45,4.48,4.43,4.43,769180,0
2014-02-11,16:00:00,4.54,4.72,4.52,4.6799,931159,0
2014-02-11,17:00:00,4.68,4.7,4.56,4.58,932410,0
2014-02-11,18:00:00,4.585,4.63,4.58,4.61,785066,0
2014-02-11,19:00:00,4.605,4.62,4.57,4.59,378030,0
2014-02-11,20:00:00,4.59,4.605,4.59,4.595,492123,0
2014-02-11,21:00:00,4.595,4.62,4.59,4.6099,438500,0
2014-02-11,22:00:00,4.605,4.61,4.57,4.6,1041019,0
2014-02-12,16:00:00,4.61,4.65,4.57,4.59,447129,0
2014-02-12,17:00:00,4.59,4.595,4.54,4.575,854607,0
2014-02-12,18:00:00,4.58,4.59,4.54,4.55,985663,0
2014-02-12,19:00:00,4.55,4.59,4.55,4.579,492298,0
2014-02-12,20:00:00,4.57,4.58,4.55,4.55,236401,0
2014-02-12,21:00:00,4.55,4.56,4.54,4.555,277067,0
2014-02-12,22:00:00,4.555,4.56,4.52,4.52,819465,0
2014-02-13,16:00:00,4.5,4.55,4.49,4.5,336307,0
2014-02-13,17:00:00,4.5,4.58,4.49,4.57,359959,0
2014-02-13,18:00:00,4.5601,4.579,4.55,4.57,201321,0
2014-02-13,19:00:00,4.57,4.6,4.55,4.595,594177,0
2014-02-13,20:00:00,4.59,4.61,4.57,4.5999,419541,0
2014-02-13,21:00:00,4.59,4.6,4.57,4.58,257476,0
2014-02-13,22:00:00,4.58,4.6,4.57,4.59,575166,0
2014-02-14,16:00:00,4.59,4.6,4.56,4.59,289385,0
2014-02-14,17:00:00,4.59,4.62,4.57,4.6,256333,0
2014-02-14,18:00:00,4.5901,4.6,4.57,4.58,126717,0
2014-02-14,19:00:00,4.57,4.61,4.57,4.59,185685,0
2014-02-14,20:00:00,4.5801,4.6,4.58,4.59,121568,0
2014-02-14,21:00:00,4.59,4.64,4.5815,4.615,352075,0
2014-02-14,22:00:00,4.615,4.62,4.59,4.59,499389,0
2014-02-18,16:00:00,4.62,4.64,4.53,4.5499,390913,0
2014-02-18,17:00:00,4.5499,4.65,4.53,4.63,998182,0
2014-02-18,18:00:00,4.6201,4.74,4.62,4.7,1092159,0
2014-02-18,19:00:00,4.695,4.72,4.69,4.7,471830,0
2014-02-18,20:00:00,4.69,4.71,4.69,4.695,335290,0
2014-02-18,21:00:00,4.7,4.73,4.69,4.705,533413,0
2014-02-18,22:00:00,4.7,4.71,4.67,4.68,896592,0
2014-02-19,16:00:00,4.73,4.82,4.73,4.76,494845,0
2014-02-19,17:00:00,4.769,4.78,4.71,4.7399,528399,0
2014-02-19,18:00:00,4.735,4.81,4.73,4.8,547132,0
2014-02-19,19:00:00,4.79,4.81,4.78,4.78,436188,0
2014-02-19,20:00:00,4.78,4.84,4.775,4.81,491937,0
2014-02-19,21:00:00,4.82,4.84,4.795,4.82,360668,0
2014-02-19,22:00:00,4.82,4.825,4.71,4.71,1419575,0
2014-02-20,16:00:00,4.8,4.82,4.72,4.7488,389044,0
2014-02-20,17:00:00,4.74,4.74,4.65,4.67,682617,0
2014-02-20,18:00:00,4.66,4.7,4.65,4.67,379214,0
2014-02-20,19:00:00,4.68,4.7,4.65,4.67,396021,0
2014-02-20,20:00:00,4.67,4.68,4.65,4.67,295618,0
2014-02-20,21:00:00,4.67,4.67,4.59,4.598,1294965,0
2014-02-20,22:00:00,4.595,4.61,4.56,4.57,1504554,0
2014-02-21,16:00:00,4.59,4.63,4.54,4.55,686150,0
2014-02-21,17:00:00,4.56,4.58,4.53,4.56,519846,0
2014-02-21,18:00:00,4.569,4.57,4.56,4.565,263260,0
2014-02-21,19:00:00,4.565,4.58,4.55,4.5585,596218,0
2014-02-21,20:00:00,4.555,4.58,4.54,4.56,680463,0
2014-02-21,21:00:00,4.55,4.56,4.53,4.545,217243,0
2014-02-21,22:00:00,4.5499,4.56,4.53,4.54,532943,0
2014-02-24,16:00:00,4.57,4.63,4.55,4.6,649586,0
2014-02-24,17:00:00,4.61,4.63,4.59,4.598,1325263,0
2014-02-24,18:00:00,4.595,4.62,4.59,4.6,840697,0
2014-02-24,19:00:00,4.605,4.68,4.59,4.68,3113391,0
2014-02-24,20:00:00,4.68,4.74,4.66,4.73,1409112,0
2014-02-24,21:00:00,4.725,4.75,4.72,4.725,1160574,0
2014-02-24,22:00:00,4.72,4.75,4.72,4.73,1212262,0
2014-02-25,16:00:00,4.78,4.8,4.681,4.72,758357,0
2014-02-25,17:00:00,4.715,4.74,4.688,4.73,608108,0
2014-02-25,18:00:00,4.73,4.8,4.72,4.79,745347,0
2014-02-25,19:00:00,4.785,4.81,4.78,4.79,663123,0
2014-02-25,20:00:00,4.795,4.8,4.77,4.775,394690,0
2014-02-25,21:00:00,4.78,4.78,4.755,4.765,326709,0
2014-02-25,22:00:00,4.77,4.78,4.74,4.74,1012489,0
2014-02-26,16:00:00,4.77,4.81,4.7501,4.77,346691,0
2014-02-26,17:00:00,4.78,4.8,4.755,4.76,595937,0
2014-02-26,18:00:00,4.7599,4.79,4.75,4.77,265223,0
2014-02-26,19:00:00,4.76,4.78,4.74,4.77,586086,0
2014-02-26,20:00:00,4.775,4.79,4.75,4.784,547650,0
2014-02-26,21:00:00,4.78,4.79,4.75,4.765,617765,0
2014-02-26,22:00:00,4.76,4.77,4.74,4.75,565982,0
2014-02-27,16:00:00,4.74,4.74,4.61,4.6399,616583,0
2014-02-27,17:00:00,4.64,4.67,4.62,4.645,451989,0
2014-02-27,18:00:00,4.65,4.6799,4.64,4.67,417869,0
2014-02-27,19:00:00,4.66,4.67,4.65,4.67,179687,0
2014-02-27,20:00:00,4.665,4.68,4.66,4.67,223326,0
2014-02-27,21:00:00,4.67,4.68,4.65,4.66,203264,0
2014-02-27,22:00:00,4.6599,4.71,4.65,4.7,662885,0
2014-02-28,16:00:00,4.72,4.741,4.68,4.7099,291211,0
2014-02-28,17:00:00,4.71,4.73,4.7,4.7,377463,0
2014-02-28,18:00:00,4.705,4.72,4.69,4.69,292667,0
2014-02-28,19:00:00,4.6915,4.71,4.69,4.7,346581,0
2014-02-28,20:00:00,4.7,4.785,4.7,4.76,1073250,0
2014-02-28,21:00:00,4.76,4.79,4.76,4.77,927164,0
2014-02-28,22:00:00,4.77,4.8,4.73,4.76,1896965,0
2014-03-03,16:00:00,4.77,4.92,4.75,4.86,593179,0
2014-03-03,17:00:00,4.86,4.86,4.78,4.7999,532864,0
2014-03-03,18:00:00,4.8,4.81,4.78,4.78,398140,0
2014-03-03,19:00:00,4.78,4.7883,4.73,4.73,410567,0
2014-03-03,20:00:00,4.73,4.77,4.73,4.76,316065,0
2014-03-03,21:00:00,4.76,4.8,4.76,4.775,298432,0
2014-03-03,22:00:00,4.78,4.78,4.77,4.77,422361,0
2014-03-04,16:00:00,4.84,4.88,4.77,4.82,407136,0
2014-03-04,17:00:00,4.82,4.835,4.7885,4.82,281994,0
2014-03-04,18:00:00,4.815,4.82,4.78,4.8,563562,0
2014-03-04,19:00:00,4.795,4.8,4.78,4.795,325566,0
2014-03-04,20:00:00,4.795,4.8,4.78,4.8,203453,0
2014-03-04,21:00:00,4.79,4.8,4.78,4.79,155638,0
2014-03-04,22:00:00,4.79,4.82,4.79,4.8,653460,0
2014-03-05,16:00:00,4.77,4.8,4.74,4.75,230490,0
