Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,14.42,14.79,14.37,14.7,1232884,0
2014-02-10,17:00:00,14.7,14.73,14.53,14.67,1665838,0
2014-02-10,18:00:00,14.67,14.75,14.61,14.67,857300,0
2014-02-10,19:00:00,14.6743,14.68,14.36,14.44,1090595,0
2014-02-10,20:00:00,14.42,14.42,14.07,14.29,1492575,0
2014-02-10,21:00:00,14.29,14.39,14.2501,14.325,860070,0
2014-02-10,22:00:00,14.32,14.34,14.25,14.29,1310673,0
2014-02-11,16:00:00,14.37,14.479,14.14,14.3799,646248,0
2014-02-11,17:00:00,14.3701,14.38,14.12,14.21,1369578,0
2014-02-11,18:00:00,14.23,14.29,14.18,14.25,733817,0
2014-02-11,19:00:00,14.25,14.61,14.24,14.59,1508160,0
2014-02-11,20:00:00,14.585,14.6,14.4,14.44,762580,0
2014-02-11,21:00:00,14.4458,14.46,14.35,14.415,751983,0
2014-02-11,22:00:00,14.415,14.52,14.37,14.41,1336769,0
2014-02-12,16:00:00,14.4,14.47,14.28,14.4,791129,0
2014-02-12,17:00:00,14.4,14.4,14.1,14.14,2024635,0
2014-02-12,18:00:00,14.13,14.19,13.84,13.889,2423932,0
2014-02-12,19:00:00,13.89,13.98,13.8,13.9,1364635,0
2014-02-12,20:00:00,13.9076,14,13.85,13.96,946943,0
2014-02-12,21:00:00,13.965,13.97,13.8,13.898,1187674,0
2014-02-12,22:00:00,13.9,13.92,13.84,13.87,2013731,0
2014-02-13,16:00:00,13.5,14.04,13.49,13.785,2756124,0
2014-02-13,17:00:00,13.76,14.2175,13.68,14.17,2717772,0
2014-02-13,18:00:00,14.17,14.41,14.05,14.34,2071873,0
2014-02-13,19:00:00,14.3483,14.35,14.21,14.26,838024,0
2014-02-13,20:00:00,14.255,14.31,14.19,14.2101,552281,0
2014-02-13,21:00:00,14.22,14.26,14.06,14.18,705151,0
2014-02-13,22:00:00,14.175,14.2,14.06,14.13,1093660,0
2014-02-14,16:00:00,14.28,14.3267,13.81,13.8701,1318035,0
2014-02-14,17:00:00,13.875,13.891,13.7,13.739,2212995,0
2014-02-14,18:00:00,13.73,13.99,13.72,13.8986,870668,0
2014-02-14,19:00:00,13.9,13.9785,13.859,13.9099,424350,0
2014-02-14,20:00:00,13.9,13.96,13.8714,13.89,372468,0
2014-02-14,21:00:00,13.89,13.93,13.8,13.8299,685975,0
2014-02-14,22:00:00,13.8274,13.84,13.76,13.79,1362860,0
2014-02-18,16:00:00,13.63,13.665,13.4,13.45,2147052,0
2014-02-18,17:00:00,13.45,13.55,13.32,13.55,2089929,0
2014-02-18,18:00:00,13.55,13.555,13.43,13.44,980365,0
2014-02-18,19:00:00,13.45,13.49,13.36,13.4,634566,0
2014-02-18,20:00:00,13.4,13.43,13.38,13.43,356257,0
2014-02-18,21:00:00,13.43,13.43,13.38,13.38,520732,0
2014-02-18,22:00:00,13.39,13.47,13.38,13.44,1182061,0
2014-02-19,16:00:00,13.55,13.73,13.4899,13.579,847901,0
2014-02-19,17:00:00,13.58,13.58,13.44,13.44,661493,0
2014-02-19,18:00:00,13.44,13.52,13.401,13.41,529999,0
2014-02-19,19:00:00,13.41,13.46,13.34,13.439,394670,0
2014-02-19,20:00:00,13.44,13.47,13.38,13.389,291522,0
2014-02-19,21:00:00,13.3826,13.42,13.34,13.404,418031,0
2014-02-19,22:00:00,13.4011,13.42,13.2601,13.32,1286464,0
2014-02-20,16:00:00,13.31,13.53,13.26,13.4,713510,0
2014-02-20,17:00:00,13.42,13.66,13.37,13.61,897788,0
2014-02-20,18:00:00,13.62,13.65,13.53,13.58,447764,0
2014-02-20,19:00:00,13.59,13.62,13.56,13.6,248974,0
2014-02-20,20:00:00,13.6,13.64,13.56,13.57,322527,0
2014-02-20,21:00:00,13.58,13.8799,13.57,13.84,2463234,0
2014-02-20,22:00:00,13.8399,13.9,13.82,13.84,1246077,0
2014-02-21,16:00:00,13.9,14,13.765,13.78,723541,0
2014-02-21,17:00:00,13.77,13.82,13.67,13.77,739683,0
2014-02-21,18:00:00,13.77,13.79,13.69,13.79,673887,0
2014-02-21,19:00:00,13.79,13.84,13.76,13.83,330024,0
2014-02-21,20:00:00,13.83,13.8401,13.78,13.78,275057,0
2014-02-21,21:00:00,13.79,13.81,13.51,13.57,1054060,0
2014-02-21,22:00:00,13.58,13.61,13.4,13.42,1620147,0
2014-02-24,16:00:00,13.47,13.61,13.37,13.46,613020,0
2014-02-24,17:00:00,13.46,13.75,13.44,13.721,798707,0
2014-02-24,18:00:00,13.721,13.76,13.66,13.685,622106,0
2014-02-24,19:00:00,13.69,13.71,13.63,13.64,295496,0
2014-02-24,20:00:00,13.65,13.653,13.56,13.6,221220,0
2014-02-24,21:00:00,13.61,13.66,13.57,13.58,298123,0
2014-02-24,22:00:00,13.5849,13.62,13.56,13.58,613655,0
2014-02-25,16:00:00,13.65,13.7,13.42,13.49,619101,0
2014-02-25,17:00:00,13.49,13.52,13.39,13.45,1138871,0
2014-02-25,18:00:00,13.45,13.64,13.45,13.53,856251,0
2014-02-25,19:00:00,13.53,13.55,13.42,13.449,402738,0
2014-02-25,20:00:00,13.45,13.5,13.41,13.459,435169,0
2014-02-25,21:00:00,13.451,13.5101,13.44,13.48,325176,0
2014-02-25,22:00:00,13.48,13.53,13.42,13.47,877970,0
2014-02-26,16:00:00,13.59,13.68,13.45,13.55,502887,0
2014-02-26,17:00:00,13.53,13.79,13.5,13.7401,1378308,0
2014-02-26,18:00:00,13.7499,14.1,13.73,14.03,1984337,0
2014-02-26,19:00:00,14.0299,14.17,14,14.09,1115704,0
2014-02-26,20:00:00,14.082,14.11,13.96,14.05,935621,0
2014-02-26,21:00:00,14.04,14.1,13.76,13.8,989384,0
2014-02-26,22:00:00,13.81,13.905,13.77,13.85,943038,0
2014-02-27,16:00:00,14.014,14.29,13.95,14.2,1113147,0
2014-02-27,17:00:00,14.2,14.29,14.02,14.11,1449877,0
2014-02-27,18:00:00,14.105,14.15,14.02,14.06,569537,0
2014-02-27,19:00:00,14.06,14.08,13.91,13.95,427106,0
2014-02-27,20:00:00,13.95,13.98,13.87,13.97,310250,0
2014-02-27,21:00:00,13.97,14.0154,13.89,13.9215,429538,0
2014-02-27,22:00:00,13.935,13.99,13.9,13.9499,709071,0
2014-02-28,16:00:00,14,14.27,13.985,14.17,931273,0
2014-02-28,17:00:00,14.179,14.2,14.04,14.05,880042,0
2014-02-28,18:00:00,14.049,14.08,13.93,14.04,488403,0
2014-02-28,19:00:00,14.0385,14.09,14.01,14.04,276830,0
2014-02-28,20:00:00,14.0445,14.05,13.88,13.93,463857,0
2014-02-28,21:00:00,13.92,13.93,13.69,13.77,1010600,0
