Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,14.015,14.083,13.957,14.083,10774,0
2014-02-10,17:00:00,14.044,14.074,14.044,14.073,3899,0
2014-02-10,18:00:00,14.083,14.086,14.005,14.028,13448,0
2014-02-10,19:00:00,14.063,14.073,14.015,14.034,7208,0
2014-02-10,20:00:00,14.024,14.083,14.024,14.054,2876,0
2014-02-10,21:00:00,14.054,14.083,14.054,14.063,2466,0
2014-02-10,22:00:00,14.063,14.083,14.005,14.083,9253,0
2014-02-11,16:00:00,14.093,14.122,14.093,14.112,4171,0
2014-02-11,17:00:00,14.064,14.278,14.064,14.219,19524,0
2014-02-11,18:00:00,14.251,14.278,14.239,14.239,8739,0
2014-02-11,19:00:00,14.239,14.278,14.239,14.268,17913,0
2014-02-11,20:00:00,14.268,14.278,14.249,14.249,13062,0
2014-02-11,21:00:00,14.249,14.249,14.141,14.229,11093,0
2014-02-11,22:00:00,14.229,14.249,14.18,14.229,39728,0
2014-02-12,16:00:00,14.283,14.372,14.283,14.372,5142,0
2014-02-12,17:00:00,14.374,14.381,14.332,14.342,8171,0
2014-02-12,18:00:00,14.352,14.352,14.293,14.293,17190,0
2014-02-12,19:00:00,14.342,14.342,14.293,14.332,10696,0
2014-02-12,20:00:00,14.293,14.332,14.254,14.301,6367,0
2014-02-12,21:00:00,14.273,14.283,14.244,14.244,32302,0
2014-02-12,22:00:00,14.244,14.249,14.155,14.205,16545,0
2014-02-13,16:00:00,14.195,14.205,14.187,14.205,1527,0
2014-02-13,17:00:00,14.195,14.223,14.155,14.167,7757,0
2014-02-13,18:00:00,14.165,14.238,14.146,14.238,15534,0
2014-02-13,19:00:00,14.175,14.214,14.165,14.214,2875,0
2014-02-13,20:00:00,14.195,14.244,14.195,14.24,2802,0
2014-02-13,21:00:00,14.244,14.244,14.224,14.235,2290,0
2014-02-13,22:00:00,14.234,14.244,14.224,14.224,10630,0
2014-02-14,16:00:00,14.244,14.322,14.224,14.264,3147,0
2014-02-14,17:00:00,14.235,14.332,14.205,14.332,9437,0
2014-02-14,18:00:00,14.342,14.372,14.224,14.362,10586,0
2014-02-14,19:00:00,14.352,14.362,14.322,14.362,2275,0
2014-02-14,20:00:00,14.293,14.3,14.244,14.244,11403,0
2014-02-14,21:00:00,14.244,14.263,14.195,14.244,6750,0
2014-02-14,22:00:00,14.214,14.244,14.195,14.205,9839,0
2014-02-18,16:00:00,14.303,14.372,14.214,14.361,3596,0
2014-02-18,17:00:00,14.361,14.362,14.283,14.362,8097,0
2014-02-18,18:00:00,14.362,14.362,14.322,14.362,4513,0
2014-02-18,19:00:00,14.362,14.362,14.33,14.361,5483,0
2014-02-18,20:00:00,14.362,14.362,14.214,14.332,15270,0
2014-02-18,21:00:00,14.337,14.352,14.244,14.352,9268,0
2014-02-18,22:00:00,14.313,14.352,14.303,14.352,13137,0
2014-02-19,16:00:00,14.352,14.361,14.303,14.348,1832,0
2014-02-19,17:00:00,14.309,14.362,14.303,14.362,8421,0
2014-02-19,18:00:00,14.362,14.362,14.342,14.362,14296,0
2014-02-19,19:00:00,14.352,14.362,14.342,14.352,11450,0
2014-02-19,20:00:00,14.352,14.362,14.342,14.362,5491,0
2014-02-19,21:00:00,14.362,14.372,14.352,14.372,8597,0
2014-02-19,22:00:00,14.362,14.381,14.322,14.322,25914,0
2014-02-20,16:00:00,14.381,14.391,14.33,14.372,18113,0
2014-02-20,17:00:00,14.372,14.372,14.323,14.362,3980,0
2014-02-20,18:00:00,14.363,14.372,14.362,14.372,3594,0
2014-02-20,19:00:00,14.362,14.372,14.339,14.372,2748,0
2014-02-20,20:00:00,14.333,14.372,14.313,14.322,17914,0
2014-02-20,21:00:00,14.332,14.372,14.274,14.363,7309,0
2014-02-20,22:00:00,14.362,14.362,14.293,14.293,7166,0
2014-02-21,16:00:00,14.293,14.372,14.274,14.342,2097,0
2014-02-21,17:00:00,14.342,14.362,14.332,14.332,5503,0
2014-02-21,18:00:00,14.293,14.362,14.266,14.362,8445,0
2014-02-21,19:00:00,14.362,14.362,14.352,14.362,3519,0
2014-02-21,20:00:00,14.362,14.362,14.342,14.362,6260,0
2014-02-21,21:00:00,14.359,14.362,14.342,14.362,2952,0
2014-02-21,22:00:00,14.362,14.362,14.342,14.362,12922,0
2014-02-24,16:00:00,14.303,14.362,14.273,14.352,5239,0
2014-02-24,17:00:00,14.362,14.362,14.322,14.322,2585,0
2014-02-24,18:00:00,14.361,14.362,14.323,14.362,9230,0
2014-02-24,19:00:00,14.342,14.362,14.342,14.362,3258,0
2014-02-24,20:00:00,14.332,14.381,14.332,14.381,3664,0
2014-02-24,21:00:00,14.352,14.372,14.322,14.322,8255,0
2014-02-24,22:00:00,14.322,14.362,14.322,14.342,22195,0
2014-02-25,16:00:00,14.381,14.381,14.293,14.293,4704,0
2014-02-25,17:00:00,14.322,14.322,14.283,14.293,9596,0
2014-02-25,18:00:00,14.293,14.313,14.283,14.298,2342,0
2014-02-25,19:00:00,14.293,14.332,14.273,14.332,3720,0
2014-02-25,20:00:00,14.293,14.293,14.273,14.273,5421,0
2014-02-25,21:00:00,14.273,14.273,14.163,14.185,6474,0
2014-02-25,22:00:00,14.155,14.155,14.097,14.146,21028,0
2014-02-26,16:00:00,14.136,14.195,14.106,14.126,9844,0
2014-02-26,17:00:00,14.146,14.322,14.146,14.322,10344,0
2014-02-26,18:00:00,14.322,14.391,14.293,14.352,8293,0
2014-02-26,19:00:00,14.381,14.391,14.244,14.244,34831,0
2014-02-26,20:00:00,14.309,14.342,14.303,14.342,2138,0
2014-02-26,21:00:00,14.332,14.332,14.195,14.283,6907,0
2014-02-26,22:00:00,14.283,14.332,14.097,14.106,27169,0
2014-02-27,16:00:00,14.155,14.223,14.155,14.221,7227,0
2014-02-27,17:00:00,14.224,14.342,14.22,14.254,5334,0
2014-02-27,18:00:00,14.254,14.332,14.254,14.273,5102,0
2014-02-27,19:00:00,14.273,14.303,14.273,14.293,2545,0
2014-02-27,20:00:00,14.283,14.303,14.283,14.283,4957,0
2014-02-27,21:00:00,14.254,14.303,14.195,14.244,6096,0
2014-02-27,22:00:00,14.244,14.254,14.195,14.254,16768,0
2014-02-28,16:00:00,14.313,14.362,14.285,14.285,4348,0
2014-02-28,17:00:00,14.332,14.362,14.332,14.362,6861,0
2014-02-28,18:00:00,14.358,14.362,14.342,14.342,6361,0
2014-02-28,19:00:00,14.326,14.352,14.303,14.323,2240,0
2014-02-28,20:00:00,14.332,14.342,14.294,14.294,4622,0
2014-02-28,21:00:00,14.293,14.332,14.293,14.332,4100,0
2014-02-28,22:00:00,14.307,14.342,14.244,14.313,34625,0
2014-03-03,16:00:00,14.254,14.254,14.156,14.254,1822,0
2014-03-03,17:00:00,14.234,14.342,14.225,14.342,7940,0
2014-03-03,18:00:00,14.322,14.342,14.234,14.293,5942,0
2014-03-03,19:00:00,14.322,14.322,14.244,14.244,3061,0
2014-03-03,20:00:00,14.264,14.293,14.234,14.244,1730,0
2014-03-03,21:00:00,14.264,14.293,14.264,14.264,2545,0
2014-03-03,22:00:00,14.195,14.254,14.077,14.087,20132,0
2014-03-04,16:00:00,14.175,14.293,14.106,14.293,29617,0
2014-03-04,17:00:00,14.293,14.362,14.264,14.313,11035,0
2014-03-04,18:00:00,14.264,14.332,14.244,14.332,6452,0
2014-03-04,19:00:00,14.303,14.303,14.234,14.283,7555,0
2014-03-04,20:00:00,14.308,14.313,14.234,14.244,10104,0
2014-03-04,21:00:00,14.234,14.283,14.185,14.185,14127,0
2014-03-04,22:00:00,14.185,14.205,13.959,13.959,59543,0
2014-03-05,16:00:00,14.205,14.205,13.969,13.969,6808,0
2014-03-05,17:00:00,13.979,14.028,13.979,13.979,3868,0
