Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-21,20:00:00,8.69,8.69,8.6,8.61,500,0
2014-02-24,20:00:00,8.68,8.68,8.61,8.64,700,0
2014-02-26,18:00:00,8.59,8.69,8.59,8.69,902,0
2014-02-27,18:00:00,8.6,8.6,8.6,8.6,400,0
2014-02-27,19:00:00,8.7,8.7,8.7,8.7,960,0
2014-03-06,20:00:00,8.56,8.96,8.56,8.62,6700,0
2014-03-10,19:00:00,8.71,8.71,8.6,8.6,800,0
2014-03-10,21:00:00,8.52,8.52,8.52,8.52,200,0
2014-03-12,21:00:00,8.64,8.7,8.61,8.67,127663,0
2014-03-13,15:00:00,8.65,8.65,8.64,8.64,200,0
2014-03-13,17:00:00,8.68,8.71,8.63,8.64,82700,0
2014-03-13,20:00:00,8.626,8.71,8.626,8.65,53000,0
2014-03-13,21:00:00,8.63,8.68,8.6,8.65,87900,0
2014-03-14,15:00:00,8.71,8.71,8.6,8.6,2500,0
2014-03-14,17:00:00,8.61,8.65,8.61,8.65,24526,0
2014-03-14,18:00:00,8.63,8.66,8.63,8.66,31322,0
2014-03-14,19:00:00,8.64,8.71,8.63,8.64,36798,0
2014-03-17,16:00:00,8.55,8.925,8.55,8.72,63200,0
2014-03-17,17:00:00,8.685,9,8.62,8.64,55200,0
2014-03-18,15:00:00,8.6,8.91,8.6,8.666,16000,0
2014-03-18,16:00:00,8.66,8.66,8.65,8.65,4100,0
2014-03-18,18:00:00,8.64,8.64,8.64,8.64,100,0
2014-03-18,21:00:00,8.64,8.64,8.64,8.64,400,0
2014-03-19,16:00:00,8.86,8.86,8.63,8.64,2008,0
2014-03-19,17:00:00,8.65,8.65,8.65,8.65,100,0
2014-03-20,16:00:00,8.6,8.61,8.59,8.61,500,0
2014-03-20,17:00:00,8.68,8.68,8.59,8.66,2754,0
2014-03-20,18:00:00,8.65,8.65,8.65,8.65,500,0
2014-03-20,19:00:00,8.64,8.66,8.64,8.66,900,0
2014-03-20,20:00:00,8.66,8.91,8.62,8.814,49650,0
2014-03-20,21:00:00,8.77,8.84,8.655,8.67,28099,0
2014-03-21,17:00:00,8.75,8.75,8.69,8.69,300,0
2014-03-21,19:00:00,8.626,8.65,8.626,8.65,200,0
2014-03-24,19:00:00,8.79,8.79,8.7,8.7,400,0
2014-03-24,21:00:00,8.67,8.67,8.67,8.67,200,0
2014-03-26,16:00:00,8.7,8.7,8.7,8.7,800,0
2014-03-26,18:00:00,8.71,8.71,8.71,8.71,100,0
2014-03-28,17:00:00,8.7,8.7,8.7,8.7,100,0
2014-03-28,20:00:00,8.7,8.79,8.7,8.7,800,0
2014-03-31,16:00:00,8.68,8.7,8.68,8.7,200,0
2014-03-31,21:00:00,8.72,8.72,8.72,8.72,300,0
2014-03-31,22:00:00,8.72,8.72,8.72,8.72,200,0
2014-04-01,22:00:00,8.7701,8.7701,8.73,8.75,2100,0
2014-04-04,17:00:00,8.64,8.83,8.64,8.83,2800,0
2014-04-04,18:00:00,8.79,8.79,8.74,8.76,15100,0
2014-04-04,19:00:00,8.71,8.75,8.71,8.74,8600,0
2014-04-04,20:00:00,8.71,8.77,8.71,8.76,24900,0
2014-04-04,21:00:00,8.71,8.77,8.71,8.75,28800,0
2014-04-04,22:00:00,8.72,8.75,8.67,8.67,15950,0
2014-04-07,16:00:00,8.72,8.83,8.72,8.79,19350,0
2014-04-07,17:00:00,8.72,8.76,8.72,8.76,4864,0
2014-04-07,18:00:00,8.73,8.75,8.73,8.75,1150,0
2014-04-07,21:00:00,8.74,8.75,8.74,8.7499,1500,0
2014-04-07,22:00:00,8.64,8.74,8.64,8.74,1700,0
2014-04-08,22:00:00,8.77,8.77,8.67,8.67,200,0
2014-04-09,22:00:00,8.76,8.98,8.55,8.69,700,0
2014-04-11,17:00:00,8.81,8.81,8.35,8.75,18900,0
2014-04-14,17:00:00,8.69,8.69,8.69,8.69,1000,0
2014-04-14,22:00:00,8.72,8.7701,8.6,8.61,18000,0
