Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,8.45,8.45,8.2,8.2,6479,0
2014-02-10,17:00:00,8.15,8.198,8.15,8.18,2600,0
2014-02-10,18:00:00,8.15,8.25,8.15,8.23,800,0
2014-02-10,19:00:00,8.26,8.4499,8.26,8.41,2200,0
2014-02-10,20:00:00,8.34,8.34,8.31,8.31,500,0
2014-02-10,21:00:00,8.24,8.27,8.17,8.175,13330,0
2014-02-10,22:00:00,8.21,8.24,8.18,8.19,11155,0
2014-02-11,16:00:00,8.2,8.2899,8.15,8.167,6516,0
2014-02-11,17:00:00,8.17,8.2,8.15,8.1801,17150,0
2014-02-11,18:00:00,8.19,8.5,8.19,8.5,7950,0
2014-02-11,19:00:00,8.48,8.749,8.48,8.655,5800,0
2014-02-11,20:00:00,8.6601,8.69,8.6601,8.68,800,0
2014-02-11,21:00:00,8.7,8.879,8.7,8.71,11746,0
2014-02-11,22:00:00,8.7,8.7,8.45,8.5,8474,0
2014-02-12,16:00:00,8.76,8.77,8.59,8.6,2755,0
2014-02-12,17:00:00,8.6,8.65,8.55,8.57,2100,0
2014-02-12,18:00:00,8.515,8.59,8.515,8.59,1400,0
2014-02-12,19:00:00,8.59,8.6,8.53,8.53,3170,0
2014-02-12,20:00:00,8.51,8.75,8.45,8.75,8200,0
2014-02-12,21:00:00,8.75,8.99,8.69,8.92,10800,0
2014-02-12,22:00:00,8.95,9,8.77,8.77,12511,0
2014-02-13,16:00:00,8.73,8.73,8.59,8.6,1800,0
2014-02-13,17:00:00,8.65,8.87,8.64,8.87,2210,0
2014-02-13,18:00:00,8.78,8.89,8.76,8.76,2300,0
2014-02-13,19:00:00,8.75,8.84,8.75,8.75,1300,0
2014-02-13,20:00:00,8.799,8.87,8.75,8.84,7860,0
2014-02-13,21:00:00,8.8,9.185,8.75,8.88,16561,0
2014-02-13,22:00:00,8.84,8.8576,8.6,8.61,8210,0
2014-02-14,16:00:00,8.61,8.814,8.61,8.814,3100,0
2014-02-14,17:00:00,8.78,8.83,8.7512,8.83,10720,0
2014-02-14,18:00:00,8.86,8.86,8.814,8.8292,1198,0
2014-02-14,19:00:00,8.805,8.805,8.805,8.805,300,0
2014-02-14,20:00:00,8.75,8.87,8.75,8.87,2500,0
2014-02-14,21:00:00,8.84,8.85,8.83,8.85,2600,0
2014-02-14,22:00:00,8.85,8.88,8.7,8.7,12361,0
2014-02-18,16:00:00,8.631,8.696,8.631,8.696,950,0
2014-02-18,17:00:00,8.631,8.7176,8.631,8.71,1150,0
2014-02-18,18:00:00,8.7,8.71,8.7,8.71,1400,0
2014-02-18,19:00:00,8.69,8.73,8.67,8.73,1000,0
2014-02-18,20:00:00,8.77,8.79,8.77,8.771,1501,0
2014-02-18,21:00:00,8.77,8.77,8.7155,8.7301,2200,0
2014-02-18,22:00:00,8.76,8.76,8.32,8.5,11921,0
2014-02-19,16:00:00,8.48,8.49,8.401,8.47,3180,0
2014-02-19,18:00:00,8.4,8.4,8.29,8.37,600,0
2014-02-19,19:00:00,8.37,8.45,8.37,8.381,3011,0
2014-02-19,20:00:00,8.3184,8.3184,8.13,8.238,3650,0
2014-02-19,21:00:00,8.3094,8.3592,8.3,8.3,2063,0
2014-02-19,22:00:00,8.3,8.32,8.25,8.29,5309,0
2014-02-20,16:00:00,8.2512,8.2512,8.2512,8.2512,100,0
2014-02-20,17:00:00,8.25,8.54,8.25,8.47,4862,0
2014-02-20,18:00:00,8.42,8.42,8.18,8.18,2974,0
2014-02-20,19:00:00,8.29,8.3062,8.29,8.3062,200,0
2014-02-20,20:00:00,8.3006,8.38,8.3,8.37,6112,0
2014-02-20,21:00:00,8.36,8.39,8.2209,8.25,6312,0
2014-02-20,22:00:00,8.231,8.41,8.231,8.38,6445,0
2014-02-21,16:00:00,8.248,8.27,7.95,8.27,3557,0
2014-02-21,17:00:00,8.2601,8.2601,8.1906,8.1906,2500,0
2014-02-21,18:00:00,8.24,8.28,8.18,8.1901,1800,0
2014-02-21,19:00:00,8.191,8.27,8.19,8.27,800,0
2014-02-21,20:00:00,8.23,8.33,8.2,8.33,9777,0
2014-02-21,21:00:00,8.35,8.37,8.34,8.35,6627,0
2014-02-21,22:00:00,8.31,8.35,8.25,8.28,5071,0
2014-02-24,16:00:00,8.25,8.3,8.23,8.238,3789,0
2014-02-24,17:00:00,8.22,8.4,8.22,8.33,6675,0
2014-02-24,18:00:00,8.28,8.36,8.27,8.32,2100,0
2014-02-24,19:00:00,8.31,8.34,8.3,8.3,2100,0
2014-02-24,20:00:00,8.3199,8.32,8.261,8.265,5520,0
2014-02-24,21:00:00,8.26,8.39,8.26,8.39,6029,0
2014-02-24,22:00:00,8.41,8.52,8.41,8.52,3559,0
2014-02-25,16:00:00,8.48,8.49,8.48,8.49,1000,0
2014-02-25,17:00:00,8.469,8.469,8.22,8.41,1700,0
2014-02-25,18:00:00,8.42,8.42,8.2,8.28,5286,0
2014-02-25,19:00:00,8.27,8.37,8.25,8.3,2118,0
2014-02-25,20:00:00,8.251,8.261,8.2,8.2,1400,0
2014-02-25,21:00:00,8.24,8.24,8.24,8.24,100,0
