Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,18:00:00,7.20967,7.20967,7.20967,7.20967,305,0
2014-02-10,21:00:00,7.21971,7.21971,7.21971,7.21971,195,0
2014-02-12,17:00:00,7.20967,7.20967,7.15994,7.15994,3721,0
2014-02-12,18:00:00,7.15994,7.15994,7.15994,7.15994,1911,0
2014-02-12,19:00:00,6.95111,6.96106,6.95111,6.96106,1307,0
2014-02-12,21:00:00,6.971,6.971,6.92128,6.92128,302,0
2014-02-12,22:00:00,6.93421,6.93421,6.93421,6.93421,101,0
2014-02-13,17:00:00,6.95111,6.95111,6.95111,6.95111,101,0
2014-02-13,18:00:00,6.96106,7.11022,6.96106,7.0605,3827,0
2014-02-13,20:00:00,6.81189,6.86161,6.81189,6.86161,2514,0
2014-02-13,21:00:00,6.82283,6.82283,6.82184,6.82184,2012,0
2014-02-13,22:00:00,6.80195,6.80195,6.80195,6.80195,302,0
2014-02-14,16:00:00,6.78206,6.78206,6.78206,6.78206,101,0
2014-02-14,17:00:00,6.85167,7.05255,6.85167,7.03067,1716,0
2014-02-14,21:00:00,6.82184,6.95111,6.792,6.95111,1812,0
2014-02-14,22:00:00,6.95111,6.95111,6.80195,6.86161,1130,0
2014-02-18,20:00:00,6.92128,7.0605,6.92128,7.01078,977,0
2014-02-18,21:00:00,7.00083,7.00083,6.96106,6.971,568,0
2014-02-18,22:00:00,6.96106,6.96106,6.96106,6.96106,101,0
2014-02-19,16:00:00,7.25939,7.25939,7.2565,7.2565,505,0
2014-02-19,20:00:00,6.87156,6.89145,6.85167,6.85167,1911,0
2014-02-19,22:00:00,6.83735,6.83735,6.83735,6.83735,101,0
2014-02-20,16:00:00,7.15696,7.15696,7.15696,7.15696,202,0
2014-02-21,17:00:00,6.84172,6.84172,6.81189,6.83775,1268,0
2014-02-21,18:00:00,6.81189,6.83178,6.81189,6.81189,4175,0
2014-02-21,20:00:00,6.94107,6.94107,6.94107,6.94107,101,0
2014-02-21,21:00:00,6.90139,6.93122,6.90139,6.93122,1010,0
2014-02-21,22:00:00,6.93122,6.94117,6.90139,6.91531,2246,0
2014-02-24,17:00:00,6.971,7.11012,6.971,7.11012,2514,0
2014-02-25,18:00:00,6.99089,7.00083,6.98095,6.98095,3619,0
2014-02-25,21:00:00,7.14006,7.14006,7.14006,7.14006,202,0
2014-02-25,22:00:00,6.98095,6.98095,6.98095,6.98095,445,0
2014-02-26,22:00:00,6.972,7.15805,6.972,6.98095,505,0
2014-02-27,21:00:00,7.08397,7.08397,7.08397,7.08397,151,0
2014-02-27,22:00:00,7.15,7.15994,7.14006,7.15,2651,0
2014-02-28,22:00:00,7.15,7.15,7.15,7.15,101,0
2014-03-03,18:00:00,7.13011,7.13011,7.13011,7.13011,2112,0
2014-03-03,19:00:00,7.02072,7.02072,7.02072,7.02072,505,0
2014-03-03,20:00:00,7.02072,7.02072,7.02072,7.02072,1006,0
2014-03-03,22:00:00,7.15,7.15,7.15,7.15,101,0
2014-03-04,18:00:00,7.15,7.15,7.15,7.15,1164,0
2014-03-05,17:00:00,7.0985,7.1,7.096,7.1,600,0
2014-03-05,22:00:00,7.07,7.07,7.07,7.07,100,0
2014-03-06,19:00:00,7.05,7.13,6.91,7.13,51600,0
2014-03-06,21:00:00,7.14,7.14,7.14,7.14,100,0
2014-03-06,22:00:00,7.15,7.15,7.09,7.09,500,0
2014-03-07,18:00:00,7.03,7.03,7.03,7.03,100,0
2014-03-07,19:00:00,7.02,7.02,7.02,7.02,200,0
2014-03-07,21:00:00,6.99,6.99,6.99,6.99,300,0
2014-03-07,22:00:00,6.97,7,6.97,7,7448,0
2014-03-10,15:00:00,7.02,7.03,7,7.03,530,0
2014-03-10,16:00:00,7.03,7.04,7.02,7.02,2320,0
2014-03-10,21:00:00,7.021,7.2,7.02,7.18,1600,0
2014-03-11,15:00:00,7.21,7.21,7.21,7.21,200,0
2014-03-11,18:00:00,7.17,7.17,7.138,7.138,550,0
2014-03-11,20:00:00,7.17,7.17,7.1468,7.1468,442,0
2014-03-11,21:00:00,7.19,7.25,7.19,7.25,5800,0
2014-03-12,15:00:00,7.3,7.3,7.29,7.29,200,0
2014-03-12,21:00:00,7.24,7.24,7.24,7.24,400,0
2014-03-13,16:00:00,7.28,7.28,7.28,7.28,300,0
2014-03-14,16:00:00,7.25,7.25,7.25,7.25,700,0
2014-03-14,19:00:00,6.826,6.826,6.82,6.82,1000,0
2014-03-14,20:00:00,7.161,7.161,7.161,7.161,2000,0
2014-03-14,21:00:00,7.05,7.05,7.05,7.05,300,0
