Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,1.1496,1.19,1.11,1.14,25811,0
2014-02-10,17:00:00,1.13,1.16,1.13,1.16,36272,0
2014-02-10,18:00:00,1.158,1.17,1.15,1.165,28796,0
2014-02-10,19:00:00,1.17,1.2,1.17,1.19,63600,0
2014-02-10,20:00:00,1.19,1.19,1.18,1.1864,22675,0
2014-02-10,21:00:00,1.1816,1.2,1.18,1.1816,42196,0
2014-02-10,22:00:00,1.19,1.19,1.18,1.18,23619,0
2014-02-11,16:00:00,1.19,1.27,1.19,1.24,99453,0
2014-02-11,17:00:00,1.235,1.24,1.2,1.21,89660,0
2014-02-11,18:00:00,1.21,1.23,1.21,1.21,26639,0
2014-02-11,19:00:00,1.21,1.22,1.2,1.2,69662,0
2014-02-11,20:00:00,1.2,1.21,1.2,1.2,60940,0
2014-02-11,21:00:00,1.2,1.21,1.2,1.2,35932,0
2014-02-11,22:00:00,1.2,1.2,1.18,1.2,102448,0
2014-02-12,16:00:00,1.23,1.23,1.19,1.2002,44870,0
2014-02-12,17:00:00,1.2,1.205,1.17,1.17,99165,0
2014-02-12,18:00:00,1.161,1.17,1.15,1.15,116753,0
2014-02-12,19:00:00,1.15,1.17,1.15,1.16,23403,0
2014-02-12,20:00:00,1.16,1.17,1.16,1.16,42096,0
2014-02-12,21:00:00,1.16,1.17,1.15,1.15,44706,0
2014-02-12,22:00:00,1.15,1.16,1.13,1.13,118141,0
2014-02-13,16:00:00,1.13,1.15,1.13,1.14,26904,0
2014-02-13,17:00:00,1.14,1.15,1.11,1.13,64071,0
2014-02-13,18:00:00,1.13,1.14,1.12,1.12,41940,0
2014-02-13,19:00:00,1.12,1.125,1.11,1.11,64275,0
2014-02-13,20:00:00,1.11,1.13,1.1,1.11,87127,0
2014-02-13,21:00:00,1.11,1.13,1.11,1.12,59879,0
2014-02-13,22:00:00,1.13,1.13,1.12,1.13,68861,0
2014-02-14,16:00:00,1.14,1.14,1.12,1.14,6937,0
2014-02-14,17:00:00,1.14,1.16,1.1397,1.15,48921,0
2014-02-14,18:00:00,1.15,1.16,1.15,1.15,17947,0
2014-02-14,19:00:00,1.15,1.15,1.13,1.13,35451,0
2014-02-14,20:00:00,1.13,1.14,1.13,1.13,19280,0
2014-02-14,21:00:00,1.13,1.1399,1.13,1.13,69904,0
2014-02-14,22:00:00,1.13,1.13,1.12,1.12,65714,0
2014-02-18,16:00:00,1.14,1.16,1.14,1.16,3814,0
2014-02-18,17:00:00,1.155,1.16,1.14,1.15,37306,0
2014-02-18,18:00:00,1.15,1.17,1.15,1.17,21856,0
2014-02-18,19:00:00,1.17,1.17,1.14,1.1401,19236,0
2014-02-18,20:00:00,1.145,1.16,1.14,1.16,26554,0
2014-02-18,21:00:00,1.16,1.16,1.15,1.16,29598,0
2014-02-18,22:00:00,1.155,1.18,1.15,1.18,54274,0
2014-02-19,16:00:00,1.16,1.22,1.16,1.185,77869,0
2014-02-19,17:00:00,1.19,1.19,1.18,1.18,14765,0
2014-02-19,18:00:00,1.185,1.19,1.18,1.18,9810,0
2014-02-19,19:00:00,1.18,1.19,1.18,1.18,13367,0
2014-02-19,20:00:00,1.18,1.19,1.16,1.16,37037,0
2014-02-19,21:00:00,1.16,1.16,1.15,1.155,15559,0
2014-02-19,22:00:00,1.15,1.16,1.15,1.15,44900,0
2014-02-20,16:00:00,1.19,1.19,1.17,1.175,46569,0
2014-02-20,17:00:00,1.175,1.18,1.16,1.16,18604,0
2014-02-20,18:00:00,1.16,1.17,1.15,1.15,16663,0
2014-02-20,19:00:00,1.155,1.16,1.14,1.145,15260,0
2014-02-20,20:00:00,1.1499,1.15,1.14,1.14,10200,0
2014-02-20,21:00:00,1.15,1.15,1.13,1.13,38204,0
2014-02-20,22:00:00,1.13,1.14,1.13,1.14,31760,0
2014-02-21,16:00:00,1.17,1.18,1.14,1.15,29169,0
2014-02-21,17:00:00,1.15,1.16,1.14,1.15,9732,0
