Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,1.33,1.34,1.3,1.339,71987,0
2014-02-10,17:00:00,1.335,1.34,1.33,1.34,41844,0
2014-02-10,18:00:00,1.3348,1.35,1.33,1.34,92225,0
2014-02-10,19:00:00,1.346,1.35,1.34,1.3439,52324,0
2014-02-10,20:00:00,1.34,1.35,1.33,1.33,63600,0
2014-02-10,21:00:00,1.3399,1.34,1.33,1.335,69049,0
2014-02-10,22:00:00,1.33,1.35,1.33,1.3401,122075,0
2014-02-11,16:00:00,1.35,1.44,1.34,1.42,183890,0
2014-02-11,17:00:00,1.41,1.5,1.39,1.461,137295,0
2014-02-11,18:00:00,1.4603,1.48,1.43,1.45,185934,0
2014-02-11,19:00:00,1.44,1.46,1.44,1.4501,35290,0
2014-02-11,20:00:00,1.46,1.47,1.43,1.45,98516,0
2014-02-11,21:00:00,1.45,1.46,1.44,1.45,34281,0
2014-02-11,22:00:00,1.46,1.475,1.44,1.47,99308,0
2014-02-12,16:00:00,1.48,1.58,1.47,1.56,178661,0
2014-02-12,17:00:00,1.5601,1.58,1.5,1.506,177379,0
2014-02-12,18:00:00,1.5,1.53,1.5,1.5,30673,0
2014-02-12,19:00:00,1.5,1.51,1.5,1.5,14495,0
2014-02-12,20:00:00,1.5,1.51,1.48,1.482,185052,0
2014-02-12,21:00:00,1.48,1.49,1.44,1.44,98685,0
2014-02-12,22:00:00,1.4401,1.45,1.4,1.4,167850,0
2014-02-13,16:00:00,1.4,1.41,1.38,1.3803,37851,0
2014-02-13,17:00:00,1.38,1.39,1.37,1.37,71881,0
2014-02-13,18:00:00,1.37,1.38,1.36,1.36,54185,0
2014-02-13,19:00:00,1.36,1.39,1.36,1.38,58833,0
2014-02-13,20:00:00,1.38,1.4,1.38,1.39,51711,0
2014-02-13,21:00:00,1.3999,1.4299,1.39,1.41,53976,0
2014-02-13,22:00:00,1.41,1.42,1.37,1.38,175632,0
2014-02-14,16:00:00,1.39,1.43,1.39,1.4,28536,0
2014-02-14,17:00:00,1.4099,1.42,1.4,1.4101,27734,0
2014-02-14,18:00:00,1.4199,1.42,1.37,1.3795,60946,0
2014-02-14,19:00:00,1.37,1.3701,1.33,1.34,73090,0
2014-02-14,20:00:00,1.34,1.46,1.29,1.39,221217,0
2014-02-14,21:00:00,1.39,1.45,1.37,1.37,107246,0
2014-02-14,22:00:00,1.37,1.38,1.31,1.33,217398,0
2014-02-18,16:00:00,1.32,1.3201,1.31,1.32,15477,0
2014-02-18,17:00:00,1.31,1.33,1.31,1.32,51989,0
2014-02-18,18:00:00,1.32,1.33,1.32,1.32,55562,0
2014-02-18,19:00:00,1.32,1.33,1.32,1.325,16500,0
2014-02-18,20:00:00,1.325,1.33,1.32,1.32,25530,0
2014-02-18,21:00:00,1.322,1.33,1.32,1.32,52532,0
2014-02-18,22:00:00,1.3297,1.33,1.32,1.33,136561,0
2014-02-19,16:00:00,1.32,1.33,1.3199,1.3199,24028,0
2014-02-19,17:00:00,1.315,1.315,1.29,1.31,54943,0
2014-02-19,18:00:00,1.3,1.34,1.3,1.34,52173,0
2014-02-19,19:00:00,1.33,1.33,1.31,1.31,18788,0
2014-02-19,20:00:00,1.31,1.34,1.31,1.34,52229,0
2014-02-19,21:00:00,1.33,1.34,1.33,1.33,28965,0
2014-02-19,22:00:00,1.33,1.42,1.32,1.36,296086,0
2014-02-20,16:00:00,1.36,1.36,1.34,1.36,8510,0
2014-02-20,17:00:00,1.3501,1.36,1.33,1.3401,41116,0
2014-02-20,18:00:00,1.35,1.36,1.33,1.34,75800,0
2014-02-20,19:00:00,1.33,1.35,1.33,1.35,14500,0
2014-02-20,20:00:00,1.35,1.36,1.34,1.36,18010,0
2014-02-20,21:00:00,1.35,1.362,1.35,1.3501,44800,0
2014-02-20,22:00:00,1.359,1.37,1.35,1.36,75107,0
2014-02-21,16:00:00,1.37,1.38,1.331,1.35,18850,0
2014-02-21,17:00:00,1.34,1.36,1.34,1.36,46794,0
2014-02-21,18:00:00,1.36,1.36,1.33,1.35,48850,0
2014-02-21,19:00:00,1.35,1.36,1.34,1.36,13793,0
2014-02-21,20:00:00,1.37,1.38,1.35,1.355,63093,0
2014-02-21,21:00:00,1.355,1.36,1.34,1.36,65715,0
2014-02-21,22:00:00,1.36,1.37,1.35,1.35,119739,0
2014-02-24,16:00:00,1.37,1.37,1.36,1.366,31438,0
2014-02-24,17:00:00,1.365,1.37,1.36,1.365,49122,0
2014-02-24,18:00:00,1.36,1.37,1.36,1.37,35077,0
2014-02-24,19:00:00,1.369,1.37,1.36,1.368,31578,0
2014-02-24,20:00:00,1.37,1.37,1.35,1.36,20860,0
2014-02-24,21:00:00,1.36,1.36,1.35,1.36,17150,0
2014-02-24,22:00:00,1.355,1.36,1.34,1.36,175203,0
2014-02-25,16:00:00,1.35,1.35,1.34,1.35,36244,0
2014-02-25,17:00:00,1.3401,1.35,1.34,1.34,65235,0
2014-02-25,18:00:00,1.35,1.36,1.35,1.36,39353,0
2014-02-25,19:00:00,1.36,1.37,1.355,1.36,57936,0
2014-02-25,20:00:00,1.36,1.36,1.35,1.35,27011,0
2014-02-25,21:00:00,1.36,1.37,1.35,1.37,13947,0
2014-02-25,22:00:00,1.37,1.37,1.36,1.36,98926,0
2014-02-26,16:00:00,1.35,1.37,1.35,1.36,3925,0
2014-02-26,17:00:00,1.36,1.36,1.35,1.36,20964,0
2014-02-26,18:00:00,1.35,1.36,1.33,1.34,37513,0
2014-02-26,19:00:00,1.34,1.35,1.34,1.346,21215,0
2014-02-26,20:00:00,1.35,1.35,1.33,1.33,36264,0
2014-02-26,21:00:00,1.33,1.34,1.32,1.33,38147,0
2014-02-26,22:00:00,1.34,1.34,1.33,1.34,53920,0
2014-02-27,16:00:00,1.35,1.36,1.34,1.35,89121,0
2014-02-27,17:00:00,1.34,1.3401,1.3,1.32,55229,0
2014-02-27,18:00:00,1.32,1.33,1.32,1.33,72126,0
2014-02-27,19:00:00,1.33,1.33,1.32,1.325,24351,0
2014-02-27,20:00:00,1.32,1.33,1.32,1.33,16101,0
2014-02-27,21:00:00,1.32,1.35,1.32,1.35,90229,0
2014-02-27,22:00:00,1.35,1.35,1.34,1.35,61501,0
2014-02-28,16:00:00,1.34,1.35,1.32,1.32,7823,0
2014-02-28,17:00:00,1.32,1.35,1.32,1.35,24903,0
2014-02-28,18:00:00,1.34,1.36,1.34,1.35,48394,0
2014-02-28,19:00:00,1.35,1.35,1.33,1.33,29969,0
2014-02-28,20:00:00,1.33,1.34,1.33,1.33,13242,0
2014-02-28,21:00:00,1.33,1.34,1.32,1.3279,21252,0
2014-02-28,22:00:00,1.32,1.34,1.32,1.32,82329,0
2014-03-03,16:00:00,1.39,1.47,1.37,1.4601,269894,0
2014-03-03,17:00:00,1.45,1.46,1.37,1.4399,250318,0
2014-03-03,18:00:00,1.4301,1.44,1.4,1.4,58391,0
2014-03-03,19:00:00,1.41,1.42,1.4,1.4,30766,0
2014-03-03,20:00:00,1.4,1.41,1.38,1.4,70898,0
2014-03-03,21:00:00,1.395,1.4,1.381,1.39,65050,0
2014-03-03,22:00:00,1.39,1.4,1.37,1.37,170923,0
2014-03-04,16:00:00,1.47,1.48,1.43,1.45,85782,0
2014-03-04,17:00:00,1.43,1.46,1.43,1.4499,131761,0
2014-03-04,18:00:00,1.45,1.45,1.42,1.44,109651,0
2014-03-04,19:00:00,1.43,1.45,1.42,1.45,88172,0
2014-03-04,20:00:00,1.44,1.46,1.44,1.458,60001,0
2014-03-04,21:00:00,1.459,1.46,1.44,1.44,40976,0
2014-03-04,22:00:00,1.44,1.45,1.42,1.435,109252,0
2014-03-05,16:00:00,1.45,1.45,1.41,1.42,47607,0
