Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,18.1,18.1,18.1,18.1,500,0
2014-02-10,17:00:00,17.99,18.09,17.99,18.09,200,0
2014-02-10,18:00:00,18.0999,18.22,18.0999,18.22,2900,0
2014-02-10,19:00:00,18.98,18.98,18.79,18.79,300,0
2014-02-10,20:00:00,18.5,18.67,18.5,18.67,815,0
2014-02-10,22:00:00,18.57,18.57,18.23,18.23,400,0
2014-02-11,16:00:00,18.8,18.9,18.61,18.86,3900,0
2014-02-11,17:00:00,18.8,18.8,18.77,18.77,400,0
2014-02-11,18:00:00,18.648,18.81,18.592,18.8,7734,0
2014-02-11,19:00:00,18.76,18.79,18.53,18.79,1600,0
2014-02-11,20:00:00,18.79,18.84,18.79,18.84,900,0
2014-02-11,21:00:00,18.85,18.99,18.83,18.94,6000,0
2014-02-11,22:00:00,18.84,18.99,18.8,18.99,3052,0
2014-02-12,16:00:00,18.9999,19.49,18.96,19.38,21862,0
2014-02-12,17:00:00,18.91,19.012,18.91,18.98,2400,0
2014-02-12,19:00:00,19.01,19.01,18.64,18.68,3316,0
2014-02-12,21:00:00,18.85,18.85,18.85,18.85,100,0
2014-02-12,22:00:00,18.95,18.975,18.76,18.8,1500,0
2014-02-13,16:00:00,18.65,18.7,18.25,18.7,2394,0
2014-02-13,17:00:00,18.66,19.8,18.66,19.8,7816,0
2014-02-13,18:00:00,19.689,19.8,19.05,19.4675,4055,0
2014-02-13,19:00:00,19.4,19.4965,19.2,19.3,2954,0
2014-02-13,20:00:00,19.35,19.5,19.13,19.17,8400,0
2014-02-13,21:00:00,19.18,19.4,19.18,19.25,4800,0
2014-02-13,22:00:00,19.4,19.73,19.25,19.4,8625,0
2014-02-14,16:00:00,19.77,19.77,19.77,19.77,200,0
2014-02-14,17:00:00,19.03,19.2,18.76,18.76,3850,0
2014-02-14,18:00:00,18.65,19.09,18.6,19.09,800,0
2014-02-14,19:00:00,19.09,19.09,19.09,19.09,600,0
2014-02-14,20:00:00,19.09,19.09,19.09,19.09,500,0
2014-02-14,21:00:00,19.05,19.05,18.5,19.03,5697,0
2014-02-14,22:00:00,18.25,18.25,18.25,18.25,200,0
2014-02-18,17:00:00,18.48,18.84,18.47,18.84,1200,0
2014-02-18,18:00:00,18.87,19.4999,18.67,18.92,35090,0
2014-02-18,19:00:00,18.96,19.1,18.91,18.91,10000,0
2014-02-18,20:00:00,18.88,19.06,18.88,18.92,5200,0
2014-02-18,21:00:00,18.91,18.93,18.8106,18.93,2360,0
2014-02-18,22:00:00,18.86,18.96,18.57,18.95,9821,0
2014-02-19,16:00:00,19.01,19.38,18.77,19,4225,0
2014-02-19,17:00:00,18.8025,19.38,18.8025,19.18,20346,0
2014-02-19,18:00:00,19.05,19.2,19,19.19,10274,0
2014-02-19,19:00:00,19.19,19.19,19.19,19.19,200,0
2014-02-19,20:00:00,19.03,19.06,19.01,19.02,1400,0
2014-02-19,21:00:00,19.02,19.02,18.7,18.73,3700,0
2014-02-19,22:00:00,18.7,18.76,18.05,18.74,6862,0
2014-02-20,16:00:00,18.117,18.117,16.62,16.91,18832,0
2014-02-20,17:00:00,17.026,17.65,16.8,17.52,24452,0
2014-02-20,18:00:00,17.52,17.52,17.22,17.235,9360,0
2014-02-20,19:00:00,17.11,17.16,16.8,16.8,26643,0
2014-02-20,20:00:00,16.8,17.55,16.8,17.35,11093,0
2014-02-20,21:00:00,17.56,17.95,17.42,17.93,4660,0
2014-02-20,22:00:00,17.7,17.91,17.6,17.6,2500,0
2014-02-21,16:00:00,18.49,18.49,17.0502,18,700,0
2014-02-21,17:00:00,17.65,18.35,17.23,17.5,14700,0
2014-02-21,18:00:00,17.5,17.52,16.8,17.48,16164,0
2014-02-21,20:00:00,17.22,17.42,17,17,2100,0
2014-02-21,21:00:00,16.95,16.95,16.8,16.8,1000,0
2014-02-21,22:00:00,16.801,17.05,16.7,16.9,3312,0
2014-02-24,16:00:00,16.98,16.98,16.98,16.98,1880,0
2014-02-24,17:00:00,17.1,17.1,16.93,16.93,6134,0
2014-02-24,18:00:00,16.79,17.12,16.79,16.955,2500,0
2014-02-24,19:00:00,16.8,16.81,16.6,16.68,15930,0
2014-02-24,20:00:00,16.52,16.57,16.2,16.22,3166,0
2014-02-24,21:00:00,16.32,16.33,16.25,16.31,3020,0
2014-02-24,22:00:00,16.38,16.55,16.26,16.26,1566,0
2014-02-25,16:00:00,16.5,16.5,16,16,3207,0
2014-02-25,17:00:00,16,16,15.6001,15.75,30306,0
2014-02-25,18:00:00,15.95,15.95,15.71,15.72,4269,0
2014-02-25,19:00:00,15.7,15.73,15.7,15.7,6770,0
2014-02-25,20:00:00,15.6,15.9,15.5,15.9,14354,0
2014-02-25,21:00:00,15.662,15.77,15.53,15.77,700,0
2014-02-25,22:00:00,15.7,15.94,15.55,15.61,6500,0
2014-02-26,16:00:00,15.99,16.5,15.99,16,13413,0
2014-02-26,17:00:00,16,16.3399,16,16.02,9306,0
2014-02-26,18:00:00,15.98,16.24,15.78,16.21,1685,0
2014-02-26,20:00:00,15.918,15.918,15.918,15.918,100,0
2014-02-26,21:00:00,16.05,16.07,15.74,15.9,2000,0
2014-02-26,22:00:00,15.93,16.07,15.73,15.78,1700,0
2014-02-27,16:00:00,15.78,16.18,15.77,16.01,2500,0
2014-02-27,17:00:00,16.15,16.18,15.9,16.11,10550,0
2014-02-27,18:00:00,16.81,16.88,16.44,16.62,8000,0
2014-02-27,19:00:00,16.615,16.66,16.5,16.56,5711,0
2014-02-27,20:00:00,16.565,16.98,16.56,16.97,9200,0
2014-02-27,21:00:00,16.9799,17.19,16.9799,17.06,10303,0
2014-02-27,22:00:00,17.17,17.49,17.16,17.33,19023,0
2014-02-28,16:00:00,17.27,17.33,16.41,17.055,11800,0
2014-02-28,17:00:00,17,17.1528,16.88,17,4937,0
2014-02-28,18:00:00,17.02,17.13,16.88,17.09,1920,0
2014-02-28,19:00:00,17.09,17.09,16.88,16.9,6198,0
2014-02-28,20:00:00,17.03,17.05,16.82,16.82,2100,0
2014-02-28,21:00:00,16.83,17.09,16.83,17,2886,0
2014-02-28,22:00:00,17.1,17.1,16.91,16.92,1141,0
2014-03-03,16:00:00,16.61,16.92,16.451,16.92,2250,0
2014-03-03,17:00:00,16.8,17.3,16.32,17.2,42733,0
2014-03-03,18:00:00,17.23,17.23,16.42,17,7500,0
2014-03-03,19:00:00,16.85,17,16.85,16.91,3800,0
2014-03-03,20:00:00,16.96,17.24,16.8,17.21,8300,0
2014-03-03,21:00:00,17.22,17.43,17.11,17.43,17175,0
2014-03-03,22:00:00,17.43,17.49,17.32,17.45,7450,0
2014-03-04,16:00:00,17.52,18,17.52,18,21913,0
2014-03-04,17:00:00,18,18.2,17.68,18.18,20040,0
2014-03-04,18:00:00,18,18.08,17.76,18,7381,0
2014-03-04,19:00:00,17.95,18.05,17.95,18.0001,2409,0
2014-03-04,20:00:00,18.0199,18.1,18,18,4369,0
2014-03-04,21:00:00,18.01,18.05,18,18.05,5900,0
2014-03-04,22:00:00,18.05,18.05,18,18,3344,0
2014-03-05,16:00:00,18.05,18.05,17.42,17.95,5450,0
2014-03-05,17:00:00,17.91,18.1,17.61,18.07,7647,0
2014-03-05,18:00:00,18.07,18.1,18.07,18.1,7540,0
2014-03-05,19:00:00,18.1,18.33,18.09,18.32,19520,0
2014-03-05,20:00:00,18.3199,18.3199,18.15,18.2,4140,0
2014-03-05,21:00:00,18.25,18.3,18.2,18.29,5300,0
2014-03-05,22:00:00,18.28,18.45,18.08,18.29,19089,0
2014-03-06,16:00:00,18.1,18.11,18.07,18.09,3300,0
2014-03-06,17:00:00,18.11,18.37,18.11,18.37,4000,0
2014-03-06,18:00:00,18.449,18.449,18.11,18.11,7185,0
2014-03-06,19:00:00,18.36,18.36,18.11,18.34,1600,0
2014-03-06,20:00:00,18.19,18.35,18.01,18.2,1600,0
2014-03-06,21:00:00,18.25,18.25,18.25,18.25,100,0
2014-03-06,22:00:00,17.7,17.8175,17.08,17.25,12529,0
2014-03-07,16:00:00,17.4248,17.4248,17.4248,17.4248,6330,0
2014-03-07,17:00:00,17.7299,17.7299,17.13,17.13,3200,0
2014-03-07,18:00:00,17.15,17.5,17.02,17.26,7700,0
2014-03-07,19:00:00,17.28,17.69,17.28,17.69,700,0
2014-03-07,20:00:00,17.38,17.54,17.3,17.3,1400,0
2014-03-07,21:00:00,17.3,17.35,17.3,17.35,200,0
2014-03-07,22:00:00,17.36,17.72,17.08,17.48,6310,0
2014-03-10,15:00:00,16.831,17.47,16.831,17.47,550,0
2014-03-10,16:00:00,16.96,17.1799,16.17,17,20982,0
2014-03-10,17:00:00,17.09,17.34,16.63,16.63,7950,0
2014-03-10,18:00:00,16.5405,16.78,16.5405,16.78,1600,0
2014-03-10,19:00:00,16.89,16.99,16.85,16.99,900,0
2014-03-10,21:00:00,16.85,17.15,16.85,16.9,1300,0
2014-03-11,15:00:00,16.8,16.985,16.69,16.69,2200,0
2014-03-11,16:00:00,16.88,16.88,16.58,16.79,4608,0
2014-03-11,17:00:00,16.7,16.8,16.69,16.8,800,0
2014-03-11,18:00:00,16.7999,16.8,16.655,16.78,2000,0
