Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,31.51,32.2,30.5,31.62,836714,0
2014-02-10,17:00:00,31.62,32.45,31.57,32.12,861131,0
2014-02-10,18:00:00,32.11,32.4,32.05,32.1325,240153,0
2014-02-10,19:00:00,32.135,32.31,32.05,32.29,509529,0
2014-02-10,20:00:00,32.28,32.4,32.17,32.4,262851,0
2014-02-10,21:00:00,32.395,32.77,32.294,32.64,201592,0
2014-02-10,22:00:00,32.67,32.86,32.2701,32.42,665472,0
2014-02-11,16:00:00,32.41,34.21,31.8201,33.6,216493,0
2014-02-11,17:00:00,33.597,33.92,33.45,33.46,172943,0
2014-02-11,18:00:00,33.46,33.46,33.285,33.285,128828,0
2014-02-11,19:00:00,33.285,33.2895,33.07,33.09,150010,0
2014-02-11,20:00:00,33.09,33.1,32.95,32.96,136494,0
2014-02-11,21:00:00,32.97,33.1,32.96,33.04,93245,0
2014-02-11,22:00:00,33.05,33.105,32.98,33.09,140647,0
2014-02-13,16:00:00,28.95,29.18,28.14,28.499,1251538,0
2014-02-13,17:00:00,28.49,28.84,28.21,28.6502,790429,0
2014-02-13,18:00:00,28.65,28.651,28,28.03,773517,0
2014-02-13,19:00:00,28.03,28.37,28.021,28.31,577152,0
2014-02-13,20:00:00,28.31,28.58,28.2,28.46,283074,0
2014-02-13,21:00:00,28.47,29.3,28.47,28.9,531616,0
2014-02-13,22:00:00,28.89,29.5688,28.83,29.28,753244,0
2014-02-14,16:00:00,29.1,29.47,29,29.25,126207,0
2014-02-14,17:00:00,29.26,29.86,29.19,29.4,173194,0
2014-02-14,18:00:00,29.4,29.5,29.3,29.34,164908,0
2014-02-14,19:00:00,29.35,30.045,29.35,29.69,295834,0
2014-02-14,20:00:00,29.699,29.86,29.5701,29.77,184584,0
2014-02-14,21:00:00,29.79,29.82,29.6,29.7201,152197,0
2014-02-14,22:00:00,29.725,29.73,29.46,29.52,394688,0
2014-02-18,16:00:00,29.37,29.81,29.23,29.722,116252,0
2014-02-18,17:00:00,29.76,30.104,29.61,29.901,166071,0
2014-02-18,18:00:00,29.92,30,29.761,29.78,139483,0
2014-02-18,19:00:00,29.78,30,29.73,29.95,141249,0
2014-02-18,20:00:00,29.95,29.99,29.71,29.72,98061,0
2014-02-18,21:00:00,29.73,29.8601,29.58,29.64,121877,0
2014-02-18,22:00:00,29.63,30.1,29.54,30,789177,0
2014-02-19,16:00:00,29.76,30.42,29,30.155,209928,0
2014-02-19,17:00:00,30.2,30.872,29.881,30.17,341085,0
2014-02-19,18:00:00,30.195,30.85,30.13,30.46,242878,0
2014-02-19,19:00:00,30.44,30.5,30.05,30.14,124757,0
