Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,20.564,20.564,20.511,20.535,2471,0
2014-02-10,17:00:00,20.534,20.574,20.525,20.559,17505,0
2014-02-10,18:00:00,20.535,20.564,20.535,20.562,4851,0
2014-02-10,19:00:00,20.555,20.555,20.535,20.535,6944,0
2014-02-10,20:00:00,20.564,20.574,20.515,20.574,18530,0
2014-02-10,21:00:00,20.545,20.594,20.545,20.594,73076,0
2014-02-10,22:00:00,20.594,20.594,20.565,20.594,38103,0
2014-02-11,16:00:00,20.574,20.584,20.535,20.54,19924,0
2014-02-11,17:00:00,20.584,20.624,20.545,20.608,91453,0
2014-02-11,18:00:00,20.624,20.673,20.601,20.673,17514,0
2014-02-11,19:00:00,20.658,20.673,20.634,20.653,28454,0
2014-02-11,20:00:00,20.673,20.693,20.654,20.692,14704,0
2014-02-11,21:00:00,20.683,20.693,20.658,20.683,45347,0
2014-02-11,22:00:00,20.682,20.693,20.653,20.673,57027,0
2014-02-12,16:00:00,20.702,20.712,20.663,20.704,15452,0
2014-02-12,17:00:00,20.704,20.712,20.643,20.656,28866,0
2014-02-12,18:00:00,20.668,20.683,20.624,20.624,16821,0
2014-02-12,19:00:00,20.663,20.673,20.633,20.633,30474,0
2014-02-12,20:00:00,20.665,20.692,20.633,20.673,12914,0
2014-02-12,21:00:00,20.673,20.683,20.639,20.641,22836,0
2014-02-12,22:00:00,20.639,20.683,20.635,20.683,45053,0
2014-02-13,16:00:00,20.633,20.673,20.633,20.673,4891,0
2014-02-13,17:00:00,20.673,20.732,20.673,20.723,16751,0
2014-02-13,18:00:00,20.732,20.75,20.703,20.747,19116,0
2014-02-13,19:00:00,20.744,20.762,20.713,20.733,10848,0
2014-02-13,20:00:00,20.752,20.781,20.752,20.781,16077,0
2014-02-13,21:00:00,20.77,20.781,20.742,20.781,18858,0
2014-02-13,22:00:00,20.756,20.781,20.742,20.781,37812,0
2014-02-14,16:00:00,20.781,20.785,20.756,20.785,10652,0
2014-02-14,17:00:00,20.8,20.821,20.774,20.821,12807,0
2014-02-14,18:00:00,20.787,20.811,20.781,20.797,16283,0
2014-02-14,19:00:00,20.801,20.801,20.771,20.781,78287,0
2014-02-14,20:00:00,20.811,20.811,20.771,20.811,10243,0
2014-02-14,21:00:00,20.805,20.821,20.782,20.811,24852,0
2014-02-14,22:00:00,20.821,20.821,20.784,20.821,29293,0
2014-02-18,16:00:00,20.791,20.83,20.771,20.791,12215,0
2014-02-18,17:00:00,20.807,20.85,20.792,20.828,18905,0
2014-02-18,18:00:00,20.825,20.899,20.821,20.896,47388,0
2014-02-18,19:00:00,20.89,20.899,20.87,20.886,26609,0
2014-02-18,20:00:00,20.88,20.89,20.846,20.857,23433,0
2014-02-18,21:00:00,20.869,20.87,20.846,20.851,22508,0
2014-02-18,22:00:00,20.861,20.909,20.851,20.909,35892,0
2014-02-19,16:00:00,20.929,20.929,20.831,20.888,9066,0
2014-02-19,17:00:00,20.878,20.919,20.878,20.909,10987,0
2014-02-19,18:00:00,20.915,20.919,20.89,20.899,20019,0
2014-02-19,19:00:00,20.897,20.899,20.87,20.87,10020,0
2014-02-19,20:00:00,20.866,20.929,20.85,20.89,20060,0
2014-02-19,21:00:00,20.89,20.89,20.831,20.831,29653,0
2014-02-19,22:00:00,20.85,20.85,20.771,20.811,77473,0
2014-02-20,16:00:00,20.771,20.803,20.771,20.801,4731,0
2014-02-20,17:00:00,20.781,20.86,20.762,20.806,19993,0
2014-02-20,18:00:00,20.801,20.821,20.791,20.791,18453,0
2014-02-20,19:00:00,20.801,20.823,20.791,20.821,46585,0
2014-02-20,20:00:00,20.821,20.821,20.771,20.798,17204,0
2014-02-20,21:00:00,20.791,20.821,20.754,20.821,20472,0
2014-02-20,22:00:00,20.83,20.83,20.804,20.821,53861,0
2014-02-21,16:00:00,20.868,20.878,20.789,20.858,7541,0
2014-02-21,17:00:00,20.857,20.858,20.809,20.847,15208,0
2014-02-21,18:00:00,20.858,20.858,20.82,20.838,17674,0
2014-02-21,19:00:00,20.828,20.848,20.799,20.809,18198,0
2014-02-21,20:00:00,20.84,20.858,20.809,20.828,12982,0
2014-02-21,21:00:00,20.858,20.858,20.819,20.843,42584,0
2014-02-21,22:00:00,20.828,20.848,20.818,20.838,26207,0
2014-02-24,16:00:00,20.888,21.028,20.878,20.91,2721,0
2014-02-24,17:00:00,20.888,20.93,20.839,20.927,20877,0
2014-02-24,18:00:00,20.908,20.947,20.888,20.926,15225,0
2014-02-24,19:00:00,20.908,20.927,20.908,20.917,13097,0
2014-02-24,20:00:00,20.947,20.947,20.908,20.935,20736,0
2014-02-24,21:00:00,20.908,20.931,20.888,20.898,23079,0
