Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,0.16,0.16,0.16,0.16,123,0
2014-02-10,17:00:00,0.16,0.16,0.16,0.16,2000,0
2014-02-10,19:00:00,0.16,0.16,0.16,0.16,72423,0
2014-02-11,17:00:00,0.16,0.16,0.16,0.16,500,0
2014-02-11,19:00:00,0.176,0.176,0.176,0.176,200,0
2014-02-11,22:00:00,0.165,0.175,0.165,0.173,4477,0
2014-02-12,18:00:00,0.17,0.17,0.17,0.17,100000,0
2014-02-12,19:00:00,0.16,0.16,0.16,0.16,1200,0
2014-02-12,22:00:00,0.16,0.16,0.16,0.16,7205,0
2014-02-13,18:00:00,0.16,0.16,0.16,0.16,300,0
2014-02-13,19:00:00,0.172,0.172,0.172,0.172,400,0
2014-02-13,20:00:00,0.175,0.175,0.175,0.175,195,0
2014-02-14,17:00:00,0.175,0.175,0.175,0.175,250,0
2014-02-14,19:00:00,0.16,0.16,0.16,0.16,1084,0
2014-02-14,22:00:00,0.16,0.172,0.16,0.172,800,0
2014-02-18,16:00:00,0.16,0.16,0.16,0.16,350,0
2014-02-18,18:00:00,0.16,0.16,0.16,0.16,10400,0
2014-02-18,19:00:00,0.163,0.163,0.16,0.16,1300,0
2014-02-19,16:00:00,0.175,0.175,0.16,0.16,1500,0
2014-02-19,21:00:00,0.16,0.16,0.16,0.16,1000,0
2014-02-20,17:00:00,0.16,0.16,0.16,0.16,3000,0
2014-02-20,20:00:00,0.175,0.175,0.175,0.175,2000,0
2014-02-20,22:00:00,0.17,0.18,0.17,0.18,46500,0
2014-02-21,17:00:00,0.17,0.172,0.17,0.17,7000,0
2014-02-21,18:00:00,0.17,0.17,0.16,0.16,11189,0
2014-02-21,19:00:00,0.162,0.162,0.162,0.162,125,0
2014-02-21,20:00:00,0.168,0.17,0.168,0.17,600,0
2014-02-24,18:00:00,0.171,0.171,0.17,0.17,7743,0
2014-02-24,22:00:00,0.17,0.17,0.17,0.17,100,0
2014-02-25,16:00:00,0.19,0.19,0.19,0.19,500,0
2014-02-25,17:00:00,0.17,0.17,0.17,0.17,400,0
2014-02-25,18:00:00,0.17,0.18,0.17,0.18,9500,0
2014-02-25,19:00:00,0.1862,0.1862,0.1862,0.1862,100,0
2014-02-25,21:00:00,0.17,0.17,0.16,0.16,52453,0
2014-02-26,16:00:00,0.16,0.16,0.16,0.16,8601,0
2014-02-27,18:00:00,0.175,0.175,0.175,0.175,627,0
2014-02-27,21:00:00,0.162,0.162,0.161,0.161,10173,0
2014-02-27,22:00:00,0.1618,0.162,0.1618,0.162,8038,0
2014-02-28,16:00:00,0.162,0.162,0.162,0.162,58986,0
2014-02-28,17:00:00,0.1611,0.1611,0.1611,0.1611,2300,0
2014-02-28,21:00:00,0.17,0.17,0.17,0.17,2500,0
2014-02-28,22:00:00,0.175,0.175,0.17,0.17,72398,0
2014-03-03,16:00:00,0.161,0.161,0.161,0.161,555,0
2014-03-03,17:00:00,0.1762,0.1762,0.1762,0.1762,200,0
2014-03-03,22:00:00,0.19,0.19,0.19,0.19,30000,0
2014-03-04,16:00:00,0.19,0.19,0.1612,0.1612,11000,0
2014-03-04,17:00:00,0.18,0.18,0.18,0.18,26000,0
2014-03-04,18:00:00,0.18,0.18,0.18,0.18,1000,0
2014-03-04,19:00:00,0.168,0.18,0.165,0.18,1392,0
2014-03-05,16:00:00,0.18,0.18,0.18,0.18,12000,0
2014-03-05,18:00:00,0.1611,0.1611,0.1611,0.1611,725,0
2014-03-05,20:00:00,0.161,0.161,0.161,0.161,4413,0
2014-03-05,21:00:00,0.161,0.17,0.161,0.17,31750,0
2014-03-05,22:00:00,0.17,0.18,0.17,0.18,4000,0
2014-03-06,17:00:00,0.17,0.17,0.1611,0.1611,28629,0
2014-03-06,19:00:00,0.175,0.175,0.175,0.175,7500,0
2014-03-06,20:00:00,0.1701,0.1701,0.1611,0.17,29250,0
2014-03-06,21:00:00,0.1762,0.18,0.1762,0.18,11111,0
2014-03-06,22:00:00,0.1611,0.1611,0.1611,0.1611,3600,0
2014-03-07,21:00:00,0.17,0.17,0.17,0.17,40971,0
2014-03-10,17:00:00,0.17,0.17,0.17,0.17,700,0
2014-03-10,18:00:00,0.17,0.17,0.17,0.17,300,0
2014-03-10,20:00:00,0.17,0.17,0.17,0.17,3388,0
2014-03-11,15:00:00,0.163,0.163,0.163,0.163,100,0
2014-03-11,17:00:00,0.17,0.2,0.17,0.2,15306,0
2014-03-11,18:00:00,0.1631,0.19,0.1631,0.19,3250,0
2014-03-11,21:00:00,0.165,0.165,0.16,0.16,500000,0
2014-03-12,16:00:00,0.166,0.166,0.16,0.16,71000,0
2014-03-12,17:00:00,0.165,0.165,0.165,0.165,10000,0
2014-03-12,18:00:00,0.16,0.16,0.16,0.16,1500,0
2014-03-12,19:00:00,0.165,0.165,0.165,0.165,26118,0
2014-03-12,20:00:00,0.16,0.16,0.16,0.16,2000,0
2014-03-12,21:00:00,0.16,0.16,0.16,0.16,8152,0
2014-03-13,15:00:00,0.16,0.165,0.16,0.165,15300,0
2014-03-13,16:00:00,0.161,0.161,0.161,0.161,5000,0
2014-03-13,17:00:00,0.1682,0.1682,0.1682,0.1682,100,0
2014-03-13,18:00:00,0.161,0.161,0.161,0.161,10000,0
2014-03-13,19:00:00,0.165,0.165,0.165,0.165,210000,0
2014-03-14,15:00:00,0.17,0.17,0.162,0.165,16000,0
2014-03-14,20:00:00,0.165,0.165,0.1644,0.1644,5450,0
2014-03-14,21:00:00,0.165,0.165,0.161,0.161,99412,0
2014-03-17,16:00:00,0.172,0.172,0.172,0.172,200,0
2014-03-17,17:00:00,0.172,0.175,0.172,0.175,9000,0
2014-03-18,15:00:00,0.17,0.17,0.17,0.17,10000,0
2014-03-18,19:00:00,0.1601,0.1601,0.1601,0.1601,600,0
2014-03-18,20:00:00,0.17,0.17,0.1601,0.1601,1200,0
2014-03-19,15:00:00,0.1601,0.1601,0.1601,0.1601,5150,0
2014-03-19,17:00:00,0.1601,0.1601,0.1601,0.1601,350,0
2014-03-19,18:00:00,0.17,0.179,0.17,0.179,50600,0
2014-03-19,20:00:00,0.16,0.16,0.16,0.16,300,0
2014-03-20,15:00:00,0.16,0.16,0.16,0.16,500,0
2014-03-20,16:00:00,0.17,0.17,0.17,0.17,2968,0
2014-03-21,15:00:00,0.17,0.17,0.17,0.17,10000,0
2014-03-21,16:00:00,0.17,0.17,0.17,0.17,20000,0
2014-03-21,17:00:00,0.17,0.17,0.17,0.17,25000,0
2014-03-24,16:00:00,0.17,0.17,0.17,0.17,20000,0
2014-03-24,20:00:00,0.17,0.17,0.17,0.17,10000,0
2014-03-25,16:00:00,0.16,0.16,0.16,0.16,1000,0
2014-03-25,17:00:00,0.17,0.17,0.17,0.17,289,0
2014-03-25,20:00:00,0.16,0.16,0.16,0.16,125,0
2014-03-26,15:00:00,0.16,0.16,0.16,0.16,300,0
2014-03-26,20:00:00,0.168,0.168,0.168,0.168,100,0
2014-03-26,21:00:00,0.16,0.16,0.16,0.16,5000,0
2014-03-27,16:00:00,0.16,0.16,0.16,0.16,300,0
2014-03-27,19:00:00,0.168,0.17,0.168,0.17,200,0
2014-03-28,18:00:00,0.16,0.16,0.16,0.16,2000,0
2014-03-28,20:00:00,0.165,0.165,0.165,0.165,9334,0
2014-03-28,21:00:00,0.165,0.165,0.165,0.165,9400,0
2014-03-31,21:00:00,0.16,0.16,0.16,0.16,2000,0
2014-04-01,18:00:00,0.17,0.17,0.17,0.17,219,0
2014-04-01,20:00:00,0.16,0.16,0.16,0.16,437,0
2014-04-01,22:00:00,0.168,0.17,0.168,0.17,200,0
2014-04-02,16:00:00,0.16,0.16,0.16,0.16,2500,0
2014-04-02,17:00:00,0.17,0.17,0.17,0.17,149000,0
2014-04-02,18:00:00,0.17,0.17,0.17,0.17,40000,0
2014-04-02,20:00:00,0.169,0.18,0.169,0.18,189000,0
2014-04-02,21:00:00,0.185,0.185,0.181,0.181,457500,0
2014-04-02,22:00:00,0.185,0.185,0.182,0.182,62996,0
2014-04-03,16:00:00,0.18,0.18,0.18,0.18,25000,0
2014-04-03,17:00:00,0.18,0.18,0.18,0.18,35000,0
2014-04-03,19:00:00,0.175,0.175,0.175,0.175,74934,0
2014-04-03,21:00:00,0.171,0.171,0.171,0.171,10000,0
2014-04-04,16:00:00,0.175,0.175,0.17,0.17,82500,0
2014-04-04,17:00:00,0.175,0.18,0.175,0.18,10000,0
2014-04-04,22:00:00,0.175,0.175,0.175,0.175,6050,0
2014-04-07,20:00:00,0.18,0.18,0.18,0.18,3868,0
2014-04-07,22:00:00,0.1701,0.1701,0.17,0.17,105100,0
2014-04-08,16:00:00,0.17,0.17,0.17,0.17,100,0
2014-04-08,18:00:00,0.185,0.185,0.1825,0.1825,7853,0
2014-04-09,17:00:00,0.17,0.17,0.17,0.17,450,0
2014-04-09,19:00:00,0.19,0.194,0.19,0.194,200,0
2014-04-09,20:00:00,0.19,0.19,0.19,0.19,1200,0
2014-04-10,16:00:00,0.19,0.19,0.19,0.19,5260,0
2014-04-10,19:00:00,0.19,0.19,0.19,0.19,300,0
2014-04-10,20:00:00,0.18,0.18,0.18,0.18,17000,0
2014-04-10,21:00:00,0.18,0.18,0.17,0.17,53414,0
2014-04-11,19:00:00,0.1852,0.1852,0.1852,0.1852,100,0
2014-04-14,18:00:00,0.17,0.17,0.17,0.17,2216,0
2014-04-14,20:00:00,0.18,0.18,0.18,0.18,15000,0
2014-04-14,21:00:00,0.18,0.18,0.18,0.18,4200,0
2014-04-14,22:00:00,0.17,0.17,0.17,0.17,29200,0
2014-04-15,21:00:00,0.178,0.178,0.178,0.178,200,0
2014-04-17,16:00:00,0.18,0.1801,0.175,0.175,34600,0
2014-04-17,17:00:00,0.171,0.171,0.16,0.16,37249,0
2014-04-17,20:00:00,0.1798,0.1798,0.1798,0.1798,200,0
2014-04-21,16:00:00,0.1799,0.1799,0.1799,0.1799,20000,0
2014-04-21,17:00:00,0.1781,0.1781,0.1781,0.1781,46618,0
2014-04-21,20:00:00,0.17,0.17,0.17,0.17,5300,0
2014-04-22,16:00:00,0.171,0.171,0.171,0.171,100,0
2014-04-22,17:00:00,0.171,0.171,0.171,0.171,11982,0
2014-04-22,18:00:00,0.18,0.18,0.18,0.18,11000,0
2014-04-22,19:00:00,0.18,0.18,0.18,0.18,7700,0
2014-04-22,20:00:00,0.1601,0.1601,0.1601,0.1601,426,0
2014-04-22,21:00:00,0.19,0.19,0.19,0.19,30000,0
2014-04-22,22:00:00,0.19,0.19,0.185,0.185,23500,0
2014-04-23,17:00:00,0.18,0.18,0.18,0.18,5000,0
2014-04-23,22:00:00,0.185,0.185,0.185,0.185,600,0
2014-04-24,17:00:00,0.19,0.19,0.18,0.18,300,0
2014-04-24,19:00:00,0.18,0.18,0.18,0.18,240,0
2014-04-24,21:00:00,0.18,0.185,0.18,0.185,5200,0
2014-04-28,19:00:00,0.1701,0.1701,0.1701,0.1701,130,0
