Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,32.62,32.64,32.438,32.55,17280,0
2014-02-10,17:00:00,32.62,32.85,32.54,32.8,57977,0
2014-02-10,18:00:00,32.7812,33,32.73,32.92,31357,0
2014-02-10,19:00:00,32.94,32.98,32.83,32.92,27218,0
2014-02-10,20:00:00,32.93,33,32.81,32.904,34489,0
2014-02-10,21:00:00,32.91,32.91,32.638,32.64,46577,0
2014-02-10,22:00:00,32.64,32.67,32.56,32.57,151712,0
2014-02-11,16:00:00,32.2955,32.88,32.2955,32.81,28568,0
2014-02-11,17:00:00,32.82,32.92,32.69,32.79,46568,0
2014-02-11,18:00:00,32.84,33,32.65,32.991,37724,0
2014-02-11,19:00:00,33,33.05,32.99,33.02,31709,0
2014-02-11,20:00:00,33.05,33.19,33.0398,33.16,24274,0
2014-02-11,21:00:00,33.17,33.17,32.9899,33.05,64294,0
2014-02-11,22:00:00,33.06,33.16,32.98,33.05,203546,0
2014-02-12,16:00:00,32.98,33.4,32.98,33.368,22047,0
2014-02-12,17:00:00,33.37,33.67,33.32,33.55,54947,0
2014-02-12,18:00:00,33.53,33.58,33.37,33.43,19727,0
2014-02-12,19:00:00,33.47,33.65,33.41,33.58,66522,0
2014-02-12,20:00:00,33.6,33.6,33.49,33.5593,17101,0
2014-02-12,21:00:00,33.56,33.56,33.28,33.3199,29772,0
2014-02-12,22:00:00,33.29,33.51,33.28,33.51,68305,0
2014-02-13,16:00:00,33.18,33.39,32.77,33.3,8853,0
2014-02-13,17:00:00,33.34,33.6,33.11,33.11,39106,0
2014-02-13,18:00:00,33.13,33.3,33.02,33.2501,13000,0
2014-02-13,19:00:00,33.3,33.41,33.23,33.2864,54614,0
2014-02-13,20:00:00,33.32,33.46,33.3,33.41,31764,0
2014-02-13,21:00:00,33.43,33.54,33.42,33.5,18555,0
2014-02-13,22:00:00,33.5,33.55,33.48,33.54,75220,0
2014-02-14,16:00:00,33.53,33.55,33.1101,33.47,22210,0
2014-02-14,17:00:00,33.44,33.75,33.33,33.33,25141,0
2014-02-14,18:00:00,33.34,33.59,33.31,33.53,16251,0
2014-02-14,19:00:00,33.52,33.55,33.43,33.55,11046,0
2014-02-14,20:00:00,33.57,33.69,33.57,33.67,8300,0
2014-02-14,21:00:00,33.67,33.75,33.66,33.66,28103,0
2014-02-14,22:00:00,33.64,33.7,33.59,33.63,37848,0
2014-02-18,16:00:00,33.55,33.79,33.45,33.61,7097,0
2014-02-18,17:00:00,33.61,34.11,33.57,34.1,67260,0
2014-02-18,18:00:00,34.08,34.45,34.05,34.38,41674,0
2014-02-18,19:00:00,34.4,34.54,34.39,34.49,36075,0
2014-02-18,20:00:00,34.47,34.51,34.39,34.46,43118,0
2014-02-18,21:00:00,34.47,34.52,34.4464,34.46,39164,0
2014-02-18,22:00:00,34.47,34.52,34.4,34.52,233371,0
2014-02-19,16:00:00,34.22,34.69,34.22,34.61,7946,0
2014-02-19,17:00:00,34.55,34.7,34.39,34.51,38317,0
2014-02-19,18:00:00,34.53,34.56,34.27,34.43,31114,0
2014-02-19,19:00:00,34.38,34.41,34.06,34.19,19813,0
2014-02-19,20:00:00,34.16,34.44,34.15,34.43,12647,0
2014-02-19,21:00:00,34.41,34.46,34.32,34.32,15639,0
2014-02-19,22:00:00,34.32,34.33,34.13,34.18,80931,0
2014-02-20,16:00:00,34.18,34.37,34.17,34.23,9502,0
2014-02-20,17:00:00,34.3075,34.5,34.2001,34.44,25358,0
2014-02-20,18:00:00,34.41,34.5,34.39,34.49,20136,0
2014-02-20,19:00:00,34.49,34.6,34.47,34.51,24980,0
2014-02-20,20:00:00,34.52,34.59,34.45,34.58,16302,0
2014-02-20,21:00:00,34.53,34.62,34.5,34.6,28659,0
2014-02-20,22:00:00,34.6,34.75,34.55,34.75,126212,0
2014-02-21,16:00:00,34.51,34.5375,34.29,34.36,22682,0
2014-02-21,17:00:00,34.36,34.62,34.36,34.51,58316,0
2014-02-21,18:00:00,34.51,34.715,34.471,34.7,49576,0
2014-02-21,19:00:00,34.68,34.73,34.49,34.49,23651,0
2014-02-21,20:00:00,34.54,34.64,34.43,34.51,24992,0
2014-02-21,21:00:00,34.52,34.55,34.32,34.46,27697,0
2014-02-21,22:00:00,34.42,34.52,34.16,34.22,135157,0
2014-02-24,16:00:00,34.16,34.1975,33.6,34.06,27996,0
2014-02-24,17:00:00,33.9904,34.28,33.895,34.15,43403,0
2014-02-24,18:00:00,34.15,34.5,34.1,34.49,25390,0
2014-02-24,19:00:00,34.54,34.55,34.25,34.39,82826,0
2014-02-24,20:00:00,34.39,34.49,34.27,34.36,18025,0
2014-02-24,21:00:00,34.35,34.59,34.35,34.54,25868,0
2014-02-24,22:00:00,34.51,34.51,34.31,34.33,69315,0
2014-02-25,16:00:00,34.4,34.4,34.17,34.21,6140,0
2014-02-25,17:00:00,34.2,34.3599,34.09,34.32,22169,0
2014-02-25,18:00:00,34.33,34.53,34.2,34.42,43115,0
2014-02-25,19:00:00,34.44,34.45,34.07,34.21,54321,0
2014-02-25,20:00:00,34.28,34.38,34.22,34.28,4300,0
2014-02-25,21:00:00,34.27,34.32,34.1,34.16,8980,0
2014-02-25,22:00:00,34.18,34.19,33.95,34.01,127229,0
2014-02-26,16:00:00,33.6801,34.09,33.68,34.02,12771,0
2014-02-26,17:00:00,34.13,34.54,34.06,34.22,20029,0
2014-02-26,18:00:00,34.26,34.46,34.21,34.36,31473,0
2014-02-26,19:00:00,34.42,34.67,34.38,34.66,15401,0
2014-02-26,20:00:00,34.64,34.72,34.56,34.6,16800,0
2014-02-26,21:00:00,34.58,34.58,34.3,34.41,27161,0
2014-02-26,22:00:00,34.4,34.52,34.34,34.51,107159,0
2014-02-27,16:00:00,34.31,34.41,34.1,34.14,14036,0
2014-02-27,17:00:00,34.2,34.32,34.08,34.21,32558,0
2014-02-27,18:00:00,34.18,34.36,34.18,34.31,25227,0
2014-02-27,19:00:00,34.35,34.44,34.25,34.41,14198,0
2014-02-27,20:00:00,34.41,34.48,34.35,34.39,20377,0
2014-02-27,21:00:00,34.37,34.42,34.1,34.29,31320,0
2014-02-27,22:00:00,34.26,34.27,34.01,34.17,125731,0
2014-02-28,16:00:00,34.07,34.34,34.07,34.29,20756,0
2014-02-28,17:00:00,34.33,34.39,34.23,34.38,21124,0
2014-02-28,18:00:00,34.36,34.5,34.32,34.45,21593,0
2014-02-28,19:00:00,34.46,34.8,34.46,34.7,52098,0
2014-02-28,20:00:00,34.7,34.78,34.62,34.7,28763,0
2014-02-28,21:00:00,34.7,34.79,34.5,34.5264,51640,0
2014-02-28,22:00:00,34.53,34.53,34.17,34.18,189012,0
2014-03-03,16:00:00,33.98,33.98,33.72,33.76,16820,0
2014-03-03,17:00:00,33.85,33.96,33.53,33.77,37615,0
2014-03-03,18:00:00,33.75,33.77,33.58,33.71,81927,0
2014-03-03,19:00:00,33.73,33.99,33.64,33.98,19438,0
2014-03-03,20:00:00,34.01,34.17,34,34.1,14612,0
2014-03-03,21:00:00,34.05,34.26,34.05,34.22,20335,0
2014-03-03,22:00:00,34.17,34.2,33.99,34.12,53067,0
2014-03-04,16:00:00,34.58,35,34.31,34.99,21533,0
2014-03-04,17:00:00,34.99,35.48,34.95,35.37,163599,0
2014-03-04,18:00:00,35.375,35.82,35.2,35.82,74255,0
2014-03-04,19:00:00,35.79,36.11,35.72,35.92,81308,0
2014-03-04,20:00:00,35.92,36.09,35.67,35.8,115216,0
2014-03-04,21:00:00,35.8,36.15,35.71,35.91,86087,0
2014-03-04,22:00:00,35.9,36.07,35.71,35.75,184583,0
2014-03-05,16:00:00,35.81,36.2699,35.511,35.58,32007,0
2014-03-05,17:00:00,35.61,35.7,35.37,35.43,32432,0
2014-03-05,18:00:00,35.47,35.57,35.31,35.37,39423,0
2014-03-05,19:00:00,35.345,35.5,35.32,35.43,29072,0
2014-03-05,20:00:00,35.41,35.42,35.29,35.31,25174,0
2014-03-05,21:00:00,35.31,35.33,35.16,35.21,35920,0
2014-03-05,22:00:00,35.21,35.23,35.11,35.15,128958,0
2014-03-06,16:00:00,35.2,35.2,34.7801,34.99,12512,0
2014-03-06,17:00:00,34.98,34.98,34.73,34.83,71743,0
2014-03-06,18:00:00,34.82,34.87,34.77,34.81,53171,0
2014-03-06,19:00:00,34.795,34.88,34.75,34.87,228032,0
2014-03-06,20:00:00,34.9,34.91,34.79,34.79,20100,0
2014-03-06,21:00:00,34.81,34.86,34.75,34.84,56408,0
2014-03-06,22:00:00,34.85,34.93,34.7701,34.91,85718,0
2014-03-07,16:00:00,35.5999,35.5999,34.73,34.81,9430,0
2014-03-07,17:00:00,34.8775,35.18,34.81,34.96,17568,0
2014-03-07,18:00:00,34.91,34.95,34.72,34.95,64331,0
2014-03-07,19:00:00,34.91,34.91,34.78,34.81,9842,0
2014-03-07,20:00:00,34.78,34.95,34.7,34.9343,14830,0
2014-03-07,21:00:00,34.97,35.01,34.87,34.94,11946,0
2014-03-07,22:00:00,34.91,34.91,34.63,34.69,124836,0
2014-03-10,15:00:00,34.56,35.06,34.27,35.06,52639,0
2014-03-10,16:00:00,35.04,35.04,34.55,34.61,46688,0
2014-03-10,17:00:00,34.61,34.96,34.61,34.81,18894,0
2014-03-10,18:00:00,34.9,35.09,34.79,34.9,34432,0
2014-03-10,19:00:00,34.925,34.99,34.66,34.66,42157,0
2014-03-10,20:00:00,34.66,34.97,34.53,34.87,41512,0
2014-03-10,21:00:00,34.86,34.95,34.63,34.67,155107,0
2014-03-11,15:00:00,34.77,34.9725,34.52,34.52,9838,0
2014-03-11,16:00:00,34.52,34.95,34.325,34.87,35506,0
2014-03-11,17:00:00,34.81,34.82,34.46,34.69,48444,0
2014-03-11,18:00:00,34.66,34.662,34.27,34.46,23561,0
2014-03-11,19:00:00,34.37,34.52,34.32,34.38,30672,0
2014-03-11,20:00:00,34.395,34.4,34.2,34.21,45226,0
2014-03-11,21:00:00,34.2,34.32,34.06,34.11,101834,0
2014-03-12,15:00:00,34.06,34.28,33.8225,34,27406,0
2014-03-12,16:00:00,34.03,34.19,33.895,34.13,82228,0
2014-03-12,17:00:00,34.2,34.405,34.135,34.25,48099,0
2014-03-12,18:00:00,34.16,34.24,34.03,34.03,24787,0
2014-03-12,19:00:00,34.07,34.21,34.02,34.12,17200,0
2014-03-12,20:00:00,34.19,34.288,34.13,34.13,47118,0
2014-03-12,21:00:00,34.11,34.37,34.09,34.27,60061,0
2014-03-13,15:00:00,34.47,34.57,34.042,34.22,9891,0
