Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,17:00:00,18.596,18.596,18.2,18.5,3163,0
2014-02-10,18:00:00,18.55,18.55,18.55,18.55,200,0
2014-02-10,19:00:00,18.5,18.5,18.41,18.5,1100,0
2014-02-10,20:00:00,18.5,18.5,18.45,18.5,1100,0
2014-02-10,22:00:00,18.4,18.4,18.35,18.4,2000,0
2014-02-11,18:00:00,18.56,18.57,18.56,18.56,400,0
2014-02-11,19:00:00,18.4,18.5,18.4,18.47,12400,0
2014-02-11,20:00:00,18.5,18.51,18.35,18.48,12600,0
2014-02-11,21:00:00,18.22,18.54,18.22,18.54,900,0
2014-02-11,22:00:00,18.6,18.6,18.6,18.6,500,0
2014-02-12,17:00:00,18.5999,18.5999,18.5999,18.5999,500,0
2014-02-12,20:00:00,18.5999,18.6,18.58,18.6,1000,0
2014-02-12,21:00:00,18.797,18.8,18.79,18.797,3425,0
2014-02-12,22:00:00,18.696,18.7999,18.696,18.75,4200,0
2014-02-13,19:00:00,18.55,18.8,18.55,18.746,400,0
2014-02-13,20:00:00,18.8,19.31,18.8,19.1,17090,0
2014-02-13,21:00:00,19.1,19.2499,19.08,19.09,2470,0
2014-02-13,22:00:00,19,19.25,18.96,19.23,1533,0
2014-02-14,16:00:00,19.33,19.4999,19.2,19.4999,1120,0
2014-02-14,17:00:00,19.5,19.626,19.5,19.5,1500,0
2014-02-14,18:00:00,19.55,19.95,19.55,19.95,7160,0
2014-02-14,19:00:00,19.804,21.73,19.804,21.73,15437,0
2014-02-14,20:00:00,20.54,21,20.25,20.61,1485,0
2014-02-14,21:00:00,20.51,21.75,20.51,21.75,3540,0
2014-02-14,22:00:00,22.226,23.05,22.01,22.69,9362,0
2014-02-18,16:00:00,22.2499,22.2499,22.2499,22.2499,1800,0
2014-02-18,17:00:00,21.748,21.748,21.748,21.748,1356,0
2014-02-18,18:00:00,21.86,21.9999,21.148,21.638,3270,0
2014-02-18,19:00:00,21.78,22.27,21.52,21.52,6009,0
2014-02-18,20:00:00,22.6446,22.6446,22.6446,22.6446,250,0
2014-02-18,21:00:00,22.64,23.05,21.6234,22.9,3411,0
2014-02-18,22:00:00,22.7499,22.7499,21.52,21.94,12390,0
2014-02-19,16:00:00,21.7,21.7,21.07,21.07,3100,0
2014-02-19,17:00:00,20.81,21.412,20.81,20.97,3300,0
2014-02-19,18:00:00,20.8,20.8,20.21,20.21,2170,0
2014-02-19,19:00:00,20.1,20.16,20.1,20.1,782,0
2014-02-19,20:00:00,20.49,20.5,20.49,20.5,1500,0
2014-02-19,21:00:00,20.75,21.38,20.676,21.38,5401,0
2014-02-19,22:00:00,20.23,20.26,20.15,20.15,516,0
2014-02-20,17:00:00,20.15,20.26,20.15,20.25,2900,0
2014-02-20,18:00:00,21,21,21,21,500,0
2014-02-20,19:00:00,20.9,20.9,20.8793,20.8793,900,0
2014-02-20,21:00:00,21,21,20.75,20.75,400,0
2014-02-20,22:00:00,20.28,20.38,20.28,20.38,200,0
2014-02-21,17:00:00,20.79,20.8,20.5,20.5,3888,0
2014-02-21,21:00:00,20.51,20.51,20.5,20.5,3480,0
2014-02-21,22:00:00,20.5,20.748,20.5,20.7,1818,0
2014-02-24,16:00:00,20.62,20.62,20.62,20.62,200,0
2014-02-24,17:00:00,20.912,20.912,20.912,20.912,400,0
2014-02-24,19:00:00,20.92,20.92,20.85,20.85,1000,0
2014-02-24,20:00:00,20.85,20.8744,20.85,20.85,1000,0
2014-02-24,22:00:00,20.55,20.55,20.55,20.55,221,0
2014-02-25,16:00:00,21,21,21,21,300,0
2014-02-25,18:00:00,20.8824,20.8824,20.8824,20.8824,675,0
2014-02-25,19:00:00,20.75,20.75,20.75,20.75,500,0
2014-02-25,21:00:00,20.5668,20.5668,20.5668,20.5668,100,0
2014-02-25,22:00:00,20.5668,20.8999,20.5668,20.75,3300,0
2014-02-26,16:00:00,20.8499,20.85,20.82,20.85,3654,0
2014-02-26,17:00:00,20.85,22.399,20.85,22.399,1392,0
2014-02-26,18:00:00,22.479,22.4999,22.479,22.4999,200,0
2014-02-26,19:00:00,22.49,22.49,22.4851,22.4851,1000,0
2014-02-26,20:00:00,22.0001,22.2399,22,22.2399,700,0
2014-02-26,21:00:00,21.46,21.46,21.46,21.46,200,0
2014-02-26,22:00:00,21.6,21.6,21.55,21.55,904,0
2014-02-27,16:00:00,22.2305,22.2305,22.2305,22.2305,425,0
2014-02-27,18:00:00,20.9999,20.9999,20.9999,20.9999,250,0
2014-02-27,20:00:00,20.95,21,20.95,21,400,0
2014-02-27,21:00:00,21.97,22.05,21.9,22,5443,0
2014-02-27,22:00:00,22,22.15,22,22.02,803,0
2014-02-28,17:00:00,22.25,22.25,22.25,22.25,900,0
2014-02-28,18:00:00,22.25,22.25,22.25,22.25,700,0
2014-02-28,19:00:00,22.25,22.25,22.25,22.25,600,0
2014-02-28,20:00:00,22.5,23.829,22.5,23.829,896,0
2014-02-28,22:00:00,22.078,23,21.85,22.46,4345,0
2014-03-03,16:00:00,21.797,21.797,21.797,21.797,200,0
2014-03-03,17:00:00,21.84,22.5,21.7773,21.78,3310,0
2014-03-03,18:00:00,22.5,22.95,22.5,22.95,1160,0
2014-03-03,19:00:00,22.5,22.5,22.48,22.48,300,0
2014-03-03,21:00:00,22.48,22.48,22.48,22.48,800,0
2014-03-03,22:00:00,22.49,22.49,22.49,22.49,200,0
2014-03-04,16:00:00,22.9,22.9,22.5062,22.5062,1067,0
2014-03-04,17:00:00,22.51,22.51,22.51,22.51,1000,0
2014-03-04,19:00:00,22.5385,22.558,22.5124,22.5124,1570,0
2014-03-04,20:00:00,22.51,22.51,22.51,22.51,100,0
2014-03-04,22:00:00,22.534,22.65,22.5145,22.65,856,0
2014-03-05,19:00:00,21.948,21.948,21.948,21.948,100,0
2014-03-05,20:00:00,22,22,22,22,500,0
2014-03-05,21:00:00,22.6999,22.7,22.6999,22.7,300,0
2014-03-05,22:00:00,22.25,22.25,21.95,21.97,1139,0
2014-03-06,16:00:00,21.96,21.96,21.96,21.96,132,0
2014-03-06,17:00:00,21.96,21.96,21.96,21.96,329,0
2014-03-06,18:00:00,21.9999,21.9999,21.999,21.999,300,0
2014-03-06,20:00:00,21.999,21.999,21.7736,21.7736,400,0
2014-03-06,22:00:00,21.7601,21.91,21.76,21.91,1915,0
2014-03-07,18:00:00,21.7723,21.7723,21.7723,21.7723,100,0
2014-03-07,19:00:00,21.976,21.976,21.976,21.976,100,0
2014-03-07,22:00:00,22.01,22.01,21.98,21.98,2098,0
2014-03-10,15:00:00,21.52,21.52,21.52,21.52,100,0
2014-03-10,16:00:00,21.8,21.8,21.8,21.8,200,0
2014-03-10,17:00:00,21.289,21.289,21.0001,21.038,5501,0
2014-03-10,19:00:00,21.16,21.17,21,21.0001,2313,0
2014-03-10,20:00:00,21,21,21,21,200,0
2014-03-10,21:00:00,21.036,21.35,21.036,21.12,828,0
2014-03-11,15:00:00,21.2162,21.2162,21.2162,21.2162,135,0
2014-03-11,20:00:00,21.24,21.24,21.24,21.24,200,0
2014-03-11,21:00:00,21.05,21.72,21.05,21.72,1220,0
2014-03-12,15:00:00,21.5001,21.5001,21.5,21.5,300,0
2014-03-12,16:00:00,21.5,21.6,21.5,21.6,600,0
2014-03-12,17:00:00,21.9965,22,21.99,22,1977,0
2014-03-12,18:00:00,21.5569,21.5569,21.5569,21.5569,300,0
2014-03-12,19:00:00,22.213,22.213,22.213,22.213,100,0
2014-03-12,20:00:00,21.5595,21.5595,21.55,21.55,900,0
2014-03-13,15:00:00,21.85,21.85,21.85,21.85,100,0
2014-03-13,18:00:00,21.85,21.85,21.85,21.85,230,0
2014-03-13,19:00:00,21.85,21.85,21.85,21.85,100,0
2014-03-13,21:00:00,21.85,22.02,21.85,22.02,1010,0
2014-03-14,15:00:00,21.85,21.85,21.85,21.85,1000,0
2014-03-14,17:00:00,21.8501,21.8501,21.8501,21.8501,540,0
2014-03-14,18:00:00,21.86,22.2147,21.86,22.2147,350,0
2014-03-14,19:00:00,21.86,21.9185,21.86,21.9185,500,0
2014-03-14,20:00:00,21.9,21.9,21.9,21.9,325,0
2014-03-14,21:00:00,21.86,21.86,21.85,21.86,588,0
2014-03-17,16:00:00,21.7507,22.25,21.7507,22.25,1104,0
2014-03-17,18:00:00,21.55,21.595,21.55,21.59,600,0
2014-03-17,21:00:00,21.57,21.57,21.57,21.57,131,0
2014-03-18,15:00:00,21.53,21.53,21.53,21.53,1748,0
2014-03-18,19:00:00,21.001,21.148,21,21.148,1700,0
2014-03-18,21:00:00,21.06,21.36,21.06,21.36,315,0
2014-03-19,17:00:00,21.15,21.15,21.15,21.15,1360,0
2014-03-19,21:00:00,21.0037,21.5,20.02,21.5,8623,0
2014-03-20,18:00:00,21.55,21.55,21.17,21.17,1150,0
2014-03-21,17:00:00,21.18,21.18,21.15,21.15,307,0
2014-03-21,18:00:00,21.21,21.21,21.21,21.21,2000,0
2014-03-21,19:00:00,20.75,21.01,20.75,21,998,0
2014-03-21,21:00:00,20.85,20.85,20.85,20.85,500,0
2014-03-24,16:00:00,20.5301,20.5801,20.499,20.499,4618,0
2014-03-24,17:00:00,20.499,20.499,20.499,20.499,200,0
2014-03-24,18:00:00,20.5,20.5,20.5,20.5,300,0
2014-03-24,19:00:00,20.41,20.41,20.41,20.41,600,0
2014-03-24,21:00:00,20.28,20.515,20.28,20.51,1000,0
2014-03-25,18:00:00,20.08,20.08,20.08,20.08,100,0
2014-03-25,19:00:00,20.5,20.5,20.5,20.5,200,0
2014-03-25,20:00:00,20.88,20.88,20.88,20.88,300,0
2014-03-25,21:00:00,20.881,21,20.881,20.96,2336,0
2014-03-26,16:00:00,20.75,20.89,20.75,20.75,803,0
2014-03-26,17:00:00,20.99,21,20.75,20.7501,1134,0
2014-03-26,18:00:00,20.8,20.8,20.75,20.7501,1000,0
2014-03-26,19:00:00,20.75,20.7501,20.5,20.5,1000,0
2014-03-26,20:00:00,20.52,20.52,20.52,20.52,100,0
2014-03-26,21:00:00,20.88,20.88,20.88,20.88,111,0
2014-03-27,16:00:00,20.52,20.52,20.52,20.52,250,0
2014-03-27,18:00:00,20.5,20.6225,20.5,20.5,500,0
2014-03-27,21:00:00,20.75,20.75,20.65,20.65,1930,0
2014-03-28,15:00:00,20.55,20.61,20.01,20.38,2187,0
2014-03-28,17:00:00,20.5,20.5,20.46,20.46,1100,0
