Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-11,17:00:00,35.73,35.73,35.73,35.73,200,0
2014-02-11,18:00:00,35.9701,35.9701,35.9701,35.9701,600,0
2014-02-11,20:00:00,36.02,36.02,36.02,36.02,762,0
2014-02-11,22:00:00,36.07,36.14,36.07,36.14,300,0
2014-02-14,19:00:00,36.3643,36.3643,36.3643,36.3643,1000,0
2014-02-19,20:00:00,36.56,36.57,36.56,36.57,402,0
2014-02-19,22:00:00,36.4927,36.4927,36.4927,36.4927,1250,0
2014-02-20,18:00:00,36.5597,36.5697,36.3031,36.5697,802,0
2014-02-20,19:00:00,36.3265,36.3265,36.3265,36.3265,248,0
2014-02-24,16:00:00,36.676,36.7498,36.676,36.7498,290,0
2014-02-26,16:00:00,37.0599,37.0599,37.0599,37.0599,320,0
2014-02-26,17:00:00,37,37,37,37,1080,0
2014-02-27,16:00:00,37.04,37.04,37.04,37.04,1310,0
2014-02-28,18:00:00,36.9801,36.9801,36.9801,36.9801,234,0
2014-03-04,19:00:00,36.98,36.98,36.98,36.98,300,0
2014-03-04,21:00:00,36.98,36.98,36.98,36.98,375,0
2014-03-04,22:00:00,36.97,36.98,36.97,36.98,475,0
2014-03-05,22:00:00,36.91,37.05,36.91,37.05,635,0
2014-03-06,16:00:00,37.31,37.31,37.31,37.31,200,0
2014-03-07,16:00:00,37.13,37.13,37.13,37.13,111,0
2014-03-07,18:00:00,36.81,36.81,36.81,36.81,1936,0
2014-03-10,17:00:00,36.914,36.914,36.914,36.914,640,0
2014-03-11,21:00:00,36.6,36.62,36.5501,36.59,1000,0
2014-03-12,17:00:00,36.48,36.53,36.48,36.53,400,0
2014-03-14,16:00:00,36.6,36.6,36.6,36.6,300,0
2014-03-17,16:00:00,36.7099,36.71,36.7099,36.7099,2400,0
2014-03-19,18:00:00,36.56,36.62,36.5,36.62,700,0
2014-03-19,19:00:00,36.52,36.52,36.52,36.52,100,0
2014-03-20,15:00:00,36.24,36.24,36.24,36.24,550,0
2014-03-20,17:00:00,35.99,35.99,35.99,35.99,400,0
2014-03-21,17:00:00,36.53,36.54,36.53,36.54,1200,0
2014-03-21,18:00:00,36.64,36.6501,36.5399,36.65,14900,0
2014-03-21,19:00:00,36.55,36.55,36.42,36.49,4400,0
2014-03-21,20:00:00,36.4701,36.4701,36.41,36.44,3800,0
2014-03-21,21:00:00,36.41,36.41,36.3,36.38,3000,0
2014-03-24,16:00:00,36.4,36.4,36.38,36.38,400,0
2014-03-26,15:00:00,36.31,36.355,36.31,36.355,340,0
2014-03-26,18:00:00,36.45,36.45,36.45,36.45,250,0
2014-03-28,21:00:00,36.98,36.98,36.86,36.93,4200,0
2014-03-31,16:00:00,36.83,36.83,36.83,36.83,200,0
2014-03-31,19:00:00,37,37,37,37,369,0
2014-04-01,18:00:00,37.3099,37.31,37.3099,37.31,600,0
2014-04-04,17:00:00,37.5,37.5,37.5,37.5,200,0
2014-04-04,18:00:00,37.95,37.96,37.95,37.96,1000,0
2014-04-04,19:00:00,37.311,37.311,37.311,37.311,150,0
2014-04-07,17:00:00,37.5798,37.58,37.5798,37.58,300,0
2014-04-08,22:00:00,37.08,37.08,37.08,37.08,500,0
2014-04-09,19:00:00,37.13,37.23,37.13,37.18,1500,0
2014-04-14,16:00:00,36.61,36.61,36.61,36.61,1200,0
2014-04-15,20:00:00,36.812,36.812,36.812,36.812,100,0
2014-04-16,16:00:00,37.1,37.1,37.1,37.1,2000,0
