Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,2.48,2.5,2.4,2.46,68245,0
2014-02-10,17:00:00,2.4303,2.53,2.43,2.515,152848,0
2014-02-10,18:00:00,2.515,2.58,2.51,2.55,121502,0
2014-02-10,19:00:00,2.554,2.56,2.55,2.55,77371,0
2014-02-10,20:00:00,2.55,2.58,2.55,2.56,156108,0
2014-02-10,21:00:00,2.56,2.58,2.55,2.559,46867,0
2014-02-10,22:00:00,2.559,2.61,2.559,2.6,304673,0
2014-02-11,16:00:00,2.5701,2.67,2.57,2.644,96320,0
2014-02-11,17:00:00,2.648,2.76,2.648,2.7301,390376,0
2014-02-11,18:00:00,2.74,2.81,2.73,2.76,326400,0
2014-02-11,19:00:00,2.76,2.77,2.75,2.75,101372,0
2014-02-11,20:00:00,2.7549,2.77,2.75,2.75,208600,0
2014-02-11,21:00:00,2.75,2.76,2.6154,2.7,720387,0
2014-02-11,22:00:00,2.6984,2.78,2.69,2.73,682266,0
2014-02-12,16:00:00,2.77,2.805,2.7099,2.7099,99516,0
2014-02-12,17:00:00,2.71,2.73,2.55,2.58,233305,0
2014-02-12,18:00:00,2.5801,2.68,2.58,2.68,68446,0
2014-02-12,19:00:00,2.68,2.73,2.66,2.725,53118,0
2014-02-12,20:00:00,2.73,2.735,2.66,2.67,68835,0
2014-02-12,21:00:00,2.68,2.68,2.64,2.65,87433,0
2014-02-12,22:00:00,2.65,2.66,2.64,2.66,97967,0
2014-02-13,16:00:00,2.64,2.7,2.5805,2.69,43620,0
2014-02-13,17:00:00,2.69,2.7,2.68,2.7,77763,0
2014-02-13,18:00:00,2.7,2.75,2.695,2.73,101699,0
2014-02-13,19:00:00,2.7345,2.75,2.73,2.75,48335,0
2014-02-13,20:00:00,2.75,2.75,2.72,2.74,50694,0
2014-02-13,21:00:00,2.74,2.79,2.73,2.77,81203,0
2014-02-13,22:00:00,2.7703,2.84,2.7703,2.83,278808,0
2014-02-14,16:00:00,2.8,2.95,2.8,2.9499,125070,0
2014-02-14,17:00:00,2.94,3.08,2.85,2.86,481865,0
2014-02-14,18:00:00,2.88,2.92,2.82,2.82,267668,0
2014-02-14,19:00:00,2.83,2.92,2.75,2.895,200274,0
2014-02-14,20:00:00,2.8999,2.92,2.8801,2.9001,78531,0
2014-02-14,21:00:00,2.9099,3,2.9,2.99,189239,0
2014-02-14,22:00:00,2.99,2.991,2.79,2.79,348565,0
2014-02-18,16:00:00,2.8,2.85,2.73,2.772,111001,0
2014-02-18,17:00:00,2.77,2.8501,2.735,2.8501,252743,0
2014-02-18,18:00:00,2.85,2.97,2.77,2.8901,321379,0
2014-02-18,19:00:00,2.895,2.91,2.865,2.9,103118,0
2014-02-18,20:00:00,2.9082,2.91,2.89,2.9,61417,0
2014-02-18,21:00:00,2.89,2.91,2.88,2.885,35009,0
2014-02-18,22:00:00,2.8801,2.89,2.86,2.88,104510,0
2014-02-19,16:00:00,2.89,2.95,2.88,2.9096,90009,0
2014-02-19,17:00:00,2.9,2.93,2.87,2.895,72798,0
2014-02-19,18:00:00,2.885,2.94,2.84,2.855,161871,0
2014-02-19,19:00:00,2.855,2.96,2.84,2.895,103550,0
2014-02-19,20:00:00,2.9,2.93,2.88,2.89,82316,0
2014-02-19,21:00:00,2.881,2.92,2.855,2.9101,72598,0
2014-02-19,22:00:00,2.91,2.925,2.88,2.9,157595,0
2014-02-20,16:00:00,2.8736,2.8736,2.78,2.81,44548,0
2014-02-20,17:00:00,2.81,2.96,2.8,2.9,97665,0
2014-02-20,18:00:00,2.905,2.92,2.87,2.9001,71234,0
2014-02-20,19:00:00,2.9,2.91,2.87,2.9001,37347,0
2014-02-20,20:00:00,2.905,2.91,2.88,2.8801,32753,0
2014-02-20,21:00:00,2.88,2.93,2.86,2.9,77890,0
2014-02-20,22:00:00,2.89,2.935,2.85,2.88,175168,0
2014-02-21,16:00:00,2.88,2.91,2.85,2.86,38399,0
2014-02-21,17:00:00,2.85,2.9,2.84,2.9,97906,0
2014-02-21,18:00:00,2.895,2.92,2.88,2.9,65258,0
2014-02-21,19:00:00,2.91,2.91,2.87,2.89,92710,0
2014-02-21,20:00:00,2.9,2.965,2.89,2.94,62061,0
2014-02-21,21:00:00,2.94,2.945,2.9,2.93,45246,0
2014-02-21,22:00:00,2.93,2.94,2.83,2.84,139187,0
2014-02-24,16:00:00,2.85,2.97,2.85,2.92,56051,0
2014-02-24,17:00:00,2.93,2.97,2.93,2.95,79516,0
2014-02-24,18:00:00,2.95,2.97,2.93,2.95,80408,0
2014-02-24,19:00:00,2.95,2.97,2.94,2.97,68776,0
2014-02-24,20:00:00,2.965,2.99,2.96,2.99,70398,0
2014-02-24,21:00:00,2.9804,3.05,2.9804,3.04,263229,0
2014-02-24,22:00:00,3.04,3.05,3,3.01,210080,0
2014-02-25,16:00:00,3.05,3.46,3.03,3.32,610066,0
2014-02-25,17:00:00,3.32,3.33,3.16,3.1701,287076,0
2014-02-25,18:00:00,3.18,3.3,3.15,3.29,225374,0
2014-02-25,19:00:00,3.295,3.3,3.21,3.21,138033,0
2014-02-25,20:00:00,3.22,3.22,3.11,3.155,107390,0
2014-02-25,21:00:00,3.15,3.2688,3.1399,3.26,118229,0
2014-02-25,22:00:00,3.27,3.3,3.25,3.29,237805,0
2014-02-26,16:00:00,3.41,3.43,3.24,3.27,114178,0
2014-02-26,17:00:00,3.28,3.38,3.27,3.31,159313,0
2014-02-26,18:00:00,3.305,3.32,3.24,3.29,129263,0
2014-02-26,19:00:00,3.3,3.35,3.24,3.28,86639,0
2014-02-26,20:00:00,3.28,3.29,3.24,3.255,45985,0
2014-02-26,21:00:00,3.252,3.26,3.2,3.22,70443,0
2014-02-26,22:00:00,3.22,3.28,3.2,3.27,131481,0
2014-02-27,16:00:00,3.24,3.3,3.21,3.28,37913,0
2014-02-27,17:00:00,3.275,3.38,3.27,3.3,142942,0
2014-02-27,18:00:00,3.29,3.33,3.26,3.26,79288,0
2014-02-27,19:00:00,3.2601,3.31,3.25,3.31,48900,0
2014-02-27,20:00:00,3.3,3.33,3.27,3.29,36761,0
2014-02-27,21:00:00,3.29,3.3,3.25,3.26,49924,0
2014-02-27,22:00:00,3.25,3.27,3.245,3.27,126692,0
2014-02-28,16:00:00,3.28,3.28,3.22,3.235,24282,0
2014-02-28,17:00:00,3.238,3.24,3.09,3.21,226005,0
2014-02-28,18:00:00,3.2,3.23,3.14,3.18,55180,0
2014-02-28,19:00:00,3.18,3.21,3.16,3.18,49521,0
2014-02-28,20:00:00,3.19,3.19,3.12,3.13,87235,0
2014-02-28,21:00:00,3.13,3.13,3.01,3.07,157160,0
2014-02-28,22:00:00,3.07,3.09,3.06,3.09,107207,0
2014-03-03,16:00:00,3.0105,3.19,2.96,3.12,85393,0
2014-03-03,17:00:00,3.12,3.245,3.09,3.23,114414,0
2014-03-03,18:00:00,3.235,3.24,3.15,3.16,107938,0
2014-03-03,19:00:00,3.17,3.17,3.14,3.14,80322,0
2014-03-03,20:00:00,3.15,3.16,3.14,3.145,48427,0
2014-03-03,21:00:00,3.15,3.2,3.13,3.18,103166,0
2014-03-03,22:00:00,3.17,3.19,3.165,3.17,123752,0
2014-03-04,16:00:00,3.21,3.25,3.19,3.25,51900,0
2014-03-04,17:00:00,3.25,3.27,3.205,3.23,79778,0
2014-03-04,18:00:00,3.22,3.2399,3.2,3.22,54512,0
2014-03-04,19:00:00,3.22,3.25,3.21,3.24,36942,0
2014-03-04,20:00:00,3.245,3.25,3.19,3.19,59426,0
2014-03-04,21:00:00,3.19,3.22,3.17,3.22,80592,0
2014-03-04,22:00:00,3.22,3.24,3.22,3.23,113684,0
2014-03-05,16:00:00,3.25,3.31,3.2301,3.285,47994,0
2014-03-05,17:00:00,3.29,3.5,3.28,3.47,556915,0
2014-03-05,18:00:00,3.475,3.49,3.37,3.39,211095,0
2014-03-05,19:00:00,3.39,3.46,3.38,3.46,140741,0
2014-03-05,20:00:00,3.46,3.61,3.42,3.531,414238,0
2014-03-05,21:00:00,3.54,3.72,3.52,3.6101,302845,0
2014-03-05,22:00:00,3.61,3.66,3.535,3.55,375924,0
2014-03-06,16:00:00,3.5605,3.58,3.45,3.465,220472,0
2014-03-06,17:00:00,3.47,3.5499,3.42,3.5,250741,0
2014-03-06,18:00:00,3.5,3.57,3.5,3.53,56300,0
2014-03-06,19:00:00,3.53,3.58,3.53,3.565,59246,0
2014-03-06,20:00:00,3.5699,3.59,3.475,3.48,143830,0
2014-03-06,21:00:00,3.47,3.47,3.4,3.45,205819,0
2014-03-06,22:00:00,3.455,3.54,3.45,3.52,453287,0
2014-03-07,16:00:00,3.52,3.56,3.48,3.53,154179,0
2014-03-07,17:00:00,3.53,3.63,3.53,3.63,344032,0
2014-03-07,18:00:00,3.62,3.63,3.56,3.585,373258,0
2014-03-07,19:00:00,3.585,3.6,3.57,3.595,34235,0
2014-03-07,20:00:00,3.591,3.6,3.55,3.59,140043,0
2014-03-07,21:00:00,3.5899,3.62,3.58,3.6,96881,0
2014-03-07,22:00:00,3.6099,3.62,3.58,3.59,127171,0
2014-03-10,15:00:00,3.6001,3.63,3.57,3.58,27285,0
2014-03-10,16:00:00,3.58,3.68,3.58,3.65,117316,0
2014-03-10,17:00:00,3.645,3.7,3.64,3.65,122436,0
2014-03-10,18:00:00,3.64,3.7,3.62,3.65,74880,0
2014-03-10,19:00:00,3.65,3.68,3.605,3.615,62910,0
2014-03-10,20:00:00,3.615,3.69,3.6,3.66,88709,0
2014-03-10,21:00:00,3.66,3.7,3.61,3.65,456029,0
2014-03-11,15:00:00,3.68,3.69,3.62,3.635,29319,0
2014-03-11,16:00:00,3.64,3.76,3.64,3.755,198458,0
2014-03-11,17:00:00,3.755,3.76,3.65,3.67,91431,0
2014-03-11,18:00:00,3.67,3.68,3.64,3.65,46683,0
2014-03-11,19:00:00,3.65,3.65,3.57,3.61,79987,0
2014-03-11,20:00:00,3.62,3.64,3.59,3.61,133757,0
2014-03-11,21:00:00,3.6101,3.65,3.57,3.65,296372,0
2014-03-12,15:00:00,3.66,3.66,3.54,3.64,107237,0
2014-03-12,16:00:00,3.635,3.69,3.602,3.64,60276,0
2014-03-12,17:00:00,3.6301,3.78,3.6301,3.75,194196,0
2014-03-12,18:00:00,3.75,3.775,3.72,3.72,82554,0
2014-03-12,19:00:00,3.72,3.765,3.69,3.7175,163907,0
2014-03-12,20:00:00,3.72,3.76,3.685,3.75,240278,0
2014-03-12,21:00:00,3.745,3.745,3.66,3.72,323129,0
2014-03-13,15:00:00,3.8001,4.08,3.8001,3.91,327956,0
2014-03-13,16:00:00,3.91,4.025,3.91,3.97,293196,0
2014-03-13,17:00:00,3.965,3.97,3.81,3.8501,276434,0
2014-03-13,18:00:00,3.85,3.91,3.8201,3.8901,248196,0
2014-03-13,19:00:00,3.89,3.95,3.83,3.87,167399,0
2014-03-13,20:00:00,3.88,3.9,3.83,3.83,193098,0
2014-03-13,21:00:00,3.84,3.9,3.8,3.89,814985,0
2014-03-14,15:00:00,3.62,3.68,3.18,3.64,578990,0
2014-03-14,16:00:00,3.62,3.728,3.455,3.6,421467,0
2014-03-14,17:00:00,3.61,3.64,3.55,3.64,173114,0
2014-03-14,18:00:00,3.635,3.7,3.63,3.675,155506,0
2014-03-14,19:00:00,3.68,3.69,3.65,3.67,125990,0
2014-03-14,20:00:00,3.675,3.7,3.67,3.69,66689,0
2014-03-14,21:00:00,3.7,3.7,3.665,3.69,317479,0
2014-03-17,15:00:00,3.68,3.77,3.58,3.65,53447,0
2014-03-17,16:00:00,3.65,3.7499,3.62,3.72,80514,0
2014-03-17,17:00:00,3.72,3.74,3.65,3.69,43300,0
2014-03-17,18:00:00,3.69,3.69,3.66,3.69,39755,0
2014-03-17,19:00:00,3.69,3.69,3.68,3.69,57041,0
2014-03-17,20:00:00,3.69,3.69,3.68,3.69,110278,0
2014-03-17,21:00:00,3.69,3.72,3.65,3.7,228611,0
2014-03-18,15:00:00,3.69,3.74,3.65,3.68,51345,0
2014-03-18,16:00:00,3.67,3.7,3.59,3.69,159321,0
2014-03-18,17:00:00,3.69,3.69,3.6001,3.655,158766,0
2014-03-18,18:00:00,3.65,3.66,3.62,3.65,60979,0
2014-03-18,19:00:00,3.64,3.66,3.625,3.625,74840,0
2014-03-18,20:00:00,3.63,3.64,3.57,3.585,136604,0
2014-03-18,21:00:00,3.58,3.59,3.36,3.39,776280,0
2014-03-19,15:00:00,3.3999,3.3999,3.26,3.34,154415,0
2014-03-19,16:00:00,3.335,3.35,3.19,3.21,500737,0
2014-03-19,17:00:00,3.21,3.47,3.19,3.45,331143,0
2014-03-19,18:00:00,3.4501,3.5,3.42,3.46,77186,0
2014-03-19,19:00:00,3.451,3.54,3.4501,3.5,62540,0
2014-03-19,20:00:00,3.5,3.6,3.4,3.58,336146,0
2014-03-19,21:00:00,3.59,3.615,3.49,3.58,458095,0
2014-03-20,15:00:00,3.54,3.6,3.4001,3.47,76662,0
2014-03-20,16:00:00,3.49,3.51,3.42,3.462,117023,0
