Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,23.04,23.31,22.75,22.892,62890,0
2014-02-10,17:00:00,22.85,23.37,22.85,23.127,64159,0
2014-02-10,18:00:00,23.1,23.14,23.03,23.06,16381,0
2014-02-10,19:00:00,23.1,23.1,22.95,22.97,51329,0
2014-02-10,20:00:00,22.95,23,22.95,22.97,29623,0
2014-02-10,21:00:00,22.99,22.99,22.95,22.95,30273,0
2014-02-10,22:00:00,22.96,23.12,22.95,23.06,48359,0
2014-02-11,16:00:00,23.06,23.2,23.0401,23.14,8957,0
2014-02-11,17:00:00,23.14,23.29,23.1,23.15,18432,0
2014-02-11,18:00:00,23.16,23.28,23.11,23.15,17628,0
2014-02-11,19:00:00,23.1599,23.16,23.08,23.09,11803,0
2014-02-11,20:00:00,23.0925,23.1932,23,23,10700,0
2014-02-11,21:00:00,23.03,23.03,22.95,22.97,20185,0
2014-02-11,22:00:00,22.9503,23.04,22.88,22.97,116171,0
2014-02-12,16:00:00,22.96,23.27,22.96,23.19,6230,0
2014-02-12,17:00:00,23.18,23.22,23.1,23.1,11065,0
2014-02-12,18:00:00,23.08,23.16,22.95,22.98,12000,0
2014-02-12,19:00:00,23.01,23.06,22.97,23.01,3274,0
2014-02-12,20:00:00,23.08,23.12,23.0324,23.064,1735,0
2014-02-12,21:00:00,23.054,23.1,22.86,22.89,17681,0
2014-02-12,22:00:00,22.88,22.89,22.64,22.74,48288,0
2014-02-13,16:00:00,22.52,22.81,22.2,22.7,18564,0
2014-02-13,17:00:00,22.7,23.07,22.7,22.8701,6897,0
2014-02-13,18:00:00,22.99,23.07,22.9101,22.92,3200,0
2014-02-13,19:00:00,22.92,22.93,22.67,22.71,13908,0
2014-02-13,20:00:00,22.75,22.88,22.51,22.51,28864,0
2014-02-13,21:00:00,22.5,22.56,22.48,22.535,14984,0
2014-02-13,22:00:00,22.535,22.56,22.33,22.4,67450,0
2014-02-14,16:00:00,22.15,22.47,22.02,22.26,26628,0
2014-02-14,17:00:00,22.24,22.38,22.15,22.18,49535,0
2014-02-14,18:00:00,22.185,22.25,22.14,22.2,8800,0
2014-02-14,19:00:00,22.209,22.25,22.17,22.23,14900,0
2014-02-14,20:00:00,22.25,22.35,22.1601,22.33,17731,0
2014-02-14,21:00:00,22.33,22.4,22.31,22.34,10125,0
2014-02-14,22:00:00,22.33,22.37,22.18,22.24,37932,0
2014-02-18,16:00:00,22.22,22.22,22.1,22.1,11022,0
2014-02-18,17:00:00,22.13,22.4,22.13,22.34,18796,0
2014-02-18,18:00:00,22.33,22.33,22.09,22.315,19390,0
2014-02-18,19:00:00,22.29,22.35,22.245,22.27,17215,0
2014-02-18,20:00:00,22.3,22.42,22.27,22.29,41416,0
2014-02-18,21:00:00,22.3875,22.49,22.27,22.44,68278,0
2014-02-18,22:00:00,22.44,22.5,22.39,22.46,120067,0
2014-02-19,16:00:00,22.46,22.57,22.36,22.47,22237,0
2014-02-19,17:00:00,22.47,22.52,22.35,22.37,32969,0
2014-02-19,18:00:00,22.37,22.43,22.33,22.35,11709,0
2014-02-19,19:00:00,22.32,22.32,22.12,22.1344,25644,0
2014-02-19,20:00:00,22.1644,22.46,22.1644,22.348,16390,0
2014-02-19,21:00:00,22.3,22.35,22.12,22.33,21708,0
2014-02-19,22:00:00,22.27,22.27,22.12,22.18,43626,0
2014-02-20,16:00:00,22.225,22.29,22.18,22.24,2867,0
2014-02-20,17:00:00,22.22,22.62,22.21,22.42,37404,0
2014-02-20,18:00:00,22.42,22.47,22.26,22.38,40615,0
2014-02-20,19:00:00,22.3,22.335,22.2,22.2001,12580,0
2014-02-20,20:00:00,22.25,22.33,22.2,22.29,16096,0
2014-02-20,21:00:00,22.28,22.28,22.1625,22.2,9903,0
2014-02-20,22:00:00,22.2001,22.237,21.86,21.92,90206,0
2014-02-21,16:00:00,21.89,22.1,21.77,22.01,33268,0
2014-02-21,17:00:00,22.005,22.015,21.7717,21.9206,36310,0
2014-02-21,18:00:00,21.94,22.03,21.79,21.85,36304,0
2014-02-21,19:00:00,21.86,21.94,21.7,21.77,22683,0
