Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,11.06,11.06,11.06,11.06,2310,0
2014-02-10,17:00:00,11.2499,11.25,11.11,11.11,7900,0
2014-02-10,18:00:00,11.11,11.11,10.95,11.09,2502,0
2014-02-10,19:00:00,11.185,11.605,11.185,11.52,9196,0
2014-02-10,20:00:00,11.54,11.56,11.5,11.5,1200,0
2014-02-10,21:00:00,11.51,11.51,11.37,11.4,500,0
2014-02-10,22:00:00,11.36,11.449,11.34,11.44,3246,0
2014-02-11,17:00:00,11.47,11.62,11.47,11.62,1600,0
2014-02-11,18:00:00,11.64,11.65,11.64,11.65,800,0
2014-02-11,19:00:00,11.71,11.72,11.68,11.685,1265,0
2014-02-11,20:00:00,11.7799,11.82,11.7,11.82,1700,0
2014-02-11,21:00:00,11.81,11.81,11.81,11.81,100,0
2014-02-11,22:00:00,11.82,11.86,11.71,11.79,8554,0
2014-02-12,16:00:00,11.83,12.23,11.83,12.23,2963,0
2014-02-12,17:00:00,12.07,12.08,12.06,12.06,400,0
2014-02-12,19:00:00,12.16,12.29,12.0772,12.24,5606,0
2014-02-12,20:00:00,12.23,12.26,12.21,12.24,700,0
2014-02-12,21:00:00,12.25,12.32,12.22,12.22,3300,0
2014-02-12,22:00:00,12.3,12.37,12.22,12.27,6343,0
2014-02-13,16:00:00,12.18,12.18,12.18,12.18,700,0
2014-02-13,17:00:00,12.21,12.21,12.21,12.21,700,0
2014-02-13,18:00:00,12.38,12.45,12.35,12.35,2500,0
2014-02-13,19:00:00,12.41,12.41,12.34,12.37,3000,0
2014-02-13,20:00:00,12.45,12.45,12.45,12.45,300,0
2014-02-13,21:00:00,12.37,12.37,12.37,12.37,200,0
2014-02-13,22:00:00,12.4,12.47,12.4,12.42,6836,0
2014-02-14,16:00:00,12.41,12.41,12.41,12.41,3815,0
2014-02-14,17:00:00,12.42,12.42,12.42,12.42,100,0
2014-02-14,18:00:00,12.54,12.54,12.54,12.54,400,0
2014-02-14,20:00:00,12.56,12.63,12.56,12.6,1700,0
2014-02-14,21:00:00,12.54,12.69,12.53,12.69,2250,0
2014-02-14,22:00:00,12.56,12.56,12.42,12.43,4192,0
2014-02-18,21:00:00,12.625,12.625,12.625,12.625,1000,0
2014-02-18,22:00:00,12.61,12.84,12.61,12.84,15404,0
2014-02-19,16:00:00,12.76,12.76,12.76,12.76,1000,0
2014-02-19,18:00:00,12.81,13,12.81,13,1888,0
2014-02-19,19:00:00,12.85,12.875,12.85,12.875,1000,0
2014-02-19,20:00:00,12.88,12.93,12.82,12.82,900,0
2014-02-19,21:00:00,12.82,12.91,12.71,12.81,3544,0
2014-02-19,22:00:00,12.76,12.85,12.71,12.79,22349,0
2014-02-20,16:00:00,12.71,12.81,12.71,12.81,1600,0
2014-02-20,17:00:00,12.71,12.838,12.71,12.8,1500,0
2014-02-20,18:00:00,12.79,12.8,12.75,12.75,800,0
2014-02-20,19:00:00,12.8,12.8,12.72,12.77,2093,0
2014-02-20,20:00:00,12.74,12.8,12.73,12.785,2100,0
2014-02-20,21:00:00,12.77,12.8,12.72,12.74,1675,0
2014-02-20,22:00:00,12.77,12.98,12.77,12.83,5734,0
2014-02-21,16:00:00,12.93,12.93,12.93,12.93,11979,0
2014-02-21,17:00:00,12.91,12.91,12.83,12.84,1500,0
2014-02-21,18:00:00,12.84,12.94,12.83,12.86,1400,0
2014-02-21,19:00:00,12.95,12.95,12.85,12.93,600,0
2014-02-21,20:00:00,12.86,12.95,12.8201,12.84,3274,0
2014-02-21,21:00:00,12.821,12.91,12.821,12.91,3134,0
2014-02-21,22:00:00,12.86,12.938,12.83,12.91,9836,0
2014-02-24,16:00:00,13.13,13.13,12.95,12.95,57255,0
2014-02-24,17:00:00,12.95,12.95,12.84,12.86,1222,0
2014-02-24,18:00:00,12.86,12.8673,12.82,12.85,3651,0
2014-02-24,19:00:00,12.82,12.88,12.82,12.88,2300,0
2014-02-24,20:00:00,12.86,12.86,12.82,12.82,1200,0
2014-02-24,21:00:00,12.82,12.83,12.82,12.82,2700,0
