Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,13.866,13.866,13.611,13.749,27535,0
2014-02-10,17:00:00,13.759,13.759,13.651,13.651,20951,0
2014-02-10,18:00:00,13.7,13.7,13.631,13.631,13186,0
2014-02-10,19:00:00,13.631,13.758,13.592,13.729,16045,0
2014-02-10,20:00:00,13.709,13.739,13.709,13.739,23499,0
2014-02-10,21:00:00,13.739,13.756,13.709,13.709,24395,0
2014-02-10,22:00:00,13.709,13.739,13.582,13.631,38931,0
2014-02-11,16:00:00,13.776,13.776,13.641,13.641,1077,0
2014-02-11,17:00:00,13.728,13.728,13.631,13.646,2977,0
2014-02-11,18:00:00,13.651,13.7,13.611,13.7,8062,0
2014-02-11,19:00:00,13.708,13.748,13.708,13.729,5659,0
2014-02-11,20:00:00,13.729,13.749,13.69,13.693,3383,0
2014-02-11,21:00:00,13.7,13.7,13.7,13.7,815,0
2014-02-11,22:00:00,13.723,13.729,13.68,13.709,20759,0
2014-02-12,16:00:00,13.778,13.778,13.765,13.765,6149,0
2014-02-12,17:00:00,13.729,13.729,13.68,13.68,3781,0
2014-02-12,18:00:00,13.69,13.719,13.68,13.68,3430,0
2014-02-12,19:00:00,13.7,13.729,13.68,13.709,8356,0
2014-02-12,20:00:00,13.7,13.709,13.68,13.69,5457,0
2014-02-12,21:00:00,13.68,13.7,13.67,13.67,5295,0
2014-02-12,22:00:00,13.67,13.759,13.67,13.719,46599,0
2014-02-13,16:00:00,13.641,13.818,13.641,13.768,3369,0
2014-02-13,17:00:00,13.788,13.808,13.681,13.719,8804,0
2014-02-13,18:00:00,13.7,13.729,13.7,13.729,2013,0
2014-02-13,19:00:00,13.729,13.734,13.709,13.729,8613,0
2014-02-13,20:00:00,13.729,13.759,13.729,13.759,7411,0
2014-02-13,21:00:00,13.759,13.768,13.739,13.739,8893,0
2014-02-13,22:00:00,13.739,13.768,13.729,13.749,28718,0
2014-02-14,16:00:00,13.798,13.838,13.798,13.838,12252,0
2014-02-14,17:00:00,13.829,13.877,13.759,13.838,24820,0
2014-02-14,18:00:00,13.838,13.877,13.768,13.877,53757,0
2014-02-14,19:00:00,13.877,13.907,13.847,13.877,42450,0
2014-02-14,20:00:00,13.877,13.907,13.808,13.818,35412,0
2014-02-14,21:00:00,13.818,13.936,13.808,13.931,37613,0
2014-02-14,22:00:00,13.931,13.995,13.838,13.877,28865,0
2014-02-18,16:00:00,13.887,13.887,13.887,13.887,304,0
2014-02-18,17:00:00,13.877,13.887,13.828,13.867,6425,0
2014-02-18,18:00:00,13.867,13.867,13.818,13.857,7466,0
2014-02-18,19:00:00,13.847,13.849,13.818,13.818,6786,0
2014-02-18,20:00:00,13.818,13.838,13.818,13.838,9209,0
2014-02-18,21:00:00,13.828,13.897,13.828,13.838,23147,0
2014-02-18,22:00:00,13.838,13.867,13.828,13.847,43279,0
2014-02-19,16:00:00,13.798,13.798,13.798,13.798,9008,0
2014-02-19,17:00:00,13.838,14.005,13.838,13.956,10874,0
2014-02-19,18:00:00,13.986,13.986,13.936,13.936,5876,0
2014-02-19,19:00:00,13.986,13.995,13.946,13.946,17598,0
2014-02-19,20:00:00,13.956,13.976,13.916,13.956,39360,0
2014-02-19,21:00:00,13.946,13.946,13.838,13.838,6789,0
2014-02-19,22:00:00,13.838,13.907,13.818,13.828,24879,0
2014-02-20,17:00:00,13.814,13.877,13.814,13.818,12510,0
2014-02-20,18:00:00,13.867,13.966,13.842,13.926,33796,0
2014-02-20,19:00:00,13.916,13.946,13.887,13.887,19621,0
2014-02-20,20:00:00,13.897,13.936,13.887,13.887,8090,0
2014-02-20,21:00:00,13.897,13.956,13.887,13.946,28914,0
2014-02-20,22:00:00,13.946,13.956,13.819,13.887,15996,0
2014-02-21,16:00:00,13.877,13.877,13.877,13.877,2128,0
2014-02-21,17:00:00,13.877,13.926,13.877,13.916,6038,0
2014-02-21,18:00:00,13.966,13.966,13.808,13.857,22349,0
2014-02-21,19:00:00,13.857,13.857,13.818,13.838,8088,0
2014-02-21,20:00:00,13.838,13.867,13.818,13.818,13860,0
2014-02-21,21:00:00,13.833,13.916,13.818,13.818,9577,0
2014-02-21,22:00:00,13.818,13.838,13.788,13.818,35327,0
2014-02-24,16:00:00,13.867,13.915,13.867,13.907,8957,0
2014-02-24,17:00:00,13.916,13.956,13.826,13.937,10451,0
2014-02-24,18:00:00,13.916,13.956,13.877,13.877,25892,0
2014-02-24,19:00:00,13.907,13.907,13.788,13.828,14025,0
2014-02-24,20:00:00,13.837,13.847,13.808,13.838,3817,0
2014-02-24,21:00:00,13.867,13.907,13.808,13.808,33506,0
2014-02-24,22:00:00,13.837,13.956,13.719,13.897,52836,0
2014-02-25,16:00:00,13.828,13.828,13.818,13.818,15654,0
2014-02-25,17:00:00,13.828,13.857,13.719,13.838,22158,0
2014-02-25,18:00:00,13.854,13.877,13.853,13.877,7849,0
2014-02-25,19:00:00,13.906,13.995,13.906,13.916,17616,0
2014-02-25,20:00:00,13.916,13.926,13.897,13.916,11524,0
2014-02-25,21:00:00,13.897,13.926,13.897,13.926,12389,0
2014-02-25,22:00:00,13.926,13.926,13.828,13.916,44315,0
2014-02-26,16:00:00,13.966,13.986,13.819,13.847,10675,0
2014-02-26,17:00:00,13.907,13.936,13.907,13.936,1087,0
2014-02-26,18:00:00,13.936,13.976,13.867,13.966,22618,0
2014-02-26,19:00:00,13.966,13.986,13.936,13.986,8522,0
2014-02-26,20:00:00,13.966,13.966,13.907,13.907,4818,0
2014-02-26,21:00:00,13.956,13.966,13.946,13.966,44983,0
2014-02-26,22:00:00,13.976,13.976,13.867,13.966,16472,0
2014-02-27,16:00:00,13.995,13.995,13.867,13.867,8787,0
2014-02-27,17:00:00,13.867,13.938,13.867,13.938,6522,0
2014-02-27,18:00:00,13.966,13.966,13.926,13.926,2128,0
2014-02-27,19:00:00,13.877,13.916,13.838,13.838,1005,0
2014-02-27,20:00:00,13.858,13.936,13.857,13.936,12554,0
2014-02-27,21:00:00,13.946,13.976,13.897,13.955,8237,0
2014-02-27,22:00:00,13.955,13.956,13.917,13.936,15688,0
2014-02-28,16:00:00,13.995,13.995,13.936,13.936,12905,0
2014-02-28,17:00:00,13.913,13.995,13.907,13.956,10191,0
2014-02-28,18:00:00,13.966,14.015,13.966,14.015,10436,0
2014-02-28,19:00:00,14.015,14.015,13.966,13.976,7360,0
2014-02-28,20:00:00,14.005,14.035,14.005,14.005,13490,0
2014-02-28,21:00:00,14.005,14.045,13.975,14.015,20667,0
2014-02-28,22:00:00,13.995,14.045,13.959,14.025,23467,0
2014-03-03,16:00:00,14.045,14.064,13.987,14.005,6338,0
2014-03-03,17:00:00,14.015,14.025,13.95,13.985,11124,0
2014-03-03,18:00:00,13.946,14.065,13.946,14.005,40299,0
2014-03-03,19:00:00,13.986,14.055,13.986,13.986,6981,0
2014-03-03,20:00:00,14.015,14.035,13.976,14.025,4458,0
2014-03-03,21:00:00,14.025,14.035,14.015,14.035,3628,0
2014-03-03,22:00:00,14.035,14.065,14.005,14.065,17597,0
2014-03-04,16:00:00,14.045,14.045,13.916,13.936,26531,0
2014-03-04,17:00:00,13.986,14.004,13.945,13.966,36335,0
2014-03-04,18:00:00,13.939,14.015,13.936,13.976,30655,0
2014-03-04,19:00:00,14.015,14.055,13.995,14.045,19061,0
2014-03-04,20:00:00,14.035,14.074,14.025,14.074,25360,0
2014-03-04,21:00:00,14.065,14.084,14.055,14.074,24704,0
2014-03-04,22:00:00,14.065,14.094,14.055,14.084,83140,0
2014-03-05,16:00:00,14.114,14.114,14.094,14.094,2235,0
2014-03-05,17:00:00,14.025,14.025,13.847,13.926,21484,0
2014-03-05,18:00:00,13.926,13.976,13.926,13.942,9889,0
2014-03-05,19:00:00,13.966,13.995,13.952,13.995,17613,0
2014-03-05,20:00:00,13.976,13.995,13.966,13.985,12260,0
2014-03-05,21:00:00,13.976,13.986,13.951,13.956,25602,0
2014-03-05,22:00:00,13.966,13.995,13.867,13.966,56483,0
2014-03-06,16:00:00,13.966,13.966,13.946,13.946,1014,0
2014-03-06,17:00:00,13.966,13.966,13.897,13.916,13171,0
2014-03-06,18:00:00,13.916,13.966,13.907,13.907,2996,0
2014-03-06,19:00:00,13.916,13.986,13.916,13.976,5475,0
2014-03-06,20:00:00,13.966,13.976,13.956,13.966,2837,0
2014-03-06,21:00:00,13.966,13.966,13.916,13.956,8924,0
2014-03-06,22:00:00,13.956,13.956,13.867,13.877,45891,0
2014-03-07,16:00:00,13.877,13.926,13.877,13.897,3583,0
2014-03-07,17:00:00,13.897,13.936,13.897,13.916,14655,0
2014-03-07,18:00:00,13.916,13.926,13.877,13.921,6281,0
2014-03-07,19:00:00,13.936,13.956,13.931,13.936,1216,0
2014-03-07,20:00:00,13.936,13.985,13.936,13.966,1882,0
2014-03-07,21:00:00,13.966,13.986,13.966,13.966,3344,0
2014-03-07,22:00:00,13.966,13.997,13.966,13.966,9672,0
2014-03-10,15:00:00,13.926,13.936,13.897,13.897,7041,0
2014-03-10,16:00:00,13.897,13.946,13.897,13.93,4458,0
2014-03-10,17:00:00,13.916,13.936,13.916,13.917,3470,0
2014-03-10,18:00:00,13.916,13.926,13.912,13.926,7403,0
2014-03-10,19:00:00,13.926,13.956,13.926,13.936,5141,0
2014-03-10,20:00:00,13.936,13.936,13.897,13.897,8929,0
2014-03-10,21:00:00,13.897,13.976,13.897,13.926,28081,0
2014-03-11,15:00:00,13.916,13.926,13.916,13.926,4154,0
2014-03-11,16:00:00,13.926,13.995,13.926,13.995,2694,0
2014-03-11,17:00:00,13.926,13.946,13.926,13.946,3344,0
2014-03-11,18:00:00,13.936,13.956,13.936,13.936,4826,0
2014-03-11,19:00:00,13.937,13.976,13.936,13.976,5977,0
2014-03-11,20:00:00,13.956,13.956,13.867,13.887,14116,0
2014-03-11,21:00:00,13.887,13.916,13.847,13.907,18703,0
2014-03-12,15:00:00,13.867,13.877,13.867,13.877,1216,0
2014-03-12,16:00:00,13.857,13.897,13.818,13.847,10031,0
2014-03-12,17:00:00,13.828,13.877,13.818,13.828,13794,0
2014-03-12,18:00:00,13.823,13.887,13.823,13.857,12910,0
2014-03-12,19:00:00,13.857,13.867,13.857,13.857,4762,0
2014-03-12,20:00:00,13.867,13.897,13.852,13.897,11481,0
2014-03-12,21:00:00,13.897,13.956,13.887,13.936,19623,0
2014-03-13,15:00:00,13.986,13.986,13.961,13.961,22369,0
2014-03-13,16:00:00,13.985,13.985,13.838,13.857,15203,0
2014-03-13,17:00:00,13.862,13.907,13.838,13.867,12697,0
2014-03-13,18:00:00,13.907,13.907,13.867,13.867,6129,0
2014-03-13,19:00:00,13.847,13.867,13.838,13.844,8614,0
2014-03-13,20:00:00,13.844,13.916,13.838,13.838,13020,0
2014-03-13,21:00:00,13.857,13.857,13.838,13.838,15020,0
2014-03-14,15:00:00,13.847,13.867,13.838,13.867,2555,0
2014-03-14,16:00:00,13.867,13.897,13.818,13.818,10274,0
2014-03-14,17:00:00,13.867,13.867,13.768,13.768,21135,0
2014-03-14,18:00:00,13.759,13.788,13.759,13.768,3267,0
2014-03-14,19:00:00,13.768,13.788,13.719,13.768,12449,0
