Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,6.79,6.86,6.78,6.84,145720,0
2014-02-10,17:00:00,6.845,6.845,6.77,6.8,217363,0
2014-02-10,18:00:00,6.797,6.835,6.78,6.8,104356,0
2014-02-10,19:00:00,6.8,6.82,6.79,6.801,116564,0
2014-02-10,20:00:00,6.801,6.81,6.765,6.77,132974,0
2014-02-10,21:00:00,6.7737,6.81,6.77,6.77,103593,0
2014-02-10,22:00:00,6.77,6.79,6.75,6.78,219067,0
2014-02-11,16:00:00,6.68,6.73,6.66,6.695,123977,0
2014-02-11,17:00:00,6.7,6.78,6.66,6.78,590398,0
2014-02-11,18:00:00,6.78,6.8,6.76,6.78,296239,0
2014-02-11,19:00:00,6.79,6.795,6.78,6.79,181563,0
2014-02-11,20:00:00,6.785,6.86,6.785,6.86,271032,0
2014-02-11,21:00:00,6.855,6.86,6.8204,6.84,176349,0
2014-02-11,22:00:00,6.85,6.89,6.835,6.88,605827,0
2014-02-12,16:00:00,6.85,7,6.82,6.98,493140,0
2014-02-12,17:00:00,6.99,7.11,6.975,7.06,781871,0
2014-02-12,18:00:00,7.05,7.06,7,7.03,472721,0
2014-02-12,19:00:00,7.035,7.123,7.0301,7.11,903321,0
2014-02-12,20:00:00,7.11,7.17,7.05,7.14,923197,0
2014-02-12,21:00:00,7.14,7.145,7.045,7.1,800424,0
2014-02-12,22:00:00,7.1,7.25,7.09,7.245,879449,0
2014-02-13,16:00:00,7.12,7.2,7.11,7.1901,111773,0
2014-02-13,17:00:00,7.19,7.3,7.19,7.29,278602,0
2014-02-13,18:00:00,7.28,7.33,7.272,7.3,197187,0
2014-02-13,19:00:00,7.29,7.345,7.29,7.34,359733,0
2014-02-13,20:00:00,7.34,7.44,7.3338,7.39,293229,0
2014-02-13,21:00:00,7.4,7.41,7.35,7.36,331741,0
2014-02-13,22:00:00,7.365,7.41,7.35,7.395,971864,0
2014-02-14,16:00:00,7.35,7.35,7.28,7.3038,98149,0
2014-02-14,17:00:00,7.3,7.358,7.27,7.31,200569,0
2014-02-14,18:00:00,7.31,7.35,7.3,7.32,188061,0
2014-02-14,19:00:00,7.32,7.33,7.29,7.3,119989,0
2014-02-14,20:00:00,7.3,7.32,7.29,7.3,128319,0
2014-02-14,21:00:00,7.3,7.35,7.2901,7.345,147481,0
2014-02-14,22:00:00,7.34,7.35,7.31,7.35,332355,0
2014-02-18,16:00:00,7.27,7.33,7.27,7.29,89442,0
2014-02-18,17:00:00,7.29,7.295,7.221,7.26,222896,0
2014-02-18,18:00:00,7.251,7.3,7.24,7.26,379156,0
2014-02-18,19:00:00,7.265,7.32,7.26,7.32,77989,0
2014-02-18,20:00:00,7.32,7.32,7.3,7.31,64959,0
2014-02-18,21:00:00,7.31,7.335,7.29,7.33,95985,0
2014-02-18,22:00:00,7.32,7.34,7.31,7.31,247221,0
2014-02-19,16:00:00,7.25,7.34,7.25,7.32,60211,0
2014-02-19,17:00:00,7.31,7.33,7.28,7.29,66618,0
2014-02-19,18:00:00,7.29,7.31,7.26,7.27,152703,0
2014-02-19,19:00:00,7.27,7.28,7.24,7.27,116754,0
2014-02-19,20:00:00,7.27,7.31,7.27,7.29,93529,0
2014-02-19,21:00:00,7.29,7.315,7.27,7.28,173072,0
2014-02-19,22:00:00,7.28,7.29,7.23,7.25,479590,0
2014-02-20,16:00:00,7.29,7.35,7.285,7.29,49709,0
2014-02-20,17:00:00,7.3,7.34,7.27,7.295,154411,0
2014-02-20,18:00:00,7.3,7.31,7.26,7.261,93095,0
2014-02-20,19:00:00,7.26,7.31,7.25,7.3,79790,0
2014-02-20,20:00:00,7.3,7.31,7.28,7.3,54244,0
2014-02-20,21:00:00,7.3,7.34,7.29,7.32,108641,0
2014-02-20,22:00:00,7.32,7.35,7.32,7.35,268862,0
2014-02-21,16:00:00,7.38,7.43,7.35,7.425,77153,0
2014-02-21,17:00:00,7.43,7.45,7.41,7.42,118072,0
2014-02-21,18:00:00,7.41,7.42,7.375,7.38,74904,0
2014-02-21,19:00:00,7.385,7.39,7.33,7.345,79530,0
2014-02-21,20:00:00,7.34,7.35,7.33,7.33,61128,0
2014-02-21,21:00:00,7.3398,7.34,7.28,7.325,139795,0
2014-02-21,22:00:00,7.325,7.33,7.28,7.295,284429,0
2014-02-24,16:00:00,7.3,7.38,7.3,7.37,32039,0
2014-02-24,17:00:00,7.37,7.39,7.33,7.33,203183,0
2014-02-24,18:00:00,7.33,7.38,7.305,7.371,144406,0
2014-02-24,19:00:00,7.38,7.39,7.35,7.38,51882,0
2014-02-24,20:00:00,7.38,7.4,7.375,7.4,113569,0
2014-02-24,21:00:00,7.405,7.441,7.39,7.405,266986,0
2014-02-24,22:00:00,7.41,7.42,7.38,7.4,492503,0
2014-02-25,16:00:00,7.38,7.39,7.3,7.33,85218,0
