Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,14.731,14.731,14.731,14.731,843,0
2014-02-10,17:00:00,14.731,14.731,14.731,14.731,254,0
2014-02-10,18:00:00,14.731,14.878,14.731,14.878,2342,0
2014-02-10,19:00:00,14.888,15.146,14.888,15.114,2877,0
2014-02-10,20:00:00,15.11,15.11,14.839,14.839,407,0
2014-02-10,21:00:00,14.849,15.153,14.79,15.153,2342,0
2014-02-10,22:00:00,15.026,15.144,14.78,15.085,69643,0
2014-02-11,16:00:00,15.222,15.222,15.222,15.222,610,0
2014-02-11,17:00:00,15.409,15.547,15.409,15.547,6513,0
2014-02-11,18:00:00,15.448,15.566,15.448,15.566,1119,0
2014-02-11,19:00:00,15.468,15.487,15.33,15.34,3537,0
2014-02-11,20:00:00,15.576,15.586,15.32,15.462,3384,0
2014-02-11,21:00:00,15.409,15.409,15.369,15.389,1528,0
2014-02-11,22:00:00,15.36,15.517,15.252,15.517,6418,0
2014-02-12,16:00:00,15.468,15.517,15.468,15.517,767,0
2014-02-12,17:00:00,15.419,15.419,15.232,15.409,8117,0
2014-02-12,18:00:00,15.271,15.507,15.271,15.468,5979,0
2014-02-12,19:00:00,15.506,15.516,15.467,15.492,6470,0
2014-02-12,20:00:00,15.499,15.527,15.428,15.517,13771,0
2014-02-12,21:00:00,15.468,15.517,15.458,15.475,3092,0
2014-02-12,22:00:00,15.468,15.615,15.468,15.615,7429,0
2014-02-13,16:00:00,15.713,16.057,15.713,16.057,6417,0
2014-02-13,17:00:00,16.027,16.155,15.88,15.919,11141,0
2014-02-13,18:00:00,15.9,16.695,15.9,16.695,17993,0
2014-02-13,19:00:00,16.695,18.321,16.695,17.599,34884,0
2014-02-13,20:00:00,17.481,17.658,17.019,17.176,47646,0
2014-02-13,21:00:00,17.383,17.677,17.216,17.568,55383,0
2014-02-13,22:00:00,17.459,17.52,17.206,17.432,14642,0
2014-02-14,16:00:00,17.186,17.186,16.997,16.997,8811,0
2014-02-14,17:00:00,17.167,17.186,16.98,17.186,5198,0
