Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,61.9148,61.9546,61.4665,61.9546,1807,0
2014-02-10,17:00:00,62.1419,62.1638,61.6458,61.8451,12276,0
2014-02-10,18:00:00,61.8451,62.2834,61.7255,61.8949,9785,0
2014-02-10,19:00:00,62.1439,62.5524,62.0045,62.5524,8733,0
2014-02-10,20:00:00,62.3232,62.5424,61.9845,62.4129,6625,0
2014-02-10,21:00:00,62.6321,63.7379,62.4488,63.429,15150,0
2014-02-10,22:00:00,63.7279,64.2858,63.2398,64.0069,82540,0
2014-02-11,16:00:00,64.0666,64.0666,63.5187,63.957,3419,0
2014-02-11,17:00:00,63.6153,64.0766,63.2896,63.2896,4718,0
2014-02-11,18:00:00,63.4639,64.1264,63.2796,63.7578,21449,0
2014-02-11,19:00:00,63.7678,64.0467,63.18,63.9869,12272,0
2014-02-11,20:00:00,64.3655,64.3655,63.9072,63.957,17795,0
2014-02-11,21:00:00,63.957,64.2359,63.8773,64.0168,8861,0
2014-02-11,22:00:00,64.0168,64.0168,63.3195,63.8873,29621,0
2014-02-12,16:00:00,63.7578,65.008,63.7578,65.008,4734,0
2014-02-12,17:00:00,64.6046,64.7122,64.0567,64.7122,2710,0
2014-02-12,18:00:00,64.495,64.7341,64.1264,64.1264,9034,0
2014-02-12,19:00:00,64.3655,65.013,64.3655,64.7191,24001,0
2014-02-12,20:00:00,64.6544,64.8736,64.5747,64.8337,4718,0
2014-02-12,21:00:00,64.8038,64.8138,63.9371,64.5448,19674,0
2014-02-12,22:00:00,64.744,64.8238,64.485,64.8238,12401,0
2014-02-13,16:00:00,64.395,65.155,64.395,65.155,2490,0
2014-02-13,17:00:00,64.67,65.2422,64.4551,64.9333,17506,0
2014-02-13,18:00:00,65.1525,65.4812,64.754,65.2521,10762,0
2014-02-13,19:00:00,65.1924,65.2322,64.9034,65.1376,4100,0
2014-02-13,20:00:00,65.3517,65.5211,65.3517,65.5211,2200,0
2014-02-13,21:00:00,65.6008,65.7801,65.3268,65.6406,3551,0
2014-02-13,22:00:00,65.6805,66.0192,65.6307,65.81,13615,0
2014-02-14,16:00:00,65.78,66.1,65.68,65.68,2607,0
