Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,27.6,27.93,27.05,27.29,17620,0
2014-02-10,17:00:00,27.3,27.3,26.324,26.42,23832,0
2014-02-10,18:00:00,26.312,26.75,26.26,26.62,41344,0
2014-02-10,19:00:00,26.61,26.87,26.61,26.87,17822,0
2014-02-10,20:00:00,26.77,27.09,26.75,27.09,12142,0
2014-02-10,21:00:00,27,27.1142,26.91,26.93,17025,0
2014-02-10,22:00:00,26.93,27.1,26.85,27.02,71753,0
2014-02-11,16:00:00,26.8722,26.95,26.87,26.87,5492,0
2014-02-11,17:00:00,26.96,26.96,26.396,26.58,41562,0
2014-02-11,18:00:00,26.59,26.965,26.41,26.95,17800,0
2014-02-11,19:00:00,26.94,27.0199,26.91,26.95,6606,0
2014-02-11,20:00:00,26.92,26.96,26.87,26.91,5151,0
2014-02-11,21:00:00,26.91,26.95,26.8,26.8,6285,0
2014-02-11,22:00:00,26.7585,26.9,26.67,26.76,50835,0
2014-02-12,16:00:00,26.7,26.9177,26.42,26.62,16989,0
2014-02-12,17:00:00,26.72,26.72,26.45,26.45,22737,0
2014-02-12,18:00:00,26.44,26.53,26.15,26.15,14934,0
2014-02-12,19:00:00,26.08,26.17,25.94,26.13,12394,0
2014-02-12,20:00:00,26.16,26.36,26.15,26.2101,6800,0
2014-02-12,21:00:00,26.21,26.52,26.07,26.49,13646,0
2014-02-12,22:00:00,26.55,26.629,26.28,26.39,39238,0
2014-02-13,16:00:00,26.06,26.23,26.01,26.23,17997,0
2014-02-13,17:00:00,26.14,26.41,26.07,26.22,23748,0
2014-02-13,18:00:00,26.22,26.3,26.095,26.1836,15765,0
2014-02-13,19:00:00,26.14,26.2948,26.11,26.27,8812,0
2014-02-13,20:00:00,26.18,26.47,26.18,26.47,10490,0
2014-02-13,21:00:00,26.47,26.7,26.44,26.44,12910,0
2014-02-13,22:00:00,26.38,26.49,26.2,26.4,38410,0
2014-02-14,16:00:00,26.248,27.2,26.248,26.76,14906,0
2014-02-14,17:00:00,26.83,27.35,26.6,26.89,96015,0
2014-02-14,18:00:00,26.9,27.1,26.681,26.681,20700,0
2014-02-14,19:00:00,26.8,27.03,26.68,26.8,25662,0
2014-02-14,20:00:00,26.8,26.8999,26.7101,26.75,7700,0
2014-02-14,21:00:00,26.74,26.93,26.69,26.81,16865,0
2014-02-14,22:00:00,26.78,26.84,26.2804,26.73,45297,0
2014-02-18,16:00:00,26.91,27.35,26.83,27.31,9698,0
2014-02-18,17:00:00,27.4739,28.1904,27.4739,28.11,35491,0
2014-02-18,18:00:00,28.19,28.59,27.98,28.46,37562,0
2014-02-18,19:00:00,28.325,28.385,28.29,28.33,9940,0
2014-02-18,20:00:00,28.38,28.5,28.37,28.5,12026,0
2014-02-18,21:00:00,28.445,28.67,28.35,28.67,24248,0
2014-02-18,22:00:00,28.69,28.75,28.59,28.69,32232,0
2014-02-19,16:00:00,28.69,28.74,28.308,28.44,9296,0
2014-02-19,17:00:00,28.43,28.5,27.71,27.95,24840,0
2014-02-19,18:00:00,27.73,28.5,27.73,28.37,12368,0
2014-02-19,19:00:00,28.38,28.38,28.03,28.064,5400,0
2014-02-19,20:00:00,28.0383,28.37,28.0383,28.32,6904,0
2014-02-19,21:00:00,28.2665,28.41,27.82,28.08,22004,0
