Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,6.5698,6.5698,6.4702,6.4702,5964,0
2014-02-10,17:00:00,6.4602,6.52,6.4103,6.4203,6274,0
2014-02-10,18:00:00,6.4203,6.4203,6.2907,6.3555,8927,0
2014-02-10,19:00:00,6.3505,6.4103,6.3206,6.3904,5447,0
2014-02-10,20:00:00,6.3804,6.3904,6.3705,6.3904,9329,0
2014-02-10,21:00:00,6.4303,6.51,6.4303,6.4751,6228,0
2014-02-10,22:00:00,6.4801,6.5001,6.4502,6.5001,16410,0
2014-02-11,16:00:00,6.4901,6.6456,6.4901,6.51,802,0
2014-02-11,17:00:00,6.5499,6.5499,6.53,6.53,1003,0
2014-02-11,18:00:00,6.52,6.52,6.5001,6.52,1705,0
2014-02-11,19:00:00,6.5399,6.5898,6.5399,6.5698,1605,0
2014-02-11,20:00:00,6.6097,6.6297,6.5698,6.6097,2447,0
2014-02-11,21:00:00,6.5798,6.6596,6.5798,6.6396,2809,0
2014-02-11,22:00:00,6.6297,6.6297,6.5798,6.6097,22810,0
2014-02-12,16:00:00,6.6715,6.6795,6.6496,6.6795,1103,0
2014-02-12,17:00:00,6.6795,6.6795,6.5698,6.5798,3228,0
2014-02-12,18:00:00,6.5998,6.5998,6.4801,6.51,7222,0
2014-02-12,19:00:00,6.51,6.5399,6.51,6.5399,7523,0
2014-02-12,20:00:00,6.5798,6.5798,6.5399,6.5599,1404,0
2014-02-12,21:00:00,6.5399,6.5499,6.505,6.5499,21335,0
2014-02-12,22:00:00,6.5499,6.6297,6.5499,6.5998,17968,0
2014-02-13,16:00:00,6.5998,6.6596,6.5798,6.6396,11736,0
2014-02-13,17:00:00,6.6895,6.6895,6.6795,6.6795,1605,0
2014-02-13,18:00:00,6.6496,6.6795,6.6496,6.6695,4113,0
2014-02-13,19:00:00,6.6297,6.6795,6.6297,6.6446,5566,0
2014-02-13,20:00:00,6.6596,6.6596,6.6496,6.6496,5009,0
2014-02-13,21:00:00,6.6496,6.6795,6.6496,6.6795,10844,0
2014-02-13,22:00:00,6.7194,6.7294,6.6596,6.7294,34645,0
2014-02-14,16:00:00,6.7493,6.8688,6.7294,6.7493,7663,0
2014-02-14,17:00:00,6.7593,6.7692,6.7194,6.7493,1605,0
2014-02-14,18:00:00,6.7304,6.7493,6.7304,6.7493,1806,0
2014-02-14,19:00:00,6.7393,6.7493,6.7294,6.7493,5316,0
2014-02-14,20:00:00,6.7593,6.8191,6.7593,6.8091,4514,0
2014-02-14,21:00:00,6.8291,6.8291,6.8091,6.8291,14043,0
2014-02-14,22:00:00,6.8291,6.8291,6.7792,6.7991,20782,0
2014-02-18,16:00:00,6.7792,6.839,6.7792,6.839,2310,0
2014-02-18,17:00:00,6.8291,6.849,6.8137,6.849,1253,0
2014-02-18,18:00:00,6.849,6.8689,6.839,6.8689,3110,0
2014-02-18,19:00:00,6.859,6.8789,6.859,6.859,2106,0
2014-02-18,20:00:00,6.8639,6.8639,6.8291,6.8291,8125,0
2014-02-18,21:00:00,6.8291,6.839,6.8291,6.839,1304,0
2014-02-18,22:00:00,6.8639,6.8789,6.839,6.8789,45464,0
2014-02-19,16:00:00,6.8191,6.9287,6.6994,6.8689,3030,0
2014-02-19,17:00:00,6.8292,6.849,6.8091,6.8091,6103,0
