Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,17.323,17.751,17.213,17.562,5180,0
2014-02-10,17:00:00,17.582,17.761,17.562,17.761,1434,0
2014-02-10,18:00:00,17.691,17.691,17.582,17.582,1356,0
2014-02-10,20:00:00,17.433,17.442,17.433,17.442,905,0
2014-02-10,21:00:00,17.462,17.462,17.402,17.402,1685,0
2014-02-10,22:00:00,17.502,17.9,17.452,17.811,5626,0
2014-02-11,17:00:00,17.552,18,17.552,18,6177,0
2014-02-11,18:00:00,17.95,18.309,17.95,17.98,9999,0
2014-02-11,19:00:00,17.771,18.319,17.721,18.289,4126,0
2014-02-11,21:00:00,17.91,18.149,17.91,18.03,2108,0
2014-02-11,22:00:00,17.98,18.1,17.96,18.07,7285,0
2014-02-12,17:00:00,18.05,18.05,17.92,17.94,1506,0
2014-02-12,18:00:00,18.01,18.11,17.871,18.11,1767,0
2014-02-12,19:00:00,17.881,18.09,17.881,18.088,1104,0
2014-02-12,20:00:00,17.99,18.11,17.98,18.09,1004,0
2014-02-12,21:00:00,18.11,18.11,18.04,18.04,472,0
2014-02-12,22:00:00,17.791,18.11,17.791,18.11,7750,0
2014-02-13,16:00:00,18.289,18.289,18.289,18.289,100,0
2014-02-13,18:00:00,18.193,18.516,18.088,18.516,1506,0
2014-02-13,19:00:00,17.987,18.279,17.987,18.08,354,0
2014-02-13,20:00:00,18.12,18.211,18.12,18.211,201,0
2014-02-13,21:00:00,18.179,18.647,18.11,18.538,8295,0
2014-02-13,22:00:00,18.647,18.647,18.588,18.608,4387,0
2014-02-14,16:00:00,18.568,18.568,18.568,18.568,4165,0
2014-02-14,17:00:00,18.986,19.016,18.797,18.916,2510,0
2014-02-14,18:00:00,18.647,18.647,18.647,18.647,201,0
2014-02-14,19:00:00,18.09,18.09,18.09,18.09,100,0
2014-02-14,20:00:00,18.284,18.284,18.279,18.279,402,0
2014-02-14,21:00:00,18.09,18.09,18.09,18.09,502,0
2014-02-14,22:00:00,18.06,18.647,18.06,18.189,5316,0
2014-02-18,16:00:00,18.428,18.568,18.428,18.568,1606,0
2014-02-18,18:00:00,18.137,18.528,18.137,18.428,1506,0
2014-02-18,19:00:00,18.549,18.657,18.549,18.657,602,0
2014-02-18,20:00:00,18.657,18.657,18.657,18.657,301,0
2014-02-18,21:00:00,18.747,18.916,18.747,18.906,602,0
2014-02-18,22:00:00,18.906,19.295,18.906,19.295,28454,0
2014-02-19,17:00:00,19.215,19.215,18.916,19.175,44999,0
2014-02-19,18:00:00,19.136,19.136,18.578,18.578,1566,0
2014-02-19,19:00:00,18.628,18.628,18.628,18.628,301,0
2014-02-19,20:00:00,18.628,18.956,18.596,18.777,1405,0
2014-02-19,21:00:00,18.827,18.827,18.598,18.677,1305,0
2014-02-19,22:00:00,18.608,18.618,18.11,18.219,8822,0
2014-02-20,16:00:00,18.149,18.149,18.149,18.149,1048,0
2014-02-20,17:00:00,19.175,19.175,19.175,19.175,3012,0
