Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,22.32,22.46,22.31,22.45,80300,0
2014-02-10,17:00:00,22.45,22.47,22.38,22.4,38217,0
2014-02-10,18:00:00,22.4083,22.52,22.38,22.47,84953,0
2014-02-10,19:00:00,22.45,22.4608,22.4,22.4608,42472,0
2014-02-10,20:00:00,22.46,22.46,22.4,22.435,70811,0
2014-02-10,21:00:00,22.45,22.54,22.45,22.5,118916,0
2014-02-10,22:00:00,22.51,22.57,22.495,22.56,215975,0
2014-02-11,16:00:00,22.61,22.79,22.61,22.71,111651,0
2014-02-11,17:00:00,22.71,22.79,22.65,22.68,127781,0
2014-02-11,18:00:00,22.68,22.74,22.62,22.73,98692,0
2014-02-11,19:00:00,22.725,22.725,22.63,22.67,35207,0
2014-02-11,20:00:00,22.67,22.73,22.65,22.65,111293,0
2014-02-11,21:00:00,22.65,22.67,22.555,22.58,251000,0
2014-02-11,22:00:00,22.59,22.66,22.57,22.63,463770,0
2014-02-12,16:00:00,22.41,22.61,22.38,22.53,72309,0
2014-02-12,17:00:00,22.5375,22.56,22.46,22.51,125931,0
2014-02-12,18:00:00,22.5,22.51,22.41,22.45,90754,0
2014-02-12,19:00:00,22.45,22.47,22.425,22.44,71186,0
2014-02-12,20:00:00,22.435,22.53,22.43,22.5,82130,0
2014-02-12,21:00:00,22.5,22.53,22.415,22.45,129472,0
2014-02-12,22:00:00,22.45,22.46,22.29,22.3,292569,0
2014-02-13,16:00:00,22.34,22.36,22.26,22.3,70214,0
2014-02-13,17:00:00,22.3,22.44,22.3,22.425,86445,0
2014-02-13,18:00:00,22.42,22.56,22.42,22.5,69844,0
2014-02-13,19:00:00,22.5,22.529,22.47,22.51,39537,0
2014-02-13,20:00:00,22.51,22.65,22.51,22.605,59849,0
2014-02-13,21:00:00,22.61,22.66,22.605,22.641,77129,0
2014-02-13,22:00:00,22.645,22.78,22.58,22.78,386719,0
2014-02-14,16:00:00,22.88,22.93,22.8,22.895,100242,0
2014-02-14,17:00:00,22.91,22.9499,22.79,22.79,55111,0
2014-02-14,18:00:00,22.809,22.81,22.66,22.69,55911,0
2014-02-14,19:00:00,22.68,22.76,22.66,22.705,48515,0
2014-02-14,20:00:00,22.7,22.755,22.69,22.735,22308,0
2014-02-14,21:00:00,22.73,22.85,22.705,22.8497,72130,0
2014-02-14,22:00:00,22.85,22.965,22.84,22.91,376878,0
2014-02-18,16:00:00,22.91,22.99,22.88,22.97,78461,0
2014-02-18,17:00:00,22.97,22.99,22.875,22.89,91434,0
2014-02-18,18:00:00,22.89,22.91,22.846,22.85,88524,0
2014-02-18,19:00:00,22.85,22.91,22.84,22.87,103535,0
2014-02-18,20:00:00,22.86,22.868,22.8,22.85,83428,0
2014-02-18,21:00:00,22.85,22.85,22.795,22.83,33088,0
2014-02-18,22:00:00,22.83,22.83,22.74,22.8,306952,0
2014-02-19,16:00:00,22.63,22.71,22.63,22.68,128676,0
2014-02-19,17:00:00,22.699,22.74,22.55,22.59,160484,0
2014-02-19,18:00:00,22.58,22.69,22.55,22.59,94725,0
2014-02-19,19:00:00,22.58,22.58,22.38,22.4,164419,0
2014-02-19,20:00:00,22.4,22.45,22.345,22.37,149089,0
2014-02-19,21:00:00,22.37,22.45,22.34,22.35,76288,0
2014-02-19,22:00:00,22.37,22.39,22.2,22.2,309851,0
2014-02-20,16:00:00,22.25,22.28,22.16,22.18,44839,0
2014-02-20,17:00:00,22.19,22.315,22.11,22.28,221636,0
2014-02-20,18:00:00,22.28,22.29,22.12,22.14,145047,0
2014-02-20,19:00:00,22.14,22.155,22.12,22.14,148450,0
2014-02-20,20:00:00,22.135,22.15,22.09,22.11,124215,0
2014-02-20,21:00:00,22.12,22.135,22.12,22.13,169053,0
2014-02-20,22:00:00,22.125,22.14,22.09,22.11,517072,0
2014-02-21,16:00:00,22.3,22.3,22.1,22.17,156831,0
2014-02-21,17:00:00,22.18,22.24,22.14,22.2,196610,0
2014-02-21,18:00:00,22.2,22.25,22.165,22.165,77817,0
2014-02-21,19:00:00,22.16,22.21,22.14,22.15,63570,0
2014-02-21,20:00:00,22.15,22.205,22.13,22.15,90652,0
2014-02-21,21:00:00,22.145,22.15,22.08,22.11,121787,0
