Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,7.32,7.3399,7.32,7.32,700,0
2014-02-10,17:00:00,7.31,7.31,7.23,7.25,5080,0
2014-02-10,18:00:00,7.21,7.22,7.15,7.19,8300,0
2014-02-10,19:00:00,7.24,7.305,7.18,7.21,13057,0
2014-02-10,20:00:00,7.24,7.25,7.21,7.249,20900,0
2014-02-10,21:00:00,7.25,7.25,7.18,7.18,34571,0
2014-02-10,22:00:00,7.19,7.24,7.18,7.22,23500,0
2014-02-11,16:00:00,7.3,7.33,7.23,7.23,700,0
2014-02-11,17:00:00,7.33,7.33,7.33,7.33,400,0
2014-02-11,19:00:00,7.32,7.36,7.32,7.36,700,0
2014-02-11,21:00:00,7.3,7.3,7.3,7.3,816,0
2014-02-11,22:00:00,7.28,7.35,7.28,7.35,12936,0
2014-02-12,16:00:00,7.37,7.37,7.37,7.37,1100,0
2014-02-12,17:00:00,7.37,7.37,7.37,7.37,900,0
2014-02-12,18:00:00,7.35,7.36,7.35,7.36,1236,0
2014-02-12,19:00:00,7.35,7.35,7.35,7.35,1000,0
2014-02-12,20:00:00,7.37,7.37,7.34,7.37,7060,0
2014-02-12,21:00:00,7.37,7.38,7.33,7.37,7215,0
2014-02-12,22:00:00,7.36,7.38,7.31,7.38,10544,0
2014-02-13,16:00:00,7.37,7.37,7.33,7.36,3252,0
2014-02-13,17:00:00,7.37,7.38,7.36,7.38,612,0
2014-02-13,18:00:00,7.38,7.44,7.37,7.39,900,0
2014-02-13,19:00:00,7.38,7.38,7.33,7.33,1600,0
2014-02-13,20:00:00,7.33,7.33,7.32,7.32,1100,0
2014-02-13,21:00:00,7.38,7.41,7.25,7.35,14641,0
2014-02-13,22:00:00,7.35,7.35,7.26,7.31,15389,0
2014-02-14,16:00:00,7.33,7.4,7.28,7.28,4377,0
2014-02-14,17:00:00,7.33,7.33,7.33,7.33,500,0
2014-02-14,18:00:00,7.32,7.33,7.3,7.3,500,0
2014-02-14,19:00:00,7.27,7.27,7.27,7.27,200,0
