Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,17.956,17.956,17.58,17.79,48760,0
2014-02-10,17:00:00,17.75,17.92,17.69,17.83,80285,0
2014-02-10,18:00:00,17.84,17.84,17.68,17.76,75668,0
2014-02-10,19:00:00,17.77,17.9,17.75,17.87,39581,0
2014-02-10,20:00:00,17.87,17.9425,17.84,17.85,35797,0
2014-02-10,21:00:00,17.87,17.95,17.85,17.93,30347,0
2014-02-10,22:00:00,17.91,17.92,17.8,17.84,129240,0
2014-02-11,16:00:00,17.85,18.19,17.788,18.1655,21008,0
2014-02-11,17:00:00,18.2,18.21,17.69,17.78,65487,0
2014-02-11,18:00:00,17.81,17.95,17.7,17.84,63095,0
2014-02-11,19:00:00,17.84,17.99,17.78,17.975,59522,0
2014-02-11,20:00:00,17.975,18.08,17.96,17.9611,46305,0
2014-02-11,21:00:00,17.98,18.04,17.89,18.04,44398,0
2014-02-11,22:00:00,18.04,18.135,18,18.01,131308,0
2014-02-12,16:00:00,18.05,18.37,17.95,18.02,86631,0
2014-02-12,17:00:00,18.08,18.11,17.84,17.84,72809,0
2014-02-12,18:00:00,17.89,17.94,17.77,17.85,90904,0
2014-02-12,19:00:00,17.83,17.88,17.76,17.81,46340,0
2014-02-12,20:00:00,17.81,17.86,17.76,17.8,37642,0
2014-02-12,21:00:00,17.81,17.88,17.77,17.85,77085,0
2014-02-12,22:00:00,17.85,17.85,17.73,17.74,186342,0
2014-02-13,16:00:00,17.58,17.75,17.54,17.63,35319,0
2014-02-13,17:00:00,17.68,17.85,17.6,17.85,48352,0
2014-02-13,18:00:00,17.83,18.19,17.8,18.19,184114,0
2014-02-13,19:00:00,18.19,18.28,18.15,18.24,58839,0
2014-02-13,20:00:00,18.27,18.27,18.16,18.26,41937,0
2014-02-13,21:00:00,18.27,18.29,18.1,18.22,36547,0
2014-02-13,22:00:00,18.23,18.24,18.08,18.08,121875,0
2014-02-14,16:00:00,18.24,18.34,18.11,18.34,39210,0
2014-02-14,17:00:00,18.35,18.439,18.13,18.14,65636,0
2014-02-14,18:00:00,18.11,18.14,18.04,18.0899,23678,0
2014-02-14,19:00:00,18.1,18.14,18.05,18.1,27245,0
2014-02-14,20:00:00,18.12,18.19,18.1,18.19,16600,0
2014-02-14,21:00:00,18.19,18.28,18.13,18.14,25260,0
2014-02-14,22:00:00,18.15,18.18,18.09,18.18,119230,0
2014-02-18,16:00:00,18.2,18.25,18.0991,18.25,65491,0
2014-02-18,17:00:00,18.23,18.42,18.1686,18.42,116462,0
2014-02-18,18:00:00,18.42,18.58,18.3701,18.49,98629,0
2014-02-18,19:00:00,18.47,18.625,18.47,18.6,60022,0
2014-02-18,20:00:00,18.6152,18.66,18.45,18.461,29612,0
2014-02-18,21:00:00,18.49,18.54,18.4266,18.52,64123,0
2014-02-18,22:00:00,18.52,18.52,18.425,18.47,245619,0
2014-02-19,16:00:00,18.37,18.61,18.3,18.47,23556,0
2014-02-19,17:00:00,18.44,18.66,18.33,18.55,43695,0
2014-02-19,18:00:00,18.54,18.7,18.47,18.54,125937,0
2014-02-19,19:00:00,18.51,18.5294,18.32,18.45,33943,0
2014-02-19,20:00:00,18.45,18.555,18.44,18.49,65970,0
2014-02-19,21:00:00,18.5,18.54,18.28,18.33,79875,0
2014-02-19,22:00:00,18.35,18.35,18.16,18.21,175040,0
2014-02-20,16:00:00,17.825,18.25,16.91,17.33,219906,0
2014-02-20,17:00:00,17.33,17.8,17.15,17.78,308253,0
2014-02-20,18:00:00,17.76,18.13,17.51,17.95,116760,0
2014-02-20,19:00:00,17.95,18.17,17.91,18.1,62979,0
2014-02-20,20:00:00,18.08,18.1,17.98,18.09,61399,0
2014-02-20,21:00:00,18.09,18.14,18.035,18.14,82998,0
2014-02-20,22:00:00,18.12,18.17,18.07,18.1,187657,0
2014-02-21,16:00:00,18.37,18.49,17.83,17.91,114636,0
2014-02-21,17:00:00,17.94,17.94,17.53,17.77,164561,0
2014-02-21,18:00:00,17.765,17.9,17.68,17.75,94719,0
2014-02-21,19:00:00,17.74,17.8,17.66,17.75,47839,0
2014-02-21,20:00:00,17.75,17.81,17.7,17.775,107699,0
2014-02-21,21:00:00,17.76,17.81,17.6101,17.625,86036,0
2014-02-21,22:00:00,17.63,17.7,17.58,17.59,211988,0
2014-02-24,16:00:00,17.55,18.11,17.55,18.05,67446,0
2014-02-24,17:00:00,18.06,18.62,18.05,18.62,198588,0
2014-02-24,18:00:00,18.61,18.95,18.6,18.76,149903,0
2014-02-24,19:00:00,18.76,18.81,18.58,18.71,89005,0
2014-02-24,20:00:00,18.7,18.88,18.7,18.74,88049,0
2014-02-24,21:00:00,18.77,18.8,18.6,18.75,71225,0
2014-02-24,22:00:00,18.74,18.77,18.65,18.7,206687,0
2014-02-25,16:00:00,18.7,18.84,18.41,18.58,83988,0
2014-02-25,17:00:00,18.59,18.8,18.56,18.74,134229,0
2014-02-25,18:00:00,18.77,18.86,18.6402,18.66,76331,0
2014-02-25,19:00:00,18.66,18.78,18.645,18.68,54042,0
2014-02-25,20:00:00,18.68,18.76,18.63,18.72,60613,0
2014-02-25,21:00:00,18.71,18.71,18.52,18.6,61726,0
2014-02-25,22:00:00,18.59,18.64,18.55,18.59,186508,0
2014-02-26,16:00:00,18.54,18.7,18.1,18.1396,33695,0
2014-02-26,17:00:00,18.14,18.59,18.14,18.42,64626,0
2014-02-26,18:00:00,18.46,18.65,18.35,18.41,30276,0
2014-02-26,19:00:00,18.41,18.52,18.41,18.49,17263,0
2014-02-26,20:00:00,18.48,18.48,18.31,18.37,28200,0
2014-02-26,21:00:00,18.35,18.39,18.17,18.19,26814,0
2014-02-26,22:00:00,18.21,18.27,18.12,18.26,189372,0
2014-02-27,16:00:00,18.17,18.39,18.02,18.26,17842,0
2014-02-27,17:00:00,18.27,18.48,18.07,18.27,34385,0
2014-02-27,18:00:00,18.24,18.37,18.17,18.28,26966,0
2014-02-27,19:00:00,18.28,18.4,18.19,18.33,30979,0
2014-02-27,20:00:00,18.36,18.58,18.31,18.57,53266,0
2014-02-27,21:00:00,18.56,18.59,18.37,18.46,47184,0
2014-02-27,22:00:00,18.46,18.56,18.44,18.54,168566,0
2014-02-28,16:00:00,18.51,18.67,18.26,18.44,40951,0
2014-02-28,17:00:00,18.46,18.72,18.37,18.61,52642,0
2014-02-28,18:00:00,18.61,18.61,18.41,18.6,52045,0
2014-02-28,19:00:00,18.6,18.79,18.57,18.78,40274,0
2014-02-28,20:00:00,18.78,19.14,18.76,19.12,67319,0
2014-02-28,21:00:00,19.12,19.12,19.01,19.04,84022,0
2014-02-28,22:00:00,19.03,19.095,18.94,19,179831,0
2014-03-03,16:00:00,19,19.31,18.95,19.0801,32637,0
2014-03-03,17:00:00,19.16,19.3,19.07,19.29,84553,0
2014-03-03,18:00:00,19.29,19.3,18.97,18.97,48016,0
2014-03-03,19:00:00,18.965,19.08,18.76,18.82,62218,0
2014-03-03,20:00:00,18.83,18.84,18.46,18.63,87642,0
2014-03-03,21:00:00,18.63,18.63,18.33,18.36,69817,0
2014-03-03,22:00:00,18.36,18.43,18.31,18.4,247331,0
2014-03-04,16:00:00,18.43,18.75,18.34,18.67,49208,0
2014-03-04,17:00:00,18.67,18.86,18.56,18.82,67167,0
2014-03-04,18:00:00,18.81,18.85,18.65,18.65,51191,0
2014-03-04,19:00:00,18.65,19.07,18.65,19.07,69539,0
2014-03-04,20:00:00,19.07,19.095,18.92,18.92,40910,0
2014-03-04,21:00:00,18.91,18.99,18.83,18.96,65535,0
2014-03-04,22:00:00,18.95,19.15,18.92,19.03,151369,0
2014-03-05,16:00:00,19,19.34,18.96,19,22964,0
2014-03-05,17:00:00,18.96,19.14,18.8122,18.92,72110,0
2014-03-05,18:00:00,18.885,18.94,18.7504,18.795,71532,0
2014-03-05,19:00:00,18.795,18.87,18.75,18.75,53570,0
2014-03-05,20:00:00,18.76,18.93,18.76,18.8,46863,0
2014-03-05,21:00:00,18.8,18.81,18.73,18.76,46575,0
2014-03-05,22:00:00,18.75,18.86,18.56,18.83,158901,0
2014-03-06,16:00:00,18.85,19.09,18.51,18.77,62066,0
2014-03-06,17:00:00,18.77,18.86,18.64,18.81,58759,0
2014-03-06,18:00:00,18.81,18.88,18.75,18.77,59592,0
2014-03-06,19:00:00,18.78,18.8,18.59,18.63,48558,0
2014-03-06,20:00:00,18.59,18.65,18.51,18.61,60488,0
2014-03-06,21:00:00,18.605,18.72,18.59,18.72,55303,0
2014-03-06,22:00:00,18.72,18.74,18.55,18.61,122366,0
2014-03-07,16:00:00,18.61,18.95,18.42,18.64,22776,0
2014-03-07,17:00:00,18.595,18.66,18.5,18.58,51278,0
2014-03-07,18:00:00,18.58,18.58,18.22,18.23,71124,0
2014-03-07,19:00:00,18.25,18.45,18.18,18.31,90442,0
2014-03-07,20:00:00,18.3,18.35,18.25,18.265,48342,0
2014-03-07,21:00:00,18.26,18.33,18.195,18.28,109941,0
2014-03-07,22:00:00,18.275,18.38,18.22,18.27,188023,0
2014-03-10,15:00:00,18.18,18.18,17.81,18.093,41914,0
2014-03-10,16:00:00,18.1075,18.1075,17.78,17.88,69349,0
2014-03-10,17:00:00,17.885,18.26,17.865,18.11,63285,0
2014-03-10,18:00:00,18.13,18.22,18.01,18.14,45403,0
2014-03-10,19:00:00,18.14,18.15,17.94,17.975,58098,0
2014-03-10,20:00:00,17.975,18.03,17.94,18.025,40005,0
2014-03-10,21:00:00,18.02,18.17,17.96,18.14,220297,0
2014-03-11,15:00:00,18.22,18.386,17.88,17.9935,19624,0
2014-03-11,16:00:00,17.98,18.49,17.98,18.43,69777,0
2014-03-11,17:00:00,18.39,18.4,18.23,18.25,41257,0
2014-03-11,18:00:00,18.26,18.3,17.93,18,101262,0
2014-03-11,19:00:00,17.92,18,17.7,17.83,96930,0
2014-03-11,20:00:00,17.85,17.87,17.46,17.46,91707,0
2014-03-11,21:00:00,17.45,17.55,17.28,17.41,202479,0
2014-03-12,15:00:00,17.31,17.31,17,17.21,60061,0
2014-03-12,16:00:00,17.24,17.49,17.21,17.48,59709,0
2014-03-12,17:00:00,17.54,17.68,17.46,17.575,102298,0
2014-03-12,18:00:00,17.571,17.61,17.462,17.52,58277,0
2014-03-12,19:00:00,17.51,17.53,17.5,17.52,24636,0
2014-03-12,20:00:00,17.515,17.57,17.455,17.53,38502,0
2014-03-12,21:00:00,17.53,17.56,17.44,17.51,137289,0
2014-03-13,15:00:00,17.298,17.58,17.16,17.51,29242,0
2014-03-13,16:00:00,17.46,17.5,17.2503,17.35,86467,0
2014-03-13,17:00:00,17.36,17.46,17.36,17.41,39547,0
2014-03-13,18:00:00,17.43,17.43,17.15,17.21,54143,0
2014-03-13,19:00:00,17.2,17.551,17.14,17.55,96985,0
2014-03-13,20:00:00,17.55,17.57,17.43,17.54,228150,0
2014-03-13,21:00:00,17.5,17.6,17.5,17.53,183935,0
2014-03-14,15:00:00,17.5,17.75,17.5,17.52,15052,0
2014-03-14,16:00:00,17.55,17.76,17.53,17.63,39898,0
2014-03-14,17:00:00,17.65,17.75,17.53,17.59,40786,0
2014-03-14,18:00:00,17.58,17.75,17.55,17.69,21146,0
2014-03-14,19:00:00,17.6999,17.6999,17.58,17.69,29740,0
2014-03-14,20:00:00,17.71,17.8199,17.71,17.71,28518,0
2014-03-14,21:00:00,17.71,17.79,17.64,17.75,87055,0
2014-03-17,15:00:00,17.874,18.08,17.79,17.83,25604,0
2014-03-17,16:00:00,17.77,17.89,17.61,17.68,37780,0
2014-03-17,17:00:00,17.7,17.74,17.37,17.39,37960,0
2014-03-17,18:00:00,17.375,17.41,17.3,17.39,31794,0
2014-03-17,19:00:00,17.38,17.545,17.32,17.48,31865,0
2014-03-17,20:00:00,17.5,17.53,17.44,17.49,15400,0
2014-03-17,21:00:00,17.48,17.56,17.44,17.5,87842,0
2014-03-18,15:00:00,17.47,17.67,17.47,17.6101,13460,0
2014-03-18,16:00:00,17.631,17.89,17.63,17.86,51100,0
2014-03-18,17:00:00,17.87,18.08,17.86,17.95,88879,0
2014-03-18,18:00:00,17.93,17.95,17.84,17.9,125514,0
2014-03-18,19:00:00,17.92,18.08,17.86,18.06,131470,0
2014-03-18,20:00:00,18.06,18.08,18.0101,18.02,52483,0
2014-03-18,21:00:00,18.02,18.08,17.93,18.01,156686,0
2014-03-19,15:00:00,17.98,18.16,17.63,17.67,45351,0
2014-03-19,16:00:00,17.645,17.7099,17.55,17.63,91752,0
2014-03-19,17:00:00,17.63,17.65,17.57,17.6,80827,0
2014-03-19,18:00:00,17.58,17.62,17.52,17.605,39593,0
2014-03-19,19:00:00,17.619,17.63,17.57,17.61,44491,0
2014-03-19,20:00:00,17.6,17.69,17.54,17.635,94951,0
2014-03-19,21:00:00,17.62,17.64,17.48,17.51,142844,0
2014-03-20,15:00:00,17.45,17.545,17,17.04,65134,0
2014-03-20,16:00:00,17.09,17.36,17.02,17.12,82294,0
2014-03-20,17:00:00,17.12,17.26,17.03,17.23,1063793,0
2014-03-20,18:00:00,17.21,17.25,17.15,17.17,89429,0
2014-03-20,19:00:00,17.17,17.18,17.07,17.09,31154,0
2014-03-20,20:00:00,17.09,17.14,17.02,17.06,54788,0
2014-03-20,21:00:00,17.06,17.1,17.03,17.1,187813,0
2014-03-21,15:00:00,17.095,17.23,17.09,17.21,35725,0
2014-03-21,16:00:00,17.21,17.23,17.0925,17.22,87170,0
2014-03-21,17:00:00,17.23,17.27,17.16,17.165,81079,0
2014-03-21,18:00:00,17.16,17.2,17.05,17.13,70178,0
2014-03-21,19:00:00,17.14,17.24,17.13,17.21,37600,0
2014-03-21,20:00:00,17.24,17.31,17.18,17.26,329487,0
2014-03-21,21:00:00,17.25,17.29,17.15,17.2,408949,0
2014-03-24,15:00:00,17.35,17.4,17.16,17.29,31251,0
2014-03-24,16:00:00,17.25,17.32,16.83,16.88,108007,0
2014-03-24,17:00:00,16.875,17.02,16.74,16.98,64104,0
2014-03-24,18:00:00,16.95,17.09,16.9,17.04,46934,0
2014-03-24,19:00:00,17.04,17.17,17.025,17.11,213994,0
2014-03-24,20:00:00,17.13,17.4,17.1,17.24,334491,0
2014-03-24,21:00:00,17.24,17.4,17.22,17.37,268892,0
2014-03-25,15:00:00,17.61,17.72,17.25,17.3301,46147,0
2014-03-25,16:00:00,17.39,17.74,17.31,17.47,150849,0
2014-03-25,17:00:00,17.48,17.53,17.3,17.36,45475,0
2014-03-25,18:00:00,17.36,17.36,17.25,17.25,42482,0
2014-03-25,19:00:00,17.27,17.36,17.14,17.18,63977,0
2014-03-25,20:00:00,17.18,17.25,17.11,17.14,39177,0
2014-03-25,21:00:00,17.15,17.31,17.15,17.23,155790,0
2014-03-26,15:00:00,17.3,17.43,17.026,17.06,29193,0
2014-03-26,16:00:00,17.06,17.19,16.87,16.91,60881,0
2014-03-26,17:00:00,16.89,17.05,16.85,17.05,45342,0
2014-03-26,18:00:00,17.09,17.24,17.04,17.205,35974,0
2014-03-26,19:00:00,17.205,17.25,17.1,17.22,57803,0
2014-03-26,20:00:00,17.16,17.2,17.01,17.16,26156,0
2014-03-26,21:00:00,17.19,17.19,16.97,16.99,151666,0
2014-03-27,15:00:00,17.3,17.45,16.96,17.25,61093,0
2014-03-27,16:00:00,17.26,17.57,17.26,17.45,154602,0
2014-03-27,17:00:00,17.42,17.43,17.25,17.327,90006,0
2014-03-27,18:00:00,17.3,17.39,17.24,17.34,47561,0
2014-03-27,19:00:00,17.34,17.4,17.21,17.26,48299,0
2014-03-27,20:00:00,17.25,17.4,17.23,17.39,57083,0
2014-03-27,21:00:00,17.38,17.48,17.26,17.33,178569,0
2014-03-28,15:00:00,17.4,17.59,17.25,17.48,47957,0
2014-03-28,16:00:00,17.44,17.53,17.364,17.49,139419,0
2014-03-28,17:00:00,17.505,17.52,17.39,17.44,177910,0
2014-03-28,18:00:00,17.45,17.9299,17.4,17.69,386084,0
2014-03-28,19:00:00,17.71,17.81,17.57,17.75,150318,0
2014-03-28,20:00:00,17.741,17.78,17.56,17.76,106189,0
2014-03-28,21:00:00,17.76,17.89,17.72,17.86,187558,0
2014-03-31,16:00:00,18.01,18.23,17.9,18.22,74282,0
2014-03-31,17:00:00,18.22,18.54,18.18,18.44,121186,0
2014-03-31,18:00:00,18.44,18.5,18.31,18.47,89857,0
2014-03-31,19:00:00,18.48,18.89,18.47,18.84,105585,0
2014-03-31,20:00:00,18.8435,18.87,18.55,18.6,194519,0
2014-03-31,21:00:00,18.62,18.77,18.58,18.6,55247,0
