Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,6.4392,6.5574,6.4392,6.5574,8984,0
2014-02-10,17:00:00,6.5673,6.5673,6.4387,6.4585,6774,0
2014-02-10,18:00:00,6.498,6.5781,6.498,6.5673,3589,0
2014-02-10,19:00:00,6.5772,6.6167,6.5386,6.5871,6865,0
2014-02-10,20:00:00,6.5871,6.6266,6.5673,6.6068,5150,0
2014-02-10,21:00:00,6.6064,6.6068,6.5641,6.5929,9279,0
2014-02-10,22:00:00,6.6068,6.6068,6.5376,6.5376,6012,0
2014-02-11,16:00:00,6.5482,6.6266,6.5482,6.6266,2907,0
2014-02-11,17:00:00,6.6167,6.7057,6.6068,6.7047,23310,0
2014-02-11,18:00:00,6.7018,6.7156,6.6464,6.6563,6550,0
2014-02-11,19:00:00,6.6563,6.6761,6.6365,6.6761,4550,0
2014-02-11,20:00:00,6.6563,6.6859,6.6365,6.6725,20846,0
2014-02-11,21:00:00,6.6761,6.6859,6.6563,6.6662,5490,0
2014-02-11,22:00:00,6.6563,6.6859,6.5969,6.6068,19324,0
2014-02-12,16:00:00,6.6365,6.6465,6.5579,6.5674,10482,0
2014-02-12,17:00:00,6.5673,6.587,6.5376,6.587,9115,0
2014-02-12,18:00:00,6.587,6.587,6.5475,6.5574,3337,0
2014-02-12,19:00:00,6.5574,6.587,6.5574,6.5821,4145,0
2014-02-12,20:00:00,6.6167,6.6464,6.5673,6.6266,4716,0
2014-02-12,21:00:00,6.6464,6.6464,6.5772,6.6068,4095,0
2014-02-12,22:00:00,6.5969,6.5969,6.5277,6.5277,9589,0
2014-02-13,16:00:00,6.5277,6.5291,6.5277,6.5291,3201,0
2014-02-13,17:00:00,6.5277,6.6662,6.5277,6.6662,10921,0
2014-02-13,18:00:00,6.6365,6.6662,6.5673,6.6088,8695,0
2014-02-13,19:00:00,6.5969,6.6365,6.587,6.5871,6248,0
2014-02-13,20:00:00,6.6266,6.6563,6.5871,6.6464,8230,0
2014-02-13,21:00:00,6.6648,6.6761,6.6563,6.6761,6776,0
2014-02-13,22:00:00,6.6859,6.6859,6.5277,6.5277,37529,0
2014-02-14,16:00:00,6.6562,6.6563,6.6562,6.6563,1163,0
2014-02-14,17:00:00,6.6207,6.6563,6.5673,6.6463,3650,0
2014-02-14,18:00:00,6.6563,6.6563,6.5881,6.5881,2568,0
2014-02-14,19:00:00,6.588,6.6563,6.587,6.6405,4044,0
2014-02-14,20:00:00,6.6464,6.6761,6.6276,6.6656,6941,0
2014-02-14,21:00:00,6.6563,6.6563,6.6266,6.6563,2275,0
2014-02-14,22:00:00,6.6562,6.6662,6.6266,6.6563,10500,0
2014-02-18,16:00:00,6.6859,6.6859,6.6761,6.6761,7381,0
2014-02-18,17:00:00,6.6761,6.6958,6.6563,6.6859,17793,0
2014-02-18,18:00:00,6.6761,6.6761,6.6266,6.6553,8710,0
2014-02-18,19:00:00,6.6563,6.7255,6.6365,6.7057,23250,0
2014-02-18,20:00:00,6.6859,6.7156,6.6859,6.6958,2520,0
2014-02-18,21:00:00,6.7043,6.7354,6.6958,6.7354,6670,0
2014-02-18,22:00:00,6.7261,6.7453,6.7156,6.7156,16703,0
2014-02-19,16:00:00,6.7354,6.7552,6.7156,6.7551,11746,0
2014-02-19,17:00:00,6.7551,6.8046,6.7408,6.7947,13188,0
2014-02-19,18:00:00,6.8046,6.8046,6.6464,6.6662,30721,0
2014-02-19,19:00:00,6.6465,6.6652,6.6365,6.6365,2224,0
2014-02-19,20:00:00,6.6662,6.7057,6.6365,6.7057,2629,0
2014-02-19,21:00:00,6.7057,6.7156,6.6959,6.6959,5628,0
2014-02-19,22:00:00,6.7057,6.7255,6.6859,6.6958,3664,0
2014-02-20,16:00:00,6.7354,6.7651,6.7156,6.7651,6269,0
2014-02-20,17:00:00,6.7749,6.775,6.6859,6.6859,6446,0
2014-02-20,18:00:00,6.6859,6.7651,6.6859,6.7255,9471,0
2014-02-20,19:00:00,6.7641,6.7651,6.7255,6.7552,7927,0
2014-02-20,20:00:00,6.7552,6.7947,6.7551,6.7651,13490,0
2014-02-20,21:00:00,6.7779,6.8145,6.7779,6.8046,14663,0
2014-02-20,22:00:00,6.8046,6.8144,6.7651,6.7651,14493,0
2014-02-21,16:00:00,6.8244,6.8541,6.7651,6.7651,12211,0
2014-02-21,17:00:00,6.8144,6.8145,6.7057,6.7255,3893,0
2014-02-21,18:00:00,6.7453,6.7947,6.7423,6.7912,4026,0
2014-02-21,19:00:00,6.7849,6.7849,6.7596,6.7596,8085,0
2014-02-21,20:00:00,6.7651,6.7651,6.7354,6.7356,5419,0
2014-02-21,21:00:00,6.7255,6.775,6.7057,6.7156,12615,0
2014-02-21,22:00:00,6.7072,6.7354,6.6958,6.6958,4954,0
2014-02-24,16:00:00,6.6958,6.7453,6.6958,6.7453,1112,0
2014-02-24,17:00:00,6.7206,6.7849,6.7156,6.7555,6471,0
2014-02-24,18:00:00,6.7599,6.7849,6.7057,6.7275,15842,0
2014-02-24,19:00:00,6.7453,6.7453,6.7452,6.7453,1011,0
2014-02-24,20:00:00,6.7255,6.7353,6.7156,6.7353,3134,0
2014-02-24,21:00:00,6.7248,6.7552,6.7057,6.7255,11450,0
2014-02-24,22:00:00,6.7255,6.7271,6.6662,6.6662,27814,0
2014-02-25,16:00:00,6.6167,6.6464,6.5772,6.5772,12228,0
2014-02-25,17:00:00,6.5772,6.6167,6.5673,6.5673,6006,0
2014-02-25,18:00:00,6.5772,6.5772,6.5376,6.5475,5287,0
2014-02-25,19:00:00,6.5574,6.5673,6.5376,6.5574,13107,0
2014-02-25,20:00:00,6.5475,6.5475,6.5277,6.5376,6863,0
2014-02-25,21:00:00,6.5376,6.5571,6.5326,6.5475,4268,0
2014-02-25,22:00:00,6.536,6.5475,6.5277,6.5277,10003,0
2014-02-26,16:00:00,6.5079,6.6859,6.5079,6.6859,11649,0
2014-02-26,17:00:00,6.587,6.6761,6.587,6.6464,3311,0
