Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,4,4.05,3.89,3.99,801064,0
2014-02-10,17:00:00,4,4.05,3.92,4.01,640704,0
2014-02-10,18:00:00,4.02,4.04,3.99,4.03,500390,0
2014-02-10,19:00:00,4.0312,4.15,3.9599,3.99,1211729,0
2014-02-10,20:00:00,3.98,4.03,3.96,3.99,228090,0
2014-02-10,21:00:00,3.99,4.03,3.95,3.95,214256,0
2014-02-10,22:00:00,3.96,3.99,3.93,3.97,374648,0
2014-02-11,16:00:00,4.01,4.09,4,4.05,395767,0
2014-02-11,17:00:00,4.04,4.04,3.91,3.95,500165,0
2014-02-11,18:00:00,3.95,3.97,3.9101,3.94,219473,0
2014-02-11,19:00:00,3.9401,3.96,3.94,3.959,55019,0
2014-02-11,20:00:00,3.95,3.95,3.89,3.94,200060,0
2014-02-11,21:00:00,3.93,3.93,3.86,3.871,193447,0
2014-02-11,22:00:00,3.88,3.91,3.82,3.9,354390,0
2014-02-12,16:00:00,3.91,3.96,3.88,3.88,188402,0
2014-02-12,17:00:00,3.8835,3.911,3.77,3.79,317312,0
2014-02-12,18:00:00,3.78,3.85,3.78,3.85,166477,0
2014-02-12,19:00:00,3.85,3.87,3.8,3.815,101737,0
2014-02-12,20:00:00,3.8192,3.86,3.81,3.84,73620,0
2014-02-12,21:00:00,3.84,3.8563,3.82,3.82,92791,0
2014-02-12,22:00:00,3.82,3.86,3.81,3.84,195762,0
2014-02-13,16:00:00,3.73,3.84,3.72,3.81,246297,0
2014-02-13,17:00:00,3.77,3.9,3.77,3.899,222882,0
2014-02-13,18:00:00,3.8996,3.9,3.82,3.831,157247,0
2014-02-13,19:00:00,3.83,3.8799,3.81,3.85,192543,0
2014-02-13,20:00:00,3.85,3.855,3.81,3.8401,272871,0
2014-02-13,21:00:00,3.8499,3.92,3.84,3.8499,491517,0
2014-02-13,22:00:00,3.84,3.88,3.8,3.83,323111,0
2014-02-14,16:00:00,3.88,3.9,3.81,3.81,262441,0
2014-02-14,17:00:00,3.8146,3.83,3.78,3.81,361197,0
2014-02-14,18:00:00,3.81,3.811,3.75,3.75,479058,0
2014-02-14,19:00:00,3.75,3.8,3.75,3.77,151463,0
2014-02-14,20:00:00,3.77,3.8,3.73,3.79,233140,0
2014-02-14,21:00:00,3.8,3.8,3.75,3.78,156743,0
2014-02-14,22:00:00,3.78,3.8,3.75,3.8,218827,0
2014-02-18,16:00:00,3.8,3.92,3.77,3.86,539166,0
2014-02-18,17:00:00,3.86,3.89,3.83,3.89,294297,0
2014-02-18,18:00:00,3.89,3.92,3.87,3.87,277871,0
2014-02-18,19:00:00,3.871,4,3.85,3.95,1289584,0
2014-02-18,20:00:00,3.95,3.97,3.94,3.95,215764,0
2014-02-18,21:00:00,3.948,3.95,3.9,3.9,190492,0
2014-02-18,22:00:00,3.9,3.94,3.86,3.94,522915,0
2014-02-19,16:00:00,3.92,4.1,3.9,4.02,932541,0
2014-02-19,17:00:00,4.02,4.03,3.91,3.9999,532615,0
2014-02-19,18:00:00,4,4,3.85,3.852,377793,0
2014-02-19,19:00:00,3.85,3.93,3.85,3.9,185420,0
2014-02-19,20:00:00,3.9,3.92,3.88,3.89,103340,0
2014-02-19,21:00:00,3.89,3.91,3.85,3.89,162620,0
2014-02-19,22:00:00,3.9001,3.91,3.81,3.84,350600,0
2014-02-20,16:00:00,3.9,3.92,3.83,3.84,153378,0
2014-02-20,17:00:00,3.83,3.88,3.8,3.82,188645,0
2014-02-20,18:00:00,3.82,3.84,3.8,3.8091,191810,0
2014-02-20,19:00:00,3.8099,3.84,3.8,3.835,100221,0
2014-02-20,20:00:00,3.83,3.85,3.81,3.84,135485,0
2014-02-20,21:00:00,3.84,3.85,3.8,3.82,248952,0
2014-02-20,22:00:00,3.818,3.84,3.8,3.8,267102,0
2014-02-21,16:00:00,3.84,3.88,3.81,3.81,151209,0
2014-02-21,17:00:00,3.828,3.9,3.8,3.86,361079,0
2014-02-21,18:00:00,3.86,3.86,3.83,3.85,62624,0
2014-02-21,19:00:00,3.85,3.85,3.81,3.8299,161412,0
2014-02-21,20:00:00,3.83,3.84,3.81,3.81,63036,0
2014-02-21,21:00:00,3.81,3.84,3.8,3.83,150416,0
2014-02-21,22:00:00,3.825,3.84,3.78,3.83,234716,0
2014-02-24,16:00:00,3.85,3.89,3.72,3.82,123506,0
2014-02-24,17:00:00,3.8299,3.84,3.75,3.7801,259113,0
2014-02-24,18:00:00,3.7801,3.8,3.75,3.75,126642,0
2014-02-24,19:00:00,3.75,3.7984,3.73,3.76,118113,0
2014-02-24,20:00:00,3.741,3.85,3.73,3.81,294065,0
2014-02-24,21:00:00,3.81,3.83,3.8,3.8,91129,0
2014-02-24,22:00:00,3.8,3.819,3.76,3.81,170862,0
2014-02-25,16:00:00,3.86,3.86,3.75,3.79,144563,0
2014-02-25,17:00:00,3.78,3.79,3.75,3.76,146365,0
2014-02-25,18:00:00,3.76,3.8,3.76,3.79,154335,0
2014-02-25,19:00:00,3.7812,3.8,3.77,3.8,114706,0
2014-02-25,20:00:00,3.7991,3.85,3.78,3.822,231818,0
2014-02-25,21:00:00,3.83,3.85,3.8,3.8101,152276,0
2014-02-25,22:00:00,3.828,3.83,3.75,3.78,291220,0
2014-02-26,16:00:00,3.77,3.81,3.68,3.75,570104,0
2014-02-26,17:00:00,3.7604,3.89,3.745,3.84,474906,0
2014-02-26,18:00:00,3.83,3.86,3.78,3.8,155226,0
2014-02-26,19:00:00,3.808,3.81,3.78,3.79,195100,0
2014-02-26,20:00:00,3.8,3.8,3.79,3.79,125041,0
2014-02-26,21:00:00,3.8,3.8,3.74,3.76,354480,0
2014-02-26,22:00:00,3.76,3.77,3.74,3.76,199416,0
2014-02-27,16:00:00,3.77,3.92,3.77,3.88,459742,0
2014-02-27,17:00:00,3.8801,3.89,3.7701,3.85,257772,0
2014-02-27,18:00:00,3.85,3.91,3.8,3.89,333009,0
2014-02-27,19:00:00,3.8992,3.9,3.83,3.84,117589,0
2014-02-27,20:00:00,3.834,3.87,3.83,3.85,91269,0
2014-02-27,21:00:00,3.86,3.87,3.8,3.81,185500,0
2014-02-27,22:00:00,3.84,3.84,3.75,3.76,314311,0
2014-02-28,16:00:00,3.86,3.86,3.8,3.8101,110160,0
2014-02-28,17:00:00,3.82,3.84,3.8,3.81,122946,0
2014-02-28,18:00:00,3.805,3.84,3.76,3.8101,231843,0
2014-02-28,19:00:00,3.8101,3.8101,3.78,3.79,60344,0
2014-02-28,20:00:00,3.79,3.8,3.77,3.77,88161,0
2014-02-28,21:00:00,3.7708,3.78,3.72,3.75,304744,0
2014-02-28,22:00:00,3.75,3.82,3.69,3.81,526689,0
2014-03-03,16:00:00,3.6801,3.79,3.68,3.7301,119249,0
2014-03-03,17:00:00,3.73,3.766,3.71,3.7425,130144,0
2014-03-03,18:00:00,3.732,3.75,3.69,3.6934,107559,0
2014-03-03,19:00:00,3.7001,3.73,3.65,3.66,150389,0
2014-03-03,20:00:00,3.6601,3.69,3.65,3.672,80634,0
2014-03-03,21:00:00,3.68,3.69,3.66,3.681,92233,0
2014-03-03,22:00:00,3.69,3.72,3.65,3.72,203726,0
2014-03-04,16:00:00,3.78,3.8,3.75,3.77,263706,0
2014-03-04,17:00:00,3.7701,3.85,3.72,3.8301,684703,0
2014-03-04,18:00:00,3.83,3.84,3.77,3.81,373579,0
2014-03-04,19:00:00,3.84,3.84,3.8,3.81,163214,0
2014-03-04,20:00:00,3.809,3.83,3.8,3.81,97808,0
2014-03-04,21:00:00,3.8001,3.82,3.76,3.7902,258543,0
2014-03-04,22:00:00,3.79,3.8,3.76,3.78,300532,0
2014-03-05,16:00:00,4.04,4.22,4,4.0898,1777316,0
2014-03-05,17:00:00,4.09,4.12,3.98,4.05,939772,0
2014-03-05,18:00:00,4.06,4.11,4.05,4.1,377458,0
2014-03-05,19:00:00,4.1,4.13,4.04,4.0898,376800,0
2014-03-05,20:00:00,4.0899,4.11,4.01,4.05,265441,0
